"","X","commGIS","tot_pop","family","male_18_60","fem_18_60","pop_over61","tot_ind","numPrimLivFarm","land_confl","Pax_migt_in","Pax_migt_out","prop_ind","F6_24_sch","M6_24_sch","F15_45_ill","M15_45_ill","propPrimLivFarm","propPrimSec","propSecSec","propTerSec","propQuatSec","Les1_R_Land","pig_fam","garbage","crim_case","dist_sch","KM_Comm","KM_Heal_cent","Province","Commune","year","diffPix","ForPix","areaKM","pop_den","mean_elev","dist_border","habitat","dist_provCap","elc","PA_cat","PA"
"15",15,10801,10462,2056,2685,2692,383,0,2051,14,29,31,0,0.617238160636364,0.590081206909091,0.261805336818182,0.232729517545455,0.996926792090909,0.996926792090909,0.00115807763636364,0.00139860136363636,0.0273236037272727,0.302646232454545,0.607024932363636,0,0.000316758545454545,3.333333333,4,3.5,"Banteay Meanchey","Phkoam",2007,0,7,88.73970906,117.895360609378,28.38952883,34.35703467,"CP",32.51551569,0,"none",0
"16",16,10803,9542,2074,2616,2495,429,0,2013,8,101,24,0,0.509170024222222,0.498569850555556,0.205840639888889,0.142845541444444,0.923071895444444,0.923071895444444,0.00111111111111111,0.0104575163333333,0.0752763602222222,0.254011218,0.261713553222222,0,0.00144580444444444,5.333333333,4,5,"Banteay Meanchey","Sla Kram",2007,0,4,168.4517925,56.6452862174203,30.8623683,16.5390086,"CP",20.85183833,0,"none",0
"17",17,10804,9283,2094,2539,2613,598,0,2022,66,107,50,0,0.541801943214286,0.518896751642857,0.263638554071429,0.311053891785714,0.979332314714286,0.979332314714286,0,0.000381971,0.0640702404285714,0.110920732071429,0.141517171785714,0,0.00419757735714286,1.75,5,5.5,"Banteay Meanchey","Svay Chek",2007,0,9,210.2611913,44.1498497302579,41.60148382,10.69008899,"CP",29.96556219,0,"none",0
"18",18,10903,5132,1008,1087,956,95,0,957,9,80,30,0,0.96854029675,0.96765977625,0.03164955325,0.026885338,0.953389722,0.953389722,0,0.0253742845,0.05654678075,0.024726298,0.03290325525,0,0.003515269,1.2666666665,2.25,7.75,"Banteay Meanchey","Ou Sampor",2007,0,57,88.12732125,58.233927086488,97.12373237,5.904639327,"CP",50.49567436,0,"WS",1
"19",19,10905,9397,2053,2415,2184,280,0,1986,7,35,130,0,0.675625109142857,0.624948740142857,0.0498053607142857,0.068992135,0.966868462714286,0.981437055,0.003911375,0.0104600407142857,0.0722016971428571,0.300173061142857,0.0456103122857143,0,0.00224346857142857,7.666666667,3,4,"Banteay Meanchey","Tuol Pongro",2007,0,235,160.5941702,58.5139546989608,39.59053747,6.648585383,"CP",39.87171428,0,"WS",1
"20",20,20102,6244,1308,1590,1664,482,0,1264,5,35,48,0,0.945651769142857,0.913581358428571,0.0953471612857143,0.0904861395714286,0.976995772285714,0.976995772285714,0.00151975685714286,0.0185466182857143,0.0739195942857143,0.468238301,0.093561305,0,0.00206531314285714,5.5,2,3,"Battambang","Kantueu Pir",2007,0,4,32.5457472,191.853023426668,31.16333743,63.47745686,"CP",19.98881249,0,"none",0
"21",21,20104,15559,3133,3780,4094,1658,0,2956,22,328,243,0,0.847022330266667,0.8702333282,0.0968231762666667,0.0922758462,0.946035004533333,0.946035004533333,0.00223378726666667,0.0323854890666667,0.104972582533333,0.512895017733333,0.1318702706,0,0.0048692252,4.333333333,3.5,2,"Battambang","Chheu Teal",2007,0,3,40.16808805,387.347288739077,17.67825112,66.59888725,"CP",12.62228854,0,"none",0
"22",22,20105,7545,1480,1852,1756,589,0,1427,20,58,81,0,0.818687987,0.780437529,0.193552957571429,0.222958235571429,0.964901945142857,0.967843121714286,0,0.0242399331428571,0.0571476327142857,0.251248173,0.0863510104285714,0,0.00292710257142857,8.666666667,2,2,"Battambang","Chaeng Mean Chey",2007,0,14,109.3665358,68.9881959304045,34.99360044,52.79650487,"CP",31.02702181,0,"none",0
"23",23,20106,15154,3085,3822,4197,1435,0,2856,2,59,83,0,0.8838546524,0.8357209932,0.1459553132,0.1777486811,0.9134311165,0.9134311165,0.0028134408,0.0438038861,0.1361573495,0.2333212927,0.1293172845,0,0.000459619,1.25,1,1,"Battambang","Phnum Sampov",2007,0,6,64.20526403,236.024261078021,18.49597198,60.52562383,"CP",14.50861313,0,"none",0
"24",24,20107,18917,3318,4346,4381,1375,0,3245,26,159,49,0,0.884517215636364,0.904629280909091,0.100628186272727,0.115817161181818,0.980240135727273,0.980240135727273,0.00223446781818182,0.0155398950909091,0.0453079945454545,0.187314611454545,0.152771222272727,0.000311332545454545,0.00171506709090909,5.333333333,2,2,"Battambang","Snoeng",2007,0,46,267.2514575,70.7835241646905,31.87882077,51.44468044,"CP",25.70558005,0,"none",0
"25",25,20108,18881,3713,4280,4217,1101,0,3634,42,197,84,0,0.702136163,0.659207186272727,0.216854803636364,0.255965069545455,0.981180276545455,0.987202803454545,0,0.00649367763636364,0.0378487337272727,0.368993420727273,0.168777221636364,0,0.00208835790909091,8.666666667,8,7,"Battambang","Ta Kream",2007,0,200,228.4617542,82.6440297025435,31.99613739,48.41450906,"CP",24.77845265,0,"none",0
"26",26,20201,14668,2884,4112,4120,1154,0,1638,8,54,27,0,0.703435493,0.653866459285714,0.113483588714286,0.0987290744285714,0.556334224,0.561871322571429,0.00335140485714286,0.156072811571429,0.0895786684285714,0.244673058571429,0.241703660285714,0.0774365821428571,0.000830971571428571,2,1.5,1,"Battambang","Ta Pung",2007,0,37,107.8472526,136.007173538327,6.162359485,71.64397435,"CP",19.43849173,0,"MUA",1
"27",27,20202,15522,3019,3891,4136,1487,0,2242,5,67,56,0,0.603773559,0.6251249722,0.135958319,0.1123792847,0.7209086409,0.7350756984,0.0021774688,0.0271936998,0.0465338504,0.3541739308,0.0992243975,0.0089041096,0.0026594313,1.916666667,1,2.5,"Battambang","Ta Meun",2007,0,35,119.1238378,130.301376170068,6.048517407,67.37068809,"CP",24.39185104,0,"none",0
"28",28,20206,9943,2115,2536,2795,619,0,1681,0,67,0,0,0.62530457,0.626456798333333,0.0195673586666667,0.016630988,0.779400743333333,0.783593615333333,0,0.00730258566666667,0.0488267046666667,0.358878963666667,0.404540759,0,0.000700120333333333,3.333333333,2,0.5,"Battambang","Chrouy Sdau",2007,0,55,107.4021247,92.5773119272379,6.653005655,62.38313447,"CP",29.21327797,0,"none",0
