CommCode,easting,northing
70109,462386,1198645
210505,495583,1194140
70303,436161,1194535
210506,487683,1195024
90103,300729,1198415
210303,487538,1200206
70307,444093,1200625
210301,499070,1198659
211002,481834,1200109
70110,460392,1201003
70308,426408,1195831
70310,450819,1198744
211006,470813,1198611
200604,589516,1224881
210902,457799,1222513
80503,518838,1222694
200601,587080,1224819
200703,602143,1222342
200504,582342,1221735
210909,463326,1222711
210601,494106,1225019
200102,625817,1222790
210711,481189,1224004
210914,452893,1222765
200701,613618,1222813
210104,486512,1220529
140602,527979,1218821
90104,322489,1214108
140603,524201,1223180
210102,496795,1221539
200603,588455,1222829
210106,490287,1217383
140312,560620,1221053
90202,290838,1223299
90604,360573,1208135
90202,289776,1223153
140303,556132,1216877
80409,514096,1214439
210908,468136,1222219
200503,576321,1220754
200515,567732,1220381
200210,593770,1221963
140304,564169,1221925
210706,475709,1221761
140606,531417,1220812
200707,601122,1216729
200204,596099,1217062
70405,445368,1214154
200108,617020,1216001
200209,607155,1216932
200107,612229,1219081
80412,504878,1214103
210915,452289,1218028
80401,509886,1217059
200511,571419,1217344
90202,291680,1222185
90201,299231,1212794
200101,622737,1218161
200502,589760,1218454
140902,544650,1216209
210904,469729,1216376
140302,562320,1214649
140908,539852,1212689
140609,533719,1213482
210901,462882,1214289
210910,454195,1214499
200105,622353,1212877
200207,611488,1210896
70403,435170,1211879
210912,460253,1217525
210101,495015,1215222
210801,480355,1217340
210802,475105,1216444
80507,518468,1216598
200106,628871,1216078
70700,393961,1196072
140608,523696,1216050
120109,490843,1275337
80614,511981,1273143
120110,491338,1275200
120602,490459,1274096
80205,501087,1271969
120111,491788,1275302
80208,505163,1272374
141105,525217,1272166
120605,493508,1275230
120108,489999,1276077
120601,487541,1274801
120104,491466,1276171
141108,540466,1272358
80803,470950,1274305
80804,465055,1272795
80209,499182,1274055
141004,548689,1270290
120606,492398,1273198
120603,495557,1271574
50711,438626,1268554
80206,507411,1271028
80615,515867,1270805
120501,488551,1270962
141102,534644,1271520
80801,473194,1272156
140207,570367,1269669
80806,477674,1272338
120112,491687,1274337
80608,520415,1271314
120604,493630,1274217
50605,409008,1266206
80811,468533,1272202
90302,287426,1268196
200413,577387,1268914
120515,490288,1268358
80813,468390,1268335
120507,481193,1268163
80807,471438,1268327
120508,483475,1267970
200409,594716,1265960
120607,492536,1270967
50715,453016,1270250
50201,444192,1269539
120510,485249,1270325
141006,557823,1268384
80203,510756,1269367
120504,479036,1270258
50713,460617,1269227
80210,499674,1268266
81103,493440,1269205
80611,527683,1265704
141106,530359,1266648
140506,566810,1263539
81104,495638,1265933
80202,507148,1266777
50610,420393,1261149
50203,448853,1268572
80808,465343,1268008
80802,474839,1268175
141103,535610,1268689
200401,588137,1266432
80603,519142,1268514
80201,515365,1263831
50204,451536,1267776
120408,488867,1279418
120210,491136,1279691
140806,518248,1276548
50703,442735,1275616
80607,504958,1277090
80601,497334,1277886
120502,478358,1276919
90502,282330,1274861
80613,501779,1278673
120702,490668,1281007
80814,467463,1277316
80609,509791,1277842
80810,472135,1278387
141003,557954,1276422
120407,489364,1280131
141104,529137,1275696
120306,490730,1278596
120305,491379,1278589
120707,486865,1277360
50705,451585,1275687
120203,492073,1278227
120206,492393,1278422
141005,543457,1275813
120506,482793,1277343
120211,492097,1279186
141001,551228,1275535
120209,492323,1278825
120205,492797,1278627
120201,491881,1278719
120401,489844,1278658
120202,491635,1278530
120404,488914,1278489
120403,490006,1277880
120405,489020,1277977
120302,491041,1277919
120301,491357,1277928
200410,578104,1273550
80805,475352,1275383
120207,493040,1277455
120406,488792,1277327
120402,489939,1278253
90603,353285,1252755
120208,493051,1277979
120307,490750,1277775
80605,508391,1274979
120304,491495,1278117
120303,491235,1278114
120204,491951,1277782
120102,492234,1276530
120101,492896,1275861
120105,490962,1276849
50707,456252,1273957
120106,490661,1276335
120103,491525,1276816
120505,483127,1273481
80212,497215,1274520
120308,491404,1277481
80610,514159,1274674
120409,489985,1277312
120608,495181,1274799
120516,483611,1275988
50708,461971,1274604
120410,489195,1276807
120107,490240,1276853
140503,560054,1252647
50301,471247,1257293
200415,583004,1251637
80101,489986,1257947
50304,459146,1256140
90105,336006,1251631
50600,399299,1244121
50704,448167,1253247
200407,593539,1255364
200411,579064,1256031
140502,569110,1255251
140109,543542,1256275
50313,467665,1255850
80128,481262,1256751
50604,434004,1255568
200412,574731,1253360
80104,490085,1254534
50607,428801,1252466
140101,549837,1251259
81006,515154,1249590
50312,458383,1253346
50311,455200,1249062
140505,568014,1249880
80207,524564,1253066
80116,489332,1256672
81015,508068,1254435
80115,484073,1255428
81010,496276,1253868
80125,475250,1255418
50613,412479,1242589
81008,500810,1254175
50306,462828,1252806
200404,589337,1250493
81004,505310,1250636
200405,577131,1247800
81016,502049,1250354
90203,301513,1239531
80501,524242,1248109
81014,508866,1248131
90802,382709,1230579
210207,482081,1251666
210208,475221,1251047
210212,471235,1251027
210210,490229,1250701
140104,541618,1251567
50609,437718,1249142
140705,533971,1251147
50302,465982,1250041
140105,541608,1247390
50603,424032,1238572
140706,531535,1247399
210211,469674,1247046
210202,487842,1246923
50112,450694,1243562
200305,588734,1246347
140501,568524,1244075
90101,325594,1235962
50602,431662,1240445
210204,480870,1247922
50110,444932,1245610
140108,555198,1246017
140702,534124,1247568
140508,562302,1246774
81005,496404,1246112
141009,547352,1264205
50202,443729,1265684
200414,574600,1263546
81106,494523,1266078
50706,458989,1264321
90301,302812,1253158
200406,580156,1263010
120514,483274,1265750
81102,493049,1268053
120513,478328,1267210
80606,521747,1266538
141101,539425,1266278
140507,561196,1260758
80124,486853,1266775
50701,453567,1264557
81101,492608,1267161
81011,503484,1263164
120512,479409,1264889
80117,469455,1264681
80118,465299,1264507
50702,442127,1263094
80211,522143,1259523
80126,484826,1264233
80604,524806,1264082
80106,474613,1264337
80114,489629,1264915
81105,493332,1264439
81002,503194,1265800
50611,430189,1262285
50205,448641,1265142
81013,499746,1265065
80204,510546,1261684
50305,472694,1261094
80102,478730,1262165
50308,465406,1260859
90803,391931,1239524
80105,490199,1262276
50710,449160,1260285
140504,554468,1255647
81009,498526,1260557
140708,538275,1262290
50606,436822,1260195
80612,528694,1261979
80119,486541,1264144
50608,425772,1257824
80110,482925,1263951
80103,481064,1262498
90302,282951,1264494
50712,442202,1256851
80122,486386,1260065
200402,588705,1255897
81012,504832,1258463
80109,483338,1259696
80127,477083,1258885
80108,479915,1259361
140701,536361,1257189
200408,586999,1259798
141011,550125,1259429
90301,283007,1253321
80113,484152,1261786
50601,403247,1257112
50709,457568,1259262
80107,491892,1259872
140704,530981,1256023
180208,354292,1167604
210408,478651,1173790
210409,472480,1169875
180213,366840,1176219
70704,414545,1174708
180103,337451,1175373
70717,424250,1174671
70504,443637,1175413
210403,492019,1176881
210404,468416,1177019
70212,456911,1176873
70202,459427,1174055
180203,347883,1173196
210402,484613,1177473
70503,443401,1178066
70207,448977,1175371
70701,404626,1170135
180104,341448,1171925
70606,437044,1168641
70603,443536,1172475
70802,411590,1173549
70604,439919,1170667
180105,315057,1170473
70803,410498,1173586
70804,407595,1173262
70707,397352,1170473
210405,486165,1173090
180207,366214,1174121
180102,338911,1174816
180105,314503,1175363
70719,412368,1174119
180103,334177,1174921
70801,411389,1172001
180103,327634,1172829
180202,367970,1168117
70805,411186,1168194
230103,432260,1166149
210411,485066,1167025
70208,453742,1168332
70609,445876,1168606
180206,363172,1170873
70708,425102,1171140
210407,490353,1171189
70607,447512,1171453
70702,414670,1170542
70206,453431,1171658
70718,417805,1171176
70209,466012,1169231
70612,452622,1161658
180104,340763,1166977
180208,341161,1163672
70601,446999,1163956
70615,438912,1161176
230201,426608,1161053
180208,365821,1158775
230101,434048,1159097
210412,478270,1166011
230102,422228,1167413
70608,449670,1166356
70203,460511,1166084
70605,442678,1164514
230202,425257,1164661
180205,367880,1166127
180206,359058,1167557
70716,415877,1186106
211010,472704,1193338
70715,409947,1189491
211011,481669,1193628
90103,303400,1194611
210304,505952,1189450
70111,463914,1192507
70301,444097,1191962
70312,441148,1195648
211014,482846,1196346
211003,478272,1194500
90103,301610,1196990
70102,460610,1195850
70101,465734,1195982
70306,447309,1193987
70104,453429,1192039
210406,470539,1185380
210401,479169,1186079
70108,463195,1189196
70214,448665,1188647
70508,445456,1185047
70501,441336,1188363
70505,434199,1184764
180105,310591,1189538
70313,430859,1192161
70305,440327,1192081
70509,434516,1189908
70713,421444,1186445
