CODEKHUM,mean_elev,med_elev
20104,17.67825112,16
60601,49.08425488,44
150304,92.26907457,60
100101,17.1507274,17
21306,209.4102275,89
40102,9.022146366,9
40102,7.019908116,7
40102,8.021276596,8
40102,8,8
40102,5.280725022,5
40102,5.571696345,5
10401,11.13835873,11
70304,36.85769558,38
60501,22.36128512,19
30901,31.58919443,19
60107,22.4194536,19
40502,18.44981468,19
80901,12.24182543,11
31402,9.373150618,10
90602,14.25583187,10
90603,95.86327797,57
211003,4.598117093,5
170402,6.958675816,7
140503,4.998309995,5
40802,354.7849691,151
31604,22.08524359,15
31605,8.922587199,8
31606,19.38073213,19
31002,66.96614247,60
31003,92.11403092,77
130301,121.3189513,91
50602,86.74096186,81
31004,76.47347289,59
31608,45.58967044,44
170201,50.50413947,40
10402,20.8112713,19
40201,5.181670612,5
140401,16.60456538,17
30401,44.50900837,40
60108,9.101486074,8
220302,37.23628728,35
110101,104.0505228,95
50302,33.63688786,33
170601,12.90514877,13
130104,71.8297212,67
200701,4.143395646,4
120711,8.69673913,9
120712,8.301510574,8
60106,22.73454936,20
40401,11.15422243,6
171006,8.753265547,8
40503,7.933382235,8
140502,4.800604919,5
70401,72.29549302,47
200104,4.365497775,4
141003,7.605413181,7
140304,5,5
20204,10.16615627,9
20605,5.840168811,5
40604,18.24974992,15
141202,13.72238946,13
80902,10.21729388,10
200406,5.995999824,6
31303,22.10386705,22
60702,25.57215359,16
60109,16.0475753,16
100302,53.53380464,50
120710,9.969547111,10
171201,21.41700026,20
90301,137.0012569,123
90301,55.11796249,29
20206,6.653005655,6
90604,23.97782759,12
80402,4.032601042,4
200304,5.456403673,5
70702,8.873926907,4
30902,10.87861344,12
90703,280.5351996,264
90703,247.6894093,227
50503,60.64896895,60
70402,60.08208133,50
210704,9.681584402,10
70106,56.64219793,9
81103,7.659574468,8
80106,10.89882854,11
110301,740.6639626,759
171102,16.40659132,17
30402,35.25961904,36
70104,44.57324115,19
50603,111.2017336,90
80804,21.20835876,21
70603,14.41712641,15
70604,19.9713018,20
50513,29.5882133,30
70501,16.35131796,16
60301,8.478760353,9
100102,60.12284303,58
141004,6.139005534,5
60202,13.92086672,14
31103,16.35429711,15
70105,32.38703781,20
171103,6.260601915,6
60602,63.68882282,64
31503,60.42673619,51
90605,216.3363264,152
90402,38.8619403,2
70502,19.15801157,19
120501,5.372382671,5
31005,93.68882115,82
40402,31.36893343,7
100203,37.69805367,39
80203,4.919095417,5
170102,31.46404305,29
21305,34.30217129,29
170702,18.09910035,18
140202,7.753815985,8
200508,5.004494176,5
31202,14.80134854,15
70305,18.48376963,18
200407,9.234279782,10
210203,4.927680033,5
60401,16.84753252,17
210303,4.678298704,5
21303,20.26601972,20
30602,31.55088897,17
100103,16.69722628,16
50401,67.57884088,68
160903,92.41122648,93
160904,152.13064,118
160502,126.5821247,118
160201,242.7869124,244
230201,31.9809982,11
170704,6.610951849,6
50702,37.32995227,39
31203,14.13378514,15
50113,51.75654478,48
160301,266.5087893,274
120506,10.416784,11
20607,12.58185162,11
60704,14.01989231,9
160604,188.5246644,181
80502,5,5
80805,21.72441052,22
210403,5,5
210605,4.705742762,5
210404,17.83837185,8
180301,100,100
180301,19.24290349,10
31006,87.62381131,85
200305,4.265257975,4
70803,7,7
30502,13.42879257,12
100402,60.66112001,53
80303,6.758132605,6
60804,9.619741828,10
60805,9.83780729,10
40302,6.10024855,5
100104,51.28833523,50
40403,5.252737272,5
70801,6.35875,6
170403,11.06015399,11
171104,4.613360662,5
80403,4.494393987,4
100303,36.11945047,29
60203,7.297072725,7
60306,8.657528642,10
70703,6.088858406,5
210304,4.999240067,5
141103,5.520681265,5
80903,5.839180503,5
80904,4.713691887,5
40203,4.594330884,5
170904,6.105128817,6
80501,4.586524172,5
140801,6.587221823,6
150306,6.611197459,7
130701,57.32999056,57
140803,5.566277762,5
140602,4.865768612,5
20805,6.289158535,6
40105,5.929936039,6
40105,6.03030303,6
20806,7.131250245,7
30801,4.642348219,5
210606,4.494066047,4
60303,6.399224806,7
140804,4.890316901,5
81106,4.626790831,5
70704,6.200364964,6
90802,265.8118174,144
140905,5.273033208,5
130207,107.8885711,101
130208,96.57619239,91
80204,4.320822971,4
10602,19.04410827,17
60204,16.13140152,16
170602,12.91743715,12
60703,16.14113412,17
60302,5.518595041,5
140307,5.319885227,5
200408,6.309293462,6
70605,7.24235257,7
70606,36.80033911,19
40504,7.55107847,7
30903,10.25598165,10
190101,104.2013434,99
170906,9.163896431,9
70705,39.18136012,31
80107,4.980187586,5
90102,29.47490243,16
31204,20.6191241,19
50202,29.81339581,29
150203,8.299840792,9
