year,commGIS,MULTI,MUA,NP,PL,RMS,WS
2007,200101,NA,NA,NA,NA,NA,NA
2007,20401,NA,NA,NA,NA,NA,NA
2007,200102,NA,NA,NA,NA,NA,NA
2007,20103,NA,NA,NA,NA,NA,NA
2007,220202,NA,NA,NA,NA,NA,NA
2007,180203,NA,MUA,NA,NA,NA,NA
2007,60104,NA,NA,NA,NA,NA,NA
2007,150101,NA,MUA,NA,NA,NA,NA
2007,10901,NA,NA,NA,NA,NA,NA
2007,100401,NA,NA,NA,NA,NA,NA
2007,140903,NA,NA,NA,NA,NA,NA
2007,120407,NA,NA,NA,NA,NA,NA
2007,120408,NA,NA,NA,NA,NA,NA
2007,150303,NA,NA,NA,NA,NA,NA
2007,120104,NA,NA,NA,NA,NA,NA
2007,120102,NA,NA,NA,NA,NA,NA
2007,120103,NA,NA,NA,NA,NA,NA
2007,150102,NA,NA,NA,NA,NA,NA
2007,80104,NA,NA,NA,NA,NA,NA
2007,30501,NA,NA,NA,NA,NA,NA
2007,80603,NA,NA,NA,NA,NA,NA
2007,60701,NA,NA,NA,NA,NA,NA
2007,60701,NA,NA,NA,NA,NA,NA
2007,171301,NA,NA,NA,NA,NA,NA
2007,31302,NA,NA,NA,NA,NA,NA
2007,70303,NA,NA,NA,NA,NA,NA
2007,140101,NA,NA,NA,NA,NA,NA
2007,90601,NA,MUA,NA,NA,NA,NA
2007,20207,NA,NA,NA,NA,NA,NA
2007,120308,NA,NA,NA,NA,NA,NA
2007,31602,NA,NA,NA,NA,NA,NA
2007,120204,NA,NA,NA,NA,NA,NA
2007,70601,NA,NA,NA,NA,NA,NA
2007,70602,NA,NA,NA,NA,NA,NA
2007,120410,NA,NA,NA,NA,NA,NA
2007,180202,NA,NA,NP,NA,NA,NA
2007,80802,NA,NA,NA,NA,NA,NA
2007,120111,NA,NA,NA,NA,NA,NA
2007,210701,NA,NA,NA,NA,NA,NA
2007,210702,NA,NA,NA,NA,NA,NA
2007,70701,NA,NA,NP,NA,NA,NA
2007,120602,NA,NA,NA,NA,NA,NA
2007,30201,NA,NA,NA,NA,NA,NA
2007,100201,NA,NA,NA,NA,NA,NA
2007,200301,NA,NA,NA,NA,NA,NA
2007,220402,NA,NA,NA,NA,NA,NA
2007,10601,NA,NA,NA,NA,NA,NA
2007,210301,NA,NA,NA,NA,NA,NA
2007,110402,NA,NA,NA,NA,NA,WS
2007,110404,NA,NA,NA,NA,NA,WS
2007,160601,NA,NA,NA,NA,NA,NA
2007,20105,NA,NA,NA,NA,NA,NA
2007,60105,NA,NA,NA,NA,NA,NA
2007,31102,NA,NA,NA,NA,NA,NA
2007,200303,NA,NA,NA,NA,NA,NA
2007,40103,NA,NA,NA,NA,NA,NA
2007,120607,NA,NA,NA,NA,NA,NA
2007,120606,NA,NA,NA,NA,NA,NA
2007,120207,NA,NA,NA,NA,NA,NA
2007,140302,NA,NA,NA,NA,NA,NA
2007,50601,NA,NA,NP,NA,NA,NA
2007,210201,NA,NA,NA,NA,NA,NA
2007,200503,NA,NA,NA,NA,NA,NA
2007,100301,NA,NA,NA,NA,NA,NA
2007,30202,NA,NA,NA,NA,NA,NA
2007,190502,NA,NA,NA,NA,NA,NA
2007,90801,NA,NA,NA,NA,NA,NA
2007,20304,NA,NA,NA,NA,NA,NA
2007,200504,NA,NA,NA,NA,NA,NA
2007,10203,NA,NA,NA,NA,NA,NA
2007,60802,NA,MUA,NA,NA,NA,NA
2007,60803,NA,NA,NA,NA,NA,NA
2007,210603,NA,NA,NA,NA,NA,NA
2007,210202,NA,NA,NA,NA,NA,NA
2007,70103,NA,NA,NA,NA,NA,NA
2007,130601,NA,NA,NA,NA,NA,NA
2007,150501,NA,NA,NA,NA,NA,NA
2007,160602,NA,NA,NA,NA,NA,NA
2007,31001,NA,NA,NA,NA,NA,NA
2007,171101,NA,NA,NA,NA,NA,NA
2007,10501,NA,NA,NA,NA,NA,NA
2007,100202,NA,NA,NA,NA,NA,NA
2007,50501,NA,NA,NA,NA,NA,NA
2007,200103,NA,NA,NA,NA,NA,NA
2007,200405,NA,NA,NA,NA,NA,NA
2007,120505,NA,NA,NA,NA,NA,NA
2007,40803,NA,NA,NA,NA,NA,NA
2007,210604,NA,NA,NA,NA,NA,NA
2007,170101,NA,NA,NA,NA,NA,NA
2007,30102,NA,NA,NA,NA,NA,NA
2007,120604,NA,NA,NA,NA,NA,NA
2007,120605,NA,NA,NA,NA,NA,NA
2007,50201,NA,NA,NA,NA,NA,NA
2007,141002,NA,NA,NA,NA,NA,NA
2007,140201,NA,NA,NA,NA,NA,NA
2007,30103,NA,NA,NA,NA,NA,NA
2007,140303,NA,NA,NA,NA,NA,NA
2007,210902,NA,NA,NA,NA,NA,NA
2007,200506,NA,NA,NA,NA,NA,NA
2007,120515,NA,NA,NA,NA,NA,NA
2007,80105,NA,NA,NA,NA,NA,NA
2007,180204,NA,NA,NA,NA,NA,NA
2007,40603,NA,NA,NA,NA,NA,NA
2007,210703,NA,NA,NA,NA,NA,NA
2007,140102,NA,NA,NA,NA,NA,NA
2007,30104,NA,NA,NA,NA,NA,NA
2007,50502,NA,NA,NA,NA,NA,NA
2007,220301,NA,NA,NA,NA,NA,NA
2007,141102,NA,NA,NA,NA,NA,NA
2007,60201,NA,NA,NA,NA,NA,NA
2007,210302,NA,NA,NA,PL,NA,NA
2007,120208,NA,NA,NA,NA,NA,NA
2007,140904,NA,NA,NA,NA,NA,NA
2007,160501,NA,NA,NA,NA,NA,WS
2007,80302,NA,NA,NA,NA,NA,NA
2007,30203,NA,NA,NA,NA,NA,NA
2007,80803,NA,NA,NA,NA,NA,NA
2007,40701,NA,NA,NA,NA,NA,NA
2007,130703,NA,NA,NA,NA,NA,WS
2007,130201,NA,NA,NA,NA,NA,NA
2007,130202,NA,NA,NA,NA,NA,WS
2007,140103,NA,NA,NA,NA,NA,NA
2007,80401,NA,NA,NA,NA,NA,NA
2007,80202,NA,NA,NA,NA,NA,NA
2007,200507,NA,NA,NA,NA,NA,NA
2007,20104,NA,NA,NA,NA,NA,NA
2007,60601,NA,NA,NA,NA,NA,NA
2007,150304,NA,NA,NA,NA,NA,WS
2007,100101,NA,NA,NA,NA,NA,NA
2007,21306,NA,NA,NA,NA,NA,WS
2007,40102,NA,MUA,NA,NA,NA,NA
2007,40102,NA,MUA,NA,NA,NA,NA
2007,40102,NA,MUA,NA,NA,NA,NA
2007,40102,NA,MUA,NA,NA,NA,NA
2007,40102,NA,MUA,NA,NA,NA,NA
2007,40102,NA,MUA,NA,NA,NA,NA
2007,10401,NA,NA,NA,NA,NA,NA
2007,70304,NA,NA,NA,NA,NA,NA
2007,60501,NA,NA,NA,NA,NA,NA
2007,30901,NA,NA,NA,NA,NA,NA
2007,60107,NA,NA,NA,NA,NA,NA
2007,40502,NA,NA,NA,NA,NA,NA
2007,80901,NA,NA,NA,NA,NA,NA
2007,31402,NA,NA,NA,NA,NA,NA
2007,90602,NA,MUA,NA,NA,NA,NA
2007,90603,NA,MUA,NA,NA,NA,NA
2007,211003,NA,NA,NA,NA,NA,NA
2007,170402,NA,MUA,NA,NA,NA,NA
2007,140503,NA,NA,NA,NA,NA,NA
2007,40802,NA,NA,NA,NA,NA,WS
2007,31604,NA,NA,NA,NA,NA,NA
2007,31605,NA,NA,NA,NA,NA,NA
2007,31606,NA,NA,NA,NA,NA,NA
2007,31002,NA,NA,NA,NA,NA,NA
2007,31003,NA,NA,NA,NA,NA,NA
2007,130301,NA,NA,NA,NA,NA,WS
2007,50602,NA,NA,NA,NA,NA,NA
2007,31004,NA,NA,NA,NA,NA,NA
2007,31608,NA,NA,NA,NA,NA,NA
2007,170201,NA,NA,NA,NA,NA,NA
2007,10402,NA,NA,NA,NA,NA,NA
2007,40201,NA,NA,NA,NA,NA,NA
2007,140401,NA,NA,NA,NA,NA,NA
2007,30401,NA,NA,NA,NA,NA,NA
2007,60108,NA,NA,NA,NA,NA,NA
2007,220302,NA,NA,NA,NA,NA,NA
2007,110101,NA,NA,NA,NA,NA,WS
2007,50302,NA,NA,NA,NA,NA,NA
2007,170601,NA,NA,NA,NA,NA,NA
2007,130104,NA,NA,NA,NA,NA,NA
2007,200701,NA,NA,NA,NA,NA,NA
2007,120711,NA,NA,NA,NA,NA,NA
2007,120712,NA,NA,NA,NA,NA,NA
2007,60106,NA,NA,NA,NA,NA,NA
2007,40401,NA,MUA,NA,NA,NA,NA
2007,171006,NA,MUA,NA,NA,NA,NA
2007,40503,NA,NA,NA,NA,NA,NA
2007,140502,NA,NA,NA,NA,NA,NA
2007,70401,NA,NA,NA,NA,NA,NA
2007,200104,NA,NA,NA,NA,NA,NA
2007,141003,NA,NA,NA,NA,NA,NA
2007,140304,NA,NA,NA,NA,NA,NA
2007,20204,NA,NA,NA,NA,NA,NA
2007,20605,NA,MUA,NA,NA,NA,NA
2007,40604,NA,NA,NA,NA,NA,NA
2007,141202,NA,NA,NA,NA,NA,NA
2007,80902,NA,NA,NA,NA,NA,NA
2007,200406,NA,NA,NA,NA,NA,NA
2007,31303,NA,NA,NA,NA,NA,NA
2007,60702,NA,NA,NA,NA,NA,NA
2007,60109,NA,NA,NA,NA,NA,NA
2007,100302,NA,NA,NA,NA,NA,NA
2007,120710,NA,NA,NA,NA,NA,NA
2007,171201,NA,NA,NA,NA,NA,NA
2007,90301,MULTI,NA,NA,NA,NA,NA
2007,90301,MULTI,NA,NA,NA,NA,NA
2007,20206,NA,NA,NA,NA,NA,NA
2007,90604,NA,MUA,NA,NA,NA,NA
2007,80402,NA,NA,NA,NA,NA,NA
2007,200304,NA,NA,NA,NA,NA,NA
2007,70702,NA,NA,NA,NA,NA,NA
2007,30902,NA,NA,NA,NA,NA,NA
2007,90703,MULTI,NA,NA,NA,NA,NA
2007,90703,MULTI,NA,NA,NA,NA,NA
2007,50503,NA,NA,NA,NA,NA,NA
2007,70402,NA,NA,NA,NA,NA,NA
2007,210704,NA,NA,NA,NA,NA,NA
2007,70106,NA,NA,NA,NA,NA,NA
2007,81103,NA,NA,NA,NA,NA,NA
2007,80106,NA,NA,NA,NA,NA,NA
2007,110301,NA,NA,NA,NA,NA,WS
2007,171102,NA,NA,NA,NA,NA,NA
2007,30402,NA,NA,NA,NA,NA,NA
2007,70104,NA,NA,NA,NA,NA,NA
2007,50603,NA,NA,NA,NA,NA,NA
2007,80804,NA,NA,NA,NA,NA,NA
2007,70603,NA,NA,NA,NA,NA,NA
2007,70604,NA,NA,NA,NA,NA,NA
2007,50513,NA,NA,NA,NA,NA,NA
2007,70501,NA,NA,NA,NA,NA,NA
2007,60301,NA,NA,NA,NA,NA,NA
2007,100102,NA,NA,NA,NA,NA,NA
2007,141004,NA,NA,NA,NA,NA,NA
2007,60202,NA,NA,NA,NA,NA,NA
2007,31103,NA,NA,NA,NA,NA,NA
2007,70105,NA,NA,NA,NA,NA,NA
2007,171103,NA,MUA,NA,NA,NA,NA
2007,60602,NA,NA,NA,NA,NA,WS
2007,31503,NA,NA,NA,NA,NA,NA
2007,90605,NA,MUA,NA,NA,NA,NA
2007,90402,NA,NA,NA,NA,NA,NA
2007,70502,NA,NA,NA,NA,NA,NA
2007,120501,NA,NA,NA,NA,NA,NA
2007,31005,NA,NA,NA,NA,NA,NA
2007,40402,NA,NA,NA,NA,NA,NA
2007,100203,NA,NA,NA,NA,NA,NA
2007,80203,NA,NA,NA,NA,NA,NA
2007,170102,NA,NA,NA,NA,NA,NA
2007,21305,NA,NA,NA,NA,NA,NA
2007,170702,NA,NA,NA,PL,NA,NA
2007,140202,NA,NA,NA,NA,NA,NA
2007,200508,NA,NA,NA,NA,NA,NA
2007,31202,NA,NA,NA,NA,NA,NA
2007,70305,NA,NA,NA,NA,NA,NA
2007,200407,NA,NA,NA,NA,NA,NA
2007,210203,NA,NA,NA,NA,NA,NA
2007,60401,NA,NA,NA,NA,NA,NA
2007,210303,NA,NA,NA,NA,NA,NA
2007,21303,NA,NA,NA,NA,NA,NA
2007,30602,NA,NA,NA,NA,NA,NA
2007,100103,NA,NA,NA,NA,NA,NA
2007,50401,NA,NA,NA,NA,NA,NA
2007,160903,NA,NA,NA,NA,NA,NA
2007,160904,NA,NA,NA,NA,NA,NA
2007,160502,NA,NA,NA,NA,NA,WS
2007,160201,NA,NA,NA,NA,NA,NA
2007,230201,NA,NA,NP,NA,NA,NA
2007,170704,NA,MUA,NA,NA,NA,NA
2007,50702,NA,NA,NA,NA,NA,NA
2007,31203,NA,NA,NA,NA,NA,NA
2007,50113,NA,NA,NA,NA,NA,NA
2007,160301,NA,NA,NA,NA,NA,NA
2007,120506,NA,NA,NA,NA,NA,NA
2007,20607,NA,NA,NA,NA,NA,NA
2007,60704,NA,NA,NA,NA,NA,NA
2007,160604,NA,NA,NA,NA,NA,NA
2007,80502,NA,NA,NA,NA,NA,NA
2007,80805,NA,NA,NA,NA,NA,NA
2007,210403,NA,NA,NA,NA,NA,NA
2007,210605,NA,NA,NA,NA,NA,NA
2007,210404,NA,NA,NA,NA,NA,NA
2007,180301,NA,NA,NA,NA,NA,NA
2007,180301,NA,NA,NA,NA,NA,NA
2007,31006,NA,NA,NA,NA,NA,NA
2007,200305,NA,NA,NA,NA,NA,NA
2007,70803,NA,NA,NA,NA,NA,NA
2007,30502,NA,NA,NA,NA,NA,NA
2007,100402,NA,NA,NA,NA,NA,NA
2007,80303,NA,NA,NA,NA,NA,NA
2007,60804,NA,NA,NA,NA,NA,NA
2007,60805,NA,NA,NA,NA,NA,NA
2007,40302,NA,NA,NA,NA,NA,NA
2007,100104,NA,NA,NA,NA,NA,NA
2007,40403,NA,NA,NA,NA,NA,NA
2007,70801,NA,NA,NA,NA,NA,NA
2007,170403,NA,NA,NA,NA,NA,NA
2007,171104,NA,MUA,NA,NA,NA,NA
2007,80403,NA,NA,NA,NA,NA,NA
2007,100303,NA,NA,NA,NA,NA,NA
2007,60203,NA,NA,NA,NA,NA,NA
2007,60306,NA,NA,NA,NA,NA,NA
2007,70703,NA,NA,NA,NA,NA,NA
2007,210304,NA,NA,NA,PL,NA,NA
2007,141103,NA,NA,NA,NA,NA,NA
2007,80903,NA,NA,NA,NA,NA,NA
2007,80904,NA,NA,NA,NA,NA,NA
2007,40203,NA,NA,NA,NA,NA,NA
2007,170904,NA,MUA,NA,NA,NA,NA
2007,80501,NA,NA,NA,NA,NA,NA
2007,140801,NA,NA,NA,NA,NA,NA
2007,150306,NA,MUA,NA,NA,NA,NA
2007,130701,NA,NA,NA,NA,NA,WS
2007,140803,NA,NA,NA,NA,NA,NA
2007,140602,NA,NA,NA,NA,NA,NA
2007,20805,NA,MUA,NA,NA,NA,NA
2007,40105,NA,NA,NA,NA,NA,NA
2007,40105,NA,NA,NA,NA,NA,NA
2007,20806,NA,MUA,NA,NA,NA,NA
2007,30801,NA,NA,NA,NA,NA,NA
2007,210606,NA,NA,NA,NA,NA,NA
2007,60303,NA,NA,NA,NA,NA,NA
2007,140804,NA,NA,NA,NA,NA,NA
2007,81106,NA,NA,NA,NA,NA,NA
2007,70704,NA,NA,NA,NA,NA,NA
2007,90802,NA,NA,NP,NA,NA,NA
2007,140905,NA,NA,NA,NA,NA,NA
2007,130207,NA,NA,NA,NA,NA,WS
2007,130208,NA,NA,NA,NA,NA,NA
2007,80204,NA,NA,NA,NA,NA,NA
2007,10602,NA,NA,NA,NA,NA,NA
2007,60204,NA,NA,NA,NA,NA,NA
2007,170602,NA,NA,NA,NA,NA,NA
2007,60703,NA,NA,NA,NA,NA,NA
2007,60302,NA,NA,NA,NA,NA,NA
2007,140307,NA,NA,NA,NA,NA,NA
2007,200408,NA,NA,NA,NA,NA,NA
2007,70605,NA,NA,NA,NA,NA,NA
2007,70606,NA,NA,NA,NA,NA,NA
2007,40504,NA,NA,NA,NA,NA,NA
2007,30903,NA,NA,NA,NA,NA,NA
2007,190101,NA,NA,NA,NA,NA,NA
2007,170906,NA,MUA,NA,NA,NA,NA
2007,70705,NA,NA,NA,NA,NA,NA
2007,80107,NA,NA,NA,NA,NA,NA
2007,90102,NA,MUA,NA,NA,NA,NA
2007,31204,NA,NA,NA,NA,NA,NA
2007,50202,NA,NA,NA,NA,NA,NA
2007,150203,NA,MUA,NA,NA,NA,NA
2007,200703,NA,NA,NA,NA,NA,NA
2007,210204,NA,NA,NA,NA,NA,NA
2007,190503,NA,NA,NA,NA,NA,NA
2007,30702,NA,NA,NA,NA,NA,NA
2007,140802,NA,NA,NA,NA,NA,NA
2007,100105,NA,NA,NA,NA,NA,NA
2007,150204,NA,MUA,NA,NA,NA,NA
2007,140402,NA,NA,NA,NA,NA,NA
2007,140305,NA,NA,NA,NA,NA,NA
2007,80806,NA,NA,NA,NA,NA,NA
2007,70607,NA,NA,NA,NA,NA,NA
2007,70608,NA,NA,NA,NA,NA,NA
2007,70609,NA,NA,NA,NA,NA,NA
2007,170905,NA,NA,NA,NA,NA,NA
2007,20101,NA,NA,NA,NA,NA,NA
2007,20102,NA,NA,NA,NA,NA,NA
2007,171302,MULTI,NA,NA,NA,NA,NA
2007,130306,MULTI,NA,NA,NA,NA,NA
2007,100204,NA,NA,NA,NA,NA,NA
2007,40202,NA,NA,NA,NA,NA,NA
2007,31404,NA,NA,NA,NA,NA,NA
2007,81002,NA,NA,NA,NA,NA,NA
2007,140603,NA,NA,NA,NA,NA,NA
2007,80905,NA,NA,NA,NA,NA,NA
2007,20507,NA,MUA,NA,NA,NA,NA
2007,80304,NA,NA,NA,NA,NA,NA
2007,100206,NA,NA,NA,NA,NA,NA
2007,150502,NA,NA,NA,NA,NA,NA
2007,80702,NA,NA,NA,NA,NA,NA
2007,80604,NA,NA,NA,NA,NA,NA
2007,90302,NA,NA,NA,NA,NA,WS
2007,90302,NA,NA,NA,NA,NA,WS
2007,81003,NA,NA,NA,NA,NA,NA
2007,100404,NA,NA,NA,NA,NA,NA
2007,81004,NA,NA,NA,NA,NA,NA
2007,30605,NA,NA,NA,NA,NA,NA
2007,80305,NA,NA,NA,NA,NA,NA
2007,160905,NA,NA,NP,NA,NA,NA
2007,160906,NA,NA,NA,NA,NA,NA
2007,30904,NA,NA,NA,NA,NA,NA
2007,10603,NA,NA,NA,NA,NA,NA
2007,190201,NA,NA,NA,NA,NA,NA
2007,80605,NA,NA,NA,NA,NA,NA
2007,30606,NA,NA,NA,NA,NA,NA
2007,140604,NA,NA,NA,NA,NA,NA
2007,180105,NA,NA,NA,NA,NA,NA
2007,180105,NA,NA,NA,NA,NA,NA
2007,180105,NA,NA,NA,NA,NA,NA
2007,180105,NA,NA,NA,NA,NA,NA
2007,180105,NA,NA,NA,NA,NA,NA
2007,190202,NA,NA,NA,NA,NA,NA
2007,140605,NA,NA,NA,NA,NA,NA
2007,30607,NA,NA,NA,NA,NA,NA
2007,90201,NA,NA,NP,NA,NA,NA
2007,90201,NA,NA,NP,NA,NA,NA
2007,90201,NA,NA,NP,NA,NA,NA
2007,90201,NA,NA,NP,NA,NA,NA
2007,90201,NA,NA,NP,NA,NA,NA
2007,90201,NA,NA,NP,NA,NA,NA
2007,90201,NA,NA,NP,NA,NA,NA
2007,90201,NA,NA,NP,NA,NA,NA
2007,90201,NA,NA,NP,NA,NA,NA
2007,190504,NA,NA,NA,NA,RMS,NA
2007,30802,NA,NA,NA,NA,NA,NA
2007,190203,NA,NA,NA,NA,NA,NA
2007,100304,NA,NA,NA,NA,NA,NA
2007,80404,NA,NA,NA,NA,NA,NA
2007,80405,NA,NA,NA,NA,NA,NA
2007,30608,NA,NA,NA,NA,NA,NA
2007,70707,NA,NA,NP,NA,NA,NA
2007,100207,NA,NA,NA,NA,NA,NA
2007,31205,NA,NA,NA,NA,NA,NA
2007,50102,NA,NA,NA,NA,NA,NA
2007,100403,NA,NA,NA,NA,NA,NA
2007,80205,NA,NA,NA,NA,NA,NA
2007,190102,NA,NA,NA,NA,NA,NA
2007,150307,NA,MUA,NA,NA,NA,NA
2007,40804,NA,NA,NA,NA,NA,WS
2007,210607,NA,NA,NA,NA,NA,NA
2007,60305,NA,NA,NA,NA,NA,NA
2007,170703,NA,NA,NA,NA,NA,NA
2007,140403,NA,NA,NA,NA,NA,NA
2007,20306,NA,NA,NA,NA,NA,NA
2007,20406,NA,NA,NA,NA,NA,WS
2007,160302,NA,NA,NA,NA,NA,NA
2007,20602,NA,NA,NA,NA,NA,NA
2007,171106,NA,MUA,NA,NA,NA,NA
2007,30703,NA,NA,NA,NA,NA,NA
2007,70503,NA,NA,NA,NA,NA,NA
2007,70504,NA,NA,NA,NA,NA,NA
2007,40805,NA,NA,NA,NA,NA,NA
2007,120701,NA,NA,NA,NA,NA,NA
2007,20402,NA,NA,NA,NA,NA,NA
2007,171303,NA,NA,NP,NA,NA,NA
2007,30301,NA,NA,NA,NA,NA,NA
2007,40702,NA,NA,NA,NA,NA,NA
2007,171107,NA,NA,NP,NA,NA,NA
2007,31403,NA,NA,NA,NA,NA,NA
2007,170301,NA,NA,NA,NA,NA,NA
2007,150103,NA,NA,NA,NA,NA,NA
2007,170705,NA,NA,NA,PL,NA,NA
2007,40104,NA,NA,NA,NA,NA,NA
2007,40104,NA,NA,NA,NA,NA,NA
2007,81001,NA,NA,NA,NA,NA,NA
2007,80503,NA,NA,NA,NA,NA,NA
2007,31504,NA,NA,NA,NA,NA,NA
