"","year","Province","Commune","commGIS","areaKM","ForPix","diffPix","tot_pop","prop_ind","pop_den","M6_24_sch","propPrimSec","propSecSec","Les1_R_Land","pig_fam","dist_sch","garbage","KM_Comm","land_confl","crim_case","Pax_migt_in","Pax_migt_out","mean_elev","dist_border","dist_provCap","elc","PA","PA_cat"
"20",2007,"Banteay Meanchey","Chhnuor Mean Chey",10401,49.39555709,0,0,5919,0,119.828590843007,0.739199968666667,0.99323593075,0,0.277710877416667,0.836051962416667,3.55,0,1.5,1,0.00124238008333333,44,142,11.13835873,43.22648073,14.79963357,0,0,"none"
"21",2007,"Banteay Meanchey","Chob Veari",10402,83.9111205,2,0,12768,0,152.160999923723,0.651935914090909,0.975520976363636,0.00109931481818182,0.285352858636364,0.650870389090909,1.766666667,0,2.5,1,0.000245857818181818,63,81,20.8112713,48.03700204,23.3876966,0,0,"none"
"22",2007,"Banteay Meanchey","Phnum Lieb",10403,247.522101,76,0,15132,0,61.1339348642649,0.6528910365,0.9880808179375,0.000246063,0.205131180875,0.84192811775,5.4166666665,0,6,14,0.0002031471875,86,257,8.953399117,67.39816957,36.73273659,0,0,"none"
"23",2007,"Banteay Meanchey","Prasat",10404,194.7735354,81,0,6955,0,35.7081365582688,0.755470640928571,1,0,0.317388185642857,0.781591000714286,3.666666667,0,1.75,5,0.000698233428571429,52,8,6.195325135,77.03935827,44.19445763,0,1,"MUA"
"24",2007,"Banteay Meanchey","Preah Netr Preah",10405,117.9517787,23,0,13569,0,115.038536506614,0.708998729692308,0.993153673615385,0,0.301994191923077,0.726733326692308,2.666666667,0,2.5,1,7.41784615384615e-05,84,64,10.51681225,53.08674895,22.23265923,0,0,"none"
"25",2007,"Banteay Meanchey","Rohal",10406,151.493588,42,0,8473,0,55.9297598786821,0.780491826090909,0.949068156818182,0,0.209232175,0.760125061545455,2.666666667,0,2,10,0.000616377818181818,282,169,12.97824724,58.34303225,29.48939468,0,0,"none"
"26",2007,"Banteay Meanchey","Tean Kam",10407,59.57450168,0,0,3724,0,62.5099647497379,0.681929171333333,0.928698752166667,0,0.289887098,0.842806500166667,5,0,2,1,0,10,35,16.70619335,47.70795232,30.31063284,0,0,"none"
"27",2007,"Banteay Meanchey","Tuek Chour",10408,76.12422135,0,0,13084,0,171.876963310312,0.619282515111111,0.936642288777778,0,0.2934611695,0.821007799666667,2.6666666665,0,4.75,9,0.000411569888888889,159,29,11.00128112,66.28579086,43.89494768,0,0,"none"
"28",2007,"Banteay Meanchey","Changha",10501,66.28616502,0,0,5899,0,88.9929293423468,0.661236105666667,0.991913015,0,0.1280857235,0.260809765333333,6.0666666665,0,0.5,2,0.00210055216666667,36,35,15.32633566,22.33107686,10.25844584,0,0,"none"
"29",2007,"Banteay Meanchey","Koub",10502,77.49276895,0,0,8186,0,105.635662667852,0.761866347909091,0.984768893545454,0.000375657363636364,0.260331208,0.210927771181818,2,0,2.5,8,0.00215923818181818,37,121,20.64564187,17.92782014,19.31892964,0,0,"none"
"30",2007,"Banteay Meanchey","Kuttasat",10503,46.44224931,0,0,5971,0,128.568277564332,0.7835628085,1,0,0.120165681,0.5196601885,3.216666667,0,1.1,6,0.00164217375,16,17,18.79051107,15.34908015,22.76746413,0,0,"none"
"31",2007,"Banteay Meanchey","Ou Bei Choan",10504,169.2596645,0,0,13668,0,80.7516666204901,0.496144065181818,0.906768113909091,0.00652457590909091,0.414237366454545,0.0924283360909091,9.333333333,0,5,46,0.00394169554545455,102,29,29.10426855,7.811357801,30.10792701,0,0,"none"
"32",2007,"Banteay Meanchey","Samraong",10505,96.83323163,0,0,7323,0,75.6248642819358,0.5693122751,0.9986131037,0,0.2802524486,0.3573328102,3.75,0,1,16,0.001573306,13,59,16.6340286,24.14864286,16.04749657,0,0,"none"
"33",2007,"Banteay Meanchey","Souphi",10506,78.5975751,0,0,4134,0,52.5970425263158,0.580534954,0.9542857142,0,0.2434579308,0.0763652976,4.166666667,0,1,5,0.000658617,0,43,17.9182518,16.87996612,16.80514739,0,0,"none"
"34",2007,"Banteay Meanchey","Soengh",10507,89.97435287,0,0,6356,0,70.6423530401325,0.584416624666667,0.989511391333333,0,0.134699909333333,0.163009114777778,7.666666667,0.00222222222222222,0.5,8,0.00132681433333333,17,40,17.49143603,13.22112029,19.81133175,0,0,"none"
"35",2007,"Banteay Meanchey","Tuek Thla",10601,112.5596313,0,0,12713,0,112.944577493477,0.589293848333333,0.7606504525,0.000631313166666667,0.144773606833333,0.112870565166667,1.8333333335,0,1.5,66,0.00303793,67,153,15.92653523,38.56043162,16.11621227,0,0,"none"
"36",2007,"Banteay Meanchey","Kampong Svay",10602,43.1108767,0,0,21944,0,509.013076971362,0.6865496654,0.3404919096,0.0039852504,0.1161227368,0.140789375,1.333333333,0.1478176896,2,12,0.0023033584,146,171,19.04410827,30.65252229,3.747493713,0,0,"none"
"37",2007,"Banteay Meanchey","Kaoh Pong Satv",10603,15.51324164,0,0,4297,0,276.989174778302,0.596813724,0.9246081318,0,0.301934251,0.4114514748,3.4,0,2,2,0.0013727382,4,50,9.952695093,39.300114,7.342991463,0,0,"none"
"38",2007,"Banteay Meanchey","Mkak",10604,71.8534629,0,0,7037,0,97.9354329768844,0.521487238428571,0.996734693857143,0.001632653,0.127572329285714,0.582755775571429,4,0,2,11,0.00301943314285714,5,0,16.27532152,27.5639012,9.521002119,0,0,"none"
"39",2007,"Banteay Meanchey","Ou Ambel",10605,33.0198514,0,0,17242,0,522.170732724739,0.5412192406,0.4435508702,0.0014418202,0.332723594,0.057667522,1,0.065196259,1,9,0.0007038108,60,53,20.91649633,32.61040639,5.567112597,0,0,"none"
"40",2007,"Banteay Meanchey","Phniet",10606,41.06900201,0,0,4596,0,111.909220459774,0.50600406,0.793725666714286,0,0.326671594714286,0.290615271142857,4.333333333,0,1,6,0.000992098714285714,21,18,10.73892916,38.80941706,8.72961842,0,0,"none"
