"","year","Province","Commune","commGIS","areaKM","ForPix","diffPix","tot_pop","prop_ind","pop_den","M6_24_sch","propPrimSec","propSecSec","Les1_R_Land","pig_fam","dist_sch","garbage","KM_Comm","land_confl","crim_case","Pax_migt_in","Pax_migt_out","mean_elev","dist_border","dist_provCap","elc","PA","PA_cat","Provcomm","year.orig"
"1",-1.42990159207815,"Banteay Meanchey","Banteay Neang",10201,52.5643799,0,0,2.12975910076347,-0.245360960126312,-0.102659535296807,-0.22379973113586,0.206690823045198,-0.0684563797095216,-0.0056396993873189,-0.0405785503336281,-0.357278689445155,-0.218475708145601,0.117197608855458,0.198504838567733,-0.213772417310376,-0.183792405131726,-0.223128598067285,-0.437087179857548,-0.289666260151832,-0.721187281329211,"0","0","none","Banteay Meanchey_Banteay Neang",2007
"2",-1.42990159207815,"Banteay Meanchey","Bat Trang",10202,40.69176628,0,0,-0.242095701423774,-0.245360960126312,-0.135902543623,-0.0659366978551774,0.46653952594036,-0.0557334733154575,-0.543986726775603,-0.498406390666681,-0.422026460940627,-0.223188302023397,-0.412017327958074,-0.657559614400373,-0.16884013959004,-0.419433843849326,-0.138038056459483,-0.372148515747548,-0.544412897754286,-1.24998580674489,"0","0","none","Banteay Meanchey_Bat Trang",2007
"3",-1.42990159207815,"Banteay Meanchey","Chamnaom",10203,114.8297874,0,0,1.51602869150458,-0.245360960126312,-0.141497904574179,-0.0827793030483845,0.700653900894583,-0.232953503857817,-0.17557824341449,-0.48655143890859,-0.16303537495874,-0.223188302023397,0.223040596218165,-0.200991906150716,-0.11737170056621,-0.266079891668031,-0.190037831886473,-0.355995893762122,-0.613383851997437,-0.63062712792348,"0","0","none","Banteay Meanchey_Chamnaom",2007
"4",-1.42990159207815,"Banteay Meanchey","Kouk Ballangk",10204,55.86646113,0,0,-0.0867162201672921,-0.245360960126312,-0.141496397260086,0.0410094887891483,0.710873247030406,-0.26383045081026,-1.13307361268601,-0.170442448550991,0.236242549220171,-0.223188302023397,-0.288533842701583,-0.828772504993994,-0.675171784385454,-0.505461670682736,-0.407491438217522,-0.478918770705939,-0.0931454672599038,-0.254546841963062,"0","0","none","Banteay Meanchey_Kouk Ballangk",2007
"5",-1.42990159207815,"Banteay Meanchey","Koy Maeng",10205,20.33799471,0,0,-0.423989819696576,-0.245360960126312,-0.114138431903244,-0.563401521752773,0.488952186489392,0.190627265971144,0.0711412052059045,0.00951663150742544,-0.337854357996514,-0.223188302023397,-0.588422306895918,-0.372204796744337,-0.426812522160578,-0.236157169291193,0.0605065406253872,-0.447781152651274,-0.307920024936343,-0.742995619031433,"0","0","none","Banteay Meanchey_Koy Maeng",2007
"6",-1.42990159207815,"Banteay Meanchey","Ou Prasat",10206,38.90591127,0,0,1.10087993430498,-0.245360960126312,-0.103986144650834,0.113944848836792,0.412003598747922,-0.232613101028844,-0.189566896939338,-0.670887286795019,-0.491090750622127,-0.223188302023397,-0.23561234902023,-0.143920942619509,-0.360329309496427,-0.150129342457783,-0.0293112532939589,-0.414150886215298,-0.270167678784889,-0.585141261100398,"0","0","none","Banteay Meanchey_Ou Prasat",2007
"7",-1.42990159207815,"Banteay Meanchey","Phnum Touch",10207,47.61813231,0,0,0.285230366229488,-0.245360960126312,-0.130413943486215,0.235565025952664,0.438940958116813,-0.0470071774803167,-0.0950288475940156,-0.785710656039071,-0.475982937230019,-0.223188302023397,-0.500219817426996,-0.0297790155570951,0.247197659334561,-0.239897509588297,-0.317673644298175,-0.420993860782942,-0.214250642626602,-0.338974957492088,"0","0","none","Banteay Meanchey_Phnum Touch",2007
"8",-1.42990159207815,"Banteay Meanchey","Rohat Tuek",10208,61.64826659,0,0,0.515332915441055,-0.245360960126312,-0.135108744077154,0.460704089263525,0.612569189276781,-0.255629572730758,-0.552278623915192,-0.715749398904224,-0.378861279986811,-0.223188302023397,-0.23561234902023,-0.429275760275544,-0.542228417966977,-0.464317927414584,-0.341309905855898,-0.370854844478557,-0.532303940195064,-0.961438249779066,"0","0","none","Banteay Meanchey_Rohat Tuek",2007
"9",-1.42990159207815,"Banteay Meanchey","Ruessei Kraok",10209,40.01592129,0,0,4.51755976856892,-0.245360960126312,-0.0301150216347882,-0.256875918475302,-0.626172624743486,0.0440950157230951,-0.241149123295454,-0.828891370400281,-0.594687185014882,0.23241053660554,-0.270893344807799,-0.600488650869166,-0.201419156649674,-0.314704315530393,-0.227855850378829,-0.410931707040574,-0.437311561621186,-1.11683113032125,"0","0","none","Banteay Meanchey_Ruessei Kraok",2007
"10",-1.42990159207815,"Banteay Meanchey","Sambuor",10210,76.6871351,7,0,-0.356683433424377,-0.245360960126312,-0.151145935671233,-1.68018276791659,0.725587733465758,-0.279978569359276,-0.280431816415872,0.788542872349514,0.959259330487954,-0.223188302023397,0.822817524606835,0.0272919479741119,-0.592347340354447,-0.483019628900107,-0.383855176659799,-0.487293153112211,0.118225532431658,0.279953281498444,"0","0","none","Banteay Meanchey_Sambuor",2007
"11",-1.42990159207815,"Banteay Meanchey","Soea",10211,188.346363,0,0,1.22585102066162,-0.245360960126312,-0.152253849286773,0.95618177638736,0.408052131459341,-0.270526010741968,-1.05000725038148,-0.511278996600404,-0.422026460940627,-0.223188302023397,-0.0592073700823859,-0.31513383321313,-0.583094993715378,-0.44561622592906,-0.232583102690374,-0.309633266827982,-0.679479858185751,-0.190496377134745,"0","0","none","Banteay Meanchey_Soea",2007
