year,codekhum,khum_name,area,diffPix
2007,200407,Doung,55357837.82,0
2007,140109,Theay,38817543.77,0
2007,140502,Chres,43751305.01,0
2007,50311,Srang,74282837.56,0
2007,50312,Tuek L'ak,15772124.88,0
2007,80207,Kokir Thum,40268596.11,0
2007,140505,Prey Rumdeng,31193724.08,0
2007,50607,Ou,48655449.34,0
2007,80104,Boeng Khyang,18774578.03,0
2007,81006,Prasat,84640595.03,0
2007,140101,Boeng Preah,41270398.63,0
2007,50613,Traeng Trayueng,452564277.1,0
2007,80125,Tbaeng,22326695.65,0
2007,50306,Prey Nheat,32668165.63,0
2007,81008,Preaek Koy,15242129.92,0
2007,81015,Traeuy Sla,49458079.33,0
2007,80116,Preaek Slaeng,10793104.16,0
2007,81010,S'ang Phnum,41565183.69,0
2007,80115,Preaek Roka,11153136.04,0
2007,80501,Kampong Phnum,78956095.77,0
2007,90203,Preaek Khsach,290395357.3,-2
2007,90802,Kampong Seila,330714878,0
2007,81014,Ta Lon,30610079.7,0
2007,81004,Kaoh Khsach Tonlea,9424210.69,0
2007,200404,Angk Prasrae,30214220.97,0
2007,81016,Tuek Vil,21356932.03,0
2007,200405,Chantrei,27808902.84,0
2007,50609,Prey Kmeng,53987753,0
2007,140104,Reaks Chey,42801926.31,0
2007,50302,Chongruk,29066796.57,0
2007,140705,Peam Ro,17514448.27,0
2007,210208,Lumpong,23445374.09,0
2007,210207,Krang thnong,38148962.27,0
2007,210210,Pot Sar,37523892.47,0
2007,210212,Tang Doung,20318740.78,0
2007,50112,Tuol Sala,28420561.44,0
2007,210202,Champei,19972366.33,0
2007,140501,Angkor Sar,30802691.81,0
2007,200305,Kampong Ampil,24383939.48,0
2007,50603,Dambouk Rung,174753311.8,0
2007,140105,Roung Damrei,47288417.8,0
2007,210211,Souphi,11533507.7,0
2007,140706,Preaek Khsay Ka,6556682.48,0
2007,140702,Banlich Prasat,17557808,0
2007,140108,Spueu Kha,29288503.73,0
2007,81005,Krang Yov,50769609,0
2007,140508,Trapeang Srae,43169965.65,0
2007,50602,Choam Sangkae,128553735.1,0
2007,90101,Andoung Tuek,407689613,-2
2007,50110,Svay Chacheb,63101761.83,0
2007,210204,Kandoeng,40619667.29,0
2007,90301,Chrouy Pras,325864056,-14
2007,50706,Roleang Kreul,36137726.72,0
2007,120514,Sak Sampov,5855654.18,0
2007,200406,Chrey Thum,56918302.17,0
2007,50202,Kandaol Dom,9076838.77,0
2007,141009,Samraong,66413490.39,0
2007,81106,Kampong Samnanh,3500640.03,0
2007,200414,Sambatt Mean Chey,39327637.25,0
2007,80124,Spean Thma,7794998.41,0
2007,140507,Svay Chrum,85413082.19,0
2007,81101,Ta Kdol,2472351.17,0
2007,50701,Roleang Chak,24475849.01,0
2007,120513,Prateah Lang,8417629.44,0
2007,81102,Preaek Ruessei,2105434.2,0
2007,141101,Baray,30051006.43,0
2007,80606,Lvea Sa,10175639.69,0
2007,80211,Samraong Thum,96419930.7,0
2007,50702,Kahaeng,20962799.39,0
2007,80604,Kaoh Kaev,11368434.57,0
2007,80126,Tien,5160423.74,0
2007,120512,Krang Pongro,6959921.45,0
2007,81011,Setbou,17195373.08,0
2007,80118,Roleang Kaen,12813172.42,0
2007,80117,Roka,5836062.44,0
2007,50205,Svay Kravan,15578567.76,0
2007,50611,Tang Sya,55762266.24,0
2007,80204,Kampong Svay,55322889.2,0
2007,81013,Svay Rolum,17143646.33,0
2007,80114,Preaek Kampis,11171598.17,0
2007,80106,Daeum Rues,23443310.02,0
2007,81002,Kaoh Anlong Chen,8409431.84,0
2007,81105,Preaek Hour,10083261.91,0
2007,50710,Skuh,42977766.33,0
2007,80105,Cheung Kaeub,16113113.64,0
2007,81009,Roka Khpos,34522657.54,0
2007,140504,Prey Khnes,55360025.5,0
2007,80102,Anlong Romiet,5745906.66,0
2007,50305,Preah Nipean,31282343.2,0
2007,90803,Ou Bak Roteh,457131710.5,0
2007,50308,Roka Kaoh,30379812.15,0
2007,80110,Kong Noy,3195351.13,0
2007,50608,Prey Rumduol,43266748.33,0
2007,90302,Kaoh Kapi,153422.51,0
2007,80103,Barku,7000818.8,0
2007,50606,Moha Sang,51054948.2,0
2007,140708,Prey Kandieng,44726426.34,0
2007,80119,Roluos,4479934.45,0
2007,80612,Sambuor,18970787.82,0
2007,80127,Trapeang Veaeng,12187710.27,0
2007,80109,Kouk Trab,6663774.91,0
2007,140701,Ba Baong,50464078.59,0
2007,80108,Thmei,6136700.11,0
2007,80122,Siem Reab,4712230.96,0
2007,50712,Thommoda Ar,53489098.22,0
2007,81012,Svay Prateal,33879637.25,0
2007,200402,Andoung Pou,26950356.31,0
2007,50709,Saen Dei,47760013.72,0
2007,50601,Chambak,82573221.79,0
2007,140704,Peam Mean Chey,34096508.81,0
2007,80107,Kandaok,23699065.99,0
2007,141011,Tuek Thla,37232535.28,0
2007,200408,Kampong Trach,51125747.93,0
2007,80113,Preah Putth,9781400.22,0
2007,90301,Chrouy Pras,105412875,0
2007,200711,Svay Rumpea,25810883.09,0
2007,90602,Chi Kha Kraom,71398024.11,8
2007,140309,Prasat,32069716.75,0
2007,50103,Nitean,29726780.63,0
2007,200509,Kouk Pring,27502419.54,0
2007,50101,Basedth,33300268.41,0
2007,80403,Kampong Kong,39926275.65,0
2007,140307,Kampong Trabaek,28761865.75,0
2007,200706,Prey Ta Ei,39817035.88,0
2007,140610,Svay Phluoh,35008223.5,0
2007,80404,Kaoh Thum Ka,8580271.54,0
2007,210710,Sla,20161810.66,0
2007,50109,Pou Mreal,49177601.91,0
