commGIS,nd,CP,CP,CP,CP,MC,MN,FBE,FBD,FBD,FBD,FNE,FND,FM,MTSH,MTSH,SL,SL,GL,SV,NF,NF,NF,U,B,B,B,W
31206,0,752,357,188,39,293,104,19,5,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0
31008,0,170,110,8,10,106,89,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0
31207,0,270,106,0,7,19,6,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
31601,0,437,161,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,2,0,0,0,0,0
31005,0,439,201,28,29,267,295,2,0,0,0,0,0,0,2,0,0,46,0,0,0,0,0,0,0,0,0,0
31604,0,519,2,0,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
80707,0,28,0,0,56,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,13
31209,0,232,36,25,0,70,33,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
80711,0,32,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,18,0,0,0,0,0
30109,0,97,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,43,0,0,0,0,1
40707,0,1091,215,0,37,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80903,0,5,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
30803,0,118,0,4,113,2,2,0,0,0,0,0,0,0,6,0,0,38,0,0,0,0,79,1,0,0,0,0
30710,0,17,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,40
31406,0,42,0,0,170,0,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,10,0,0,0,6,46
80905,0,8,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,46
31401,0,98,0,0,514,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,14,0,0,0,0,2
30404,0,169,54,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
30807,0,50,0,0,25,3,2,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,0,2,0,0,0,0
31204,0,673,48,0,62,1,4,1,6,0,0,0,0,0,0,0,0,0,18,0,0,0,3,0,0,0,0,0
31013,0,111,141,0,8,292,367,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0
