commGIS,elc_06,elc_07,elc_08,elc_09,elc_10,elc_11,elc_12
120308,0,0,0,0,0,0,0
31602,0,0,0,0,0,0,0
120204,0,0,0,0,0,0,0
70601,0,0,0,0,0,0,0
70602,0,0,0,0,0,0,0
120410,0,0,0,0,0,0,0
180202,0,0,0,0,0,0,0
80802,0,0,0,0,0,0,0
120111,0,0,0,0,0,0,0
210701,0,0,0,0,0,0,0
210702,0,0,0,0,0,0,0
70701,0,0,0,0,0,1,1
120602,0,0,0,0,0,0,0
30201,0,0,0,0,0,0,0
100201,0,0,0,0,0,0,0
200301,0,0,0,0,0,0,0
220402,0,0,0,0,0,0,0
10601,0,0,0,0,0,0,0
210301,0,0,0,0,0,0,0
110402,0,0,0,1,1,1,1
110404,0,0,1,1,1,1,1
160601,0,0,0,0,0,0,0
20105,0,0,0,0,0,0,0
60105,0,0,0,0,0,0,0
31102,0,0,0,0,0,0,0
200303,0,0,0,0,0,0,0
40103,0,0,0,0,0,0,0
120607,0,0,0,0,0,0,0
120606,0,0,0,0,0,0,0
120207,0,0,0,0,0,0,0
140302,0,0,0,0,0,0,0
50601,0,0,0,0,0,0,0
210201,0,0,0,0,0,0,0
200503,0,0,0,0,0,0,0
100301,0,0,1,1,1,1,1
30202,0,0,1,1,1,1,1
190502,0,0,0,0,0,0,0
90801,0,0,0,0,0,0,0
20304,0,0,0,0,0,0,0
200504,0,0,0,0,0,0,0
10203,0,0,0,0,0,0,0
60802,0,0,0,0,0,0,0
60803,0,0,0,0,0,0,0
210603,0,0,0,0,0,0,0
210202,0,0,0,0,0,0,0
70103,0,0,0,0,0,0,0
130601,0,0,0,0,0,0,1
150501,0,0,0,0,0,0,0
160602,0,0,0,0,0,1,1
31001,0,0,1,1,1,1,1
171101,0,0,0,0,0,0,0
10501,0,0,0,0,0,0,0
100202,0,0,1,1,1,1,1
50501,0,0,0,0,0,0,0
200103,0,0,0,0,0,0,0
200405,0,0,0,0,0,0,0
120505,0,0,0,0,0,0,0
40803,0,0,0,0,0,0,0
210604,0,0,0,0,0,0,0
170101,0,0,0,0,0,0,0
30102,0,0,0,0,0,0,0
120604,0,0,0,0,0,0,0
120605,0,0,0,0,0,0,0
50201,0,0,0,0,0,0,0
141002,0,0,0,0,0,0,0
140201,0,0,0,0,0,0,0
30103,0,0,0,0,0,0,0
