"","Province","year","land_confl.cat","Pax_migt_in.cat","Pax_migt_out.cat","pop_den.cat","M6_24_sch.cat","propPrimSec.cat","propSecSec.cat","Les1_R_Land.cat","pig_fam.cat","dist_sch.cat","crim_case.cat","mean_elev.cat","dist_border.cat","dist_provCap.cat","ForPix","areaKM","elc","PA"
"42","Kampot",1.33630620956212,"low","high","high","high","low","low","high","high","low","low","low","low","high","low",1693,2364.743719,"1","1"
"43","Kandal",-1.33630620956212,"high","low","low","high","high","high","low","low","high","high","high","high","high","low",288,3244.98401399,"0","0"
"44","Kandal",-0.801783725737273,"high","low","low","low","high","high","high","low","high","high","high","high","high","low",288,3244.98401399,"0","0"
"45","Kandal",-0.267261241912424,"high","low","low","low","high","high","low","low","high","high","high","high","high","low",280,3244.98401399,"0","0"
"46","Kandal",0.267261241912424,"high","low","low","low","high","high","high","low","high","high","high","high","high","low",280,3244.98401399,"0","0"
"47","Kandal",0.801783725737273,"low","high","low","high","low","low","high","high","low","low","low","low","low","high",243,2883.4588345,"0","0"
"48","Kandal",1.33630620956212,"low","high","high","high","low","low","high","high","low","low","low","low","low","high",243,2883.458858,"0","0"
"49","Kep",-1.33630620956212,"high","low","low","low","high","high","low","low","high","high","high","low","low","high",124,172.97646728,"0","1"
"50","Kep",-0.801783725737273,"high","low","high","low","low","high","low","low","high","low","high","low","low","high",124,172.97646728,"0","1"
"51","Kep",-0.267261241912424,"high","low","low","low","high","high","low","high","high","high","high","low","low","high",124,172.97646728,"0","1"
"52","Kep",0.267261241912424,"high","low","high","low","low","high","low","low","high","low","high","low","low","high",124,172.97646728,"0","1"
"53","Kep",0.801783725737273,"low","high","high","high","low","low","high","high","low","high","low","high","high","low",96,135.06118,"0","1"
"54","Kep",1.33630620956212,"low","high","high","high","low","low","high","high","low","low","low","high","high","low",96,135.06118,"0","1"
"55","Koh Kong",-1.33630620956212,"high","low","high","low","low","low","low","low","high","high","high","low","low","low",104661,10968.79580475,"1","1"
"56","Koh Kong",-0.801783725737273,"high","low","low","low","high","high","low","low","high","high","high","low","low","low",104598,10968.79580475,"1","1"
"57","Koh Kong",-0.267261241912424,"low","low","low","low","high","high","low","low","high","high","low","low","low","low",104533,10968.79580475,"1","1"
"58","Koh Kong",0.267261241912424,"high","low","low","low","high","high","low","low","high","high","high","low","low","low",104464,10968.79580475,"1","1"
"59","Koh Kong",0.801783725737273,"low","high","low","high","low","low","high","high","low","low","low","high","high","high",82414,8380.40911423,"1","1"
"60","Koh Kong",1.33630620956212,"low","high","high","high","low","low","high","high","low","low","low","high","high","high",82072,8380.40926,"1","1"
"61","Kracheh",-1.33630620956212,"high","low","low","low","high","high","low","low","high","low","low","high","low","high",89075,11149.29139643,"1","1"
"62","Kracheh",-0.801783725737273,"high","low","low","low","high","high","low","low","high","low","high","high","low","high",87199,11149.29139643,"1","1"
"63","Kracheh",-0.267261241912424,"high","high","low","high","high","high","low","low","high","low","high","high","low","high",86467,11149.29139643,"1","1"
"64","Kracheh",0.267261241912424,"high","low","low","low","high","high","low","low","high","low","high","high","low","high",85583,11149.29139643,"1","1"
"65","Kracheh",0.801783725737273,"low","high","high","high","low","low","high","high","low","high","low","low","high","low",80240,10560.88480963,"1","1"
