commGIS,Province,Commune,
30201,Kampong Cham,Bos Khnaor,
30202,Kampong Cham,Chamkar Andoung,
30203,Kampong Cham,Cheyyou,
30204,Kampong Cham,Lvea Leu,
30205,Kampong Cham,Spueu,
30206,Kampong Cham,Svay Teab,
30207,Kampong Cham,Ta Ong,
30208,Kampong Cham,Ta Prok,
30301,Kampong Cham,Khnaor Dambang,
30302,Kampong Cham,Kouk Rovieng,
30303,Kampong Cham,Phdau Chum,
30304,Kampong Cham,Prey Char,
30305,Kampong Cham,Pring Chrum,
30306,Kampong Cham,Sampong Chey,
30307,Kampong Cham,Sdaeung Chey,
30308,Kampong Cham,Soutip,
30309,Kampong Cham,Srama,
30310,Kampong Cham,Trapeang Kor,
30401,Kampong Cham,Chong Cheach,
30402,Kampong Cham,Dambae,
30403,Kampong Cham,Kouk Srok,
30404,Kampong Cham,Neang Teut,
30405,Kampong Cham,Seda,
30406,Kampong Cham,Tuek Chrov,
30407,Kampong Cham,Trapeang Pring,
30501,Kampong Cham,Boeng Kok,
30502,Kampong Cham,Kampong Cham,
30503,Kampong Cham,Sambuor Meas,
30504,Kampong Cham,Veal Vong,
30601,Kampong Cham,Ampil,
30602,Kampong Cham,Han Chey,
30603,Kampong Cham,Kien Chrey,
30604,Kampong Cham,Kokor,
30605,Kampong Cham,Kaoh Mitt,
30606,Kampong Cham,Kaoh Roka,
30607,Kampong Cham,Kaoh Samraong,
30608,Kampong Cham,Kaoh Tontuem,
30609,Kampong Cham,Krala,
30610,Kampong Cham,Ou Svay,
30611,Kampong Cham,Ro'ang,
30612,Kampong Cham,Rumchek1,
30613,Kampong Cham,Srak,
30614,Kampong Cham,Trean,
30615,Kampong Cham,Vihear Thum,
30701,Kampong Cham,Angkor Ban,
30702,Kampong Cham,Kang Ta Noeng,
30703,Kampong Cham,Khchau,
30704,Kampong Cham,Peam Chi Kang,
30705,Kampong Cham,Preaek Koy,
30706,Kampong Cham,Preaek Krabau,
30707,Kampong Cham,Reay Pay,
30708,Kampong Cham,Roka ar,
30709,Kampong Cham,Roka Koy,
30710,Kampong Cham,Sdau,
30711,Kampong Cham,Sour Kong,
30801,Kampong Cham,Kampong Reab,
30802,Kampong Cham,Kaoh Soutin,
30803,Kampong Cham,Lve,
30804,Kampong Cham,Moha Leaph,
30805,Kampong Cham,Moha Khnhoung,
30806,Kampong Cham,Peam Prathnuoh,
30807,Kampong Cham,Pongro,
30808,Kampong Cham,Preaek Ta Nong,
30901,Kampong Cham,Chhuk,
30902,Kampong Cham,Chumnik,
30903,Kampong Cham,Kampong Treas,
30904,Kampong Cham,Kaoh Pir,
30905,Kampong Cham,Krouch Chhmar,
30906,Kampong Cham,Peus Muoy,
30907,Kampong Cham,Peus Pir,
30908,Kampong Cham,Preaek a Chi,
30909,Kampong Cham,Roka Khnaor,
30910,Kampong Cham,Svay Khleang,
30911,Kampong Cham,Trea,
30912,Kampong Cham,Tuol Snuol,
31001,Kampong Cham,Chan Mul,
31002,Kampong Cham,Choam,
31003,Kampong Cham,Choam Kravien,
31004,Kampong Cham,Choam Ta Mau,
31005,Kampong Cham,Dar,
31006,Kampong Cham,Kampoan,
31007,Kampong Cham,Memong,
31008,Kampong Cham,Memot,
31009,Kampong Cham,Treak,
31010,Kampong Cham,Rung,
31011,Kampong Cham,Rumchek,
31012,Kampong Cham,Kokir,
31013,Kampong Cham,Tramung,
31014,Kampong Cham,Tonlung,
31101,Kampong Cham,Ampil Ta Pok,
31102,Kampong Cham,Chak,
31103,Kampong Cham,Damrel,
31104,Kampong Cham,Kong Chey,
31105,Kampong Cham,Mien1,
31106,Kampong Cham,Tuol Sophi,
31107,Kampong Cham,Preah Theat,
31201,Kampong Cham,Veal Mlu,
31202,Kampong Cham,Doun Tei,
31203,Kampong Cham,Kak,
31204,Kampong Cham,Kandaol Chrum,
31205,Kampong Cham,Kaong Kang,
31206,Kampong Cham,Kraek,
31207,Kampong Cham,Popel,
31208,Kampong Cham,Trapeang Phlong,
31301,Kampong Cham,Baray1,
31302,Kampong Cham,Boeng Nay,
31303,Kampong Cham,Chrey Vien,
31304,Kampong Cham,Khvet Thum,
31305,Kampong Cham,Kor1,
31306,Kampong Cham,Krouch,
31307,Kampong Cham,Lvea,
31308,Kampong Cham,Mien,
31309,Kampong Cham,Prey Chhor,
31310,Kampong Cham,Sour Saen,
31311,Kampong Cham,Samraong,
31312,Kampong Cham,Srangae,
31313,Kampong Cham,Thma Pun,
31314,Kampong Cham,Tong Rong,
31315,Kampong Cham,Trapeang Preah,
31401,Kampong Cham,Baray,
31402,Kampong Cham,Chi Bal,
31403,Kampong Cham,Khnar Sa,
31404,Kampong Cham,Kaoh  Andaet,
31405,Kampong Cham,Mean Chey,
31406,Kampong Cham,Pteah Kandal,
31407,Kampong Cham,Pram Yam,
31408,Kampong Cham,Preaek Dambouk,
31409,Kampong Cham,Preaek Pou,
31410,Kampong Cham,Preaek Rumdeng,
31411,Kampong Cham,Ruessei Srok,
31412,Kampong Cham,Svay Pou,
31413,Kampong Cham,Svay Sach Phnum,
31414,Kampong Cham,Tong Tralach,
31501,Kampong Cham,areaks Tnaot,
31502,Kampong Cham,Tuol Preah Khleang,
31503,Kampong Cham,Dang Kdar,
31504,Kampong Cham,Khpob Ta Nguon,
31505,Kampong Cham,Me Sar Chrey,
