commGIS,Province,Commune,
80505,Kandal,Preaek Dach,
80506,Kandal,Preaek Tonloab,
80507,Kandal,Sandar,
80601,Kandal,Akreiy Ksatr,
80602,Kandal,Barong,
80603,Kandal,Boeng Krum,
80604,Kandal,Kaoh Kaev,
80605,Kandal,Kaoh Reah,
80606,Kandal,Lvea Sa,
80607,Kandal,Peam Oknha Ong,
80608,Kandal,Phum Thum,
80609,Kandal,Preaek Kmeng,
80610,Kandal,Preaek Rey,
80611,Kandal,Preaek Ruessei1,
80612,Kandal,Sambuor,
80613,Kandal,Sarikakaev,
80614,Kandal,Thma Kor,
80615,Kandal,Tuek Khleang,
80701,Kandal,Bak Khaeng,
80702,Kandal,Kaoh Dach,
80703,Kandal,Preaek Anhchanh,
80704,Kandal,Preaek Dambang,
80705,Kandal,Sambuor Meas,
80706,Kandal,Svay Ampear,
80707,Kandal,Roka Kaong Muoy,
80708,Kandal,Roka Kaong Pir,
80709,Kandal,Ruessei Chrouy,
80801,Kandal,Baek Chan,
80802,Kandal,Boeng Thum,
80803,Kandal,Chhak Chheu Neang,
80804,Kandal,Damnak Ampil,
80805,Kandal,Kamboul,
80806,Kandal,Kantaok,
80807,Kandal,Krang Mkak,
80808,Kandal,Lumhach,
80809,Kandal,Mkak,
80810,Kandal,Ovlaok,
80811,Kandal,Peuk,
80812,Kandal,Ponsang,
80813,Kandal,Prey Puok,
80814,Kandal,Samraong Leu,
80815,Kandal,Snao,
80816,Kandal,Tuol Prech,
80901,Kandal,Chhveang,
80902,Kandal,Chrey Loas,
80903,Kandal,Kampong Luong,
80904,Kandal,Kampong Os,
80905,Kandal,Kaoh Chen,
80906,Kandal,Phnum Bat,
80907,Kandal,Ponhea Lueu,
80908,Kandal,Ponhea Pon,
80909,Kandal,Preaek Pnov,
80910,Kandal,Preaek Ta Teaen,
80911,Kandal,Phsar Daek,
80912,Kandal,Samraong,
80913,Kandal,Tumnob Thum,
80914,Kandal,Vihear Luong,
81001,Kandal,Khpob,
81002,Kandal,Kaoh Anlong Chen,
81003,Kandal,Kaoh Khael,
81004,Kandal,Kaoh Khsach Tonlea,
81005,Kandal,Krang Yov,
81006,Kandal,Prasat,
81007,Kandal,Preaek Ambel,
81008,Kandal,Preaek Koy,
81009,Kandal,Roka Khpos,
81010,Kandal,S'ang Phnum,
81011,Kandal,Setbou,
81012,Kandal,Svay Prateal,
81013,Kandal,Svay Rolum,
81014,Kandal,Ta Lon,
81015,Kandal,Traeuy Sla,
81016,Kandal,Tuek Vil,
81101,Kandal,Ta Kdol,
81102,Kandal,Preaek Ruessei,
81103,Kandal,Daeum Mien,
81104,Kandal,Ta Khmau,
81105,Kandal,Preaek Hour,
81106,Kandal,Kampong Samnanh,
90101,Koh Kong,Andoung Tuek,
90102,Koh Kong,Kandaol,
90103,Koh Kong,Ta Nuon,
90104,Koh Kong,Thma Sa,
90201,Koh Kong,Kaoh Sdach,
90202,Koh Kong,Phnhi Meas,
90203,Koh Kong,Preaek Khsach,
90301,Koh Kong,Chrouy Pras,
90302,Koh Kong,Kaoh Kapi,
90303,Koh Kong,Ta Tai Kraom,
90304,Koh Kong,Trapeang Rung,
90401,Koh Kong,Smach Mean Chey,
90402,Koh Kong,Dang Tong,
90403,Koh Kong,Stueng Veaeng,
90501,Koh Kong,Bak Khlang,
90502,Koh Kong,Peam Krasaob,
90503,Koh Kong,Tuol Kokir Leu,
90601,Koh Kong,Boeng Preav,
90602,Koh Kong,Chi Kha Kraom,
90603,Koh Kong,Chi Kha Leu,
90604,Koh Kong,Chrouy Svay,
90605,Koh Kong,Dang Peaeng,
90606,Koh Kong,Srae Ambel,
90701,Koh Kong,Ta Tey Leu,
90702,Koh Kong,Pralay,
90703,Koh Kong,Chumnoab,
90704,Koh Kong,Ruessei Chrum,
90705,Koh Kong,Chi Phat,
90706,Koh Kong,Thmor Donpove,
100101,Kracheh,Chhloung,
100102,Kracheh,Damrei Phong,
100103,Kracheh,Han Chey,
100104,Kracheh,Kampong Damrei,
100105,Kracheh,Kanhchor,
100106,Kracheh,Khsach Andaet,
100107,Kracheh,Pongro,
100108,Kracheh,Preaek Saman,
100201,Kracheh,Bos Leav,
100202,Kracheh,Changkrang,
100203,Kracheh,Dar,
100204,Kracheh,Kantuot,
100205,Kracheh,Kou Loab,
100206,Kracheh,Kaoh Chraeng,
100207,Kracheh,Sambok,
100208,Kracheh,Thma Andaeuk,
100209,Kracheh,Thma Kreae,
100210,Kracheh,Thmei,
100301,Kracheh,Chambak,
100302,Kracheh,Chrouy Banteay,
100303,Kracheh,Kampong Kor,
100304,Kracheh,Kaoh Ta Suy,
100305,Kracheh,Preaek Prasab,
100306,Kracheh,Ruessei Kaev,
100307,Kracheh,Saob,
100308,Kracheh,Ta Mau,
100401,Kracheh,Boeng Char,
100402,Kracheh,Kampong Cham,
100403,Kracheh,Kbal Damrei,
100404,Kracheh,Kaoh Khnhaer,
100405,Kracheh,Ou Krieng,
100406,Kracheh,Roluos Mean Chey,
100407,Kracheh,Sambour,
100408,Kracheh,Sandan,
100409,Kracheh,Srae Chis,
100410,Kracheh,Voadthonak,
100501,Kracheh,Khsuem,
100502,Kracheh,Pir Thnu,
100503,Kracheh,Snuol,
100504,Kracheh,Srae Char,
100505,Kracheh,Svay Chreah,
100601,Kracheh,Krakor,
100602,Kracheh,Kracheh,
100603,Kracheh,Roka Kandal,
100604,Kracheh,Ou Ruessei,
100605,Kracheh,Kaoh Trong,
110101,Mondul Kiri,Chong Phlah,
110102,Mondul Kiri,Me Mang,
110103,Mondul Kiri,Srae Chhuk,
110104,Mondul Kiri,Srae Khtum,
110105,Mondul Kiri,Srae Preah,
110201,Mondul Kiri,Nang Khi Loek,
110202,Mondul Kiri,Ou Buon Leu,
110203,Mondul Kiri,Roya,
110204,Mondul Kiri,Sokh Sant,
110205,Mondul Kiri,Srae Huy,
110206,Mondul Kiri,Srae Sangkom,
110301,Mondul Kiri,Dak Dam,
110302,Mondul Kiri,Saen Monourom,
110401,Mondul Kiri,Krang Teh,
110402,Mondul Kiri,Bu Chri,
110403,Mondul Kiri,Srae Ampum,
110404,Mondul Kiri,Bu Sra,
110501,Mondul Kiri,Monourom,
110502,Mondul Kiri,Sokh Dom,
110503,Mondul Kiri,Spean Mean Chey,
110504,Mondul Kiri,Romonea,
120101,Phnom Penh,Tonle Basak,
120102,Phnom Penh,Boeng Keng Kang Muoy,
120103,Phnom Penh,Boeng Keng Kang Pir,
120104,Phnom Penh,Boeng Keng kang Bei,
120105,Phnom Penh,Oulampik,
120106,Phnom Penh,Tuol Svay Prey Muoy,
120107,Phnom Penh,Tuol Svay Prey Pir,
120108,Phnom Penh,Tumnob Tuek,
120109,Phnom Penh,Tuol Tumpung Pir,
120110,Phnom Penh,Tuol Tumpung Muoy,
120111,Phnom Penh,Boeng Trabaek,
120112,Phnom Penh,Phsar Daeum Thkov,
120201,Phnom Penh,Phsar Thmei Muoy,
120202,Phnom Penh,Phsar Thmei Pir,
120203,Phnom Penh,Phsar Thmei Bei,
120204,Phnom Penh,Boeng Reang,
120205,Phnom Penh,Phsar Kandal Muoy,
120206,Phnom Penh,Phsar Kandal Pir,
120207,Phnom Penh,Chakto Mukh,
120208,Phnom Penh,Chey Chumneah,
120209,Phnom Penh,Phsar Chas,
120210,Phnom Penh,Srah Chak,
120211,Phnom Penh,Voat Phnum,
120301,Phnom Penh,Ou Ruessei Muoy,
120302,Phnom Penh,Ou Ruessei Pir,
120303,Phnom Penh,Ou Ruessei Bei,
120304,Phnom Penh,Ou Ruessei Buon,
120305,Phnom Penh,Monourom,
120306,Phnom Penh,Mittakpheap,
120307,Phnom Penh,Veal Vong,
120308,Phnom Penh,Boeng Prolit,
120401,Phnom Penh,Phsar Depou Muoy,
120402,Phnom Penh,Phsar Depou Pir,
120403,Phnom Penh,Phsar Depou Bei,
120404,Phnom Penh,Tuek L'ak Muoy,
120405,Phnom Penh,Tuek L'ak Pir,
120406,Phnom Penh,Tuek L'ak Bei,
120407,Phnom Penh,Boeng Kak Muoy,
120408,Phnom Penh,Boeng Kak Pir,
120409,Phnom Penh,Phsar Daeum Kor,
120410,Phnom Penh,Boeng Salang,
120501,Phnom Penh,Dangkao,
120502,Phnom Penh,Trapeang krasang,
120503,Phnom Penh,Kouk Roka,
120504,Phnom Penh,Phleung Chheh Roteh,
120505,Phnom Penh,Chaom Chau,
120506,Phnom Penh,Kakab,
120507,Phnom Penh,Pong Tuek,
120508,Phnom Penh,Prey Veaeng,
120509,Phnom Penh,Samraong Kraom,
120510,Phnom Penh,Prey Sa,
120511,Phnom Penh,Krang Thnong,
120512,Phnom Penh,Krang Pongro,
120513,Phnom Penh,Prateah Lang,
120514,Phnom Penh,Sak Sampov,
120515,Phnom Penh,Cheung Aek,
120601,Phnom Penh,Stueng Mean Chey,
120602,Phnom Penh,Boeng Tumpun,
120603,Phnom Penh,Preaek Pra,
120604,Phnom Penh,Chbar Ampov Muoy,
120605,Phnom Penh,Chbar Ampov Pir,
120606,Phnom Penh,Chak Angrae Leu,
120607,Phnom Penh,Chak Angrae Kraom,
120608,Phnom Penh,Nirouth,
120701,Phnom Penh,Chrouy Changva,
120702,Phnom Penh,Tuol Sangkae,
120703,Phnom Penh,Svay Pak,
120704,Phnom Penh,Kiloumaetr Lekh Prammuoy,
120705,Phnom Penh,Chrang Chamreh Muoy,
120706,Phnom Penh,Ruessei Kaev,
120707,Phnom Penh,Chrang Chamreh Pir,
120708,Phnom Penh,Preaek Lieb,
120709,Phnom Penh,Preaek Ta Sek,
120801,Phnom Penh,Phnom Penh Thmei,
120802,Phnom Penh,Tuek Thla,
120803,Phnom Penh,Khmuonh,
130101,Preah Vihear,S'ang,
130102,Preah Vihear,Tasu,
130103,Preah Vihear,Khyang,
130104,Preah Vihear,Chrach,
130105,Preah Vihear,Yhmea,
130106,Preah Vihear,Putrea,
130201,Preah Vihear,Chhaeb Muoy,
130202,Preah Vihear,Chhaeb Pir,
130203,Preah Vihear,Sangkae Muoy,
130204,Preah Vihear,Sangkae Pir,
130205,Preah Vihear,Mlu Prey Muoy,
130206,Preah Vihear,Mlu Prey Pir,
130207,Preah Vihear,Kampong Sralau Muoy,
130208,Preah Vihear,Kampong Sralau Pir,
130301,Preah Vihear,Choam Ksant,
130302,Preah Vihear,Tuek Kraham,
130303,Preah Vihear,Pring Thum,
130304,Preah Vihear,Rumdaoh Srae,
130305,Preah Vihear,Yeang,
130306,Preah Vihear,Kantuot,
130401,Preah Vihear,Kuleaen Tboung,
130402,Preah Vihear,Kuleaen Cheung,
130403,Preah Vihear,Thmei,
130404,Preah Vihear,Phnum Penh,
130405,Preah Vihear,Phnum Tbaeng Pir,
130406,Preah Vihear,Srayang,
130501,Preah Vihear,Robieb,
130502,Preah Vihear,Reaksmei,
130503,Preah Vihear,Rohas,
130504,Preah Vihear,Rung Roeang,
130505,Preah Vihear,Rik Reay,
130506,Preah Vihear,Ruos Roan,
130507,Preah Vihear,Rotanak,
130508,Preah Vihear,Rieb Roy,
130509,Preah Vihear,Reaksa,
130510,Preah Vihear,Rumdaoh,
130511,Preah Vihear,Romtom,
130512,Preah Vihear,Romoniy,
130601,Preah Vihear,Chamraeun,
130602,Preah Vihear,Ro'ang,
130603,Preah Vihear,Phnum Tbaeng Muoy,
130604,Preah Vihear,Sdau,
130605,Preah Vihear,Ronak Ser,
130701,Preah Vihear,Prame,
130702,Preah Vihear,Preah Khleang,
130703,Preah Vihear,Chhean Mukh,
130704,Preah Vihear,Pou,
130801,Preah Vihear,Kampong Pranak,
130802,Preah Vihear,Pal Hal,
140101,Prey Veng,Boeng Preah,
140102,Prey Veng,Cheung Phnum,
140103,Prey Veng,Chheu Kach,
140104,Prey Veng,Reaks Chey,
140105,Prey Veng,Roung Damrei,
140106,Prey Veng,Sdau Kaong,
140107,Prey Veng,Spueu Ka,
140108,Prey Veng,Spueu Kha,
140109,Prey Veng,Theay,
140201,Prey Veng,Cheach,
140202,Prey Veng,Doun Koeng,
140203,Prey Veng,Kranhung,
140204,Prey Veng,Krabau,
140205,Prey Veng,Seang Khveang,
140206,Prey Veng,Smaong Cheung,
140207,Prey Veng,Smaong Tboung,
140208,Prey Veng,Trâbêk,
140301,Prey Veng,Ansaong,
140302,Prey Veng,Cham,
140303,Prey Veng,Cheang Daek,
140304,Prey Veng,Chrey1,
140305,Prey Veng,Kansaom Ak,
140306,Prey Veng,Kou Khchak,
140307,Prey Veng,Kampong Trabaek,
140308,Prey Veng,Peam Montear,
140309,Prey Veng,Prasat,
140310,Prey Veng,Pratheat,
140311,Prey Veng,Prey Chhor,
140312,Prey Veng,Prey Poun,
140313,Prey Veng,Thkov,
140401,Prey Veng,Chong Ampil,
140402,Prey Veng,Kanhchriech,
140403,Prey Veng,Kdoeang Reay,
140404,Prey Veng,Kouk Kong Kaeut,
140405,Prey Veng,Kouk Kong Lech,
140406,Prey Veng,Preal,
140407,Prey Veng,Thma Pun,
140408,Prey Veng,Tnaot,
140501,Prey Veng,Angkor Sar,
140502,Prey Veng,Chres,
140503,Prey Veng,Chi Phok,
140504,Prey Veng,Prey Khnes,
140505,Prey Veng,Prey Rumdeng,
140506,Prey Veng,Prey Totueng,
140507,Prey Veng,Svay Chrum,
140508,Prey Veng,Trapeang Srae,
140601,Prey Veng,Angkor Angk,
140602,Prey Veng,Kampong Prasat,
140603,Prey Veng,Kaoh Chek,
140604,Prey Veng,Kaoh Roka,
140605,Prey Veng,Kaoh Sampov,
140606,Prey Veng,Krang Ta Yang,
140607,Prey Veng,Preaek Krabau,
140608,Prey Veng,Preaek Sambuor,
140609,Prey Veng,Ruessei Srok,
140610,Prey Veng,Svay Phluoh,
140701,Prey Veng,Ba Baong,
140702,Prey Veng,Banlich Prasat,
140703,Prey Veng,Neak Loeang,
140704,Prey Veng,Peam Mean Chey,
140705,Prey Veng,Peam Ro,
140706,Prey Veng,Preaek Khsay Ka,
140707,Prey Veng,Preaek Khsay Kha,
140708,Prey Veng,Prey Kandieng,
140801,Prey Veng,Kampong Popil,
140802,Prey Veng,Kanhcham,
140803,Prey Veng,Kampong Prang,
140804,Prey Veng,Kampong Ruessei,
140805,Prey Veng,Mesa Prachan,
140806,Prey Veng,Preaek Ta Sar,
140807,Prey Veng,Prey Pnov,
140808,Prey Veng,Prey Sniet,
140809,Prey Veng,Prey Sralet,
140810,Prey Veng,Reab,
140811,Prey Veng,Roka,
140901,Prey Veng,Angkor Reach,
140902,Prey Veng,Banteay Chakrei,
140903,Prey Veng,Boeng Daol,
140904,Prey Veng,Chey Kampok,
140905,Prey Veng,Kampong Soeng,
140906,Prey Veng,Krang Svay,
140907,Prey Veng,Lvea,
140908,Prey Veng,Preah Sdach,
140909,Prey Veng,Reathor,
140910,Prey Veng,Rumchek,
140911,Prey Veng,Seena Reach Otdam,
141001,Prey Veng,Angkor Tret,
141002,Prey Veng,Chea Khlang,
141003,Prey Veng,Chrey,
141004,Prey Veng,Damrei Puon,
141005,Prey Veng,Me Bon,
141006,Prey Veng,Pean Roung,
141007,Prey Veng,Popueus,
141008,Prey Veng,Prey Khla,
141009,Prey Veng,Samraong,
141010,Prey Veng,Svay Antor,
141011,Prey Veng,Tuek Thla,
141101,Prey Veng,Preaek Chrey,
141102,Prey Veng,Prey Kanlaong,
141103,Prey Veng,Ta Kao,
141104,Prey Veng,Pou Rieng,
141105,Prey Veng,Preaek Anteah,
141201,Prey Veng,Ampil Krau,
141202,Prey Veng,Chrey Khmum,
141203,Prey Veng,Lve,
141204,Prey Veng,Pnov Ti Muoy,
141205,Prey Veng,Pnov Ti Pir,
141206,Prey Veng,Pou Ti,
141207,Prey Veng,Preaek Changkran,
141208,Prey Veng,Prey Daeum Thnoeng,
141209,Prey Veng,Prey Tueng,
141210,Prey Veng,Rumlech,
141211,Prey Veng,Ruessei Sanh,
141301,Prey Veng,Baray,
141302,Prey Veng,Cheung Tuek,
141303,Prey Veng,Kampong Leav,
150101,Pursat,Boeng Bat Kandaol,
150102,Pursat,Boeng Khnar,
150103,Pursat,Khnar Totueng,
150104,Pursat,Me Tuek,
150105,Pursat,Ou Ta Paong,
150106,Pursat,Rumlech,
150107,Pursat,Snam Preah,
150108,Pursat,Svay Doun Kaev,
150109,Pursat,Ta Lou,
150110,Pursat,Trapeang Chong,
150201,Pursat,Anlong Vil,
150202,Pursat,Kaoh Chum,
150203,Pursat,Kandieng,
150204,Pursat,Kanhchor,
150205,Pursat,Reang Til,
150206,Pursat,Srae Sdok,
150207,Pursat,Svay Luong,
150208,Pursat,Sya,
150209,Pursat,Veal,
150301,Pursat,Anlong Tnaot,
150302,Pursat,Ansa Chambak,
150303,Pursat,Boeng Kantuot,
150304,Pursat,Chheu Tom,
150305,Pursat,Kampong Luong,
150306,Pursat,Kampong Pou,
150307,Pursat,Kbal Trach,
150308,Pursat,Ou Sandan,
150309,Pursat,Sna Ansa,
150310,Pursat,Svay Sa,
150311,Pursat,Tnaot Chum,
150401,Pursat,Bak Chenhchien,
150402,Pursat,Leach,
150403,Pursat,Phteah Rung,
150404,Pursat,Prongil,
150405,Pursat,Rokat,
150406,Pursat,Santreae,
150407,Pursat,Samraong,
150501,Pursat,Chamraeun Phal,
150502,Pursat,Banteay Dei,
150503,Pursat,Lolok Sa,
150504,Pursat,Phteah Prey,
150505,Pursat,Prey Nhi,
150506,Pursat,Roleab,
150507,Pursat,Svay at,
150601,Pursat,Ou Saom,
150602,Pursat,Krapeu Pir,
150603,Pursat,Anlong Reab,
150604,Pursat,Pramaoy,
150605,Pursat,Thma Da,
160101,Ratanak Kiri,Malik,
160103,Ratanak Kiri,Nhang,
160104,Ratanak Kiri,Ta Lav,
160201,Ratanak Kiri,Kachanh,
160202,Ratanak Kiri,Labansiek,
160203,Ratanak Kiri,Yeak Laom,
160301,Ratanak Kiri,Kak,
160302,Ratanak Kiri,Ke Chong,
160303,Ratanak Kiri,La minh,
160304,Ratanak Kiri,Lung Khung,
160305,Ratanak Kiri,Seung,
160306,Ratanak Kiri,Ting Chak,
160401,Ratanak Kiri,Serei Mongkol,
160402,Ratanak Kiri,Srae Angkrong,
160403,Ratanak Kiri,Ta Ang,
160404,Ratanak Kiri,Toen,
160405,Ratanak Kiri,Trapeang Chres,
160406,Ratanak Kiri,Trapeang Kraham,
160501,Ratanak Kiri,Chey Otdam,
160502,Ratanak Kiri,Ka Laeng,
160503,Ratanak Kiri,La Bang Muoy,
160504,Ratanak Kiri,La Bang Pir,
160505,Ratanak Kiri,Pa Tang,
160506,Ratanak Kiri,Seda,
160601,Ratanak Kiri,Cha Ung,
160602,Ratanak Kiri,Chan,
160603,Ratanak Kiri,Aekakpheap,
160604,Ratanak Kiri,Kalai,
160605,Ratanak Kiri,Ou Chum,
160606,Ratanak Kiri,Sameakki,
160607,Ratanak Kiri,L'ak,
160701,Ratanak Kiri,Bar Kham,
160702,Ratanak Kiri,Lum Choar,
160703,Ratanak Kiri,Pak Nhai,
160704,Ratanak Kiri,Pate,
160705,Ratanak Kiri,Sesant,
160706,Ratanak Kiri,Saom Thum,
160707,Ratanak Kiri,Ya Tung,
160801,Ratanak Kiri,Ta Veaeng Leu,
160802,Ratanak Kiri,Ta Veaeng Kraom,
160901,Ratanak Kiri,Ban Pong,
160903,Ratanak Kiri,Hat Pak,
160904,Ratanak Kiri,Ka Choun,
160905,Ratanak Kiri,Kaoh Pang,
160906,Ratanak Kiri,Kaoh Peak,
160907,Ratanak Kiri,Kok Lak,
160908,Ratanak Kiri,Pa Kalan,
160909,Ratanak Kiri,Phnum Kok,
160910,Ratanak Kiri,Veun Sai,
170101,Siem Reap,Char Chhuk,
170102,Siem Reap,Doun  Peaeng,
170103,Siem Reap,Kouk Doung,
170104,Siem Reap,Koul,
170105,Siem Reap,Nokor Pheas,
170106,Siem Reap,Srae Khvav,
170107,Siem Reap,Ta Saom,
170201,Siem Reap,Chob Ta Trav,
170202,Siem Reap,Leang Dai,
170203,Siem Reap,Peak Snaeng,
170204,Siem Reap,Svay Chek,
170301,Siem Reap,Khnar Sanday,
170302,Siem Reap,Khun Ream,
170303,Siem Reap,Preak Dak,
170304,Siem Reap,Rumchek,
170305,Siem Reap,Run Ta Aek,
170306,Siem Reap,Tbaeng,
170401,Siem Reap,Anlong Samnar,
170402,Siem Reap,Chi Kraeng,
170403,Siem Reap,Kampong Kdei,
170404,Siem Reap,Khvav,
170405,Siem Reap,Kouk Thlok Kraom,
170406,Siem Reap,Kouk Thlok Leu,
170407,Siem Reap,Lveaeng Ruessei,
170408,Siem Reap,Pongro Kraom,
170409,Siem Reap,Pongro Leu,
170410,Siem Reap,Ruessei Lok,
170411,Siem Reap,Sangvaeuy,
170412,Siem Reap,Spean Tnaot,
170601,Siem Reap,Chonloas Dai,
170602,Siem Reap,Kampong Thkov,
170603,Siem Reap,Kralanh,
170604,Siem Reap,Krouch Kor,
170605,Siem Reap,Roung Kou,
170606,Siem Reap,Sambuor1,
170607,Siem Reap,Saen Sokh,
170608,Siem Reap,Snuol,
170609,Siem Reap,Sranal,
170610,Siem Reap,Ta an,
170701,Siem Reap,Sasar Sdam,
170702,Siem Reap,Doun Kaev,
170703,Siem Reap,Kdei Run,
170704,Siem Reap,Kaev Poar,
170705,Siem Reap,Khnat,
170706,Siem Reap,Trei Nhoar,
170707,Siem Reap,Lvea,
170708,Siem Reap,Mukh Paen,
170709,Siem Reap,Pou Treay,
170710,Siem Reap,Puok,
170711,Siem Reap,Prey Chruk,
170712,Siem Reap,Reul,
170713,Siem Reap,Samraong Yea,
170714,Siem Reap,Yeang,
170901,Siem Reap,Trapeang Thum,
170902,Siem Reap,Bakong,
170903,Siem Reap,Ballangk,
170904,Siem Reap,Kampong Phluk,
170905,Siem Reap,Kantreang,
170906,Siem Reap,Kandaek,
170907,Siem Reap,Mean Chey,
170908,Siem Reap,Roluos,
171001,Siem Reap,Sla Kram,
171002,Siem Reap,Svay Dangkum,
171003,Siem Reap,Kouk Chak,
171004,Siem Reap,Sala Kamraeuk,
171005,Siem Reap,Nokor Thum,
171006,Siem Reap,Chreav,
171007,Siem Reap,Chong Khnies,
171008,Siem Reap,Sambuor,
171009,Siem Reap,Siem Reab,
171010,Siem Reap,Srangae,
171011,Siem Reap,Tuek Vil,
171012,Siem Reap,Krabei Riel,
171013,Siem Reap,Ampil,
171101,Siem Reap,Chan Sar,
171102,Siem Reap,Dam Daek,
171103,Siem Reap,Dan Run,
171104,Siem Reap,Kampong Khleang,
171105,Siem Reap,Kien Sangkae,
171106,Siem Reap,Khchas,
171107,Siem Reap,Khnar Pou,
171108,Siem Reap,Popel,
171109,Siem Reap,Samraong,
171110,Siem Reap,Ta Yaek,
171201,Siem Reap,Chrouy Neang Nguon,
171202,Siem Reap,Klang Hay,
171203,Siem Reap,Tram Sasar,
171204,Siem Reap,Moung,
171205,Siem Reap,Prei,
171206,Siem Reap,Slaeng Spean,
171301,Siem Reap,Boeng Mealea,
171302,Siem Reap,Kantuot,
171303,Siem Reap,Khnang Phnum,
171304,Siem Reap,Svay Leu,
171305,Siem Reap,Ta Siem,
171401,Siem Reap,Prasat,
171402,Siem Reap,Lvea Krang,
171403,Siem Reap,Srae Nouy,
171404,Siem Reap,Svay sa,
171405,Siem Reap,Varin,
180101,Preah Sihanouk,Sangkat lek Muoy,
180102,Preah Sihanouk,Sangkat lek Pi,
180103,Preah Sihanouk,Sangkat lek Bei,
180104,Preah Sihanouk,Sangkat lek Buon,
180105,Preah Sihanouk,Kaoh Rung,
180201,Preah Sihanouk,Andoung Thma,
180202,Preah Sihanouk,Boeng Ta Prum,
180203,Preah Sihanouk,Bet Trang,
180204,Preah Sihanouk,Cheung Kou,
180205,Preah Sihanouk,Ou Chrov,
180206,Preah Sihanouk,Ou Oknha Heng,
180207,Preah Sihanouk,Prey Nob,
180208,Preah Sihanouk,Ream,
180209,Preah Sihanouk,Sameakki,
180210,Preah Sihanouk,Samrong,
180211,Preah Sihanouk,Tuek L'ak,
180212,Preah Sihanouk,Tuek Thla,
180213,Preah Sihanouk,Tuol Toetueng,
180214,Preah Sihanouk,Veal Renh,
180301,Preah Sihanouk,Kampenh,
180302,Preah Sihanouk,Ou Treh,
180303,Preah Sihanouk,Tumnob Rolok,
180401,Preah Sihanouk,Chamkar Luong,
180402,Preah Sihanouk,Kampong Seila,
180403,Preah Sihanouk,Ou Bak Roteh,
180404,Preah Sihanouk,Stueng Chhay,
190101,Stung Treng,Kampun,
190102,Stung Treng,Kbal Romeas,
190103,Stung Treng,Phluk,
190104,Stung Treng,Samkhuoy,
190105,Stung Treng,Sdau,
190106,Stung Treng,Srae Kor,
190107,Stung Treng,Ta Lat,
190201,Stung Treng,Kaoh Preah,
190202,Stung Treng,Kaoh Sampeay,
190203,Stung Treng,Kaoh Sralay,
190204,Stung Treng,Ou Mreah,
190205,Stung Treng,Ou Ruessei Kandal,
190206,Stung Treng,Siem Bouk,
190207,Stung Treng,Srae Krasang,
190301,Stung Treng,Preaek Meas,
190302,Stung Treng,Sekong,
190303,Stung Treng,Santepheap,
190304,Stung Treng,Srae Sambour,
190305,Stung Treng,Thma Kaev,
190401,Stung Treng,Stueng Traeng,
190402,Stung Treng,Sarh Ruessei,
190403,Stung Treng,Preah Bat,
190404,Stung Treng,Sameakki,
190501,Stung Treng,Anlong Phe,
190502,Stung Treng,Chamkar Leu,
190503,Stung Treng,Kang Cham,
190504,Stung Treng,Kaoh Snaeng,
190505,Stung Treng,Anlong Chrey,
190506,Stung Treng,Ou Rai,
190507,Stung Treng,Ou Svay,
190508,Stung Treng,Preah Rumkel,
190509,Stung Treng,Sam'ang,
190510,Stung Treng,Srae Ruessei,
190511,Stung Treng,Thala Borivath,
200101,Svay Rieng,Prey Kokir,
200102,Svay Rieng,Samraong,
200103,Svay Rieng,Chantrea,
200104,Svay Rieng,Chres,
200105,Svay Rieng,Me Sa Thngak,
200106,Svay Rieng,Tuol Sdei,
200201,Svay Rieng,Banteay Krang,
200202,Svay Rieng,Nhor,
200203,Svay Rieng,Ksetr,
200204,Svay Rieng,Preah Ponlea,
200205,Svay Rieng,Prey Thum,
200206,Svay Rieng,Reach Montir,
200207,Svay Rieng,Samlei,
200208,Svay Rieng,Samyaong,
200209,Svay Rieng,Svay Ta Yean,
200210,Svay Rieng,Tnaot,
200211,Svay Rieng,Thmei,
200301,Svay Rieng,Bos Mon,
200302,Svay Rieng,Thmea,
200303,Svay Rieng,Kompong Chak,
200304,Svay Rieng,Chrung Popel,
200305,Svay Rieng,Kampong Ampil,
200306,Svay Rieng,Meun Chey,
200307,Svay Rieng,Pong Tuek,
200308,Svay Rieng,Sangkae,
200309,Svay Rieng,Svay Chek,
200310,Svay Rieng,Thna Thnong,
200401,Svay Rieng,Ampil,
200402,Svay Rieng,Andoung Pou,
200403,Svay Rieng,Andoung Trabaek,
200404,Svay Rieng,Angk Prasrae,
200405,Svay Rieng,Chantrei,
200406,Svay Rieng,Chrey Thum,
200407,Svay Rieng,Doung,
200408,Svay Rieng,Kampong Trach,
200409,Svay Rieng,Kokir,
200410,Svay Rieng,Krasang,
200411,Svay Rieng,Mukh Da,
200412,Svay Rieng,Mream,
200413,Svay Rieng,Sambuor1,
200414,Svay Rieng,Sambatt Mean Chey,
200415,Svay Rieng,Trapeang Sdau,
200416,Svay Rieng,Tras,
200501,Svay Rieng,Angk Ta Sou,
200502,Svay Rieng,Basak,
200503,Svay Rieng,Chambak,
200504,Svay Rieng,Kompong Chamlang,
200505,Svay Rieng,Ta Suos,
200506,Svay Rieng,Thlok,
200507,Svay Rieng,Chheu Teal,
200508,Svay Rieng,Doun Sa,
200509,Svay Rieng,Kouk Pring,
200510,Svay Rieng,Kraol Kou,
200511,Svay Rieng,Kruos,
200512,Svay Rieng,Pouthi Reach,
