"","dist_provCap","pop_den","M6_24_sch","propPrimSec","pig_fam","dist_sch","garbage","crim_case","Pax_migt_out","mean_elev","dist_border","elc","PA","areaKM","year","Province","Provcomm","fit","se.fit","U_SE","L_SE"
"1",-1.65804646243297,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,"0","0",44.05124145,NA,NA,NA,0.0216845979214648,0.00793148993964803,0.0375475778007609,0.00582161804216872
"2",-1.60126757735528,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,"0","0",44.05124145,NA,NA,NA,0.0219468335231818,0.00800961079132236,0.0379660551058265,0.00592761194053711
"3",-1.54448869227759,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,"0","0",44.05124145,NA,NA,NA,0.0222120897496745,0.00808886879207606,0.0383898273338266,0.00603435216552238
"4",-1.4877098071999,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,"0","0",44.05124145,NA,NA,NA,0.0224803977333408,0.00816928594411805,0.0388189696215769,0.00614182584510474
"5",-1.43093092212222,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,"0","0",44.05124145,NA,NA,NA,0.0227517888383616,0.00825088457275176,0.0392535579838652,0.00625001969285812
"6",-1.37415203704453,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,"0","0",44.05124145,NA,NA,NA,0.0230262946601625,0.00833368732477702,0.0396936693097165,0.00635892001060841
"7",-1.31737315196684,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,"0","0",44.05124145,NA,NA,NA,0.0233039470248032,0.00841771716664666,0.0401393813580965,0.00646851269150985
"8",-1.26059426688915,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,"0","0",44.05124145,NA,NA,NA,0.023584777988293,0.00850299738237539,0.0405907727530438,0.0065787832235422
"9",-1.20381538181146,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,"0","0",44.05124145,NA,NA,NA,0.0238688198358293,0.00858955157119899,0.0410479229782273,0.00668971669343131
"10",-1.14703649673377,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,"0","0",44.05124145,NA,NA,NA,0.0241561050809582,0.00867740364498173,0.0415109123709217,0.00680129779099476
