"","pop_den","pred","commune","province"
"1",-0.165309232001598,0.234842098905893,"Kampun","Stung Treng"
"2",-0.164993281751076,0.234840955513431,"Kampun","Stung Treng"
"3",-0.164677331500554,0.234839812125405,"Kampun","Stung Treng"
"4",-0.164361381250031,0.234838668741818,"Kampun","Stung Treng"
"5",-0.164045430999509,0.234837525362676,"Kampun","Stung Treng"
"6",-0.163729480748987,0.234836381987984,"Kampun","Stung Treng"
"7",-0.163413530498465,0.234835238617748,"Kampun","Stung Treng"
"8",-0.163097580247942,0.234834095251971,"Kampun","Stung Treng"
"9",-0.16278162999742,0.23483295189066,"Kampun","Stung Treng"
"10",-0.162465679746898,0.234831808533818,"Kampun","Stung Treng"
"11",-0.162149729496376,0.234830665181452,"Kampun","Stung Treng"
"12",-0.161833779245853,0.234829521833567,"Kampun","Stung Treng"
"13",-0.161517828995331,0.234828378490167,"Kampun","Stung Treng"
"14",-0.161201878744809,0.234827235151258,"Kampun","Stung Treng"
"15",-0.160885928494287,0.234826091816844,"Kampun","Stung Treng"
"16",-0.160569978243765,0.234824948486931,"Kampun","Stung Treng"
"17",-0.160254027993242,0.234823805161524,"Kampun","Stung Treng"
"18",-0.15993807774272,0.234822661840628,"Kampun","Stung Treng"
"19",-0.159622127492198,0.234821518524247,"Kampun","Stung Treng"
"20",-0.159306177241676,0.234820375212388,"Kampun","Stung Treng"
"21",-0.158990226991153,0.234819231905055,"Kampun","Stung Treng"
"22",-0.158674276740631,0.234818088602253,"Kampun","Stung Treng"
"23",-0.158358326490109,0.234816945303987,"Kampun","Stung Treng"
"24",-0.158042376239587,0.234815802010262,"Kampun","Stung Treng"
"25",-0.157726425989064,0.234814658721084,"Kampun","Stung Treng"
"26",-0.157410475738542,0.234813515436457,"Kampun","Stung Treng"
"27",-0.15709452548802,0.234812372156387,"Kampun","Stung Treng"
"28",-0.156778575237498,0.234811228880879,"Kampun","Stung Treng"
"29",-0.156462624986975,0.234810085609937,"Kampun","Stung Treng"
"30",-0.156146674736453,0.234808942343567,"Kampun","Stung Treng"
"31",-0.155830724485931,0.234807799081773,"Kampun","Stung Treng"
"32",-0.155514774235409,0.234806655824562,"Kampun","Stung Treng"
"33",-0.155198823984887,0.234805512571938,"Kampun","Stung Treng"
"34",-0.154882873734364,0.234804369323905,"Kampun","Stung Treng"
"35",-0.154566923483842,0.23480322608047,"Kampun","Stung Treng"
"36",-0.15425097323332,0.234802082841637,"Kampun","Stung Treng"
"37",-0.153935022982798,0.234800939607412,"Kampun","Stung Treng"
"38",-0.153619072732275,0.234799796377798,"Kampun","Stung Treng"
"39",-0.153303122481753,0.234798653152802,"Kampun","Stung Treng"
"40",-0.152987172231231,0.234797509932429,"Kampun","Stung Treng"
"41",-0.152671221980709,0.234796366716683,"Kampun","Stung Treng"
"42",-0.152355271730186,0.23479522350557,"Kampun","Stung Treng"
"43",-0.152039321479664,0.234794080299094,"Kampun","Stung Treng"
"44",-0.151723371229142,0.234792937097261,"Kampun","Stung Treng"
"45",-0.15140742097862,0.234791793900076,"Kampun","Stung Treng"
"46",-0.151091470728098,0.234790650707544,"Kampun","Stung Treng"
"47",-0.150775520477575,0.23478950751967,"Kampun","Stung Treng"
"48",-0.150459570227053,0.234788364336459,"Kampun","Stung Treng"
"49",-0.150143619976531,0.234787221157916,"Kampun","Stung Treng"
"50",-0.149827669726009,0.234786077984047,"Kampun","Stung Treng"
"51",-0.149511719475486,0.234784934814855,"Kampun","Stung Treng"
"52",-0.149195769224964,0.234783791650347,"Kampun","Stung Treng"
"53",-0.148879818974442,0.234782648490528,"Kampun","Stung Treng"
"54",-0.14856386872392,0.234781505335402,"Kampun","Stung Treng"
"55",-0.148247918473397,0.234780362184974,"Kampun","Stung Treng"
"56",-0.147931968222875,0.23477921903925,"Kampun","Stung Treng"
"57",-0.147616017972353,0.234778075898235,"Kampun","Stung Treng"
"58",-0.147300067721831,0.234776932761934,"Kampun","Stung Treng"
"59",-0.146984117471309,0.234775789630351,"Kampun","Stung Treng"
"60",-0.146668167220786,0.234774646503493,"Kampun","Stung Treng"
"61",-0.146352216970264,0.234773503381363,"Kampun","Stung Treng"
"62",-0.146036266719742,0.234772360263968,"Kampun","Stung Treng"
"63",-0.14572031646922,0.234771217151311,"Kampun","Stung Treng"
"64",-0.145404366218697,0.234770074043399,"Kampun","Stung Treng"
"65",-0.145088415968175,0.234768930940236,"Kampun","Stung Treng"
"66",-0.144772465717653,0.234767787841828,"Kampun","Stung Treng"
"67",-0.144456515467131,0.234766644748179,"Kampun","Stung Treng"
"68",-0.144140565216608,0.234765501659294,"Kampun","Stung Treng"
"69",-0.143824614966086,0.234764358575179,"Kampun","Stung Treng"
"70",-0.143508664715564,0.234763215495838,"Kampun","Stung Treng"
"71",-0.143192714465042,0.234762072421278,"Kampun","Stung Treng"
"72",-0.14287676421452,0.234760929351502,"Kampun","Stung Treng"
"73",-0.142560813963997,0.234759786286515,"Kampun","Stung Treng"
"74",-0.142244863713475,0.234758643226324,"Kampun","Stung Treng"
"75",-0.141928913462953,0.234757500170933,"Kampun","Stung Treng"
"76",-0.141612963212431,0.234756357120347,"Kampun","Stung Treng"
"77",-0.141297012961908,0.23475521407457,"Kampun","Stung Treng"
"78",-0.140981062711386,0.234754071033609,"Kampun","Stung Treng"
"79",-0.140665112460864,0.234752927997469,"Kampun","Stung Treng"
"80",-0.140349162210342,0.234751784966153,"Kampun","Stung Treng"
"81",-0.140033211959819,0.234750641939668,"Kampun","Stung Treng"
