"","dist_border","pop_den","M6_24_sch","propPrimSec","pig_fam","dist_sch","garbage","crim_case","Pax_migt_out","mean_elev","dist_provCap","elc","PA","areaKM","year","Province","Provcomm","fit","se.fit","U_SE","L_SE"
"38",0.183891580871487,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0330776353986404,0.0116108843324093,0.056299404063459,0.00985586673382173
"39",0.227694350983983,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0336665988104375,0.0118228882244566,0.0573123752593506,0.0100208223615243
"40",0.271497121096478,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0342652611115285,0.0120396558278008,0.0583445727671301,0.0101859494559268
"41",0.315299891208974,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0348737538067099,0.0122612810140799,0.0593963158348697,0.0103511917785502
"42",0.35910266132147,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.035492209170291,0.0124878579867558,0.0604679251438025,0.0105164931967794
"43",0.402905431433966,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0361207602106343,0.0127194812149807,0.0615597226405956,0.010681797780673
"44",0.446708201546462,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0367595406329098,0.0129562453652839,0.0626720313634776,0.0108470499023419
"45",0.490510971658958,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0374086848000197,0.0131982452310608,0.0638051752621412,0.0110121943378982
"46",0.534313741771454,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0380683276916551,0.0134455756598385,0.064959479011332,0.0111771763719782
"47",0.578116511883949,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.038738604861444,0.0136983314782961,0.0661352678180362,0.0113419419048518
"48",0.621919281996445,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0394196523921514,0.0139566074150119,0.0673328672221753,0.0115064375621275
"49",0.665722052108941,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0401116068488931,0.01422049802091,0.0685526028907132,0.011670610807073
"50",0.709524822221437,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0408146052303245,0.0144900975873789,0.0697948004050824,0.0118344100555667
"51",0.753327592333933,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.041528784917768,0.0147655000620315,0.0710597850418309,0.011997784793705
"52",0.797130362446429,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0422542836222413,0.0150467989620771,0.0723478815463955,0.012160685698087
"53",0.840933132558925,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0429912393293535,0.0153340872852758,0.073659413899905,0.012323064758802
"54",0.884735902671421,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0437397902420323,0.0156274574184434,0.0749947050789191,0.0124848754051455
