"","pig_fam","pop_den","M6_24_sch","propPrimSec","dist_sch","garbage","crim_case","Pax_migt_out","mean_elev","dist_border","dist_provCap","elc","PA","areaKM","year","Province","Provcomm","fit","se.fit","U_SE","L_SE"
"48",0.47415391678316,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307081045391309,0.010770726381383,0.0522495573018968,0.009166651776365
"49",0.51154945449866,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307081157150294,0.0107707263626535,0.0522495684403363,0.0091666629897224
"50",0.54894499221416,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307081268909716,0.0107707264485934,0.0522495797881584,0.00916667399378484
"51",0.58634052992966,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307081380669577,0.0107707266392051,0.0522495913453679,0.0091666847885474
"52",0.62373606764516,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307081492429875,0.0107707269344912,0.0522496031119698,0.00916669537400517
"53",0.66113160536066,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307081604190611,0.0107707273344539,0.052249615087969,0.00916670575015326
"54",0.69852714307616,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307081715951786,0.0107707278390959,0.0522496272733704,0.00916671591698675
"55",0.73592268079166,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307081827713398,0.0107707284484195,0.0522496396681789,0.00916672587450077
"56",0.77331821850716,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307081939475449,0.0107707291624272,0.0522496522723993,0.00916673562269043
"57",0.81071375622266,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307082051237937,0.0107707299811214,0.0522496650860366,0.00916674516155085
"58",0.84810929393816,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307082163000864,0.0107707309045046,0.0522496781090956,0.00916675449107715
"59",0.88550483165366,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307082274764228,0.0107707319325792,0.0522496913415812,0.00916676361126447
"60",0.92290036936916,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307082386528031,0.0107707330653476,0.0522497047834983,0.00916677252210795
"61",0.96029590708466,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307082498292272,0.0107707343028122,0.0522497184348516,0.00916678122360273
"62",0.99769144480016,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.030708261005695,0.0107707356449755,0.0522497322956461,0.00916678971574397
"63",1.03508698251566,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307082721822067,0.0107707370918399,0.0522497463658866,0.00916679799852682
