"","crim_case","pop_den","M6_24_sch","propPrimSec","pig_fam","dist_sch","garbage","Pax_migt_out","mean_elev","dist_border","dist_provCap","elc","PA","areaKM","year","Province","Provcomm","fit","se.fit","U_SE","L_SE"
"73",14.4377499040083,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307299140720515,0.0107783739311855,0.0522866619344225,0.00917316620968057
"74",14.6476515941248,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307302348183743,0.0107785009820671,0.0522872367825085,0.00917323285424015
"75",14.8575532842414,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307305556109917,0.0107786284988241,0.0522878126086399,0.00917329861334359
"76",15.067454974358,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307308764499095,0.010778756481764,0.0522883894134375,0.00917336348638143
"77",15.2773566644746,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307311973351332,0.0107788849311946,0.0522889671975223,0.00917342747274403
"78",15.4872583545912,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307315182666685,0.0107790138474234,0.0522895459615153,0.00917349057182159
"79",15.6971600447077,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.030731839244521,0.0107791432307584,0.0522901257060378,0.00917355278300415
"80",15.9070617348243,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307321602686964,0.0107792730815074,0.0522907064317112,0.0091736141056816
"81",16.1169634249409,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307324813392004,0.0107794033999784,0.0522912881391571,0.00917367453924365
"82",16.3268651150575,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307328024560385,0.0107795341864793,0.0522918708289972,0.00917373408307985
"83",16.5367668051741,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307331236192165,0.0107796654413185,0.0522924545018534,0.00917379273657962
"84",16.7466684952906,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.03073344482874,0.0107797971648039,0.0522930391583478,0.00917385049913217
"85",16.9565701854072,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307337660846146,0.010779929357244,0.0522936247991026,0.0091739073701266
"86",17.1664718755238,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.030734087386846,0.0107800620189471,0.0522942114247401,0.00917396334895181
"87",17.3763735656404,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307344087354398,0.0107801951502216,0.052294799035883,0.00917401843499655
"88",17.5862752557569,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307347301304017,0.0107803287513761,0.0522953876331539,0.00917407262764943
"89",17.7961769458735,3.82096050810237e-17,-1.5735391488165e-16,-3.69269725994135e-17,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307350515717373,0.0107804628227192,0.0522959772171757,0.00917412592629887
