"","propPrimSec","pop_den","M6_24_sch","pig_fam","dist_sch","garbage","crim_case","Pax_migt_out","mean_elev","dist_border","dist_provCap","elc","PA","areaKM","year","Province","Provcomm","fit","se.fit","U_SE","L_SE"
"59",-0.982010961669432,3.82096050810237e-17,-1.5735391488165e-16,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0308074559316007,0.0108074577957394,0.0524223715230795,0.00919254034012191
"60",-0.940362213007599,3.82096050810237e-17,-1.5735391488165e-16,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0308032240429821,0.0108058602918698,0.0524149446267216,0.00919150345924256
"61",-0.898713464345764,3.82096050810237e-17,-1.5735391488165e-16,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307989932383216,0.010804266351568,0.0524075259414577,0.00919046053518552
"62",-0.857064715683931,3.82096050810237e-17,-1.5735391488165e-16,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307947635173848,0.0108026759727205,0.0524001154628258,0.00918941157194379
"63",-0.815415967022097,3.82096050810237e-17,-1.5735391488165e-16,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307905348799373,0.0108010891532114,0.0523927131863601,0.0091883565735144
"64",-0.773767218360263,3.82096050810237e-17,-1.5735391488165e-16,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307863073257445,0.010799505890923,0.0523853191075906,0.00918729554389841
"65",-0.732118469698429,3.82096050810237e-17,-1.5735391488165e-16,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307820808545721,0.0107979261837356,0.0523779332220434,0.0091862284871009
"66",-0.690469721036595,3.82096050810237e-17,-1.5735391488165e-16,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307778554661858,0.0107963500295274,0.0523705555252406,0.009185155407131
"67",-0.648820972374761,3.82096050810237e-17,-1.5735391488165e-16,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307736311603512,0.0107947774261747,0.0523631860127005,0.00918407630800182
"68",-0.607172223712927,3.82096050810237e-17,-1.5735391488165e-16,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307694079368339,0.0107932083715517,0.0523558246799373,0.00918299119373051
"69",-0.565523475051093,3.82096050810237e-17,-1.5735391488165e-16,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307651857953997,0.0107916428635308,0.0523484715224613,0.00918190006833818
"70",-0.523874726389259,3.82096050810237e-17,-1.5735391488165e-16,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307609647358144,0.0107900808999822,0.0523411265357788,0.00918080293584994
"71",-0.482225977727425,3.82096050810237e-17,-1.5735391488165e-16,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307567447578436,0.0107885224787743,0.0523337897153923,0.0091796998002949
"72",-0.440577229065591,3.82096050810237e-17,-1.5735391488165e-16,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307525258612532,0.0107869675977735,0.0523264610568002,0.00917859066570613
"73",-0.398928480403757,3.82096050810237e-17,-1.5735391488165e-16,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.030748308045809,0.0107854162548442,0.0523191405554973,0.00917747553612065
"74",-0.357279731741924,3.82096050810237e-17,-1.5735391488165e-16,7.53114777775525e-17,-1.2727344807417e-17,-7.92054810010145e-17,2.70577282748356e-17,1.52068041807876e-17,4.6238260287186e-17,-2.92946827208495e-17,7.82405860655174e-17,"0","0",44.05124145,NA,NA,NA,0.0307440913112768,0.0107838684478487,0.0523118282069741,0.00917635441557946
