"Gross national income (GNI) per capita (2011 PPP $)"
"HDI Rank","Country","1990","","1991","","1992","","1993","","1994","","1995","","1996","","1997","","1998","","1999","","2000","","2001","","2002","","2003","","2004","","2005","","2006","","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"118"," Bolivia (Plurinational State of)","3540","..","3675","..","3708","..","3784","..","3904","..","3997","..","4132","..","4240","..","4392","..","4307","..","4320","..","4315","..","4341","..","4325","..","4393","..","4528","..","4682","..","4802","..","5038","..","5093","..","5178","..","5327","..","5433","..","5704","..","6013","..","6345","..","6621","..","6714",".."
"77"," Bosnia and Herzegovina","1562","..","1446","..","1395","..","1415","..","1628","..","2024","..","3356","..","4708","..","7008","..","7393","..","7440","..","7511","..","7765","..","7964","..","8356","..","8648","..","9022","..","9559","..","10188","..","9942","..","9879","..","9981","..","10007","..","10419","..","10600","..","11004","..","11353","..","11716",".."
"101"," Botswana","7895","..","8603","..","8697","..","8968","..","8127","..","8854","..","8757","..","9491","..","9864","..","9903","..","9775","..","10032","..","9461","..","10141","..","10130","..","10629","..","11424","..","12313","..","12914","..","12234","..","12778","..","13790","..","14292","..","15183","..","15572","..","15109","..","15455","..","15534",".."
"79"," Brazil","10697","..","10058","..","10044","..","10289","..","10807","..","11097","..","11155","..","11303","..","11097","..","10843","..","11197","..","11103","..","11244","..","11259","..","11816","..","12041","..","12356","..","12956","..","13390","..","13252","..","14112","..","14583","..","14797","..","15244","..","15067","..","14350","..","13730","..","13755","b"
"39"," Brunei Darussalam","85126","..","85334","..","86886","..","84742","..","85060","..","86577","..","86874","..","83583","..","81246","..","81912","..","82489","..","83039","..","84576","..","85426","..","84392","..","83411","..","85882","..","85384","..","82725","..","80307","..","80390","..","80217","..","80051","..","78474","..","76417","..","78611","..","76870","..","76427","c"
"51"," Bulgaria","8518","..","7743","..","7940","..","7880","..","8036","..","8210","..","8248","..","8281","..","8717","..","8278","..","8642","..","9372","..","10326","..","10901","..","11642","..","12461","..","13067","..","13454","..","14811","..","14715","..","14976","..","15184","..","15570","..","15655","..","16171","..","16663","..","17759","..","18740",".."
"183"," Burkina Faso","845","..","897","..","875","..","879","..","865","..","893","..","971","..","1000","..","1044","..","1089","..","1069","..","1109","..","1127","..","1180","..","1197","..","1266","..","1310","..","1340","..","1395","..","1393","..","1389","..","1418","..","1494","..","1532","..","1518","..","1527","..","1600","..","1650",".."
"185"," Burundi","1032","..","1073","..","1066","..","975","..","927","..","848","..","762","..","759","..","788","..","765","..","766","..","742","..","751","..","715","..","721","..","713","..","734","..","745","..","758","..","753","..","759","..","766","..","776","..","792","..","802","..","748","..","721","..","702",".."
"125"," Cabo Verde","2697","..","2662","..","2673","..","2786","..","2892","..","3015","..","3128","..","3294","..","3482","..","3796","..","3945","..","4170","..","4252","..","4400","..","4506","..","4658","..","5032","..","5516","..","5787","..","5656","..","5570","..","5757","..","5732","..","5756","..","5632","..","5692","..","5829","..","5983",".."
"146"," Cambodia","933","..","965","..","1000","..","1015","..","1024","..","1084","..","1106","..","1133","..","1148","..","1250","..","1347","..","1414","..","1467","..","1574","..","1704","..","1889","..","2062","..","2256","..","2355","..","2314","..","2410","..","2534","..","2661","..","2787","..","2945","..","3086","..","3246","..","3413",".."
"151"," Cameroon","2905","..","2658","..","2535","..","2274","..","2246","..","2260","..","2297","..","2354","..","2429","..","2476","..","2451","..","2472","..","2534","..","2644","..","2784","..","2753","..","2812","..","2843","..","2882","..","2899","..","2901","..","2938","..","2975","..","3040","..","3170","..","3243","..","3280","..","3315",".."
"12"," Canada","30227","..","29270","..","29094","..","29600","..","30582","..","31173","..","31368","..","32441","..","33340","..","34766","..","36493","..","36700","..","37583","..","37890","..","38775","..","39657","..","40559","..","41040","..","40997","..","39253","..","39901","..","40778","..","41055","..","41697","..","42383","..","42512","..","42664","..","43433",".."
"188"," Central African Republic","935","..","926","..","890","..","860","..","872","..","899","..","809","..","842","..","859","..","900","..","893","..","886","..","862","..","792","..","792","..","801","..","824","..","840","..","852","..","862","..","885","..","909","..","944","..","595","..","600","..","624","..","644","..","663",".."
"186"," Chad","1097","..","1167","..","1225","..","963","..","1056","..","1038","..","1022","..","1038","..","1085","..","1039","..","980","..","1052","..","1076","..","978","..","1290","..","1519","..","1379","..","1499","..","1450","..","1677","..","1860","..","1815","..","1914","..","1912","..","1984","..","2014","..","1850","..","1750",".."
"44"," Chile","8248","..","8777","..","9810","..","10417","..","10716","..","11775","..","12498","..","13264","..","13758","..","13455","..","13917","..","14234","..","14439","..","14555","..","15065","..","15637","..","15667","..","16439","..","17652","..","17347","..","18054","..","19187","..","20335","..","21082","..","21507","..","21854","..","21768","..","21910",".."
"86"," China","1529","..","1647","..","1855","..","2084","..","2333","..","2530","..","2756","..","2987","..","3177","..","3399","..","3662","..","3930","..","4276","..","4692","..","5152","..","5682","..","6400","..","7302","..","7996","..","8638","..","9485","..","10288","..","11121","..","11855","..","12775","..","13519","..","14354","..","15270",".."
"90"," Colombia","7174","..","7255","..","7510","..","7608","..","8045","..","8329","..","8331","..","8474","..","8435","..","7964","..","8162","..","8157","..","8226","..","8369","..","8688","..","8963","..","9449","..","9949","..","10155","..","10247","..","10491","..","10965","..","11364","..","11847","..","12315","..","12772","..","13050","..","12938",".."
