"Gross national income (GNI) per capita (2011 PPP $)"
"HDI Rank","Country","1990","","1991","","1992","","1993","","1994","","1995","","1996","","1997","","1998","","1999","","2000","","2001","","2002","","2003","","2004","","2005","","2006","","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"97"," Jamaica","6759","..","6710","..","7197","..","8198","..","8163","..","8027","..","8171","..","8074","..","7710","..","7689","..","7717","..","7682","..","7551","..","7813","..","7888","..","7887","..","8144","..","8218","..","8212","..","7704","..","7699","..","7841","..","7899","..","7834","..","7875","..","7841","..","7832","..","7846",".."
"19"," Japan","30828","..","31791","..","32030","..","31794","..","31974","..","32731","..","33768","..","34084","..","33586","..","33437","..","34386","..","34477","..","34399","..","34906","..","35770","..","36461","..","37114","..","37821","..","37233","..","35175","..","36685","..","36788","..","37341","..","38387","..","38675","..","39322","..","38267","..","38986",".."
"95"," Jordan","5923","..","5577","..","6377","..","6383","..","6406","..","6607","..","6533","..","6682","..","6824","..","6923","..","7309","..","7603","..","7819","..","8018","..","8565","..","8992","..","9388","..","9758","..","9876","..","9888","..","9391","..","9130","..","8855","..","8669","..","8525","..","8392","..","8320","..","8288",".."
"58"," Kazakhstan","13734","..","12230","..","..","..","10593","..","9368","..","8735","..","8893","..","9160","..","9151","..","9303","..","9902","..","11419","..","12660","..","13634","..","14666","..","15407","..","16243","..","17222","..","16855","..","17677","..","17925","..","18215","..","19163","..","21007","..","21699","..","23164","..","22054","..","22626",".."
"142"," Kenya","2297","..","2245","..","2161","..","2057","..","2068","..","2130","..","2191","..","2151","..","2169","..","2150","..","2112","..","2130","..","2088","..","2088","..","2141","..","2223","..","2298","..","2384","..","2333","..","2344","..","2467","..","2557","..","2595","..","2654","..","2716","..","2806","..","2898","..","2961",".."
"134"," Kiribati","2162","..","2113","..","2014","..","1924","..","1971","..","2105","..","1780","..","2245","..","2592","..","2445","..","2410","..","2402","..","2375","..","2175","..","2119","..","2705","..","2590","..","2635","..","2593","..","2432","..","2493","..","2344","..","2627","..","3012","..","3393","..","3692","..","3002","..","3042","b"
"22"," Korea (Republic of)","11614","..","12687","..","13326","..","14091","..","15213","..","16482","..","17573","..","18400","..","17121","..","18974","..","20601","..","21377","..","22902","..","23457","..","24556","..","25315","..","26600","..","27932","..","28590","..","28579","..","30387","..","31412","..","32099","..","32781","..","33534","..","34276","..","35122","..","35945",".."
"56"," Kuwait","53416","..","34365","..","56477","..","74117","..","83171","..","92727","..","92724","..","93696","..","92175","..","81025","..","81503","..","76905","..","74343","..","84816","..","94689","..","102169","..","107098","..","105740","..","99025","..","85974","..","80123","..","82076","..","83691","..","79962","..","77371","..","73657","..","74109","..","70524",".."
"122"," Kyrgyzstan","3420","..","3096","..","2639","..","2224","..","1758","..","1634","..","1728","..","1846","..","1843","..","1859","..","1932","..","2056","..","2043","..","2169","..","2265","..","2258","..","2343","..","2527","..","2649","..","2700","..","2601","..","2610","..","2764","..","2927","..","3026","..","3086","..","3113","..","3255",".."
"139"," Lao People's Democratic Republic","1732","..","1756","..","1803","..","1859","..","1952","..","2044","..","2138","..","2195","..","2230","..","2383","..","2416","..","2513","..","2625","..","2696","..","2858","..","3059","..","3157","..","3415","..","3576","..","3854","..","3972","..","4191","..","4526","..","4861","..","5216","..","5523","..","5822","..","6070",".."
"41"," Latvia","15997","..","14400","..","9352","..","8061","..","8229","..","8345","..","8630","..","9506","..","10214","..","10402","..","11162","..","12087","..","13080","..","14230","..","15345","..","17347","..","19305","..","21284","..","21111","..","19929","..","18482","..","19768","..","20687","..","21519","..","22094","..","22889","..","23685","..","25002",".."
"80"," Lebanon","8973","..","11500","..","10682","..","10828","..","12298","..","12945","..","13298","..","12802","..","13020","..","12835","..","12778","..","12474","..","11740","..","9959","..","11810","..","12149","..","12327","..","13687","..","14797","..","15682","..","16230","..","15600","..","14984","..","14331","..","13657","..","13174","..","13011","..","13378",".."
"159"," Lesotho","2677","..","2571","..","2561","..","2564","..","2526","..","2529","..","2615","..","2740","..","3157","..","3159","..","3070","..","3010","..","3014","..","3096","..","3041","..","2881","..","2865","..","2875","..","2989","..","2894","..","2977","..","2957","..","3007","..","2991","..","2972","..","3039","..","3124","..","3255",".."
"181"," Liberia","752","..","657","..","434","..","294","..","229","..","213","..","226","..","432","..","523","..","504","..","656","..","569","..","539","..","332","..","503","..","516","..","528","..","583","..","592","..","613","..","619","..","675","..","669","..","711","..","702","..","694","..","667","..","667",".."
"108"," Libya","20521","..","23170","..","22026","..","20740","..","20703","..","19849","..","19919","..","20641","..","19645","..","19439","..","19545","..","19375","..","18937","..","21219","..","21212","..","23070","..","24803","..","25567","..","28787","..","28284","..","29001","..","11211","..","24539","..","11959","..","9365","..","9127","..","8876","..","11100","b"
"17"," Liechtenstein","79013","..","82279","..","81956","..","81286","..","82090","..","82412","..","84815","..","91939","..","101672","..","108789","..","112321","..","101131","..","97254","..","91637","..","90586","..","97344","..","108063","..","119888","..","116408","..","98880","..","103575","..","92372","..","81887","..","92862","..","95784","..","98290","..","97355","..","97336","c,e"
"35"," Lithuania","15951","..","15062","..","11904","..","10012","..","9079","..","9398","..","9851","..","10616","..","11445","..","11375","..","11935","..","12881","..","13916","..","15243","..","16587","..","18273","..","19834","..","21881","..","22756","..","20672","..","20672","..","22015","..","23326","..","24492","..","25912","..","25922","..","26884","..","28314",".."
"21"," Luxembourg","49610","..","53116","..","53640","..","53626","..","53051","..","54895","..","54773","..","58618","..","59972","..","62598","..","67215","..","69618","..","65095","..","61229","..","67888","..","72041","..","70221","..","83501","..","78100","..","58309","..","61871","..","64051","..","62259","..","60583","..","60794","..","62889","..","65460","..","65016","b"
"161"," Madagascar","1590","..","1416","..","1416","..","1409","..","1354","..","1334","..","1334","..","1358","..","1375","..","1406","..","1418","..","1464","..","1236","..","1319","..","1342","..","1368","..","1397","..","1452","..","1515","..","1407","..","1371","..","1346","..","1326","..","1320","..","1332","..","1323","..","1339","..","1358",".."
"171"," Malawi","1548","..","1662","..","1440","..","1583","..","1466","..","1415","..","1127","..","1618","..","1574","..","1556","..","1541","..","1416","..","783","..","806","..","827","..","832","..","847","..","904","..","944","..","987","..","1017","..","1036","..","1016","..","1030","..","1059","..","1052","..","1053","..","1064",".."
"57"," Malaysia","10170","..","10769","..","11396","..","12266","..","13067","..","13992","..","14998","..","15589","..","14054","..","14333","..","15076","..","14980","..","15565","..","16302","..","17090","..","17778","..","18703","..","19676","..","20042","..","19607","..","20443","..","21302","..","21760","..","22460","..","23403","..","24324","..","24968","..","26107",".."
"101"," Maldives","5326","..","5570","..","5758","..","5954","..","6197","..","6489","..","7124","..","7624","..","7838","..","8256","..","8561","..","8001","..","8495","..","9310","..","9685","..","8388","..","10247","..","10637","..","11352","..","10284","..","10753","..","11321","..","11259","..","11746","..","12279","..","12251","..","12717","..","13567","b"
"182"," Mali","1269","..","1395","..","1315","..","1326","..","1324","..","1293","..","1348","..","1374","..","1442","..","1492","..","1454","..","1568","..","1548","..","1684","..","1658","..","1712","..","1723","..","1744","..","1775","..","1795","..","1801","..","1808","..","1731","..","1741","..","1810","..","1865","..","1901","..","1953",".."
"29"," Malta","17260","..","17960","..","18401","..","18883","..","19419","..","20305","..","20754","..","21667","..","22167","..","23601","..","24117","..","24805","..","25258","..","25470","..","25489","..","25521","..","25778","..","26834","..","27733","..","25683","..","26879","..","27691","..","27955","..","28738","..","30361","..","32755","..","33025","..","34396",".."
"106"," Marshall Islands","3631","..","3546","..","3730","..","3901","..","4087","..","4384","..","3903","..","3673","..","3676","..","3679","..","3900","..","4096","..","4106","..","4081","..","4085","..","4238","..","4241","..","4376","..","4231","..","4146","..","4221","..","4280","..","4247","..","4459","..","4656","..","4983","..","5006","..","5125",".."
"159"," Mauritania","2680","..","2703","..","2690","..","2750","..","2589","..","2763","..","3016","..","2796","..","2800","..","2907","..","2785","..","2656","..","2960","..","2877","..","2954","..","3111","..","3393","..","3418","..","3407","..","3350","..","3289","..","3271","..","3338","..","3472","..","3590","..","3505","..","3520","..","3592",".."
"65"," Mauritius","7329","..","7648","..","8051","..","8341","..","8501","..","8807","..","9157","..","9612","..","10067","..","10208","..","11011","..","11308","..","11465","..","11705","..","12338","..","12801","..","13505","..","14512","..","15061","..","15248","..","16110","..","16607","..","17149","..","17665","..","17827","..","18733","..","19468","..","20189",".."
"74"," Mexico","12690","..","13030","..","13245","..","13622","..","13896","..","12047","..","12864","..","13539","..","13922","..","14315","..","14814","..","14486","..","14371","..","14667","..","15187","..","15291","..","15731","..","16283","..","16262","..","15228","..","15770","..","15960","..","16165","..","15991","..","16292","..","16569","..","16623","..","16944",".."
"131"," Micronesia (Federated States of)","3213","..","3269","..","3207","..","3233","..","3178","..","3291","..","3155","..","2860","..","2928","..","3051","..","3201","..","3247","..","3261","..","3319","..","3275","..","3370","..","3377","..","3351","..","3255","..","3410","..","3415","..","3518","..","3501","..","3468","..","3380","..","3887","..","3789","..","3843","b"
"112"," Moldova (Republic of)","6474","..","5331","..","3747","..","3717","..","2579","..","2567","..","2536","..","2571","..","2396","..","2317","..","2362","..","2631","..","2845","..","3195","..","3472","..","3708","..","3882","..","3924","..","4247","..","3854","..","4236","..","4523","..","4620","..","5040","..","5252","..","5084","..","5311","..","5554",".."
"92"," Mongolia","4714","..","4496","..","4100","..","3796","..","3981","..","4311","..","4374","..","4511","..","4684","..","4761","..","4654","..","4703","..","4927","..","5179","..","5858","..","6004","..","6487","..","6984","..","7440","..","7147","..","7105","..","8150","..","9014","..","10124","..","10441","..","10511","..","10618","..","10103",".."
"50"," Montenegro","14517","..","12933","..","9870","..","6248","..","6328","..","7229","..","9234","..","9866","..","10351","..","9517","..","10918","..","11056","..","11268","..","11501","..","11913","..","11894","..","12987","..","13763","..","14777","..","13707","..","13924","..","14589","..","14309","..","14846","..","15000","..","15702","..","15961","..","16779",".."
"123"," Morocco","3800","..","3990","..","3849","..","3735","..","4085","..","3788","..","4229","..","4104","..","4372","..","4369","..","4394","..","4665","..","4768","..","5002","..","5200","..","5337","..","5669","..","5812","..","6093","..","6199","..","6353","..","6576","..","6656","..","6901","..","6913","..","7154","..","7149","..","7340",".."
"180"," Mozambique","366","..","373","..","334","..","352","..","358","..","360","..","449","..","486","..","530","..","565","..","544","..","595","..","578","..","653","..","673","..","709","..","732","..","774","..","808","..","863","..","887","..","941","..","989","..","1030","..","1066","..","1094","..","1098","..","1093",".."
"148"," Myanmar","770","..","753","..","816","..","855","..","908","..","959","..","1009","..","1052","..","1056","..","1157","..","1300","..","1431","..","1586","..","1787","..","2010","..","2264","..","2541","..","2827","..","3097","..","3402","..","3717","..","3898","..","4142","..","4442","..","4753","..","5039","..","5282","..","5567","b"
"129"," Namibia","5784","..","6148","..","6227","..","6027","..","5925","..","6123","..","6011","..","6062","..","6117","..","6006","..","6160","..","6068","..","6338","..","6753","..","7252","..","7155","..","7636","..","7955","..","8075","..","7962","..","8139","..","8486","..","8592","..","9192","..","9599","..","9929","..","9582","..","9387",".."
"n.a"," Nauru","24143","..","19147","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","6915","..","6243","..","5674","..","6040","..","4994","..","5343","..","3206","..","4121","..","7640","..","6174","..","7453","..","8162","..","9840","..","12681","..","16851","..","17049","..","18652","..","18573","b"
"149"," Nepal","1168","..","1209","..","1226","..","1239","..","1307","..","1322","..","1350","..","1393","..","1410","..","1461","..","1526","..","1591","..","1559","..","1596","..","1644","..","1689","..","1733","..","1778","..","1867","..","1937","..","2001","..","2042","..","2120","..","2181","..","2305","..","2353","..","2334","..","2471",".."
"10"," Netherlands","31977","..","32601","..","32815","..","33172","..","34116","..","35210","..","36345","..","37458","..","38422","..","40786","..","42395","..","42010","..","41879","..","42364","..","43208","..","43230","..","45674","..","46950","..","46260","..","45172","..","45899","..","46909","..","46344","..","45824","..","45557","..","46239","..","46711","..","47900",".."
"16"," New Zealand","22089","..","20858","..","20846","..","21677","..","22574","..","23341","..","23558","..","24415","..","24835","..","25630","..","26135","..","27123","..","28023","..","28781","..","29000","..","29376","..","29696","..","30339","..","29591","..","30887","..","30530","..","31252","..","31995","..","32377","..","32999","..","33643","..","33679","..","33970",".."
"124"," Nicaragua","2618","..","2559","..","2563","..","2453","..","2453","..","2651","..","2821","..","2933","..","3059","..","3223","..","3310","..","3339","..","3339","..","3389","..","3540","..","3681","..","3742","..","3902","..","4087","..","3901","..","4023","..","4226","..","4448","..","4613","..","4780","..","5010","..","5145","..","5157",".."
"189"," Niger","804","..","796","..","765","..","753","..","739","..","731","..","751","..","726","..","793","..","774","..","727","..","755","..","764","..","763","..","734","..","761","..","778","..","773","..","813","..","775","..","808","..","795","..","846","..","853","..","888","..","889","..","898","..","906",".."
"157"," Nigeria","2792","..","2707","..","2618","..","2506","..","2540","..","2569","..","2652","..","2669","..","2645","..","2672","..","2451","..","2638","..","2645","..","2809","..","3686","..","3669","..","4229","..","4211","..","4349","..","4476","..","4862","..","4970","..","5066","..","5205","..","5480","..","5527","..","5326","..","5231",".."
"1"," Norway","41742","..","42707","..","44397","..","45329","..","47589","..","49489","..","51736","..","54210","..","55284","..","56127","..","57238","..","58904","..","59540","..","59898","..","61678","..","63424","..","63793","..","64772","..","64168","..","62932","..","62910","..","62645","..","63438","..","63488","..","65684","..","67028","..","67340","..","68012",".."
"48"," Oman","35411","..","35950","..","36780","..","37796","..","37330","..","38497","..","38824","..","41153","..","41736","..","41180","..","43276","..","44804","..","43059","..","41600","..","41340","..","40625","..","38745","..","42465","..","43201","..","43539","..","42954","..","39556","..","40429","..","40320","..","38333","..","38980","..","38129","..","36290",".."
"150"," Pakistan","3195","..","3201","..","3311","..","3272","..","3292","..","3387","..","3424","..","3358","..","3356","..","3400","..","3451","..","3442","..","3546","..","3737","..","3895","..","4101","..","4255","..","4365","..","4358","..","4418","..","4447","..","4503","..","4589","..","4691","..","4832","..","4978","..","5155","..","5311",".."
"60"," Palau","13086","..","14165","..","12901","..","11435","..","11873","..","12343","..","12721","..","12488","..","12058","..","11661","..","13177","..","13309","..","13710","..","13917","..","14155","..","14043","..","13562","..","13388","..","12282","..","12070","..","11805","..","12500","..","12813","..","12298","..","12630","..","13400","..","13466","..","12831",".."
"119"," Palestine, State of","2890","..","2636","..","3150","..","3325","..","3064","..","3155","..","3207","..","3844","..","4869","..","5593","..","4701","..","4139","..","3917","..","4184","..","4385","..","4827","..","4546","..","4399","..","3971","..","4481","..","4450","..","4668","..","5221","..","4914","..","4817","..","5353","..","5410","..","5055",".."
"66"," Panama","7597","..","7914","..","8495","..","8973","..","9155","..","8957","..","9184","..","9465","..","9928","..","9990","..","10226","..","10030","..","10396","..","10288","..","10706","..","11199","..","11965","..","13035","..","14170","..","14003","..","14179","..","16081","..","17224","..","17905","..","18677","..","18167","..","18494","..","19178",".."
"153"," Papua New Guinea","1867","..","2006","..","2241","..","2667","..","3207","..","2974","..","3053","..","2790","..","2845","..","2833","..","2694","..","2628","..","2626","..","2681","..","2433","..","2451","..","2350","..","2728","..","2692","..","2732","..","2872","..","2962","..","2998","..","3059","..","3276","..","3371","..","3398","..","3403","b"
"110"," Paraguay","5784","..","5729","..","5624","..","5723","..","5771","..","5967","..","6280","..","6197","..","6053","..","5818","..","5313","..","5204","..","5217","..","4825","..","5053","..","5131","..","5538","..","6096","..","6487","..","6037","..","6780","..","7122","..","6814","..","7755","..","8092","..","8192","..","8424","..","8380",".."
"89"," Peru","5019","..","5169","..","5040","..","5161","..","5711","..","6004","..","6147","..","6462","..","6404","..","6407","..","6460","..","6452","..","6683","..","6812","..","6934","..","7194","..","7460","..","8019","..","8738","..","8784","..","9250","..","9666","..","10282","..","10910","..","11067","..","11420","..","11635","..","11789",".."
"113"," Philippines","3962","..","3888","..","3866","..","3876","..","3998","..","4099","..","4273","..","4466","..","4693","..","4717","..","4972","..","5043","..","5144","..","5270","..","5495","..","5678","..","5827","..","6065","..","6232","..","6421","..","6754","..","6836","..","7205","..","7667","..","7980","..","8323","..","8729","..","9154",".."
"33"," Poland","9935","..","9208","..","9317","..","9696","..","10481","..","11136","..","11892","..","12644","..","13231","..","13863","..","14646","..","14855","..","15171","..","15631","..","16084","..","16904","..","17888","..","18967","..","20005","..","20355","..","21056","..","22108","..","22497","..","22845","..","23514","..","24418","..","24983","..","26150",".."
"41"," Portugal","20109","..","21079","..","21421","..","20976","..","21062","..","22018","..","22608","..","23334","..","24291","..","25095","..","25510","..","25795","..","25913","..","25701","..","26041","..","26182","..","26102","..","26694","..","26526","..","25753","..","26318","..","26264","..","25180","..","25305","..","25572","..","25860","..","26521","..","27315",".."
"37"," Qatar","74424","..","71461","..","78276","..","76307","..","76545","..","77411","..","76580","..","97480","..","105063","..","105721","..","108644","..","106159","..","108010","..","108199","..","110739","..","99277","..","113338","..","113447","..","113128","..","108023","..","114064","..","119118","..","117143","..","116326","..","115743","..","117896","..","118088","..","116818","c"
"52"," Romania","11411","..","10057","..","9227","..","9364","..","9755","..","10452","..","10872","..","10369","..","10145","..","10116","..","10420","..","11167","..","11919","..","12512","..","13376","..","14186","..","15342","..","16619","..","18433","..","17684","..","17290","..","17698","..","17987","..","18597","..","19434","..","20049","..","21060","..","22646",".."
"49"," Russian Federation","20685","..","19584","..","16590","..","15175","..","13366","..","12761","..","12254","..","12357","..","11461","..","12244","..","13701","..","14678","..","15365","..","16358","..","17761","..","18895","..","20381","..","22337","..","23335","..","21463","..","22425","..","23595","..","24377","..","24655","..","24458","..","23909","..","23843","..","24233",".."
"158"," Rwanda","869","..","869","..","968","..","944","..","494","..","682","..","736","..","787","..","791","..","768","..","786","..","818","..","905","..","906","..","958","..","1033","..","1103","..","1163","..","1255","..","1297","..","1355","..","1424","..","1502","..","1525","..","1593","..","1688","..","1744","..","1811",".."
"72"," Saint Kitts and Nevis","13992","..","13802","..","14211","..","15014","..","15724","..","15967","..","16518","..","17358","..","17056","..","17246","..","18933","..","19607","..","19757","..","18518","..","19240","..","20807","..","21243","..","21064","..","22139","..","21221","..","20638","..","20954","..","20748","..","21882","..","22847","..","23502","..","23792","..","23978","b"
"90"," Saint Lucia","9470","..","9347","..","10006","..","9807","..","9899","..","9817","..","10375","..","10163","..","10709","..","10986","..","10851","..","10076","..","10308","..","10524","..","11007","..","10827","..","11774","..","11863","..","12251","..","12463","..","11951","..","11945","..","11346","..","11226","..","11230","..","11408","..","11441","..","11695",".."
"99"," Saint Vincent and the Grenadines","5459","..","5457","..","5838","..","6018","..","5785","..","6264","..","6393","..","6535","..","6827","..","7062","..","7190","..","7388","..","7841","..","8314","..","8591","..","8819","..","9601","..","10009","..","10149","..","10067","..","9737","..","9683","..","9955","..","10196","..","10320","..","10244","..","10358","..","10499","b"
"104"," Samoa","5254","..","5040","..","4806","..","5026","..","3273","..","3477","..","3865","..","3873","..","3959","..","4058","..","4316","..","4661","..","4768","..","4818","..","5100","..","5129","..","4997","..","5296","..","5312","..","5137","..","5363","..","5462","..","5243","..","5254","..","5332","..","5544","..","5804","..","5909","b"
"143"," Sao Tome and Principe","1910","..","1848","..","1822","..","1793","..","1804","..","1782","..","1809","..","1783","..","1770","..","1828","..","1827","..","1930","..","1928","..","2046","..","2067","..","2176","..","2428","..","2468","..","2531","..","2530","..","2649","..","2705","..","2668","..","2810","..","2949","..","2946","..","2894","..","2941","b"
"39"," Saudi Arabia","43941","..","48040","..","48086","..","46535","..","45014","..","44513","..","44076","..","43684","..","44503","..","42137","..","43138","..","41668","..","39327","..","42379","..","44549","..","45798","..","45894","..","45738","..","47508","..","45223","..","45951","..","49225","..","50305","..","50240","..","50787","..","51885","..","51329","..","49680",".."
"164"," Senegal","1777","..","1767","..","1758","..","1707","..","1659","..","1709","..","1728","..","1737","..","1804","..","1860","..","1871","..","1915","..","1873","..","1958","..","2024","..","2084","..","2086","..","2131","..","2156","..","2127","..","2157","..","2116","..","2142","..","2149","..","2164","..","2227","..","2297","..","2384",".."
"67"," Serbia","15950","..","13965","..","9933","..","6844","..","6975","..","7355","..","7555","..","8158","..","8355","..","7343","..","7987","..","8404","..","8969","..","9365","..","10214","..","10772","..","11331","..","11963","..","12562","..","12362","..","12405","..","12674","..","12454","..","12741","..","12574","..","12601","..","12877","..","13019",".."
"62"," Seychelles","14652","..","14977","..","15910","..","16465","..","16140","..","15542","..","15741","..","18196","..","19806","..","20040","..","18907","..","18905","..","17430","..","16651","..","16375","..","17533","..","18995","..","20253","..","19400","..","18551","..","20231","..","20991","..","22508","..","23851","..","24560","..","25204","..","25334","..","26077","b"
"184"," Sierra Leone","1516","..","1434","..","1251","..","1334","..","1289","..","1248","..","962","..","800","..","759","..","696","..","706","..","803","..","972","..","1017","..","1034","..","1037","..","1049","..","1179","..","1245","..","1268","..","1214","..","1229","..","1449","..","1647","..","1658","..","1297","..","1216","..","1240",".."
"9"," Singapore","33996","..","35069","..","37018","..","39412","..","43306","..","45228","..","46037","..","49489","..","46547","..","48825","..","51367","..","49310","..","50017","..","52670","..","54766","..","57709","..","62963","..","66163","..","63092","..","60728","..","71681","..","73255","..","73241","..","76008","..","79051","..","78742","..","78427","..","82503","c"
"38"," Slovakia","14668","..","12438","..","11577","..","11696","..","12392","..","13248","..","14159","..","14899","..","15477","..","15344","..","15535","..","16136","..","16795","..","16888","..","17965","..","19433","..","21030","..","23310","..","24896","..","23801","..","24585","..","24896","..","25716","..","26328","..","26808","..","27851","..","28546","..","29467",".."
"25"," Slovenia","18909","..","17216","..","16286","..","16778","..","17710","..","18552","..","19192","..","20111","..","20743","..","21846","..","22701","..","23402","..","24104","..","24727","..","25686","..","26793","..","28131","..","29589","..","30414","..","28059","..","28409","..","28576","..","27780","..","27473","..","28386","..","28371","..","29161","..","30594",".."
"152"," Solomon Islands","1614","..","1617","..","1740","..","1728","..","1822","..","1944","..","1921","..","1836","..","1839","..","1767","..","1495","..","1346","..","1260","..","1311","..","1399","..","1530","..","1562","..","1637","..","1508","..","1266","..","1399","..","1494","..","1797","..","1978","..","1893","..","1972","..","1850","..","1872","b"
"113"," South Africa","9391","..","9170","..","8792","..","8705","..","8809","..","8885","..","9071","..","9150","..","9032","..","9100","..","9340","..","9391","..","9658","..","9791","..","10182","..","10590","..","11058","..","11367","..","11629","..","11423","..","11639","..","11809","..","11886","..","12020","..","12064","..","12073","..","11948","..","11923",".."
"187"," South Sudan","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","2145","..","2165","..","2094","..","2132","..","1142","..","1177","..","1266","..","1264","..","1115","..","963","b"
"26"," Spain","23594","..","24144","..","24217","..","23975","..","23991","..","24982","..","25463","..","26307","..","27308","..","28422","..","29853","..","30624","..","31044","..","31554","..","31961","..","32422","..","33110","..","33494","..","33248","..","32044","..","32045","..","31512","..","30888","..","30516","..","31088","..","32217","..","33307","..","34258",".."
"76"," Sri Lanka","3587","..","3703","..","3844","..","4076","..","4238","..","4407","..","4538","..","4814","..","4991","..","5167","..","5439","..","5322","..","5506","..","5818","..","6082","..","6398","..","6829","..","7262","..","7552","..","7854","..","8435","..","9102","..","9804","..","9996","..","10403","..","10791","..","11118","..","11326",".."
"167"," Sudan","1593","..","1567","..","1672","..","1732","..","1755","..","1827","..","1937","..","2103","..","2128","..","2118","..","2135","..","2196","..","2287","..","2355","..","2370","..","2503","..","2729","..","2937","..","3093","..","3109","..","3109","..","3483","..","3806","..","2801","..","3824","..","3938","..","4015","..","4119",".."
"100"," Suriname","10281","..","10370","..","9719","..","8198","..","9390","..","9206","..","9327","..","9518","..","9773","..","9383","..","9442","..","8939","..","10002","..","10525","..","11257","..","11750","..","12264","..","13050","..","13490","..","13688","..","13879","..","14006","..","14554","..","15035","..","15115","..","14694","..","13413","..","13306","b"
"7"," Sweden","30255","..","29412","..","28373","..","27395","..","28969","..","30022","..","30489","..","31385","..","33039","..","35171","..","36864","..","37347","..","38069","..","39479","..","40544","..","41853","..","44112","..","45468","..","45055","..","41929","..","44205","..","44722","..","44378","..","44474","..","45149","..","46380","..","47378","..","47766",".."
"2"," Switzerland","49018","..","48015","..","47347","..","47069","..","46935","..","47231","..","47394","..","49190","..","50711","..","51705","..","53875","..","52890","..","51994","..","53625","..","54533","..","56993","..","58382","..","56420","..","52930","..","55667","..","58957","..","56460","..","57131","..","57567","..","57472","..","58280","..","57636","..","57625",".."
"155"," Syrian Arab Republic","..","..","3589","..","3975","..","4075","..","4426","..","4608","..","4815","..","5027","..","5111","..","4814","..","4664","..","4764","..","5039","..","4997","..","5246","..","5379","..","5562","..","5725","..","5754","..","5964","..","6086","..","5752","..","4567","..","3538","..","2830","..","2601","..","2432","..","2337","f"
"127"," Tajikistan","4029","..","3662","..","2537","..","2059","..","1565","..","1339","..","1063","..","1116","..","1160","..","1186","..","1246","..","1344","..","1460","..","1572","..","1739","..","1832","..","1919","..","2048","..","2183","..","2211","..","2696","..","2820","..","2963","..","3156","..","3102","..","3074","..","3164","..","3317","b"
"154"," Tanzania (United Republic of)","1416","..","1406","..","1365","..","1340","..","1321","..","1339","..","1377","..","1382","..","1403","..","1436","..","1463","..","1482","..","1579","..","1628","..","1703","..","1783","..","1845","..","1917","..","1964","..","2007","..","2069","..","2169","..","2195","..","2295","..","2376","..","2449","..","2557","..","2655",".."
"83"," Thailand","6560","..","7020","..","7448","..","8035","..","8588","..","9177","..","9526","..","9115","..","8242","..","8607","..","9003","..","9155","..","9563","..","10113","..","10646","..","11006","..","11574","..","12174","..","12294","..","12161","..","12918","..","13209","..","13795","..","13840","..","14106","..","14455","..","14971","..","15516",".."
"80"," The former Yugoslav Republic of Macedonia","9526","..","8999","..","8265","..","7704","..","7630","..","7570","..","7615","..","7665","..","7873","..","8126","..","8458","..","8257","..","8322","..","8482","..","8915","..","9216","..","9808","..","9985","..","10906","..","10911","..","11191","..","11405","..","11297","..","11591","..","12058","..","12336","..","12557","..","12505",".."
"132"," Timor-Leste","..","..","5416","..","5832","..","6273","..","6512","..","6852","..","7867","..","8675","..","8626","..","4371","..","5030","..","5224","..","5598","..","4604","..","3296","..","1758","..","3094","..","6448","..","7012","..","7996","..","8005","..","7860","..","4640","..","6098","..","5492","..","8003","..","8045","..","6846",".."
"165"," Togo","1293","..","1252","..","1178","..","975","..","1061","..","1135","..","1218","..","1353","..","1284","..","1263","..","1220","..","1166","..","1133","..","1160","..","1151","..","1136","..","1151","..","1151","..","1023","..","1050","..","1052","..","1050","..","1033","..","1060","..","1135","..","1374","..","1407","..","1453",".."
"98"," Tonga","3650","..","3877","..","3856","..","3980","..","4326","..","4372","..","4377","..","4330","..","4518","..","4650","..","4679","..","4763","..","4982","..","5010","..","4971","..","4951","..","4967","..","4759","..","4813","..","4903","..","5066","..","5246","..","5289","..","5102","..","5087","..","5248","..","5447","..","5547","b"
"69"," Trinidad and Tobago","11289","..","11516","..","11269","..","11139","..","11321","..","11681","..","12488","..","13737","..","15035","..","16176","..","16916","..","17867","..","19362","..","21888","..","24263","..","25181","..","28345","..","29658","..","30543","..","28791","..","29738","..","27264","..","27132","..","29066","..","28420","..","30203","..","29396","..","28622","b"
"95"," Tunisia","5468","..","5512","..","5791","..","5714","..","5817","..","5899","..","6190","..","6495","..","6747","..","7080","..","7314","..","7539","..","7579","..","7893","..","8307","..","8442","..","8834","..","9254","..","9493","..","9743","..","9972","..","9643","..","9956","..","10071","..","10287","..","10200","..","10192","..","10275","b"
"64"," Turkey","11214","..","11099","..","11482","..","12174","..","11317","..","12089","..","12804","..","13562","..","13719","..","13010","..","13656","..","12518","..","13208","..","13767","..","14946","..","16129","..","17060","..","17730","..","17656","..","16580","..","17804","..","19490","..","20128","..","21453","..","22203","..","23125","..","23500","..","24804",".."
