,(Intercept),corn_med,cpi,for_prod,for_rem,nfi,rice_med,rub_med,sug_med,time,df,logLik,AICc,delta,weight
350,-4701.182323,0.080525763,NA,-0.000140275,0.058379292,0.061526036,NA,0.033181545,NA,1.040810019,8,-125.4088362,277.8945954,12.62906108,0.000282647
351,-4710.05102,NA,0.06530363,-0.000145974,0.058457548,0.039110367,NA,0.035047079,NA,1.037018279,8,-125.4172103,277.9113437,12.6458093,0.00028029
336,-4718.365556,0.029956839,0.083152695,-0.000146944,0.058538399,NA,NA,0.033901673,NA,1.033796573,8,-125.427717,277.9323571,12.6668227,0.00027736
412,-4750.246219,0.47284625,-0.346340765,NA,0.058993197,0.172746796,NA,NA,0.408185245,1.092539627,8,-125.4281721,277.9332672,12.66773286,0.000277234
490,-4813.712001,0.071532544,NA,NA,0.059570982,NA,0.169161728,0.009575144,0.306138388,1.076154812,8,-125.4479671,277.9728573,12.70732293,0.0002718
505,-4813.273993,NA,NA,NA,0.059564799,-0.016859974,0.193424334,0.011837393,0.298594247,1.07475313,8,-125.4551338,277.9871907,12.72165637,0.000269859
442,-4817.790189,0.192275865,NA,NA,0.059618236,0.03296758,0.136108361,NA,0.347461201,1.079983618,8,-125.4887866,278.0544963,12.78896195,0.000260929
443,-4794.36617,NA,-0.163334918,NA,0.059402713,-0.013574022,0.23120811,NA,0.391555787,1.07919119,8,-125.5144312,278.1057856,12.8402512,0.000254322
474,-4810.423313,0.332881847,NA,NA,0.059550536,0.111647783,NA,0.003597212,0.332054883,1.083805432,8,-125.5889576,278.2548383,12.98930395,0.000236058
460,-4793.126466,0.333660062,-0.197112681,NA,0.059403867,NA,NA,0.006166476,0.38114579,1.076885652,8,-125.6342386,278.3454003,13.07986596,0.000225607
415,-4776.149868,NA,0.082906829,-9.61E-05,0.059164555,0.031385167,NA,NA,0.335281043,1.055540666,8,-125.6733118,278.4235466,13.15801224,0.000216962
319,-4770.243935,NA,0.224720338,-0.000132037,0.059048353,-0.071186585,0.249531446,NA,NA,1.037828435,8,-125.7405663,278.5580556,13.29252121,0.00020285
304,-4758.374765,0.085572739,0.169722476,-0.00012431,0.058941577,NA,0.207767948,NA,NA,1.045014328,8,-125.760434,278.5977911,13.33225674,0.00019886
318,-4732.363786,0.119781295,NA,-0.00012215,0.058703263,-0.007902006,0.224683925,NA,NA,1.046399074,8,-125.814813,278.706549,13.44101461,0.000188335
475,-4782.940188,NA,-0.126616283,NA,0.059291627,0.085243994,NA,0.019019454,0.317873391,1.080436639,8,-125.8468855,278.7706941,13.50515969,0.00018239
364,-4784.926922,-0.069098189,-0.036700781,NA,0.059276148,NA,0.221587024,0.028014067,NA,1.071265307,8,-126.0272159,279.1313548,13.86582047,0.000152295
378,-4792.174074,-0.083222161,NA,NA,0.059344098,-0.008935666,0.224068904,0.027735658,NA,1.070353815,8,-126.0291406,279.1352042,13.86966987,0.000152002
379,-4781.29478,NA,-0.053444133,NA,0.059243325,0.021417117,0.19863793,0.026468381,NA,1.072987569,8,-126.0327173,279.1423577,13.87682337,0.000151459
288,-4757.335125,0.357566568,0.135279602,-0.00010829,0.058955413,0.107060112,NA,NA,NA,1.05466428,8,-126.0510855,279.1790941,13.91355968,0.000148703
348,-4772.373771,0.271776123,-0.069408557,NA,0.059170009,0.149797284,NA,0.022480813,NA,1.081138003,8,-126.2731506,279.6232242,14.35768984,0.00011909
316,-4810.115656,0.259563166,0.057628536,NA,0.059534888,0.079481493,0.141439586,NA,NA,1.079240737,8,-126.4744569,280.0258368,14.76030247,9.74E-05
382,-4681.708879,-0.625689436,NA,-0.000192833,0.058128185,-0.246368133,0.427955654,0.048789933,NA,1.008330025,9,-124.520772,282.0415439,16.77600955,3.55E-05
494,-4709.205077,-0.179658621,NA,-0.00013713,0.05844761,NA,0.231178616,0.02828644,0.154272305,1.041946414,9,-124.6683403,282.3366806,17.07114624,3.07E-05
495,-4697.23658,NA,-0.176068456,-0.000120981,0.058361076,NA,0.202413284,0.022848818,0.219644897,1.048059907,9,-124.6686505,282.3373009,17.07176658,3.07E-05
509,-4730.259978,NA,NA,-0.000127001,0.058666961,-0.05619001,0.201520075,0.020946595,0.194738857,1.040966156,9,-124.6969872,282.3939744,17.12844008,2.98E-05
368,-4677.862643,-0.279598382,-0.026308835,-0.000159822,0.058119517,NA,0.264500833,0.039323395,NA,1.034297471,9,-124.8023756,282.6047512,17.33921684,2.68E-05
383,-4697.115126,NA,-0.033119118,-0.000148244,0.058323347,-0.039884752,0.206075352,0.03118558,NA,1.034285982,9,-124.9402447,282.8804894,17.614955,2.34E-05
432,-4738.5765,0.14176511,-0.143139374,-9.22E-05,0.05879813,NA,0.187377609,NA,0.336912067,1.058253324,9,-124.9855308,282.9710617,17.70552728,2.23E-05
446,-4760.597846,0.06511905,NA,-0.000101023,0.058995558,-0.044153082,0.208530523,NA,0.309471121,1.051687343,9,-125.0081428,283.0162857,17.75075132,2.18E-05
447,-4750.228182,NA,-0.065869217,-0.000102053,0.058899003,-0.059431659,0.241958128,NA,0.326042239,1.051338343,9,-125.0086785,283.0173569,17.75182258,2.18E-05
478,-4736.825121,0.173604138,NA,-0.000109165,0.058757035,0.060720252,NA,0.018191491,0.22742907,1.052235057,9,-125.1091504,283.2183009,17.95276648,1.97E-05
464,-4728.518592,0.166151283,-0.088388707,-0.000111752,0.058684533,NA,NA,0.019852855,0.247947144,1.047640324,9,-125.1283516,283.2567033,17.99116889,1.94E-05
479,-4716.996492,NA,-0.04779849,-0.000122663,0.058557673,0.040869158,NA,0.026982614,0.206407109,1.046588842,9,-125.1766803,283.3533607,18.08782632,1.84E-05
416,-4728.596943,0.408336808,-0.226807299,-7.27E-05,0.058728392,0.128959546,NA,NA,0.360098848,1.0712839,9,-125.1846167,283.3692335,18.10369912,1.83E-05
492,-4772.118326,0.115146182,-0.255003844,NA,0.059185776,NA,0.184151254,0.010761163,0.351261192,1.07866807,9,-125.3424571,283.6849142,18.41937986,1.56E-05
444,-4760.738538,0.32026947,-0.312090183,NA,0.059087468,0.098480538,0.1133426,NA,0.401954794,1.08782079,9,-125.3547148,283.7094296,18.44389525,1.54E-05
507,-4770.575864,NA,-0.235291449,NA,0.059165502,0.004713639,0.211152409,0.014488985,0.331941441,1.078481567,9,-125.3661743,283.7323486,18.46681427,1.53E-05
352,-4707.588294,0.069472792,0.036114283,-0.000141215,0.058438591,0.054561467,NA,0.032901946,NA,1.03981426,9,-125.4067828,283.8135657,18.5480313,1.47E-05
476,-4747.897676,0.442421035,-0.346876307,NA,0.058967959,0.169013763,NA,0.003731043,0.391980758,1.091601189,9,-125.4208847,283.8417695,18.57623511,1.44E-05
506,-4813.2459,0.078294584,NA,NA,0.059566535,0.005463448,0.165653113,0.009396747,0.306347768,1.076561168,9,-125.4478123,283.8956246,18.63009024,1.41E-05
320,-4769.879731,0.005081786,0.22237786,-0.000131735,0.059045191,-0.069270718,0.247634567,NA,NA,1.038041647,9,-125.7405315,284.4810629,19.21552856,1.05E-05
380,-4785.211287,-0.070971338,-0.035822273,NA,0.059278836,-0.001472474,0.222446936,0.028045681,NA,1.071150689,9,-126.0272065,285.054413,19.78887868,7.88E-06
510,-4700.150449,-0.515077604,NA,-0.000173348,0.058327892,-0.217402125,0.387173352,0.040327128,0.105830672,1.016741695,10,-124.4596019,288.9192037,23.65366937,1.14E-06
384,-4706.889049,-0.690117033,0.145069132,-0.000198099,0.058359264,-0.283076374,0.440092563,0.048109458,NA,1.003408973,10,-124.4855445,288.9710889,23.70555457,1.11E-06
496,-4689.591211,-0.14623859,-0.143076696,-0.000132244,0.058271503,NA,0.237379351,0.028285242,0.185000341,1.044575322,10,-124.6338274,289.2676547,24.00212033,9.59E-07
511,-4704.070671,NA,-0.156954202,-0.000123493,0.058425405,-0.04071267,0.213122194,0.022463758,0.21985225,1.044386529,10,-124.655269,289.3105381,24.04500371,9.38E-07
448,-4740.328606,0.129781578,-0.134379214,-9.34E-05,0.058813793,-0.01015178,0.193288154,NA,0.335788465,1.05718731,10,-124.9850815,289.970163,24.70462864,6.75E-07
480,-4710.336037,0.248214371,-0.186909998,-9.85E-05,0.05852077,0.096614802,NA,0.016835455,0.269957727,1.059525079,10,-125.0631632,290.1263264,24.86079206,6.24E-07
508,-4757.858271,0.212372653,-0.304952844,NA,0.059051993,0.071652695,0.14107212,0.00865382,0.362845639,1.084489695,10,-125.3196173,290.6392346,25.37370024,4.83E-07
512,-4707.847438,-0.561658336,0.062447287,-0.000178935,0.058393336,-0.238139206,0.399346665,0.041476162,0.087798462,1.013190108,11,-124.4548281,297.3096562,32.04412179,1.72E-08
257,748.9759091,NA,NA,NA,NA,NA,NA,NA,NA,1,3,-158.0815577,323.4964487,58.23091431,3.54E-14
261,747.1449921,NA,NA,-0.000530002,NA,NA,NA,NA,NA,0.885065783,4,-157.255652,324.8642451,59.59871073,1.79E-14
259,787.2047863,NA,-1.602918483,NA,NA,NA,NA,NA,NA,1.014774065,4,-157.7351129,325.823167,60.55763258,1.11E-14
273,753.422135,NA,NA,NA,NA,0.599331963,NA,NA,NA,1.04742563,4,-157.9019586,326.1568583,60.89132392,9.36E-15
321,746.9782575,NA,NA,NA,NA,NA,NA,0.0529498,NA,0.99420414,4,-157.9278434,326.208628,60.94309364,9.12E-15
289,746.2496938,NA,NA,NA,NA,NA,0.377449572,NA,NA,1.005205364,4,-157.9758287,326.3045986,61.03906427,8.69E-15
385,747.9843478,NA,NA,NA,NA,NA,NA,NA,0.294112827,1.003321795,4,-158.0408158,326.4345727,61.16903837,8.15E-15
258,747.6784035,0.419781215,NA,NA,NA,NA,NA,NA,NA,1.000363274,4,-158.0431717,326.4392846,61.17375022,8.13E-15
325,744.3339824,NA,NA,-0.000572047,NA,NA,NA,0.07065882,NA,0.868213863,5,-156.9642038,327.6784077,62.4128733,4.37E-15
263,780.3554291,NA,-1.388473414,-0.000502219,NA,NA,NA,NA,NA,0.903888196,5,-156.9787014,327.7074029,62.44186851,4.31E-15
293,744.4064418,NA,NA,-0.000530295,NA,NA,0.379017611,NA,NA,0.890229401,5,-157.1406822,328.0313643,62.76582997,3.67E-15
277,750.2178469,NA,NA,-0.000502302,NA,0.401308601,NA,NA,NA,0.922828657,5,-157.1715763,328.0931526,62.82761819,3.55E-15
323,803.7936635,NA,-2.461378535,NA,NA,NA,NA,0.102976031,NA,1.011414765,5,-157.2287806,328.2075613,62.94202689,3.36E-15
262,746.4653049,0.227069798,NA,-0.000523586,NA,NA,NA,NA,NA,0.886653668,5,-157.2436848,328.2373696,62.97183522,3.31E-15
389,746.9668453,NA,NA,-0.000525723,NA,NA,NA,NA,0.057226507,0.886640202,5,-157.2540481,328.2580963,62.99256191,3.27E-15
275,805.2349046,NA,-2.080221246,NA,NA,0.895941518,NA,NA,NA,1.090069941,5,-157.3487809,328.4475618,63.18202747,2.98E-15
291,795.8462992,NA,-2.176878947,NA,NA,NA,0.6987919,NA,NA,1.029701206,5,-157.4030889,328.5561778,63.29064338,2.82E-15
387,801.1154499,NA,-2.304739437,NA,NA,NA,NA,NA,0.838665719,1.030714867,5,-157.4578759,328.6657518,63.40021739,2.67E-15
260,797.5992231,1.113890959,-2.183112871,NA,NA,NA,NA,NA,NA,1.021085654,5,-157.5002959,328.7505919,63.48505751,2.56E-15
337,751.2874834,NA,NA,NA,NA,0.559944835,NA,0.048836099,NA,1.038963318,5,-157.769966,329.289932,64.02439762,1.95E-15
274,752.087631,0.583617056,NA,NA,NA,0.662605495,NA,NA,NA,1.052937572,5,-157.8284454,329.4068908,64.14135643,1.84E-15
305,751.0499636,NA,NA,NA,NA,0.49561804,0.221904474,NA,NA,1.042278921,5,-157.8703687,329.4907375,64.22520309,1.77E-15
353,745.3305197,NA,NA,NA,NA,NA,0.273633339,0.044238829,NA,0.998931285,5,-157.8758315,329.5016629,64.23612855,1.76E-15
401,752.4981253,NA,NA,NA,NA,0.569713221,NA,NA,0.208900339,1.047441255,5,-157.8815284,329.5130567,64.24752235,1.75E-15
322,747.1173373,-0.079847791,NA,NA,NA,NA,NA,0.055805095,NA,0.993822501,5,-157.9268876,329.6037751,64.33824075,1.67E-15
449,746.9585881,NA,NA,NA,NA,NA,NA,0.052384785,0.012157079,0.994403292,5,-157.9277906,329.6055812,64.34004679,1.67E-15
417,745.7470353,NA,NA,NA,NA,NA,0.346364619,NA,0.21569213,1.007212765,5,-157.9544458,329.6588916,64.39335726,1.62E-15
290,746.2446226,0.0067585,NA,NA,NA,NA,0.375259436,NA,NA,1.005181009,5,-157.9758223,329.7016446,64.43611019,1.59E-15
386,746.9982736,0.360934182,NA,NA,NA,NA,NA,NA,0.25568904,1.003200175,5,-158.0130437,329.7760874,64.51055302,1.53E-15
327,798.6403755,NA,-2.348888801,-0.000553105,NA,NA,NA,0.117812353,NA,0.888809875,6,-156.2706016,330.1412032,64.87566878,1.28E-15
295,788.7245752,NA,-1.93931133,-0.00049171,NA,NA,0.665177049,NA,NA,0.920417627,6,-156.6569344,330.9138687,65.64833437,8.67E-16
279,794.6858858,NA,-1.771416744,-0.000447943,NA,0.675317093,NA,NA,NA,0.972626343,6,-156.754544,331.1090881,65.8435537,7.87E-16
339,823.3483747,NA,-2.995085886,NA,NA,0.940158188,NA,0.106916371,NA,1.090298114,6,-156.7829105,331.1658211,65.90028669,7.65E-16
276,828.2919592,1.732277203,-3.164965717,NA,NA,1.238417314,NA,NA,NA,1.128667492,6,-156.8113403,331.2226805,65.95714616,7.43E-16
264,788.5442498,0.830197653,-1.834729354,-0.000469832,NA,NA,NA,NA,NA,0.915743249,6,-156.8428796,331.2857591,66.02022477,7.20E-16
391,789.7579704,NA,-1.85015137,-0.000453578,NA,NA,NA,NA,0.526879111,0.924642322,6,-156.869765,331.3395299,66.07399555,7.01E-16
453,744.9038078,NA,NA,-0.000624418,NA,NA,NA,0.095602585,-0.501816071,0.848458854,6,-156.8740142,331.3480285,66.08249409,6.98E-16
326,745.3207077,-0.654091896,NA,-0.000605055,NA,NA,NA,0.09507048,NA,0.857817729,6,-156.8973426,331.3946851,66.12915075,6.82E-16
341,746.9803475,NA,NA,-0.000547439,NA,0.329090719,NA,0.067479336,NA,0.89993938,6,-156.9068171,331.4136343,66.14809989,6.76E-16
357,742.9635101,NA,NA,-0.000567773,NA,NA,0.230869835,0.06317689,NA,0.87314358,6,-156.9238663,331.4477327,66.1821983,6.64E-16
355,809.2766864,NA,-2.850604977,NA,NA,NA,0.581463235,0.092376285,NA,1.024181393,6,-156.9946757,331.5893514,66.32381702,6.19E-16
403,818.3186475,NA,-2.749857676,NA,NA,0.876182063,NA,NA,0.812784851,1.103858211,6,-157.0793722,331.7587444,66.49321003,5.69E-16
309,746.9678991,NA,NA,-0.00051242,NA,0.258050447,0.297978033,NA,NA,0.91340772,6,-157.1109308,331.8218616,66.55632724,5.51E-16
294,744.6046314,-0.304320745,NA,-0.00053897,NA,NA,0.477660381,NA,NA,0.889445183,6,-157.1267928,331.8535855,66.58805113,5.42E-16
419,809.0673608,NA,-2.840155223,NA,NA,NA,0.679785532,NA,0.811260419,1.044715104,6,-157.1361014,331.8722028,66.60666847,5.37E-16
421,744.4743992,NA,NA,-0.000532753,NA,NA,0.383755956,NA,-0.032827961,0.88939079,6,-157.1401669,331.8803339,66.61479951,5.35E-16
278,749.5006362,0.349477006,NA,-0.000489462,NA,0.444259343,NA,NA,NA,0.929314165,6,-157.1439592,331.8879185,66.62238412,5.33E-16
