,(Intercept),agr_gdp.lag2,dev_agr.lag2,dev_env.lag2,fdi.lag2,for_rem.lag2,gdp.lag2,gdp_gr.lag2,ind_gdp.lag2,pop_den.lag2,time,df,logLik,AICc,delta,weight
306,-7711.001183,-26.70643776,NA,NA,NA,0.096451173,-6.920988171,NA,NA,-246.0257023,NA,6,-122.7311429,265.0986494,90.15951696,1.74E-20
438,-7765.913261,71.16593746,NA,-3.01118598,NA,0.098010451,-6.924454902,NA,179.3813103,-334.732686,NA,8,-116.551102,265.1022041,90.16307163,1.73E-20
556,728.2054097,-68.36298149,-0.224293909,NA,-0.27682472,NA,-4.2744437,NA,NA,NA,1.167312495,7,-119.9675393,265.1350786,90.19594615,1.70E-20
847,-326.0163708,NA,-0.455796902,0.913804439,-0.560667854,NA,NA,11.79468921,NA,776.0129005,0.948367957,8,-116.5728525,265.145705,90.20657253,1.70E-20
498,-7534.580637,68.23265029,NA,NA,NA,0.097127223,-8.821910842,17.82108088,176.2958097,-405.9624718,NA,8,-116.5921969,265.1843938,90.24526134,1.66E-20
784,-292.9685108,-26.45600312,-0.320962439,1.432109227,-0.469766361,NA,NA,NA,NA,716.318719,0.995723199,8,-116.6301347,265.2602695,90.32113702,1.60E-20
156,-8395.9983,83.83085818,-0.177004584,NA,-0.32444559,0.098416985,NA,NA,132.5004605,NA,NA,7,-120.0500489,265.3000978,90.36096538,1.57E-20
244,-6397.349007,63.47146489,-0.350424161,NA,NA,0.079097477,-8.602407707,22.68660395,163.0467399,NA,NA,8,-116.6560175,265.312035,90.37290255,1.56E-20
618,757.2431412,-60.71633487,NA,NA,-0.311062585,NA,-4.934929768,8.198151127,NA,NA,1.158541368,7,-120.0586518,265.3173037,90.3781712,1.56E-20
612,751.5220658,-72.70374128,-0.33701883,NA,NA,NA,-5.893124402,11.92089256,NA,NA,1.176703432,7,-120.1062894,265.4125788,90.47344632,1.48E-20
714,635.1953378,-87.23884527,NA,NA,-0.490479453,NA,NA,0.322116694,-84.76651149,NA,1.403682574,7,-120.1131405,265.426281,90.48714857,1.47E-20
812,-226.721456,-31.92699333,-0.353645652,NA,-0.382143786,NA,-1.29457332,NA,NA,692.2911732,0.964507719,8,-116.7137785,265.4275571,90.48842465,1.47E-20
218,-8493.108935,93.78986196,NA,NA,-0.333793143,0.099495704,NA,4.59902103,138.7228577,NA,NA,7,-120.1329839,265.4659677,90.52683529,1.44E-20
410,-8741.26608,90.37916771,NA,NA,-0.288822045,0.103208201,NA,NA,141.9164388,-80.28935945,NA,7,-120.1629388,265.5258776,90.58674513,1.40E-20
190,-7211.423494,81.62285183,NA,-4.0743376,0.259727118,0.086945515,-7.065918131,NA,202.2034274,NA,NA,8,-116.7735949,265.5471898,90.60805731,1.39E-20
