,(Intercept),corn.med.lag1,cpi.lag1,for_prod.lag1,for_rem.lag1,nfi.lag1,rice_med.lag1,rub_med.lag1,sug_med.lag1,time,df,logLik,AICc,delta,weight
484,752.6538531,-0.557769397,-2.208497127,NA,NA,NA,0.765456091,0.087112908,0.009751427,1.25492147,8,-147.8607824,323.7215648,71.44979085,5.23E-17
456,753.8164621,0.059362753,-2.020334752,-0.000264622,NA,NA,NA,0.092822291,-0.083139059,1.199431195,8,-147.8859012,323.7718024,71.50002846,5.10E-17
424,746.5404324,0.085072899,-1.995462565,-0.00022447,NA,NA,0.701152602,NA,0.314373754,1.241565366,8,-147.8952752,323.7905504,71.51877646,5.05E-17
468,770.4280144,0.640594672,-2.494903256,NA,NA,0.617238299,NA,0.066718365,0.053862691,1.203791104,8,-147.9186934,323.8373868,71.56561286,4.93E-17
486,700.6904417,-1.482634294,NA,-0.000326418,NA,NA,0.839381285,0.109059345,-0.613128179,1.267497368,8,-147.9666334,323.9332667,71.66149281,4.70E-17
436,761.5697334,0.743945797,-2.337375113,NA,NA,0.446156486,0.333978065,NA,0.358042826,1.23075749,8,-148.0412493,324.0824986,71.81072469,4.37E-17
374,697.0490069,-1.164451802,NA,-0.000283635,NA,-0.003908359,0.755373521,0.073467632,NA,1.284758265,8,-148.1103175,324.2206349,71.948861,4.07E-17
501,705.4412743,NA,NA,-0.00028974,NA,0.366253111,0.294496075,0.064132779,-0.483781956,1.248591829,8,-148.139246,324.2784921,72.00671817,3.96E-17
470,710.9986163,-0.286118699,NA,-0.000308986,NA,0.480382684,NA,0.085274782,-0.56325012,1.224064326,8,-148.1842681,324.3685362,72.0967623,3.78E-17
438,703.2815708,-0.192054455,NA,-0.000251829,NA,0.212174502,0.517875993,NA,-0.112689471,1.265252332,8,-148.3323536,324.6647073,72.39293334,3.26E-17
60,-5893.313823,2.595685701,-2.553322926,NA,0.072192206,1.376729025,-1.874191062,NA,NA,NA,7,-151.0474935,324.7103716,72.43859763,3.19E-17
63,-5993.279543,NA,-1.640033285,-0.000401051,0.072949757,0.796241915,-0.91298452,NA,NA,NA,7,-151.0775966,324.7705779,72.49880397,3.09E-17
498,701.3070584,-0.989841038,NA,NA,NA,-0.005156339,0.708274514,0.077015399,-0.355875759,1.29683531,8,-148.4194535,324.838907,72.56713311,2.99E-17
189,-6227.946036,NA,NA,-0.00042252,0.075094643,0.798317769,-1.052138614,NA,-0.734503218,NA,7,-151.1442353,324.9038552,72.63208127,2.90E-17
62,-6312.014641,1.437877956,NA,-0.000372371,0.075962127,1.054617381,-1.69776039,NA,NA,NA,7,-151.147133,324.9096506,72.6378767,2.89E-17
111,-6126.958964,NA,-1.800795845,-0.000383063,0.074311807,NA,-0.719553218,0.047276687,NA,NA,7,-151.3013976,325.2181799,72.94640594,2.47E-17
48,-6192.22385,0.850140201,-1.674005013,-0.000345023,0.074989676,NA,-0.911355509,NA,NA,NA,7,-151.304931,325.2252467,72.95347278,2.47E-17
125,-6330.34151,NA,NA,-0.000401886,0.076125725,0.718225301,-1.163400494,0.021434552,NA,NA,7,-151.3365055,325.2883956,73.01662163,2.39E-17
175,-6223.391167,NA,-1.131018572,-0.000378313,0.075218769,NA,-0.665057435,NA,-0.377851792,NA,7,-151.3446153,325.3046152,73.03284124,2.37E-17
237,-6373.914146,NA,NA,-0.000411614,0.076554176,NA,-0.876589807,0.054350297,-0.886667757,NA,7,-151.349147,325.3136787,73.04190478,2.36E-17
174,-6435.933318,0.486188425,NA,-0.00037157,0.077218342,NA,-0.95223186,NA,-0.612301239,NA,7,-151.4268839,325.4691523,73.19737839,2.18E-17
186,-6349.733506,1.806575956,NA,NA,0.07646024,1.119954299,-1.805732959,NA,-0.70700763,NA,7,-151.4325225,325.4804297,73.20865578,2.17E-17
159,-5939.553249,NA,-1.884485012,-0.000426133,0.072359489,0.527603996,NA,NA,-0.473323742,NA,7,-151.4647797,325.5449439,73.27317001,2.10E-17
95,-5843.087471,NA,-2.62423236,-0.000426993,0.071460518,0.520578954,NA,0.042116718,NA,NA,7,-151.4669232,325.5492311,73.27745714,2.10E-17
207,-6000.327053,NA,-1.994187427,-0.000427348,0.072974683,NA,NA,0.059611742,-0.655656329,NA,7,-151.4895763,325.5945371,73.32276322,2.05E-17
32,-5917.845689,0.163620761,-2.331543747,-0.000407515,0.072201558,0.510370484,NA,NA,NA,NA,7,-151.5349547,325.685294,73.41352007,1.96E-17
123,-6068.567108,NA,-1.962196689,NA,0.0738582,0.724750574,-1.000125835,0.045703769,NA,NA,7,-151.5541674,325.7237194,73.4519455,1.92E-17
