,(Intercept),corn_med.lag1,cpi.lag1,for_prod.lag1,nfi.lag1,rice_med.lag1,rub_med.lag1,sug_med.lag1,time,df,logLik,AICc,delta,weight
36,919.834369,0.120645453,-5.735779694,NA,NA,NA,0.09765311,NA,NA,5,-160.3854184,334.7708369,29.65191342,8.81E-08
20,910.8334896,1.507332252,-5.127465732,NA,NA,-0.65593267,NA,NA,NA,5,-160.4384499,334.8768999,29.75797641,8.35E-08
68,910.6795929,0.842826371,-5.243049386,NA,NA,NA,NA,-0.069240242,NA,5,-160.5186014,335.0372028,29.9182794,7.71E-08
83,901.4389951,NA,-4.625619468,NA,NA,-0.233251014,NA,-0.088877999,NA,5,-160.5556485,335.111297,29.99237352,7.43E-08
29,802.6849226,NA,NA,-0.000626783,1.573072564,-1.351017227,NA,NA,NA,5,-160.5925107,335.1850214,30.06609799,7.16E-08
77,798.6863509,NA,NA,-0.000693308,1.273429376,NA,NA,-1.626248362,NA,5,-160.6040235,335.2080469,30.08912346,7.08E-08
85,793.7095731,NA,NA,-0.000604767,NA,-0.65839964,NA,-1.217432549,NA,5,-160.8664087,335.7328174,30.61389399,5.44E-08
101,786.3264167,NA,NA,-0.000670439,NA,NA,0.081611088,-1.800351831,NA,5,-160.8810604,335.7621207,30.64319728,5.36E-08
89,817.4110556,NA,NA,NA,1.546362456,-1.277034293,NA,-1.266213505,NA,5,-160.895236,335.7904719,30.67154846,5.29E-08
70,790.7034544,-0.739576255,NA,-0.000636432,NA,NA,NA,-1.289727055,NA,5,-160.9403419,335.8806838,30.76176039,5.06E-08
26,811.3190658,2.102474766,NA,NA,1.933104102,-2.237616423,NA,NA,NA,5,-160.9735479,335.9470958,30.82817237,4.89E-08
14,788.2411412,-0.744694738,NA,-0.000647588,0.971254371,NA,NA,NA,NA,5,-160.9927783,335.9855566,30.8666332,4.80E-08
45,785.6877572,NA,NA,-0.000638245,1.031395854,NA,-0.001255147,NA,NA,5,-161.0370793,336.0741586,30.95523512,4.59E-08
53,785.6071928,NA,NA,-0.000577096,NA,-0.868324205,0.026789194,NA,NA,5,-161.0931159,336.1862317,31.06730828,4.34E-08
22,786.7711035,-0.124162037,NA,-0.000571226,NA,-0.770776029,NA,NA,NA,5,-161.105886,336.211772,31.09284855,4.28E-08
57,807.5757503,NA,NA,NA,1.427004835,-1.437917218,0.022484382,NA,NA,5,-161.1430368,336.2860736,31.16715016,4.13E-08
38,781.2909785,-1.455405611,NA,-0.000634434,NA,NA,0.053808211,NA,NA,5,-161.1713623,336.3427247,31.22380122,4.01E-08
28,966.6646496,4.45434816,-6.421161175,NA,2.743443561,-2.373939061,NA,NA,NA,6,-159.1891015,336.3782029,31.25927946,3.94E-08
47,940.4167055,NA,-6.439762669,-0.000669444,1.557483085,NA,0.128413457,NA,NA,6,-159.1992634,336.3985269,31.27960342,3.90E-08
105,801.8945424,NA,NA,NA,1.077087154,NA,0.056126459,-1.728708149,NA,5,-161.2299219,336.4598438,31.34092033,3.78E-08
74,803.4782765,-0.295247708,NA,NA,1.023770108,NA,NA,-1.391645419,NA,5,-161.2718169,336.5436337,31.42471027,3.63E-08
113,799.3730958,NA,NA,NA,NA,-0.878930518,0.073210757,-1.426113703,NA,5,-161.2978665,336.5957331,31.47680965,3.54E-08
256,759.6338773,-0.584422455,-2.316272686,-0.000316557,0.357868916,0.636787822,0.11038064,-0.254665213,1.205773304,10,-147.3690056,336.7380113,31.61908782,3.29E-08
82,799.3894459,0.339757843,NA,NA,NA,-0.87058461,NA,-1.068413246,NA,5,-161.3705499,336.7410997,31.62217629,3.29E-08
98,796.7676027,-1.455141483,NA,NA,NA,NA,0.108389584,-1.657856196,NA,5,-161.3808179,336.7616358,31.64271238,3.25E-08
16,935.5318798,1.347940429,-6.119094014,-0.000605293,1.666883123,NA,NA,NA,NA,6,-159.3892405,336.778481,31.65955757,3.23E-08
31,919.0434625,NA,-4.916230674,-0.000618352,1.745455622,-0.724425562,NA,NA,NA,6,-159.3916208,336.7832415,31.66431806,3.22E-08
79,915.9325908,NA,-4.994891494,-0.000641464,1.53680236,NA,NA,-0.504479055,NA,6,-159.4861377,336.9722754,31.85335194,2.93E-08
50,792.7485961,0.171574525,NA,NA,NA,-0.963347098,0.007874623,NA,NA,5,-161.547621,337.0952419,31.9763185,2.75E-08
42,792.9041095,-0.659224143,NA,NA,0.797098095,NA,0.00547772,NA,NA,5,-161.5663481,337.1326961,32.01377268,2.70E-08
59,943.9966837,NA,-5.893608327,NA,1.703263632,-0.936971396,0.126320732,NA,NA,6,-159.7051101,337.4102202,32.29129678,2.35E-08
103,906.2230735,NA,-5.270951661,-0.000638003,NA,NA,0.150169162,-0.931420297,NA,6,-159.7248622,337.4497244,32.33080095,2.31E-08
55,910.9010401,NA,-5.53738037,-0.000592384,NA,-0.30189523,0.12292572,NA,NA,6,-159.8127851,337.6255702,32.50664672,2.11E-08
107,939.9441213,NA,-5.944814016,NA,1.44499315,NA,0.137537971,-0.852751429,NA,6,-159.8215011,337.6430022,32.52407874,2.09E-08
40,911.4530203,-0.350960489,-5.637400534,-0.000607814,NA,NA,0.12877509,NA,NA,6,-159.8303845,337.660769,32.54184559,2.08E-08
44,949.5459346,0.887073864,-6.605008115,NA,1.475582876,NA,0.082674084,NA,NA,6,-159.8718888,337.7437776,32.62485419,1.99E-08
76,940.983921,1.517446727,-6.082318619,NA,1.54445055,NA,NA,-0.245979942,NA,6,-159.9630937,337.9261873,32.80726388,1.82E-08
91,922.4115586,NA,-4.741698379,NA,1.610476184,-0.75525588,NA,-0.280315757,NA,6,-159.9895039,337.9790079,32.86008444,1.77E-08
24,901.474873,1.124211357,-4.967221458,-0.000525536,NA,-0.481532906,NA,NA,NA,6,-160.0238026,338.0476052,32.92868172,1.71E-08
72,898.3192106,0.612043299,-4.874278205,-0.00055439,NA,NA,NA,-0.259866312,NA,6,-160.0585574,338.1171148,32.99819136,1.65E-08
87,891.5448308,NA,-4.430362495,-0.000563124,NA,-0.158175085,NA,-0.27733377,NA,6,-160.0797638,338.1595277,33.04060424,1.62E-08
93,812.9062083,NA,NA,-0.00067723,1.741383129,-1.224672593,NA,-1.469736648,NA,6,-160.2287223,338.4574447,33.33852123,1.39E-08
115,912.7125027,NA,-5.166271024,NA,NA,-0.374286269,0.128219111,-0.618401499,NA,6,-160.3045429,338.6090859,33.49016242,1.29E-08
52,918.4797362,0.73669074,-5.552731743,NA,NA,-0.543443049,0.088371073,NA,NA,6,-160.3305059,338.6610118,33.54208833,1.26E-08
100,914.7299762,-0.128074341,-5.365857184,NA,NA,NA,0.125898046,-0.623304365,NA,6,-160.3400737,338.6801475,33.56122402,1.25E-08
84,910.4713769,1.504073071,-5.103794479,NA,NA,-0.654550733,NA,-0.030169216,NA,6,-160.4383185,338.8766371,33.75771364,1.13E-08
30,805.5535772,1.781428217,NA,-0.000599171,2.007112163,-2.076043307,NA,NA,NA,6,-160.458343,338.9166861,33.79776262,1.11E-08
109,797.0683328,NA,NA,-0.000746637,1.330467972,NA,0.093694737,-2.149527994,NA,6,-160.4633015,338.926603,33.80767953,1.10E-08
61,801.4259915,NA,NA,-0.000641014,1.602193257,-1.445592116,0.039471573,NA,NA,6,-160.5617224,339.1234448,34.00452138,9.99E-09
78,799.7429717,-0.397675505,NA,-0.000696587,1.235003382,NA,NA,-1.582896612,NA,6,-160.5911829,339.1823658,34.06344232,9.70E-09
102,791.7011822,-2.1393282,NA,-0.000747564,NA,NA,0.172176043,-2.105209326,NA,6,-160.6344447,339.2688893,34.14996586,9.29E-09
90,822.1135303,2.447706579,NA,NA,2.168424529,-2.258544143,NA,-1.417228658,NA,6,-160.6495081,339.2990162,34.18009276,9.15E-09
117,792.716334,NA,NA,-0.000654971,NA,-0.81268895,0.102960301,-1.746846032,NA,6,-160.7061628,339.4123256,34.2934021,8.65E-09
121,818.2946589,NA,NA,NA,1.665535902,-1.474847225,0.099943699,-1.783318475,NA,6,-160.7442596,339.4885192,34.36959575,8.32E-09
86,793.7425213,-0.044074989,NA,-0.000605822,NA,-0.644266538,NA,-1.216490427,NA,6,-160.8663054,339.7326109,34.61368742,7.37E-09
58,813.4928353,2.66970511,NA,NA,2.043482303,-2.355477566,-0.046604402,NA,NA,6,-160.9449232,339.8898464,34.77092292,6.81E-09
46,787.097595,-1.100022423,NA,-0.000666546,0.934072195,NA,0.038585029,NA,NA,6,-160.9725474,339.9450947,34.82617128,6.63E-09
32,957.8443033,4.105304248,-6.276281867,-0.000552388,2.79338952,-2.221905829,NA,NA,NA,7,-158.6710393,339.9574632,34.83853971,6.58E-09
54,785.4692339,-0.56387961,NA,-0.000596273,NA,-0.720213735,0.04275645,NA,NA,6,-161.0813664,340.1627327,35.04380929,5.94E-09
106,804.2704632,-1.10829341,NA,NA,0.986097715,NA,0.100544218,-1.84594708,NA,6,-161.1661809,340.3323619,35.21343842,5.46E-09
63,940.1568883,NA,-6.005055421,-0.000669129,1.891359934,-0.935510123,0.146016519,NA,NA,7,-158.9741486,340.5636818,35.44475831,4.86E-09
