"","(Intercept)","corn_med","cpi","for_prod","for_rem","nfi","rice_med","rub_med","sug_med","time","df","logLik","AICc","delta","weight"
"410",12.2030866660689,-0.00670199358900247,NA,NA,-0.00011118693345988,-0.00360251364669453,NA,NA,0.00818196829626564,-0.0011024210994762,6,-129.133107464309,276.266214928618,0,0.290088335638363
"395",16.3315189855785,NA,-0.00922057561090655,NA,-0.000152867066340285,NA,NA,NA,0.00970183343797259,-0.000887924032231065,5,-131.910712822971,277.821425645943,1.55521071732426,0.133297053622733
"459",15.1771458752268,NA,-0.00671630874489204,NA,-0.000140833363459259,NA,NA,-0.000174299525589278,0.0096427767895368,-0.000806884550887032,6,-129.978265288818,277.956530577637,1.69031564901854,0.124589914210735
"396",14.7796214596646,-0.00300246832683181,-0.00582028681377174,NA,-0.000136834830812168,NA,NA,NA,0.00916044643185431,-0.000790944345792698,6,-130.294470133635,278.58894026727,2.3227253386512,0.0908148494942561
"394",13.4169021279987,-0.00489708463176849,NA,NA,-0.000123464167016551,NA,NA,NA,0.00801775305325822,-0.000799670302002434,5,-132.319615536475,278.639231072951,2.3730161443325,0.0885597450963951
"457",13.6913485165172,NA,NA,NA,-0.000126274995775291,NA,NA,-0.000277548406183157,0.00856166871383731,-0.000840002873586558,5,-133.137506110299,280.275012220598,4.00879729197982,0.03908687904032
"442",12.668914949325,-0.00788161614339897,NA,NA,-0.000116143893680617,-0.00372582925220617,0.00148459497258941,NA,0.0083059087769867,-0.00110556489826584,7,-128.92534205431,280.466068724005,4.19985379538656,0.0355257783815522
"414",12.5480129381835,-0.00668357718113035,NA,-3.42278109609556e-07,-0.000114899608093455,-0.00365217848187725,NA,NA,0.00799713106239956,-0.00120088135655888,7,-128.990811176449,280.597006968282,4.33079203966327,0.0332744375951736
"412",12.8706734877037,-0.00573335719606854,-0.00201007166400692,NA,-0.000117791007577944,-0.00299513389280991,NA,NA,0.00855158520968968,-0.0010485054959573,7,-128.995807848702,280.607000312789,4.34078538417043,0.033108590822127
"474",12.2034121516501,-0.00669877505817194,NA,NA,-0.000111189944282559,-0.00360111874430488,NA,-2.197000556978e-07,0.00818226027982791,-0.00110227617282494,7,-129.133106013656,280.881596642697,4.61538171407824,0.0288610987748626
"458",13.3624927908868,-0.00328358306290387,NA,NA,-0.000122792049285,NA,NA,-0.000136845196802897,0.00829832329306946,-0.000784397124623296,6,-131.514831732197,281.029663464393,4.76344853577484,0.0268015900065552
"427",15.7124827383595,NA,-0.00837794999072019,NA,-0.000146430674246424,NA,-0.000831984122837996,NA,0.00949985631834907,-0.000875722855774874,6,-131.784162216766,281.568324433532,5.30210950491352,0.0204734869544575
"399",16.692819279833,NA,-0.00915296156487681,-2.85870483386587e-07,-0.000156789502445103,NA,NA,NA,0.00953370043110877,-0.000974642822334808,6,-131.793161791282,281.586323582564,5.32010865394602,0.0202900608992366
"411",16.3646096873051,NA,-0.00924282117747139,NA,-0.000153167102547072,0.00020694220439543,NA,NA,0.00970549100832364,-0.00086381988833562,6,-131.897206784022,281.794413568044,5.52819863942534,0.0182850934536515
"460",14.701126711805,-0.00163076914135931,-0.00561382666690884,NA,-0.000135958173542913,NA,NA,-0.000121901158409955,0.00935259317966894,-0.000779683307950686,7,-129.665740793293,281.94686620197,5.680651273352,0.0169430860095821
