CODEKHUM,KHUM_NAME,perc_change_dir,perc_change
160701,Bar Kham,0,0
130104,Chrach,0,0
10408,Tuek Chour,#DIV/0!,#DIV/0!
170105,Nokor Pheas,0,0
10401,Chhnuor Mean Chey,#DIV/0!,#DIV/0!
10602,Kampong Svay,#DIV/0!,#DIV/0!
130101,S'ang,0,0
171303,Khnang Phnum,-0.3125,0.3125
160503,La Bang Muoy,0,0
130106,Putrea,0,0
10403,Phnum Lieb,0,0
130105,Yhmea,0,0
130601,Chamraeun,0,0
10606,Phniet,#DIV/0!,#DIV/0!
130604,Sdau,0,0
190511,Thala,0,0
171304,Svay Leu,0,0
170605,Roung Kou,#DIV/0!,#DIV/0!
170703,Kdei Run,#DIV/0!,#DIV/0!
160502,Ka Laeng,0,0
130509,Reaksa,0,0
10405,Preah Netr Preah,0,0
170301,Khnar Sanday,0,0
170306,Tbaeng,0,0
130510,Rumdaoh,0,0
10607,Preah Ponlea,#DIV/0!,#DIV/0!
170602,Kampong Thkov,#DIV/0!,#DIV/0!
170711,Prey Chruk,0,0
190506,Ou Rai,-0.087873462,0.087873462
10608,Tuek Thla,#DIV/0!,#DIV/0!
10905,Tuol Pongro,0,0
190102,Kbal Romeas,-1.713475908,1.713475908
190501,Anlong Phe,-0.037133309,0.037133309
170715,Trei Nhoar,0,0
10605,Ou Ambel,#DIV/0!,#DIV/0!
160506,Seda,0,0
10503,Kuttasat,#DIV/0!,#DIV/0!
10603,Kaoh Pong Satv,#DIV/0!,#DIV/0!
170716,Yeang,#DIV/0!,#DIV/0!
160505,Pa Tang,0,0
170609,Sranal,0,0
170603,Kralanh,#DIV/0!,#DIV/0!
10505,Samraong,#DIV/0!,#DIV/0!
170712,Reul,0,0
10902,Malai,#DIV/0!,#DIV/0!
10906,Ta Kong,#DIV/0!,#DIV/0!
10903,Ou Sampor,0,0
10904,Ou Sralau,#DIV/0!,#DIV/0!
10205,Koy Maeng,#DIV/0!,#DIV/0!
170204,Svay Chek,0,0
160401,Serei Mongkol,0,0
10901,Boeng Beng,#DIV/0!,#DIV/0!
10209,Ruessei Kraok,#DIV/0!,#DIV/0!
190101,Kampun,-5.711206897,5.711206897
190502,Chamkar Leu,0,0
10404,Prasat,0,0
10202,Bat Trang,#DIV/0!,#DIV/0!
170701,Sasar Sdam,#DIV/0!,#DIV/0!
190402,Sarh Ruessei,0,0
170202,Leang Dai,0,0
170404,Khvav,0,0
10213,Ta Lam,0,0
170606,Sambuor,0,0
190403,Preah Bat,0,0
170304,Rumchek,0,0
10201,Banteay Neang,#DIV/0!,#DIV/0!
190401,Stung Treng,-45.97701149,45.97701149
160501,Chey Otdam,0,0
10208,Rohat Tuek,#DIV/0!,#DIV/0!
170707,Lvea,0,0
170702,Doun Kaev,#DIV/0!,#DIV/0!
160402,Srae Angkrong,0,0
10212,Srah Reang,#DIV/0!,#DIV/0!
190203,Kaoh Sralau,0,0
170708,Mukh Paen,0,0
170303,Preak Dak,#DIV/0!,#DIV/0!
10206,Ou Prasat,#DIV/0!,#DIV/0!
171301,Boeng Mealea,0,0
10203,Chamnaom,#DIV/0!,#DIV/0!
170305,Run Ta Aek,0,0
171107,Khnar Pou,0,0
10204,Kouk Ballangk,#DIV/0!,#DIV/0!
130505,Rik Reay,0,0
21000,,0,0
10211,Soea,#DIV/0!,#DIV/0!
10210,Sambuor,0,0
130511,Romtom,0,0
171101,Chan Sar,0,0
190503,Kang Cham,0,0
130506,Ruos Roan,0,0
171108,Popel,0,0
130605,Ronak Ser,0,0
190206,Siem Bouk,-0.01770695,0.01770695
170710,Puok,0,0
171003,Kouk Chak,0,0
171005,Nokor Thum,0,0
130508,Rieb Roy,0,0
190202,Kaoh Sampeay,-6.363636364,6.363636364
170705,Khnat,#DIV/0!,#DIV/0!
170903,Ballangk,#DIV/0!,#DIV/0!
60602,Dang Kambet,-1.748841129,1.748841129
130501,Robieb,0,0
170714,Tuek Vil,0,0
10207,Phnum Touch,#DIV/0!,#DIV/0!
