"","(Intercept)","agr_gdp.lag1","dev_agr.lag1","dev_env.lag1","fdi.lag1","for_rem.lag1","gdp.lag1","gdp_gr.lag1","ind_gdp.lag1","pop_den.lag1","time","df","logLik","AICc","delta","weight"
"913",-6134.83849216342,NA,NA,NA,NA,0.0819760668854204,NA,NA,22.8589286221394,-599.906805354113,1.02126832436004,6,-82.0376438926041,183.711651421572,0,0.50934030748643
"786",-6262.67532325072,-14.8703817649744,NA,NA,NA,0.0830124142807806,NA,NA,NA,-571.827548144278,1.00281826447595,6,-83.6948654275452,187.026094491454,3.3144430698822,0.0971149024430178
"914",-6142.69148929969,-7.33912501263023,NA,NA,NA,0.0820134931929515,NA,NA,17.1228361051569,-598.970850811158,1.01997083126661,7,-81.1094723949097,187.418944789819,3.7072933682476,0.0797957056860517
"945",-6221.62869290238,NA,NA,NA,NA,0.0826941495053069,0.345608936357079,NA,21.1415765339037,-592.210868350824,1.02223558199461,7,-81.5460432020302,188.29208640406,4.58043498248855,0.0515678740378989
"977",-6161.15478797137,NA,NA,NA,NA,0.0822799409638297,NA,1.57211017028292,22.1739010497878,-600.484406478589,1.0141869840163,7,-81.6428775070321,188.485755014064,4.77410359249251,0.0468084890966034
"917",-6120.9344691563,NA,NA,-0.134566107835353,NA,0.0818759752372531,NA,NA,23.3119602060944,-603.789006127665,1.02520450962308,7,-81.9527235591993,189.105447118399,5.39379569682691,0.034336829526983
"915",-6176.10247437944,NA,0.0163043218203162,NA,NA,0.0825023858047645,NA,NA,22.6917835498158,-605.608626103815,1.02004181139859,7,-81.9618530040684,189.123706008137,5.41205458656509,0.0340247799220269
"921",-6153.39841592656,NA,NA,NA,0.011759311018647,0.0821247527362221,NA,NA,23.3865940512747,-597.168587487414,1.01954165367536,7,-81.9886633677459,189.177326735492,5.46567531391997,0.0331246830750045
"785",-6362.53160286875,NA,NA,NA,NA,0.0839300731710178,NA,NA,NA,-546.642207313383,0.989082942824452,5,-87.4034444448702,189.80688888974,6.09523746816868,0.0241793179982727
"817",-6500.55487643887,NA,NA,NA,NA,0.0850616117018663,0.684548408595762,NA,NA,-539.324979810449,0.995788194704523,6,-86.2033829634865,192.043129563337,8.33147814176485,0.0079040659381745
"818",-6319.42893991408,-13.503136606861,NA,NA,NA,0.0834867944971451,0.235942955493333,NA,NA,-566.989877342381,1.00386647728799,7,-83.5306465017102,192.26129300342,8.54964158184868,0.00708723715568987
"790",-6274.70791293569,-15.133054346894,NA,0.197683327609433,NA,0.0830863538982506,NA,NA,NA,-568.12007150048,0.998215520030943,7,-83.5380384061494,192.276076812299,8.564425390727,0.00703504212390318
"794",-6229.56756472071,-14.6953989230555,NA,NA,-0.0169274356962129,0.0827442515527648,NA,NA,NA,-577.242738244769,1.00621164220892,7,-83.604110277296,192.408220554592,8.6965691330202,0.00658524675753397
"850",-6266.50101202812,-14.6748353850508,NA,NA,NA,0.0830561021911066,NA,0.202640256180402,NA,-571.77655753197,1.00184920440785,7,-83.6902289341027,192.580457868205,8.86880644663373,0.00604186748463704
"788",-6256.50792535088,-14.9255077560033,-0.00238691761195866,NA,NA,0.0829340521659057,NA,NA,NA,-571.029160559317,1.00301428822425,7,-83.6935758926495,192.587151785299,8.87550036372718,0.00602167940779509
"849",-6392.60796371398,NA,NA,NA,NA,0.0843085831257528,NA,2.42567346019253,NA,-549.99627450905,0.979645047709151,6,-86.8729189125703,193.382201461504,9.67055003993252,0.00404645566579217
"946",-6193.2313405133,-6.2056711722223,NA,NA,NA,0.0824359030190634,0.206085297518609,NA,16.9846672091615,-594.526341513989,1.02074798804693,8,-80.9426665531798,193.88533310636,10.1736816847878,0.00314645219651624
"978",-6154.75448251394,-6.42071280876387,NA,NA,NA,0.0821594484255663,NA,0.77933821053193,17.501059120161,-599.374308159189,1.01662278351669,8,-81.0191046667152,194.03820933343,10.3265579118586,0.00291490554953063
"793",-6308.12853175562,NA,NA,NA,-0.0268620069678913,0.0834873922651912,NA,NA,NA,-555.705820406711,0.994724349256169,6,-87.2504937495516,194.137351135467,10.425699713895,0.00277393396525388
"922",-6153.5591362682,-7.23953606392213,NA,NA,0.00695310702318062,0.0821009010819331,NA,NA,17.5126733325454,-597.364483529504,1.01896748283342,8,-81.0906996131002,194.1813992262,10.4697478046286,0.00271350856609332
"787",-6429.92817205848,NA,0.0277495142036769,NA,NA,0.0848015363651028,NA,NA,NA,-557.009422798069,0.987395993856365,6,-87.2815574270163,194.199478490396,10.4878270688244,0.00268908998075527
"916",-6154.00970842093,-7.21093041418304,0.00452628054168905,NA,NA,0.0821589520710841,NA,NA,17.176628545271,-600.570095061069,1.0196529998462,8,-81.1033201420884,194.206640284177,10.4949888626051,0.0026794778471063
"918",-6139.88392016291,-7.22773195309064,NA,-0.026018683012025,NA,0.0819935721746718,NA,NA,17.2974931312538,-599.735689632649,1.02075159554321,8,-81.1061939368159,194.212387873632,10.50073645206,0.00267178863170219
