year	for_cov_pix	for_cov_area	for_cov_perc	for_cov_roc	urban_pix	urban_area	urban_perc	urban_roc	agric_pix	agric_area	agric_perc	agric_roc	econ_PC1	econ_PC2	econ_PC3	econ_PC4	econ_PC5	com_PC1	com_PC2	com_PC3	com_PC4	com_PC5	prod_PC1	prod_PC2	prod_PC3	prod_PC4	prod_PC5
2003	1032363	92912.67	89.36366359	0.492106	1031	92.79	135.66	4.61	875883	78829.47	113.9500816	1.435104175	-0.7731774	-0.87272345	0.25593483	-0.23333515	0.35081342	-2.0033847	-0.037588	0.41731753	0.10442738	-0.096305433	-2.21972357	1.0810453	-0.01241125	0.113204803	0.11997595
2004	1019502	91755.18	88.2503865	1.113277	1070	96.3	140.79	5.13	891053	80194.77	115.9236589	1.973577223	-0.3803305	-0.91508234	0.83441967	0.02143695	0.34950988	-1.6708937	0.04224313	0.37239597	0.29005078	-0.033689392	-2.21401492	-1.3340048	0.15944913	0.135405402	0.28846874
2005	1011085	90997.65	87.52179205	0.728594	1131	101.79	148.82	8.03	901883	81169.47	117.3326135	1.408954603	0.1296901	-0.46509569	0.90959085	0.01837953	0.28105126	-1.1559329	-0.17793806	-0.09121097	0.39039896	-0.076770476	-2.0352845	-1.7766499	0.19599055	0.085096562	0.34306845
2006	1006630	90596.7	87.13615722	0.385635	1218	109.62	160.26	11.45	907134	81642.06	118.0157548	0.683141331	0.636416	-0.81198275	-0.48032331	-0.38501603	0.51674418	-0.1085996	-0.71973763	-0.27734411	0.19258222	-0.189030704	-1.73223527	-1.0171785	0.13770077	0.101145078	0.04863809
2007	1003802	90342.18	86.89135918	0.244798	1307	117.63	171.97	11.71	909170	81825.3	118.2806331	0.264878261	0.9461172	-0.73111938	-0.71523616	0.07821062	0.11607418	0.138001	-0.05125721	0.61480543	0.40173006	0.312448976	-0.41662455	-0.6133402	0.74352692	-0.248992441	-0.31462255
2008	998011	89820.99	86.3900772	0.501282	1398	125.82	183.95	11.97	916589	82493.01	119.2458255	0.965192447	0.3761317	-0.92590345	-0.13322198	1.08231484	-0.14304118	2.2815144	1.39589857	-0.0223077	0.72792971	0.175383625	1.04121943	-0.1259598	0.54180746	-0.746782058	0.08561104
2009	994076	89466.84	86.04945474	0.340622	1487	133.83	195.66	11.71	920451	82840.59	119.7482616	0.502436073	0.6163628	-0.46146563	0.07354162	0.65438876	-0.16499641	1.3834896	0.5650236	-1.13718663	-0.1419059	-0.107870246	1.13854249	2.2739455	0.0254184	-0.080404797	0.29032081
2010	988969	89007.21	85.60738134	0.442073	1595	143.55	209.87	14.21	924336	83190.24	120.2536899	0.505428313	1.5074612	-0.07063406	-0.67392405	0.10835967	-0.30985703	2.5809025	-0.89917257	-0.52552983	0.49792826	-0.084649933	1.71651682	0.815438	0.44899282	-0.001024475	0.19583678
2011	981989	88379.01	85.00317683	0.604205	1727	155.43	227.24	17.37	929783	83680.47	120.9623303	0.708640417	2.6361706	0.52014529	-0.33022545	-0.70520419	0.15653793	5.049628	-0.95564024	0.48632678	0.05913184	-0.139298223	1.82465528	-0.8699498	0.45701975	-0.791994533	-0.15156327
2012	978439	88059.51	84.69588085	0.307296	2001	180.09	263.29	36.05	932692	83942.28	121.3407836	0.378453272	3.4558803	0.78042113	-1.00681228	-1.05849463	-0.07479337	3.5841106	0.36249469	0.25574667	-0.44323028	-0.272925248	2.87011279	-0.2589758	0.22882341	0.378548342	0.03514432
2013	973355	87601.95	84.25579837	0.440082	2922	262.98	384.47	121.18	935152	84163.68	121.6608231	0.32003955	3.2946215	0.74388716	0.2847881	0.11093073	-0.26999249	2.6873033	0.62111955	0.45942966	-0.37608761	-0.068660428	2.92171877	-0.3036234	0.22494099	0.379705474	0.03538901
2014	972156	87494.04	84.15201024	0.103788	3437	309.33	452.24	67.76	934944	84144.96	121.6337629	-0.027060255	3.8549389	1.29650823	1.73955421	0.13043884	0.08226613	1.3534108	-0.06193906	-0.18337674	-0.36497043	0.244312796	2.89825694	-0.2845816	0.2258847	0.379532375	0.0347065
2015	972155	87493.95	84.15192367	0.000087	3639	327.51	478.82	26.58	934743	84126.87	121.6076133	-0.026149573	2.8723058	-0.36818398	-0.7309961	1.13812319	-0.05922597	0.4172513	0.13035757	-0.02047935	-0.19811497	0.291614686	2.79080796	-0.1915977	0.23626765	0.377268634	0.03484201
