CommCode,Commune,2010,diffPix,2011,diffPix,2012,diffPix,2013,diffPix,2014,diffPix,2015,diffPix,,,
30709,Roka Koy,1,na,1,0,1,0,1,0,1,0,1,0,,,
30803,Lve,6,na,6,0,6,0,6,0,6,0,6,0,,,
30804,Moha Leaph,2,na,2,0,2,0,2,0,2,0,2,0,,,
30806,Peam Prathnuoh,16,na,16,0,16,0,16,0,16,0,16,0,,,
30807,Pongro,14,na,14,0,14,0,14,0,14,0,14,0,,,
30808,Preaek Ta Nong,9,na,9,0,9,0,9,0,9,0,9,0,,,
30901,Chhuk,192,na,192,0,192,0,192,0,192,0,192,0,,,
30902,Chumnik,6,na,6,0,6,0,6,0,6,0,6,0,,,
30903,Kampong Treas,4,na,4,0,4,0,4,0,4,0,4,0,,,
30905,Krouch Chhmar,28,na,28,0,28,0,28,0,28,0,28,0,,,
30906,Peus Muoy,8,na,8,0,8,0,8,0,8,0,8,0,,,
30907,Peus Pir,33,na,33,0,33,0,33,0,33,0,33,0,,,
30908,Preaek a Chi,32,na,32,0,32,0,32,0,32,0,32,0,,,
30909,Roka Khnaor,4,na,4,0,4,0,4,0,4,0,4,0,,,
30910,Svay Khleang,13,na,13,0,13,0,13,0,13,0,13,0,,,
30911,Trea,46,na,46,0,46,0,46,0,46,0,46,0,,,
30912,Tuol Snuol,278,na,278,0,278,0,278,0,278,0,278,0,,,
31003,Choam Kravien,61,na,61,0,61,0,61,0,61,0,61,0,,,
31004,Choam Ta Mau,7,na,7,0,7,0,7,0,7,0,7,0,,,
31005,Dar,4,na,4,0,4,0,4,0,4,0,4,0,,,
31006,Kampoan,71,na,71,0,71,0,71,0,71,0,71,0,,,
31007,Memong,4,na,4,0,4,0,4,0,4,0,4,0,,,
31011,Rumchek,279,na,279,0,279,0,279,0,279,0,279,0,,,
31014,Tonlung,390,na,390,0,390,0,390,0,390,0,390,0,,,
31016,Kokir,8,na,8,0,8,0,8,0,8,0,8,0,,,
31103,Damrel,4,na,4,0,4,0,4,0,4,0,4,0,,,
31106,Peam Cheang,1,na,1,0,1,0,1,0,1,0,1,0,,,
31107,Preah Theat,1,na,1,0,1,0,1,0,1,0,1,0,,,
31202,Doun Tei,4,na,4,0,4,0,4,0,4,0,4,0,,,
31203,Kak,41,na,41,0,41,0,41,0,41,0,41,0,,,
31204,Kandaol Chrum,7,na,7,0,7,0,7,0,7,0,7,0,,,
31205,Kaong Kang,1,na,1,0,1,0,1,0,1,0,1,0,,,
31206,Kraek,33,na,33,0,33,0,33,0,33,0,33,0,,,
31207,Popel,2,na,2,0,2,0,2,0,2,0,2,0,,,
31208,Trapeang Phlong,4,na,4,0,4,0,4,0,4,0,4,0,,,
31209,Veal Mlu,5,na,5,0,5,0,5,0,5,0,5,0,,,
31413,Svay Sach Phnum,2,na,2,0,2,0,2,0,2,0,2,0,,,
31501,Areaks Tnaot,14,na,14,0,14,0,14,0,14,0,14,0,,,
31503,Dang Kdar,79,na,79,0,79,0,79,0,79,0,79,0,,,
31504,Khpob Ta Nguon,242,na,231,11,229,2,229,0,229,0,229,0,,,
31506,Ou Mlu,102,na,102,0,102,0,102,0,102,0,102,0,,,
31507,Peam Kaoh Sna,21,na,21,0,21,0,21,0,21,0,21,0,,,
