2010,2011,difference
14459,14163,-296
21042,21041,-1
3706,3706,0
61,61,0
6147,6147,0
8555,8555,0
3263,3263,0
880,880,0
3564,3564,0
293,293,0
3655,3602,-53
393,393,0
248,248,0
7066,7066,0
2246,2248,2
94,94,0
2312,2286,-26
5647,5647,0
227,227,0
932,932,0
38,38,0
1726,1714,-12
712,712,0
3649,3636,-13
99,99,0
3110,3110,0
6803,6803,0
2179,2179,0
2193,2193,0
4254,4245,-9
1523,1523,0
2073,2073,0
129,129,0
3345,3263,-82
58,58,0
8437,8437,0
606,606,0
6100,6100,0
7863,7863,0
2698,2520,-178
1474,1473,-1
1702,1702,0
12144,12144,0
282,282,0
6981,6981,0
1343,1315,-28
3310,3310,0
3594,3594,0
0,0,0
0,0,0
2148,2148,0
5327,5342,15
1498,1282,-216
41,41,0
189,189,0
1777,1777,0
697,697,0
1699,1599,-100
3072,3072,0
461,461,0
544,448,-96
13,13,0
375,375,0
555,555,0
1453,1453,0
932,932,0
3661,3643,-18
1450,1299,-151
9372,9372,0
46,46,0
83,83,0
2329,2329,0
0,0,0
9,9,0
0,0,0
355,300,-55
3225,3225,0
1236,1236,0
1179,1179,0
2716,2716,0
858,858,0
4705,4705,0
415,415,0
393,377,-16
54,54,0
237,193,-44
0,0,0
870,865,-5
319,309,-10
5370,5370,0
1325,1325,0
2,2,0
6553,6539,-14
7,7,0
4140,4145,5
3541,3484,-57
25,25,0
446,442,-4
125,125,0
138,138,0
4,4,0
0,0,0
2887,2887,0
1845,1845,0
4087,4086,-1
1712,1715,3
0,0,0
54,54,0
488,488,0
4,4,0
209,209,0
0,0,0
189,189,0
2485,2481,-4
5,5,0
161,161,0
20,20,0
0,0,0
830,830,0
0,0,0
674,674,0
5,5,0
865,865,0
0,0,0
27,27,0
1131,1123,-8
4899,4899,0
954,954,0
2892,2892,0
52,52,0
3979,3979,0
139,139,0
3,3,0
1382,1377,-5
19,19,0
0,0,0
655,655,0
0,0,0
395,388,-7
0,0,0
0,0,0
78,78,0
1338,1338,0
0,0,0
179,179,0
0,0,0
0,0,0
3357,3337,-20
0,0,0
0,0,0
2,2,0
0,0,0
0,0,0
0,0,0
1022,1022,0
0,0,0
1226,1226,0
3284,3284,0
247,247,0
2328,2328,0
0,0,0
0,0,0
91,91,0
277,275,-2
0,0,0
286,278,-8
42,42,0
68,68,0
548,578,30
848,848,0
4539,4505,-34
0,0,0
0,0,0
1448,1415,-33
2920,2920,0
2850,2850,0
0,0,0
1,1,0
0,0,0
0,0,0
252,252,0
1280,1276,-4
259,259,0
