,(Intercept),agr_gdp,dev_agri,dev_env,fdi,for_rem,gdp,gdp_gr,ind_gdp,pop_den,time,df,logLik,AICc,delta,weight
788,-6313.70736,-4.446977628,0.033659185,NA,NA,0.084668334,NA,NA,NA,-606.5086768,1.057032648,7,-90.13325188,203.5998371,6.721185125,0.009849843
977,-6315.761205,NA,NA,NA,NA,0.084721073,NA,-0.658005608,8.213376047,-609.868731,1.059686537,7,-90.15082169,203.6349767,6.756324754,0.009678294
791,-6302.542391,NA,0.03375099,0.227834829,NA,0.084458858,NA,NA,NA,-597.1499616,1.067252401,7,-90.20033069,203.7339947,6.855342754,0.0092108
914,-6322.101224,-0.707188275,NA,NA,NA,0.084813031,NA,NA,8.217045898,-611.9501818,1.055427416,7,-90.21391012,203.7611536,6.88250161,0.009086568
821,-6410.05714,NA,NA,0.183133452,NA,0.085428535,0.405932117,NA,NA,-593.9152528,1.068628614,7,-90.35140702,204.0361474,7.1574954,0.00791928
923,-6350.257783,NA,0.049559164,NA,0.038891693,0.085025089,NA,NA,14.82919043,-611.3400719,1.045415717,8,-87.49504773,204.0810045,7.202352581,0.007743639
795,-6312.974977,NA,0.031268235,NA,0.00856071,0.084575644,NA,NA,NA,-597.5862737,1.067375594,7,-90.46439077,204.2621149,7.3834629,0.007073225
825,-6415.861677,NA,NA,NA,0.005368184,0.085504687,0.398386532,NA,NA,-594.6900607,1.068364608,7,-90.53173779,204.3968089,7.518156956,0.006612551
818,-6409.855686,-0.842836016,NA,NA,NA,0.085480018,0.381280955,NA,NA,-597.3909005,1.066104538,7,-90.53539581,204.404125,7.525472991,0.006588407
883,-6474.211222,NA,0.043738704,NA,NA,0.085905996,0.740601904,-3.629746603,NA,-587.7867651,1.076465986,8,-87.81651181,204.7239327,7.845280742,0.00561481
790,-6306.083522,-4.196292441,NA,0.210685014,NA,0.084544388,NA,NA,NA,-603.7144783,1.062416216,7,-90.81000684,204.953347,8.074695042,0.005006317
947,-6394.278134,NA,0.046316032,NA,NA,0.08549145,0.255363015,NA,10.68546666,-612.2816923,1.046360163,8,-87.94314713,204.9772033,8.098551384,0.004946956
