,(Intercept),agr_gdp,dev_agri,dev_env,fdi,for_rem,gdp,gdp_gr,ind_gdp,pop_den,time,df,logLik,AICc,delta,weight
626,-5685.353898,26.00401485,NA,NA,NA,0.068581973,2.178476379,-7.672905352,NA,NA,1.153470786,7,-114.4499715,252.2332763,55.35462434,2.71E-13
633,-5500.908675,NA,NA,NA,0.136942001,0.066470425,1.318124951,-8.906844972,NA,NA,1.126893345,7,-114.6091986,252.5517306,55.67307859,2.31E-13
753,-5531.648392,NA,NA,NA,NA,0.066935287,1.760396024,-8.133223265,-20.08513033,NA,1.136816493,7,-114.8558349,253.0450032,56.16635125,1.81E-13
570,-5509.005743,20.10252208,NA,NA,0.072336337,0.066908022,1.219537408,NA,NA,NA,1.122622793,7,-114.8710094,253.0753521,56.19670015,1.78E-13
566,-5482.511195,21.08910188,NA,0.375880689,NA,0.066636121,1.361732834,NA,NA,NA,1.117411165,7,-115.0191653,253.3716638,56.49301187,1.53E-13
602,-5163.717474,9.608528038,NA,NA,0.128488361,0.063433232,NA,-5.105110247,NA,NA,1.136424173,7,-115.0210255,253.3753844,56.4967324,1.53E-13
629,-5399.984069,NA,NA,0.781695685,NA,0.065456922,1.393861034,-7.318049082,NA,NA,1.10794992,7,-115.0372075,253.4077484,56.52909639,1.51E-13
603,-5143.62411,NA,0.042548584,NA,0.135968355,0.06309211,NA,-6.161869256,NA,NA,1.117673581,7,-115.0480358,253.4294049,56.55075295,1.49E-13
564,-5494.45606,21.65836308,0.023079859,NA,NA,0.066770325,1.387386168,NA,NA,NA,1.113957236,7,-115.0505539,253.4344411,56.55578918,1.49E-13
690,-5505.82763,20.16580455,NA,NA,NA,0.066912234,1.41617512,NA,-5.410853255,NA,1.121829869,7,-115.0559912,253.4453157,56.56666371,1.48E-13
627,-5411.293944,NA,0.05446102,NA,NA,0.065590479,1.406595027,-7.22326326,NA,NA,1.09748465,7,-115.1281554,253.5896441,56.71099214,1.37E-13
605,-5133.709516,NA,NA,0.242085951,0.12467008,0.062991811,NA,-5.582599812,NA,NA,1.119907971,7,-115.1460849,253.6255032,56.74685126,1.35E-13
729,-5144.174109,NA,NA,NA,0.130960079,0.063120079,NA,-5.48431345,-1.75225387,NA,1.121743824,7,-115.1662847,253.6659027,56.78725075,1.32E-13
540,-5162.593898,10.75356358,0.021276762,NA,0.093233756,0.063476069,NA,NA,NA,NA,1.110621352,7,-115.3000836,253.9335006,57.05484859,1.16E-13
666,-5171.731941,12.98841476,NA,NA,0.105333641,0.063548667,NA,NA,4.973934085,NA,1.111134479,7,-115.3092427,253.9518187,57.07316675,1.15E-13
542,-5158.926651,10.96104486,NA,0.105361712,0.090082935,0.063439858,NA,NA,NA,NA,1.11359364,7,-115.3266123,253.9865579,57.10790598,1.13E-13
571,-5309.414163,NA,0.027221156,NA,0.087680135,0.064713791,0.624562514,NA,NA,NA,1.084235834,7,-115.331531,253.9963952,57.11774328,1.12E-13
693,-5336.341168,NA,NA,0.592892337,NA,0.065069077,0.955733597,NA,-14.03671678,NA,1.100253405,7,-115.3359712,254.0052758,57.12662384,1.12E-13
697,-5336.844196,NA,NA,NA,0.072372202,0.065041189,0.740985919,NA,-6.878390513,NA,1.095624973,7,-115.3367369,254.0068071,57.1281551,1.12E-13
573,-5301.011147,NA,NA,0.220567039,0.079833377,0.064624284,0.628251425,NA,NA,NA,1.087472808,7,-115.3630433,254.05942,57.18076802,1.09E-13
725,-5039.517256,NA,NA,0.735430731,NA,0.062176316,NA,-4.18784562,-11.92031029,NA,1.120767462,7,-115.452911,254.2391553,57.36050336,9.94E-14
543,-5130.12975,NA,0.028479299,0.235737647,0.086513098,0.06299805,NA,NA,NA,NA,1.088603209,7,-115.4603816,254.2540965,57.37544458,9.86E-14
599,-5022.92771,NA,0.051033867,0.760444669,NA,0.061891903,NA,-4.502192535,NA,NA,1.09790197,7,-115.4671146,254.2675625,57.38891054,9.80E-14
598,-5053.620398,10.18413724,NA,0.576328649,NA,0.062352704,NA,-3.224150009,NA,NA,1.117768435,7,-115.472524,254.2783814,57.39972945,9.74E-14
667,-5141.755821,NA,0.025747358,NA,0.097244317,0.063120134,NA,NA,-0.053611439,NA,1.089054713,7,-115.4816978,254.2967288,57.41807688,9.65E-14
567,-5264.502633,NA,0.036957094,0.580984043,NA,0.064240631,0.764015553,NA,NA,NA,1.075223105,7,-115.4832561,254.2998456,57.42119362,9.64E-14
691,-5332.262965,NA,0.016142315,NA,NA,0.065026783,0.934033436,NA,-11.86893789,NA,1.092248923,7,-115.4872591,254.3078516,57.42919961,9.60E-14
669,-5129.022706,NA,NA,0.235265652,0.081026106,0.063020879,NA,NA,-3.407199581,NA,1.096490503,7,-115.5026737,254.3386808,57.46002881,9.45E-14
596,-5061.336206,10.8281385,0.034924299,NA,NA,0.062455892,NA,-3.033110866,NA,NA,1.111472608,7,-115.5425842,254.4185018,57.53984982,9.08E-14
536,-5073.242888,10.5026513,0.030465299,0.501940205,NA,0.062576667,NA,NA,NA,NA,1.100917884,7,-115.5427962,254.4189258,57.5402738,9.08E-14
662,-5076.244405,8.940389894,NA,0.497553889,NA,0.062638298,NA,NA,-5.445695026,NA,1.109674595,7,-115.5737144,254.4807621,57.60211014,8.81E-14
722,-5066.017052,9.311918221,NA,NA,NA,0.062538724,NA,-2.775860648,-5.667359562,NA,1.120098208,7,-115.5876553,254.5086439,57.62999193,8.68E-14
663,-5059.015744,NA,0.025190775,0.60679474,NA,0.062366262,NA,NA,-8.154550369,NA,1.093639538,7,-115.6329327,254.5991987,57.72054676,8.30E-14
723,-5044.378935,NA,0.030250097,NA,NA,0.06221508,NA,-3.599975291,-8.382150532,NA,1.105717121,7,-115.6406526,254.6146386,57.73598661,8.24E-14
660,-5080.683132,10.91529105,0.022926144,NA,NA,0.06269127,NA,NA,-2.104213157,NA,1.103395167,7,-115.6535966,254.6405265,57.76187456,8.13E-14
634,-5762.672225,23.72474356,NA,NA,0.122021639,0.069300267,2.122205692,-10.03330592,NA,NA,1.173162723,8,-113.8435232,256.7779555,59.89930356,2.79E-14
630,-5682.278525,24.64394256,NA,0.640915736,NA,0.068503684,2.213861317,-8.58668405,NA,NA,1.15758928,8,-114.2449267,257.5807625,60.70211055,1.87E-14
628,-5702.794022,25.43866174,0.048825554,NA,NA,0.068730817,2.25992738,-8.642733326,NA,NA,1.150505607,8,-114.2812216,257.6533522,60.77470026,1.80E-14
754,-5728.593269,22.01282778,NA,NA,NA,0.069051278,2.326061387,-8.665717282,-12.2076968,NA,1.167875835,8,-114.2867806,257.6644702,60.78581826,1.79E-14
635,-5529.872244,NA,0.056472933,NA,0.13838681,0.066735817,1.434818344,-10.09761735,NA,NA,1.125110528,8,-114.3859191,257.8627473,60.98409533,1.62E-14
757,-5574.258709,NA,NA,0.970563142,NA,0.067326306,1.958288147,-9.964770567,-23.28592903,NA,1.15327887,8,-114.4055512,257.9020116,61.02335959,1.59E-14
761,-5565.384695,NA,NA,NA,0.109698277,0.067193438,1.591027846,-9.558224535,-11.96427499,NA,1.143679045,8,-114.4640682,258.0190455,61.1403935,1.50E-14
637,-5494.853474,NA,NA,0.369446468,0.121229215,0.066393838,1.362445497,-9.159232855,NA,NA,1.127749977,8,-114.5515628,258.1940347,61.31538272,1.38E-14
631,-5436.352705,NA,0.068279882,0.925191721,NA,0.065783823,1.552924118,-8.944984787,NA,NA,1.10699901,8,-114.7329603,258.5568297,61.67817773,1.15E-14
755,-5533.315988,NA,0.035451606,NA,NA,0.066924344,1.783609127,-8.644935627,-17.93547198,NA,1.131520039,8,-114.7760476,258.6430042,61.76435228,1.10E-14
572,-5506.168182,19.70572454,0.020241174,NA,0.070954029,0.066874723,1.215650306,NA,NA,NA,1.11941136,8,-114.8417401,258.7743893,61.89573736,1.03E-14
574,-5503.243537,19.90987799,NA,0.122936454,0.066834578,0.066844683,1.221837664,NA,NA,NA,1.122202203,8,-114.8647869,258.8204829,61.94183094,1.01E-14
698,-5507.748209,20.42414778,NA,NA,0.074779604,0.066890606,1.209556868,NA,1.063194422,NA,1.12194627,8,-114.8700021,258.8309134,61.95226142,1.00E-14
604,-5160.391245,8.734073452,0.037700804,NA,0.129932051,0.063383268,NA,-5.733512849,NA,NA,1.133258185,8,-114.9254408,258.9417906,62.06313866,9.46E-15
568,-5477.360467,20.38437977,0.027363588,0.416506749,NA,0.06657537,1.348261678,NA,NA,NA,1.113191423,8,-114.9670634,259.0250359,62.14638389,9.08E-15
694,-5491.073812,18.46567995,NA,0.424198155,NA,0.066746932,1.383012562,NA,-6.7612923,NA,1.122799798,8,-114.9700828,259.0310747,62.15242278,9.05E-15
607,-5126.743622,NA,0.046955444,0.34236602,0.121446468,0.062914148,NA,-6.358700564,NA,NA,1.118047208,8,-115.0014703,259.0938497,62.21519774,8.77E-15
730,-5169.995383,11.20730199,NA,NA,0.137263878,0.063475867,NA,-5.060469226,4.267588378,NA,1.133796594,8,-115.0045497,259.1000085,62.22135658,8.74E-15
606,-5154.616253,9.288097744,NA,0.174286543,0.121262626,0.06333331,NA,-5.182931899,NA,NA,1.136147079,8,-115.0087716,259.1084522,62.22980023,8.71E-15
692,-5501.307202,20.27985156,0.018355274,NA,NA,0.066856623,1.404344509,NA,-4.025462383,NA,1.117899619,8,-115.0344055,259.15972,62.28106805,8.49E-15
731,-5144.831454,NA,0.044766237,NA,0.139981776,0.063086784,NA,-6.204721842,1.715355584,NA,1.115390467,8,-115.0450471,259.1810034,62.30235142,8.40E-15
733,-5128.28415,NA,NA,0.298759123,0.114164084,0.062971096,NA,-5.587461932,-3.499469661,NA,1.12446384,8,-115.1336876,259.3582842,62.47963223,7.68E-15
668,-5172.812152,13.36472416,0.029264594,NA,0.108430712,0.063540334,NA,NA,7.420010165,NA,1.105137775,8,-115.25588,259.6026691,62.72401715,6.80E-15
701,-5336.441701,NA,NA,0.38920134,0.047267953,0.065046002,0.818251058,NA,-9.667118281,NA,1.098598385,8,-115.2841237,259.6591565,62.78050457,6.61E-15
544,-5154.402142,10.45714226,0.023143376,0.153980754,0.08626159,0.063386614,NA,NA,NA,NA,1.109780497,8,-115.2909661,259.6728412,62.79418927,6.57E-15
575,-5300.827632,NA,0.030444481,0.281039656,0.074439983,0.064619006,0.644378515,NA,NA,NA,1.083639638,8,-115.3009107,259.6927305,62.8140785,6.50E-15
699,-5330.515234,NA,0.021189151,NA,0.075137127,0.064963395,0.716402315,NA,-5.093221951,NA,1.090910208,8,-115.3089855,259.7088801,62.83022814,6.45E-15
695,-5330.10704,NA,0.020815398,0.61347165,NA,0.064993747,0.939617902,NA,-12.54890631,NA,1.095783048,8,-115.3091561,259.7092213,62.83056937,6.45E-15
670,-5170.870741,12.92370452,NA,0.013326089,0.104501575,0.06353999,NA,NA,4.860888312,NA,1.11115152,8,-115.309184,259.709277,62.83062503,6.45E-15
600,-5046.358486,8.928189573,0.044979416,0.672680409,NA,0.06225415,NA,-4.063348999,NA,NA,1.114223402,8,-115.3463437,259.7835965,62.90494457,6.21E-15
727,-5033.544843,NA,0.039491138,0.796045894,NA,0.062087414,NA,-4.765558925,-9.513750028,NA,1.115325022,8,-115.3610747,259.8130586,62.93440662,6.12E-15
726,-5052.789728,6.5251435,NA,0.658952247,NA,0.062370284,NA,-3.776788271,-8.489938939,NA,1.126406267,8,-115.402161,259.8952312,63.0165792,5.88E-15
671,-5128.082972,NA,0.026914838,0.256439269,0.082354928,0.062991736,NA,NA,-1.468278296,NA,1.090695454,8,-115.45843,260.0077691,63.12911713,5.55E-15
724,-5062.147884,9.450531871,0.031132073,NA,NA,0.06247907,NA,-3.161724273,-3.597267562,NA,1.115285123,8,-115.5304474,260.1518039,63.27315198,5.17E-15
664,-5074.548408,9.13401852,0.02653746,0.522210265,NA,0.062604668,NA,NA,-3.542642191,NA,1.104232431,8,-115.5310122,260.1529336,63.27428159,5.17E-15
636,-5782.017549,23.10079601,0.051142183,NA,0.123722463,0.069466184,2.206736962,-11.08205031,NA,NA,1.170331335,9,-113.6466513,263.2933026,66.41465068,1.07E-15
638,-5754.18732,23.3595426,NA,0.271844505,0.110689597,0.069200353,2.142440028,-10.20167699,NA,NA,1.17308081,9,-113.8100641,263.6201283,66.74147629,9.12E-16
762,-5770.317517,22.73087788,NA,NA,0.11478279,0.069390418,2.167294787,-10.17413709,-3.453481071,NA,1.176069611,9,-113.831953,263.663906,66.78525401,8.93E-16
758,-5737.790769,19.10822157,NA,0.801420374,NA,0.069094947,2.4148264,-10.10781277,-15.89011552,NA,1.177370968,9,-113.9743618,263.9487237,67.07007172,7.74E-16
632,-5703.350564,23.65705725,0.060785331,0.774298969,NA,0.068672693,2.322627754,-9.984240249,NA,NA,1.154754898,9,-113.9858483,263.9716966,67.09304464,7.65E-16
756,-5733.715344,22.37910411,0.03922444,NA,NA,0.069074379,2.361157109,-9.240747436,-9.698192927,NA,1.162532525,9,-114.1834292,264.3668584,67.48820646,6.28E-16
759,-5580.037423,NA,0.048295004,1.050443975,NA,0.067343581,2.00619812,-10.81260886,-20.62093027,NA,1.147418532,9,-114.2532438,264.5064875,67.62783558,5.86E-16
639,-5525.169467,NA,0.063920921,0.519994106,0.116461691,0.066663024,1.512589522,-10.60989827,NA,NA,1.126081105,9,-114.2727877,264.5455755,67.6669235,5.74E-16
765,-5582.916805,NA,NA,0.690422032,0.068144724,0.067373807,1.79595727,-10.32132977,-17.3173711,NA,1.152790235,9,-114.2881515,264.576303,67.69765106,5.66E-16
763,-5570.47072,NA,0.047279176,NA,0.119004716,0.067200746,1.607616803,-10.36154974,-8.408488633,NA,1.137197754,9,-114.3189063,264.6378125,67.75916054,5.49E-16
576,-5497.924735,19.39947104,0.0222963,0.169726986,0.063217911,0.066783896,1.218431392,NA,NA,NA,1.118504627,9,-114.830144,265.6602879,68.78163595,3.29E-16
700,-5502.011024,20.58161341,0.023619286,NA,0.077880192,0.066818149,1.185766404,NA,3.114327688,NA,1.11689371,9,-114.8338861,265.6677722,68.78912023,3.28E-16
702,-5503.250477,19.90188954,NA,0.123394857,0.066758835,0.066844841,1.222071844,NA,-0.024032785,NA,1.122215927,9,-114.8647865,265.729573,68.85092099,3.18E-16
732,-5171.461119,11.54677212,0.046554728,NA,0.14683695,0.063452018,NA,-5.796820947,8.056076582,NA,1.127554489,9,-114.8713646,265.7427292,68.86407724,3.16E-16
608,-5145.88782,8.146749557,0.041518742,0.271287143,0.118830976,0.063222675,NA,-5.918284738,NA,NA,1.132506254,9,-114.8964271,265.7928542,68.91420221,3.08E-16
696,-5485.040767,18.51603745,0.02155292,0.445046582,NA,0.066673509,1.367491089,NA,-5.200925668,NA,1.118232534,9,-114.9402608,265.8805215,69.00186957,2.95E-16
734,-5162.830216,10.64958364,NA,0.1105581,0.130734691,0.063403029,NA,-5.119732226,3.321447353,NA,1.134203365,9,-115.0004233,266.0008466,69.12219468,2.77E-16
735,-5126.548554,NA,0.046798392,0.344311665,0.121034392,0.062913574,NA,-6.356300441,-0.140850997,NA,1.118236802,9,-115.0014516,266.0029031,69.12425118,2.77E-16
703,-5329.700568,NA,0.022523036,0.402500673,0.049349099,0.064963476,0.794760097,NA,-7.864864126,NA,1.093688422,9,-115.2526589,266.5053177,69.62666575,2.16E-16
672,-5170.783105,13.21330477,0.029367954,0.031456224,0.106477559,0.063519824,NA,NA,7.161805008,NA,1.10515682,9,-115.2555516,266.5111033,69.63245131,2.15E-16
728,-5046.688607,6.441029892,0.039210887,0.720123111,NA,0.062279513,NA,-4.35570062,-6.144676798,NA,1.120929762,9,-115.3111753,266.6223506,69.74369867,2.03E-16
640,-5771.492199,22.47634487,0.057161114,0.41016155,0.106824742,0.06933496,2.247215217,-11.45951706,NA,NA,1.169874518,10,-113.5715696,271.5875837,74.70893172,1.70E-17
764,-5780.834773,23.27924197,0.051809927,NA,0.125103722,0.069451425,2.199375435,-11.06930313,0.648371377,NA,1.169748615,10,-113.6462695,271.7369835,74.85833151,1.58E-17
766,-5765.844535,21.06028378,NA,0.416977739,0.089312997,0.069337885,2.248708687,-10.58974539,-7.311959333,NA,1.179191751,10,-113.7675154,271.9794752,75.10082319,1.40E-17
760,-5745.174339,19.27913866,0.049482696,0.881752743,NA,0.069128467,2.467998189,-10.97778096,-13.09342466,NA,1.171582006,10,-113.8073389,272.0591223,75.18047032,1.34E-17
767,-5589.999626,NA,0.052049011,0.748850176,0.074873517,0.067397116,1.831562333,-11.27027879,-13.85586853,NA,1.146426119,10,-114.1100884,272.6646213,75.78596931,9.91E-18
704,-5496.955156,20.00791892,0.024002754,0.136151818,0.069080549,0.066766477,1.199188972,NA,1.948000377,NA,1.117109215,10,-114.8275225,274.0994894,77.22083739,4.84E-18
736,-5161.475869,10.77337909,0.047346551,0.154456478,0.137878096,0.063349854,NA,-5.8921392,6.798695533,NA,1.128016605,10,-114.8632399,274.1709243,77.29227238,4.67E-18
768,-5776.293144,21.40997083,0.054462574,0.473574957,0.096705292,0.069394886,2.293482321,-11.58715491,-3.523812621,NA,1.172970897,11,-113.562004,282.1240079,85.24535595,8.75E-20
769,-398.1179315,NA,NA,NA,NA,NA,NA,NA,NA,812.6390521,1.146188494,4,-137.0276073,284.7218813,87.84322933,2.39E-20
801,84.07979739,NA,NA,NA,NA,NA,-4.878970207,NA,NA,577.2918356,1.162164181,5,-135.6794133,285.6445408,88.76588886,1.51E-20
545,966.5329481,NA,NA,NA,NA,NA,-8.036933945,NA,NA,NA,1.189867732,4,-137.7426523,286.1519712,89.27331921,1.17E-20
546,916.2415244,-78.28470019,NA,NA,NA,NA,-9.064334037,NA,NA,NA,1.02937787,5,-136.6893689,287.664452,90.78580006,5.48E-21
833,-393.9131126,NA,NA,NA,NA,NA,NA,-9.721724767,NA,808.0940238,1.186719009,5,-136.8783151,288.0423445,91.16369256,4.54E-21
773,-404.3833549,NA,NA,1.24429292,NA,NA,NA,NA,NA,815.4494049,1.152014311,5,-136.9417392,288.1691927,91.29054076,4.26E-21
897,-404.4771094,NA,NA,NA,NA,NA,NA,NA,-14.82479187,826.1130216,1.169283796,5,-136.9955767,288.2768676,91.39821568,4.04E-21
770,-403.6253881,10.51846988,NA,NA,NA,NA,NA,NA,NA,825.2839665,1.167415488,5,-137.0081363,288.3019869,91.42333493,3.99E-21
771,-398.2356913,NA,0.025924038,NA,NA,NA,NA,NA,NA,812.6796967,1.143277639,5,-137.0223146,288.3303435,91.45169157,3.93E-21
777,-398.2966162,NA,NA,NA,0.000446158,NA,NA,NA,NA,812.7449714,1.146241473,5,-137.0276064,288.3409271,91.4622751,3.91E-21
673,937.8191272,NA,NA,NA,NA,NA,-8.3263956,NA,48.78481229,NA,1.112432351,5,-137.4052897,289.0962937,92.21764178,2.68E-21
609,1000.938056,NA,NA,NA,NA,NA,-8.963068192,14.52316213,NA,NA,1.130804359,5,-137.4887012,289.2631167,92.38446475,2.47E-21
802,200.5719782,-36.76556078,NA,NA,NA,NA,-5.862881439,NA,NA,485.6326491,1.091190473,6,-135.4638497,289.3892379,92.51058594,2.31E-21
805,75.32715141,NA,NA,1.110286691,NA,NA,-4.846976599,NA,NA,581.3428006,1.167257817,6,-135.6012695,289.6640774,92.78542543,2.02E-21
549,964.5044878,NA,NA,0.879649424,NA,NA,-8.029143068,NA,NA,NA,1.194057297,5,-137.7027647,289.6912437,92.81259173,1.99E-21
553,966.8155279,NA,NA,NA,-0.056597323,NA,-7.909301164,NA,NA,NA,1.182431782,5,-137.728513,289.7427403,92.86408833,1.94E-21
865,124.6031794,NA,NA,NA,NA,NA,-5.311771481,5.204815786,NA,558.8480879,1.141882123,6,-135.6420968,289.745732,92.86708008,1.94E-21
809,63.89032,NA,NA,NA,0.074202459,NA,-4.975379733,NA,NA,590.257222,1.171290962,6,-135.6506761,289.7628907,92.88423878,1.92E-21
547,966.42957,NA,0.014587613,NA,NA,NA,-8.034944948,NA,NA,NA,1.188228118,5,-137.7410926,289.7678995,92.88924749,1.92E-21
929,107.7291641,NA,NA,NA,NA,NA,-5.064038566,NA,12.49247019,557.0105137,1.143308353,6,-135.6554752,289.7724889,92.89383691,1.91E-21
803,83.61263866,NA,0.019464977,NA,NA,NA,-4.87513805,NA,NA,577.5072055,1.159966028,6,-135.676,289.8135384,92.93488641,1.87E-21
513,692.5357351,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.179391432,3,-141.339203,290.178406,93.29975402,1.56E-21
610,953.0784708,-80.77676081,NA,NA,NA,NA,-10.13173027,16.22548862,NA,NA,0.958282484,6,-136.3365972,291.1347328,94.25608087,9.67E-22
550,910.9385395,-81.38352528,NA,1.436368277,NA,NA,-9.092281065,NA,NA,NA,1.029866119,6,-136.5724982,291.6065348,94.72788286,7.64E-22
674,911.1744018,-72.24737909,NA,NA,NA,NA,-9.075280735,NA,15.19858474,NA,1.017630379,6,-136.6601581,291.7818546,94.90320263,7.00E-22
548,915.2998888,-79.21584633,0.048464209,NA,NA,NA,-9.069946284,NA,NA,NA,1.022021681,6,-136.6703824,291.8023032,94.92365128,6.93E-22
554,915.4341944,-79.28621019,NA,NA,0.032835791,NA,-9.151525832,NA,NA,NA,1.031638774,6,-136.6842653,291.8300691,94.95141713,6.83E-22
837,-401.3292343,NA,NA,1.641699158,NA,NA,NA,-11.6878232,NA,810.8827804,1.202602287,6,-136.7323311,291.9262006,95.0475486,6.51E-22
961,-401.9797193,NA,NA,NA,NA,NA,NA,-10.55432901,-19.64474262,825.5595013,1.220794416,6,-136.8222623,292.106063,95.22741108,5.95E-22
835,-393.7955385,NA,0.05799549,NA,NA,NA,NA,-10.6026554,NA,807.773105,1.1838797,6,-136.8526373,292.166813,95.28816104,5.77E-22
841,-424.994851,NA,NA,NA,0.079372671,NA,NA,-11.35569968,NA,826.173444,1.202956187,6,-136.8528353,292.1672091,95.28855709,5.77E-22
834,-398.4345318,8.466161512,NA,NA,NA,NA,NA,-9.516996786,NA,818.3674422,1.202950779,6,-136.8655823,292.1927031,95.31405117,5.70E-22
901,-412.202323,NA,NA,1.32741883,NA,NA,NA,NA,-17.25213841,831.3172908,1.179280335,6,-136.8983475,292.2582335,95.37958157,5.51E-22
781,-378.8321151,NA,NA,1.497889487,-0.066987339,NA,NA,NA,NA,800.1191699,1.145247312,6,-136.9242881,292.3101146,95.4314626,5.37E-22
774,-408.3313973,8.050836295,NA,1.191195176,NA,NA,NA,NA,NA,825.0078955,1.168012846,6,-136.9303958,292.3223301,95.44367812,5.34E-22
775,-404.8004876,NA,0.037681789,1.293140485,NA,NA,NA,NA,NA,815.6188105,1.148011954,6,-136.9305901,292.3227186,95.44406666,5.34E-22
737,975.9342901,NA,NA,NA,NA,NA,-9.62346567,19.18182779,61.23210113,NA,1.014665541,6,-136.9656683,292.3928751,95.51422309,5.16E-22
905,-390.8471942,NA,NA,NA,-0.036723803,NA,NA,NA,-17.33748131,819.6784095,1.168837543,6,-136.9902139,292.4419663,95.56331434,5.03E-22
898,-406.430259,5.951324143,NA,NA,NA,NA,NA,NA,-12.11365912,830.8033861,1.177070347,6,-136.9904012,292.4423409,95.5636889,5.03E-22
899,-404.2967721,NA,0.006840774,NA,NA,NA,NA,NA,-14.33194031,825.6758034,1.167747881,6,-136.9952425,292.4520235,95.57337152,5.01E-22
772,-403.5004567,10.09366722,0.021462815,NA,NA,NA,NA,NA,NA,824.8069347,1.164148276,6,-137.0045335,292.4706055,95.59195355,4.96E-22
778,-403.0053076,10.52630965,NA,NA,-0.00155853,NA,NA,NA,NA,824.9233913,1.167246243,6,-137.008125,292.4777885,95.59913652,4.94E-22
779,-397.5501081,NA,0.026007899,NA,-0.001712785,NA,NA,NA,NA,812.2732075,1.14306484,6,-137.022301,292.5061406,95.62748859,4.87E-22
521,717.7638798,NA,NA,NA,-0.308132442,NA,NA,NA,NA,NA,1.139813711,4,-141.0192731,292.7052129,95.82656092,4.41E-22
577,690.2576372,NA,NA,NA,NA,NA,NA,-11.6863292,NA,NA,1.227889284,4,-141.1989362,293.0645391,96.18588711,3.68E-22
514,656.9564898,-32.64629649,NA,NA,NA,NA,NA,NA,NA,NA,1.111905439,4,-141.20843,293.0835267,96.2048747,3.65E-22
675,933.6166434,NA,0.087339826,NA,NA,NA,-8.350612251,NA,54.87323752,NA,1.092951493,6,-137.3526721,293.1668827,96.28823069,3.50E-22
681,932.5733909,NA,NA,NA,0.095651385,NA,-8.590166803,NA,56.88593309,NA,1.112140575,6,-137.3729582,293.2074549,96.32880297,3.43E-22
641,672.4247647,NA,NA,NA,NA,NA,NA,NA,25.42906739,NA,1.138831588,4,-141.2750276,293.2167218,96.33806981,3.41E-22
677,936.9521713,NA,NA,0.6613172,NA,NA,-8.313904871,NA,47.66681341,NA,1.117356633,6,-137.3821718,293.225882,96.34723006,3.40E-22
517,690.5872752,NA,NA,0.972266483,NA,NA,NA,NA,NA,NA,1.184033336,4,-141.3052006,293.2770679,96.39841595,3.31E-22
617,1007.496865,NA,NA,NA,-0.138519439,NA,-8.808629114,16.99984125,NA,NA,1.102532942,6,-137.4090531,293.2796446,96.40099266,3.31E-22
515,692.4757459,NA,0.024603081,NA,NA,NA,NA,NA,NA,NA,1.176630476,4,-141.3361059,293.3388785,96.46022652,3.21E-22
613,998.6213722,NA,NA,0.393938578,NA,NA,-8.921670721,13.92870147,NA,NA,1.135098172,6,-137.48094,293.4234184,96.54476647,3.08E-22
611,1002.639484,NA,-0.032444858,NA,NA,NA,-9.007102596,15.14431523,NA,NA,1.131924956,6,-137.4812558,293.42405,96.54539803,3.08E-22
557,964.0389238,NA,NA,1.335195773,-0.117152444,NA,-7.760917581,NA,NA,NA,1.180835068,6,-137.6525776,293.7666937,96.88804171,2.59E-22
551,964.2741059,NA,0.022863348,0.909292283,NA,NA,-8.025763147,NA,NA,NA,1.191628692,6,-137.6989631,293.8594646,96.98081266,2.48E-22
555,966.6982865,NA,0.017619822,NA,-0.058124547,NA,-7.903454682,NA,NA,NA,1.180250702,6,-137.7262446,293.9140276,97.03537562,2.41E-22
806,199.9645493,-39.91823634,NA,1.344210896,NA,NA,-5.908518315,NA,NA,482.6772573,1.091271226,7,-135.3482056,294.0297446,97.15109261,2.27E-22
866,277.1814649,-41.38416833,NA,NA,NA,NA,-6.648398097,7.960104649,NA,445.9107589,1.051255696,7,-135.3779019,294.0891372,97.21048524,2.21E-22
810,180.1813003,-38.69123652,NA,NA,0.097366907,NA,-6.04092247,NA,NA,497.8447084,1.099449041,7,-135.4138371,294.1610075,97.28235551,2.13E-22
804,202.2937782,-37.57213166,0.034743003,NA,NA,NA,-5.877626687,NA,NA,484.0062232,1.085709955,7,-135.4528391,294.2390116,97.36035964,2.05E-22
930,200.6273471,-36.744228,NA,NA,NA,NA,-5.863272777,NA,0.064953129,485.5803829,1.091133616,7,-135.4638491,294.2610316,97.38237964,2.03E-22
937,92.53479491,NA,NA,NA,0.129990878,NA,-5.39080747,NA,23.14932187,562.4225782,1.143211826,7,-135.5843869,294.5021072,97.62345524,1.80E-22
869,104.1340671,NA,NA,0.980637641,NA,NA,-5.14746277,3.568682643,NA,568.2238081,1.152756633,7,-135.5846777,294.5026886,97.62403668,1.80E-22
933,95.08346654,NA,NA,1.056849259,NA,NA,-4.999823106,NA,10.21349147,564.566393,1.151596669,7,-135.5853315,294.5039963,97.62534436,1.79E-22
993,178.8296014,NA,NA,NA,NA,NA,-5.784228172,7.369220878,19.74280996,519.1261871,1.103648583,7,-135.5884792,294.5102918,97.63163979,1.79E-22
807,74.30035801,NA,0.029961677,1.14932072,NA,NA,-4.839953119,NA,NA,581.8167296,1.16405336,7,-135.5932139,294.5197611,97.64110915,1.78E-22
813,68.63655687,NA,NA,1.004516408,0.027654477,NA,-4.885955253,NA,NA,585.7889529,1.170174032,7,-135.5979638,294.529261,97.65060901,1.77E-22
