fid,KHUM50_,KHUM50_ID,CODEKHUM,KHUM_NAME,PERIMETER,AREA,HISTO_50,HISTO_60,HISTO_61,HISTO_62,HISTO_70,HISTO_80,HISTO_90,HISTO_100
69,70,171302,171302,Kantuot,146309.95,852545467.4,737,6543,0,0,17,0,0,2075
70,71,10705,10705,Kouk Kakthen,57757.94,131553178.7,4,42,0,0,0,0,0,0
71,72,10303,10303,Ponley,69235.44,119867363.6,36,47,0,0,0,0,0,0
72,73,130403,130403,Thmei,73267.52,279056921.7,86,1040,0,0,2,0,0,1201
73,74,10703,10703,Phum Thmei,38833.74,65850714.59,0,0,0,0,0,0,0,0
74,75,10804,10804,Svay Chek,85528.37,210261191.3,9,0,0,0,0,0,0,0
75,76,10807,10807,Treas,78501.38,163459480.1,0,0,0,0,0,0,0,0
76,77,160607,160607,L'ak,59047.04,119664375.4,144,12,0,0,0,0,0,199
77,78,190508,190508,Preah Rumkel,107846.49,354402526,73,933,7,0,4,0,0,2208
78,79,130703,130703,Chhean Mukh,61711.85,141931541.8,335,258,0,0,0,0,0,643
79,80,130704,130704,Pou,55217.08,123562429.2,384,373,0,0,0,0,0,422
80,81,130705,130705,Prame,84741.89,256871274.2,1230,911,0,0,0,0,0,575
81,82,190507,190507,Ou Svay,58531.16,117204610.8,3,619,0,0,0,0,0,236
82,83,190404,190404,Sameaki,124276.36,512471950.4,227,3341,0,0,5,0,0,1132
83,84,160101,160101,Malik,55285.81,131518019.2,68,51,0,0,0,0,0,296
84,85,160604,160604,Kalai,35002.9,61250084.82,242,3,0,0,0,0,0,148
85,86,171201,171201,Chrouy Neang Nguon,50659.71,77430384.31,33,0,0,0,0,0,0,21
86,87,160605,160605,Ou Chum,65348.16,119190952.8,82,0,0,0,0,0,0,155
87,88,171202,171202,Klang Hay,30909.55,32747985.2,0,0,0,0,0,0,0,0
88,89,171401,171401,Prasat,81141.11,167132060.8,829,4,0,0,0,0,0,37
89,90,160606,160606,Sameakki,46061.6,70391367.58,115,0,0,0,0,0,0,204
90,91,190107,190107,Ta Lat,103222.78,524721037.2,2302,947,0,0,0,0,0,2121
91,92,160903,160903,Hat Pak,74035.2,145962357,118,120,0,0,7,0,0,1080
92,93,171205,171205,Prei,43288.14,46316013.14,2,0,0,0,0,0,0,0
93,94,190505,190505,Anlong Chrey,127619.38,621684509.1,3691,606,0,0,11,0,0,2245
94,95,10801,10801,Phkoam,52221.92,88739709.06,0,7,0,0,0,0,0,0
95,96,130201,130201,Chhep Muoy,100777.82,380292475.1,1184,1573,0,0,0,0,0,1383
96,97,190509,190509,Sam'ang,105027.98,371240270.1,857,1338,0,0,2,0,0,1344
97,98,170106,170106,Srae Khvav,50248.37,104604755.8,22,3,0,0,0,0,0,0
98,99,160706,160706,Saom Thum,55194.37,103384442.9,107,51,0,0,4,0,0,284
99,100,160301,160301,Kak,66460.15,96057845.57,25,0,0,0,0,0,0,100
100,101,160302,160302,Ke Chong,55470.98,104876068.8,29,6,0,0,0,0,0,103
101,102,10803,10803,Sla Kram,85957.91,168451792.5,4,0,0,0,0,0,0,0
102,103,10808,10808,Roluos,31021.05,28757025.26,0,0,0,0,0,0,0,0
103,104,190105,190105,Sdau,94251.64,304329881.6,207,1577,0,0,0,0,0,1103
104,105,190104,190104,Samkhuoy,142510.83,203511427.5,277,982,0,0,0,0,0,586
105,106,190106,190106,Srae Kor,96966.47,398702021.7,702,1729,0,1,0,0,0,1655
106,107,130702,130702,Pal Hal,85418.3,263703444.5,668,805,0,0,0,0,0,239
107,108,10306,10306,Phnum Dei,54876.24,59390189.79,0,0,0,0,0,0,0,0
108,109,130701,130701,Kampong Pranak,22949.05,21175478.13,0,31,0,0,0,0,0,23
109,110,130401,130401,Kuleaen Tboung,44144.71,75002544.06,41,432,0,0,0,0,0,15
110,111,10509,10509,Ou Bei Choan,52282.87,90518769.07,4,0,0,0,0,0,0,0
111,112,171404,171404,Svay sa,50827.9,88823457.7,180,0,0,0,0,0,0,29
112,113,10806,10806,Ta Phou,48096.55,79677985.52,0,0,0,0,0,0,0,0
113,114,160705,160705,Sesant,40813.8,43610619.4,13,25,0,0,4,0,0,147
114,115,160404,160404,Toen,107977.9,300651628.4,872,421,0,0,21,0,0,1171
115,116,171203,171203,Tram Sasar,60547.44,88664714.58,2,0,0,0,0,0,0,3
116,117,160601,160601,Cha Ung,41415.46,56608680.6,3,55,0,0,3,0,0,100
117,118,171204,171204,Moung,42653.31,86172515.48,20,0,0,0,0,0,0,0
118,119,10802,10802,Sarongk,33905.36,46938553.96,0,0,0,0,0,0,0,0
119,120,160403,160403,Ta Ang,79400.02,162181173.7,34,88,0,0,21,0,0,687
120,121,10805,10805,Ta Baen,27616.43,27131194.14,0,0,0,0,0,0,0,0
121,122,130404,130404,Phnum Penh,50804.26,95855202.86,19,585,0,0,0,0,0,70
122,123,10305,10305,Srah Chik,45241,86270552.42,0,5,0,0,0,0,0,0
123,124,130206,130206,Mlu Prey Pir,38837.79,90226961.35,27,611,0,0,0,0,0,227
124,125,10304,10304,Spean Sraeng,59378.22,64660908.46,0,0,0,0,0,0,0,0
125,126,160603,160603,Aekakpheap,24304.1,23687877.23,0,0,0,0,0,0,0,27
126,127,190504,190504,Kaoh Snaeng,55965.53,142688973.4,226,603,0,0,0,0,0,302
127,128,160406,160406,Trapeang Kraham,109308.71,464829539.7,273,1889,0,0,107,0,0,2630
128,129,160703,160703,Pak Nhai,73474.5,206751614.5,66,110,0,0,1,0,0,777
129,130,130405,130405,Phnum Tbaeng Pir,98744.42,285060375.9,451,1866,0,0,3,0,0,572
