CommCode,Commune,perc_change
60603,Klaeng,0.502512563
60604,Mean Ritth,0.356076269
60605,Mean Chey,0
60606,Ngan,2.644836272
60607,Sandan,0.706090026
60608,Sochet,1.034126163
60609,Tum Ring,4.66007022
60701,Boeng Lvea,1.881134133
60702,Chroab,0
60703,Kampong Thma,0
60704,Kakaoh,0
60705,Kraya,8.439432521
60706,Pnov,0
60708,Tang Krasang,0
60709,Ti Pou,0
60801,Banteay Stoung,0
60802,Chamnar Kraom,4.851330203
60804,Kampong Chen Cheung,0
60806,Msar Krang,49.49494949
60807,Peam Bang,42.30769231
60808,Popok,2.769230769
60809,Pralay,3.125
60812,Samprouch,24.94004796
60813,Trea,0
70102,Angkor Chey,0
70104,Dambouk Khpos,0
70105,Dan Koum,0
70108,Phnum Kong,0
70111,Tani,0
70210,Trapeang Sala Khang Kaeu,0
70213,Tuk Meas Khang Lech,0
70302,Ta Kaen,0
70308,Lbaeuk,0
70309,Trapeang Plang,1.418988648
70311,Nareay,0
70401,Chres,0
70402,Chumpu Voan,0
70403,Snay Anhchet,0
70404,Srae Chaeng,0
70405,Srae Knong,0
70406,Srae Samraong,0
70407,Trapeang Reang,0
70507,Srae Chea Khang Tboung,0
70510,L'ang,0
70602,Boeng Sala Khang Tboung,0
70606,Kampong Trach Khang Lech,0
70615,Svay Tong Khang Cheung,0
70616,Svay Tong Khang Tboung,0
70700,NA,0.060132291
70701,Boeng Tuk,0
70703,Kampong Kraeng,0
70704,Kampong Samraong,0
70705,Kandal,0
70707,Kaoh Touch,0
70708,Koun Satv,0
70709,Meakprang,0
70711,Preaek Tnaot,0
70713,Prey Thnang,0
70715,Stueng Kaev,0
70716,Thmei,0
70717,Trapeang Pring,0
70804,Andoung Khmaer,0
70805,Traeuy Kaoh,0
80101,Ampov Prey,0
80104,Boeng Khyang,0
80107,Kandaok,0
80116,Preaek Slaeng,0
80202,Chheu Teal,0
80203,Dei Edth,0
80205,Kbal Kaoh,0
80206,Kokir,0
80207,Kokir Thum,0
80208,Phum Thum,0
80210,Preaek Thmei,0
80211,Samraong Thum,0
80304,Kaoh Chouram,0
80306,Preah Prasab,0
80307,Preaek Ampil,0
80308,Preaek Luong,0
80309,Preaek Ta Kov,0
80403,Kampong Kong,0
80407,Leuk Daek,0
80501,Kampong Phnum,0
80602,Barong,0
80613,Sarikakaev,0
80701,Bak Khaeng,0
80702,Kaoh Dach,0
80709,Ruessei Chrouy,0
80710,Sambuor Meas,0
80812,Ponsang,0
80904,Kampong Os,0
80908,Ponhea Pon,0
80911,Phsar Daek,0
80912,Samraong,0
81009,Roka Khpos,0
81010,S'ang Phnum,0
81011,Setbou,0
81013,Svay Rolum,0
81014,Ta Lon,0
81015,Traeuy Sla,0
90101,Andoung Tuek,0
90102,Kandaol,0
90103,Ta Nuon,0
90103,Ta Nuon,0
90103,Ta Nuon,0
90104,Thma Sa,0
90201,Kaoh Sdach,2.301410542
90201,Kaoh Sdach,0
90201,Kaoh Sdach,0
90201,Kaoh Sdach,0
90202,Phnhi Meas,0
90203,Preaek Khsach,2.667167543
90301,Chrouy Pras,0.589390963
90301,Chrouy Pras,0
90302,Kaoh Kapi,0
90303,Ta Tai Kraom,0
90401,Smach Mean Chey,0
90403,Stueng Veaeng,0
90501,Bak Khlang,0.157955198
90502,Peam Krasaob,0
90503,Tuol Kokir Leu,0
90601,Boeng Preav,0
90602,Chi Kha Kraom,0
90604,Chrouy Svay,0
90605,Dang Peaeng,0
90607,NA,0
90701,Ta Tey Leu,0
90702,Pralay,0
90703,Chumnoab,0
90703,Chumnoab,0
90704,Ruessei Chrum,0.152369343
90801,Chamkar Luong,0
90803,Ou Bak Roteh,0
90804,Stueng Chhay,0.381679389
100101,Chhloung,0
100102,Damrei Phong,14.85875706
100103,Han Chey,0
100104,Kampong Damrei,7.382550336
100105,Kanhchor,0
100106,Khsach Andaet,0
100107,Pongro,0
100108,Preaek Saman,11.65048544
100201,Bos Leav,0
100202,Changkrang,0
100203,Dar,0
100204,Kantuot,0
100205,Kou Loab,0
100207,Kaoh Trong,0
100208,Krakor,0
100211,Roka Kandal,0
100212,Sambok,0
100213,Thma Andaeuk,0
100214,Thma Kreae,0
100215,Thmei,0
100301,Chambak,9.058614565
100302,Chrouy Banteay,0.414078675
100303,Kampong Kor,0
100305,Preaek Prasab,8.93970894
100306,Ruessei Kaev,8.620689655
100307,Saob,18.92976589
100308,Ta Mau,13.10160428
100401,Boeng Char,0
100402,Kampong Cham,0
100403,Kbal Damrei,0
100404,Kaoh Khnhaer,0
100405,Ou Krieng,3.600705614
100406,Roluos Mean Chey,3.597831444
100407,Sambour,0
100408,Sandan,0
100409,Srae Chis,0
100410,Voadthonak,0
100501,Khsuem,6.093017666
100502,Pir Thnu,8.523447402
100503,Snuol,0
100504,Srae Char,0
100505,Svay Chreah,1.912803722
110101,Chong Phlah,0
110102,Me Mang,0
110104,Srae Khtum,0.178810907
110201,Nang Khi Loek,0
110202,Ou Buon Leu,0
110203,Roya,0.170419963
110204,Sokh Sant,0
110205,Srae Huy,0
110206,Srae Sangkom,0
110301,Dak Dam,1.843733883
110401,Krang Teh,0
110402,Bu Chri,0
110403,Srae Ampum,0
110404,Bu Sra,0.038328862
110501,Monourom,0
110502,Sokh Dom,0
110503,Spean Mean Chey,0
110504,Romonea,0
110504,Romonea,0
120501,Dangkao,0
120503,Kouk Roka,0
120515,Cheung Aek,0
120607,Chak Angrae Kraom,0
120708,Preaek Lieb,0
120709,Preaek Ta Sek,0
130101,S'ang,0
130102,Tasu,0
130103,Khyang,0
130104,Chrach,0
130105,Yhmea,0
130106,Putrea,0
130203,Sangke Muoy,0
130204,Sangke Pir,0
130205,Mlu Prey Muoy,0
130206,Mlu Prey Pir,0
130207,Kampong Sralau Muoy,0
130208,Kampong Sralau Pir,0
130301,Choam Ksant,0
130302,Tuek Kraham,0
130303,Pring Thum,0
130304,Rumdaoh Srae,0
130305,Yeang,0
130306,Kantuot,0
130401,Kuleaen Tboung,0
130402,Kuleaen Cheung,0
130403,Thmei,0
130404,Phnum Penh,0
130405,Phnum Tbaeng Pir,0
130406,Srayang,0
130501,Robieb,0
130502,Reaksmei,0
130503,Rohas,0
130504,Rung Roeang,0.528479154
130505,Rik Reay,0
130506,Ruos Roan,0
130507,Rotanak,6.839186691
130508,Rieb Roy,0
130509,Reaksa,0
130510,Rumdaoh,0
130511,Romtom,0
130512,Romoniy,3.023407022
130601,Chamraeun,0
130603,Phnum Tbaeng Muoy,0
130604,Sdau,0
130605,Ronak Ser,0
130701,Kampong Pranak,0
130703,Chhean Mukh,0
130704,Pou,0
130705,Prame,0
130706,Preah Khleang,0
140108,Spueu Kha,0
140201,Cheach,0
140203,Kranhung,0
140204,Krabau,0
140205,Seang Khveang,0
140306,Kou Khchak,0
140402,Kanhchriech,0
140404,Kouk Kong Kaeut,0
140405,Kouk Kong Lech,0
140406,Preal,0
140407,Thma Pun,0
140503,Chi Phok,0
140504,Prey Khnes,0
140508,Trapeang Srae,0
140805,Mesa Prachan,0
140809,Prey Sralet,0
141004,Damrei Puon,0
150101,Boeng Bat Kandaol,56.25
150104,Me Tuek,15.51724138
150105,Ou Ta Paong,0
150107,Snam Preah,11.11111111
150109,Ta Lou,0
150203,Kandieng,0
150204,Kanhchor,0
150206,Srae Sdok,4.891304348
150208,Sya,1.34529148
150208,Sya,0
150301,Anlong Tnaot,3.902439024
150302,Ansa Chambak,0
150304,Chheu Tom,0
150306,Kampong Pou,3.448275862
150307,Kbal Trach,2.040816327
150308,Ou Sandan,1.290322581
150309,Sna Ansa,7.829181495
150310,Svay Sa,0
150311,Tnaot Chum,0
150402,Leach,0
150403,Phteah Rung,0
150404,Prongil,0
150405,Rokat,0
150406,Santreae,0
150407,Samraong,0.06351895
150501,Chamraeun Phal,0
150506,Roleab,0
150601,NA,0.585417775
150602,NA,0.257400257
150603,NA,0.881750905
150604,NA,0.103722485
150605,NA,0.128444652
160101,Malik,0
160102,Mai Hie,5.885815185
160103,Nhang,6.597479615
160104,Ta Lav,14.41922563
160201,Kachanh,0
160203,Yeak Laom,0
160301,Kak,0
160302,Ke Chong,0
160303,Laming,0
160304,Lung Khung,0
160305,Seung,0
160306,Ting Chak,0
160401,Serei Mongkol,0
160402,Srae Angkrong,0
160403,Ta Ang,0
160404,Toen,0.160965795
160405,Trapeang Chres,0
160406,Trapeang Kraham,0
160501,Chey Otdam,0
160502,Ka Laeng,0
160503,La Bang Muoy,0
160504,La Bang Pir,0
160505,Pa Tang,0
160506,Seda,0
160601,Cha Ung,0
160602,Chan,17.64705882
160603,Aekakpheap,0
160604,Kalai,4.071246819
160605,Ou Chum,18.56540084
160606,Sameakki,3.134796238
160607,L'ak,15.49295775
160701,Bar Kham,0
160702,Lum Choar,0
160703,Pak Nhai,0
160704,Pate,0.74906367
160705,Sesant,0
160706,Saom Thum,0.896860987
160707,Ya Tung,0
160800,NA,2.047167854
160801,Ta Veaeng Leu,0.211565585
160802,Ta Veaeng Kraom,0
160900,NA,0
160901,Ban Pong,0
160903,Hat Pak,0
160904,Ka Choun,0
160905,Kaoh Pang,0
160906,Kaoh Peak,2.084884587
160907,Kok Lak,0
160908,Pa Kalan,0
160909,Phnum Kok,10.4137931
160910,Veun Sai,0
170102,Doun  Peaeng,0
170103,Kouk Doung,1.772151899
170105,Nokor Pheas,0
170106,Srae Khvav,0
170201,Chob Ta Trav,0.722021661
170202,Leang Dai,0
170203,Peak Snaeng,2.797202797
170204,Svay Chek,0
170301,Khnar Sanday,0
170302,Khun Ream,0.361794501
170304,Rumchek,0
170305,Run Ta Aek,0
170306,Tbaeng,0
