"","for_cov","prod_rice","prod_rub","prod_cass","prod_corn","prod_sug","time","for_rem"
"2",0.0899999999965075,19.1,24.8,17.6,-6.70000000000002,131.6,-1277.57845849803,103971.33
"3",1826.10000000001,62.9,106.3,-3.40000000000001,38.6,624.9,598.783212874089,102145.23
"4",570.059999999998,-33.1,-61.7,-36.6,-39.4,-339.6,-606.905115753813,101575.17
"5",1015.28999999999,-6,-70.9,-39.1,-16.6,-406.7,-111.323444381711,100559.88
"6",1139.49000000001,-15.5,-110.2,54.5,21.8,-635.4,63.2282269904065,99420.39
"7",1897.2,-47.3,-1.69999999999999,-12.4,28.7,-4,871.289898362504,97523.19
"8",1529.28,-14,-20.4,-10.7,-23.6,-123.1,553.721569734612,95993.91
"9",1241.28,8.90000000000001,-3.19999999999999,17,-40.1,-16.3,316.073241106718,94752.63
"10",1328.31,14.9,0.0999999999999943,15.5,-48.5,1.5,453.454912478823,93424.32
"11",511.650000000009,-14.9,-1,-32.7,22.5,-6,-312.85341614906,92912.67
"12",1157.49000000001,28.3,10.4,85.6,27.9,61.0999999999999,383.338255223043,91755.18
"13",757.529999999999,13.4,9.69999999999999,14.2,10.9,56.1000000000001,33.7299265951429,90997.65
"14",400.949999999997,-10.4,16,-29.5,13.3,91.5,-272.498402032753,90596.7
"15",254.520000000004,41,31.8,-26.5,90.4,182.3,-368.57673066064,90342.18
"16",521.189999999988,70.4,69.3,-29.1,20.9,397,-51.55505928855,89820.99
"17",354.150000000009,-33.1,-15.7,-82.6,-59,617.1,-168.243387916423,89466.84
"18",459.62999999999,29.4,13.3,47,62.3,266.3,-12.4117165443354,89007.21
"19",628.200000000012,24.1,56.4,55.6,40.8,-581.7,206.509954827792,88379.01
"20",319.5,0,10.1,-25,9.79999999999995,1406.2,-51.8383738001132,88059.51
"21",457.559999999998,1.89999999999998,2.80000000000001,1.19999999999999,2.20000000000005,25.7000000000003,136.57329757199,87601.95
"22",107.910000000003,-0.899999999999977,-1.19999999999999,-0.5,-1,-11.4000000000001,-162.725031055898,87494.04
"23",0.0899999999965075,-3.90000000000003,-6,-2.5,-4.5,-53.5999999999999,-220.193359683799,87493.95
