"","(Intercept)","for_rem","prod_cass.lag2","prod_corn.lag2","prod_rub.lag2","prod_sug.lag2","time","df","logLik","AICc","delta","weight"
"2",-5975.37744834043,0.0726290994820971,NA,NA,NA,NA,NA,3,-147.015971341112,301.531942682224,59.0123479133938,7.1759317664177e-14
"28",-4408.57002162682,0.0560633988913622,-2.75669349439844,NA,-3.07224528426772,-0.335406634740537,NA,6,-141.594204339573,301.649947140684,59.1303523718536,6.76478437093491e-14
"22",-4526.28789280441,0.057504826539812,NA,-2.3236611152299,NA,-0.38983158583296,NA,5,-144.244676775464,302.775067836641,60.2554730678108,3.85422534583985e-14
"63",732.436387129974,NA,-0.320016319521121,-1.7070492483036,-0.1159515729955,-0.232349307514198,0.997242977277327,7,-139.723819350057,302.780972033447,60.2613772646165,3.84286407140311e-14
"30",-4559.85504268456,0.0576893075835347,NA,-0.61012260407635,-3.47813253579193,-0.222161327399038,NA,6,-142.626393995896,303.714326453331,61.1947316845001,2.40979270812348e-14
"6",-5560.12708713447,0.0683263740578437,NA,-2.28623681891536,NA,NA,NA,4,-146.527649257669,303.721965182004,61.2023704131734,2.40060638591818e-14
"4",-5948.18699326021,0.0723181959736715,-1.57138265016015,NA,NA,NA,NA,4,-146.745544631544,304.157755929756,61.6381611609251,1.93059064999469e-14
"16",-5078.48977315303,0.0630228760720348,-1.49012664380786,0.576559762015814,-4.71785651409665,NA,NA,6,-143.036539349322,304.534617160182,62.0150223913515,1.59902709256447e-14
"24",-4399.99245985083,0.0561052828634969,-3.23969771262238,-1.11599715001567,NA,-0.499748942908911,NA,6,-143.063835011964,304.589208485467,62.0696137166363,1.55597088557071e-14
"9",751.913188087961,NA,NA,NA,-5.84567615950482,NA,NA,3,-148.870063384353,305.240126768705,62.7205319998745,1.12371546329436e-14
"25",776.636982447166,NA,NA,NA,-4.27671921497881,-0.342202365977537,NA,4,-147.776922891646,306.22051244996,63.700917681129,6.88285010255541e-15
"32",-4446.28631378831,0.0564475185482988,-2.83643327103697,0.29437627612267,-3.167898674438,-0.333352054244937,NA,7,-141.58415880174,306.501650936814,63.9820561679833,5.98025722845277e-15
"19",789.1869055003,NA,-4.52731468256606,NA,NA,-0.697905641891779,NA,4,-147.954202536844,306.575071740354,64.0554769715237,5.76470037962263e-15
"17",781.280709015194,NA,NA,NA,NA,-0.557240023050541,NA,3,-149.582299315969,306.664598631938,64.1450038631079,5.51234286012319e-15
"8",-5609.10873197165,0.0688160842894477,-0.960526387488494,-1.92505226609801,NA,NA,NA,5,-146.435034522617,307.155783330948,64.6361885621174,4.31198081662346e-15
"21",809.231519149636,NA,NA,-3.76885056692446,NA,-0.540266470940299,NA,4,-148.470527214282,307.607721095231,65.0881263264009,3.43985219062319e-15
"27",783.678903741791,NA,-3.50485429170083,NA,-3.42825016769531,-0.49376155961875,NA,5,-146.722485081479,307.730684448673,65.2110896798424,3.23473441075956e-15
"11",750.355626704348,NA,-1.39685410527338,NA,-5.78446380255683,NA,NA,4,-148.693755049633,308.054176765933,65.5345819971026,2.75164982257021e-15
"13",760.558398404673,NA,NA,-1.28740807273613,-5.41986143704052,NA,NA,4,-148.760086975194,308.186840617055,65.6672458482244,2.57504946002601e-15
"29",792.967574224968,NA,NA,-2.07930617660671,-3.43873353434533,-0.374972662133106,NA,5,-147.464415775955,309.214545837624,66.6949510687931,1.54035996316031e-15
"23",805.273904474096,NA,-3.6019196852738,-2.38705553324901,NA,-0.658402777856872,NA,5,-147.5221547854,309.330023856515,66.8104290876841,1.45394001336629e-15
"1",732.564,NA,NA,NA,NA,NA,NA,2,-152.451486459119,309.608855271178,67.0892605023479,1.2647334830504e-15
"5",764.736126858575,NA,NA,-4.11935043003527,NA,NA,NA,3,-151.457438202206,310.414876404411,67.8952816355809,8.45227757897451e-16
"15",756.105690202689,NA,-1.15033396821328,-0.81534079821721,-5.52558988452561,NA,NA,5,-148.654568882747,311.594852051208,69.0752572823779,4.68538513189556e-16
"31",791.096047116986,NA,-3.21091650590354,-1.01958967026097,-3.08850075551777,-0.497119854757912,NA,6,-146.647823370035,311.757185201609,69.2375904327787,4.32011292700683e-16
"3",730.86400520332,NA,-1.75257195534055,NA,NA,NA,NA,3,-152.256792187852,312.013584375703,69.4939896068727,3.80030738928629e-16
"7",762.900837904635,NA,-0.482977218954811,-3.94434389334461,NA,NA,NA,4,-151.443140807649,313.552948281965,71.0333535131349,1.76015170656478e-16
