"","(Intercept)","for_rem","prod_cass.lag2","prod_corn.lag2","prod_rub.lag2","prod_sug.lag2","time","df","logLik","AICc","delta","weight"
"34",-5052.37469022592,0.0622382869959537,NA,NA,NA,NA,1.0807655515518,4,-115.926464051082,242.519594768831,0,0.468001054861171
"50",-4941.10600841469,0.0610905389001981,NA,NA,NA,-0.0504143607609982,1.05552993358863,5,-115.295438102268,244.876590490251,2.3569957214203,0.144022953932498
"36",-5051.34153114528,0.0622277856793495,0.369507876703767,NA,NA,NA,1.08946193771516,5,-115.604772930379,245.495260146473,2.97566537764223,0.105703484795619
"42",-5013.60069986665,0.0618351746987883,NA,NA,-0.267471435217945,NA,1.06138815407274,5,-115.76146546488,245.808645215473,3.28905044664279,0.0903729797881121
"38",-5018.30492092634,0.0618887001218522,NA,-0.208693852733247,NA,NA,1.07627458977074,5,-115.840848040461,245.967410366635,3.44781559780481,0.0834762993118301
"54",-4892.16099864437,0.0605880303129855,NA,-0.267237512325633,NA,-0.0528238071805629,1.04857306637841,6,-115.146934471115,248.755407403768,6.2358126349373,0.0207089139342762
"52",-4956.85039827035,0.0612530060756396,0.147366030450286,NA,NA,-0.0430940964961645,1.06266246173301,6,-115.255459232151,248.97245692584,6.45286215700915,0.0185791404719535
"58",-4931.27319175975,0.0609876644948452,NA,NA,-0.122764613651697,-0.0468060902676259,1.04844222467566,6,-115.26199922797,248.985536917478,6.46594214864709,0.0184580294354582
"40",-4990.03335578863,0.0615987373418706,0.478319863619998,-0.373678659685751,NA,NA,1.08398150110226,6,-115.347586208624,249.156710878786,6.63711610995585,0.0169439780754099
"44",-5016.55399321026,0.0618661064833504,0.351180663491923,NA,-0.240325507419518,NA,1.0716198386812,6,-115.468216459011,249.39797137956,6.87837661072956,0.015018492040534
"46",-4998.74145911746,0.0616834733429648,NA,-0.125725429046568,-0.228387957312726,NA,1.06151408640952,6,-115.733523665342,249.928585792222,7.40899102339165,0.0115187372805442
"56",-4906.0146385894,0.06073171627012,0.260347592736887,-0.343466931244354,NA,-0.0405785875283069,1.05918946729421,7,-115.032057250484,253.397447834301,10.8778530654706,0.00203306400495128
"62",-4891.97398620556,0.0605856834258559,NA,-0.256340277184287,-0.027253425735476,-0.0519245296741445,1.04728329593361,7,-115.14551331831,253.624359969953,11.1047652011225,0.00181500450413486
"60",-4947.40746257884,0.0611539996900583,0.16115116220783,NA,-0.136284880346953,-0.0384036782855791,1.05546137342744,7,-115.214419875091,253.762173083515,11.2425783146849,0.00169415042764409
"48",-4980.11701154889,0.0614943352565526,0.451090179807155,-0.315405731603005,-0.134554390425383,NA,1.07484663747285,7,-115.310229005034,253.9537913434,11.4341965745698,0.00153936849263599
"64",-4905.84539144857,0.0607296685366425,0.25968991105185,-0.335451570388524,-0.0195644026459841,-0.0399639571282155,1.05823676164234,8,-115.031317179213,259.153543449336,16.6339486805052,0.000114348578427099
"33",692.535735145706,NA,NA,NA,NA,NA,1.17939143246358,3,-141.33920299413,290.17840598826,47.6588112194292,2.09540255260321e-11
"49",715.172719908524,NA,NA,NA,NA,-0.214287347774327,1.06439612544547,4,-140.366553663881,291.39977399443,48.8801792255991,1.1377603002455e-11
"37",707.565825457089,NA,NA,-1.74151775555244,NA,NA,1.13729223834783,4,-140.839064625774,292.344795918214,49.8252011493837,7.09319456313773e-12
"41",701.087072030976,NA,NA,NA,-1.46179757621388,NA,1.06999800544893,4,-140.934583273401,292.535833213469,50.0162384446384,6.44701455857188e-12
"35",692.603547802886,NA,0.39253770996515,NA,NA,NA,1.18861214882843,4,-141.311022873221,293.288712413109,50.7691176442783,4.42458976062681e-12
"53",731.933368713264,NA,NA,-1.85199343790576,NA,-0.221643599751948,1.01567864440206,5,-139.740513116674,293.766740519062,51.2471457502316,3.48393886585583e-12
"51",719.653075444202,NA,-0.940791835083774,NA,NA,-0.258238023466358,1.01871119163578,5,-140.230449119554,294.746612524823,52.2270177559924,2.13448950175713e-12
"57",717.210996709028,NA,NA,NA,-0.812866982527709,-0.188568536421185,1.01736709331314,5,-140.245393579008,294.776501443731,52.2569066749006,2.10282788210358e-12
"45",710.11347227589,NA,NA,-1.35214671524253,-1.00995207134939,NA,1.07112520780561,5,-140.664188209461,295.614090704637,53.0944959358065,1.38332278318913e-12
"39",710.567258268687,NA,0.993838788233851,-2.06939649931419,NA,NA,1.1527114330208,5,-140.66612052184,295.617955329394,53.0983605605633,1.38065235233604e-12
"43",701.011108992533,NA,0.281883866971807,NA,-1.44048777204137,NA,1.07821417783355,5,-140.919549147113,296.124812579939,53.6052178111089,1.0715728059185e-12
"10",-5023.27988221373,0.0624853940482337,NA,NA,-4.60314497213581,NA,NA,4,-143.343540868299,297.353748403265,54.8341536344348,5.7964442117772e-13
"55",732.560091952753,NA,-0.316233683592987,-1.75483560964293,NA,-0.236031071169157,1.00287808737227,6,-139.726020006972,297.913578475483,55.3939837066525,4.38123052409635e-13
"61",731.812625389742,NA,NA,-1.8090856474904,-0.106709073005519,-0.218096931212051,1.01063361834512,6,-139.738650281797,297.938839025132,55.4192442563017,4.32624236726508e-13
"59",721.088849867877,NA,-0.857427153766732,NA,-0.730916250911366,-0.231217581472359,0.980471677084862,6,-140.132340568555,298.726219598649,56.206624829818,2.91832279190544e-13
"47",712.14716793818,NA,0.819406953091248,-1.68987064617196,-0.835149831267214,NA,1.09529030246068,6,-140.550216895392,299.561972252322,57.0423774834916,1.92155112615336e-13
"26",-4652.65915246251,0.0586398970185201,NA,NA,-3.71491212177704,-0.210409219347449,NA,5,-142.668882085078,299.623478455871,57.1038836870403,1.86335688194102e-13
"18",-4952.52481435969,0.0619218373035569,NA,NA,NA,-0.388241514874623,NA,4,-144.873951051276,300.414568769219,57.8949740003885,1.25462218523481e-13
"12",-5011.85733993132,0.0623459215964861,-1.31667310236597,NA,-4.54821970366944,NA,NA,5,-143.070023899375,300.425762084464,57.9061673156331,1.24762010681344e-13
"20",-4560.96471919088,0.0577619930252321,-3.64709251104853,NA,NA,-0.512911394454271,NA,5,-143.208435538765,300.702585363244,58.1829905944136,1.08635296511653e-13
"14",-5017.75483738491,0.0624290119415228,NA,-0.0467515355492494,-4.58880290467761,NA,NA,5,-143.343296211869,300.972306709452,58.4527119406216,9.49296124600795e-14
