"","for_cov","gdp","gdp_gr","fdi","ind_gdp","agr_gdp","dev_agri","dev_env","pop_den","time","for_rem"
"4",570.059999999998,9.39071759999996,-3.668300917,143,-0.199999999999999,-1.4,168.96,1.48,1.81,-606.905115753813,101575.17
"5",1015.28999999999,3.86647470000003,-1.646020936,-125.6,1.8,-1,-97.07,-0.97,1.73999999999999,-111.323444381711,100559.88
"6",1139.49000000001,6.95114430000001,0.856574492,74.7,0.199999999999999,-0.100000000000001,-173.83,0.59,1.67,63.2282269904065,99420.39
"7",1897.2,36.1884362,8.036802171,-10.6,1.3,-3.4,271.94,5.34,1.58,871.289898362504,97523.19
"8",1529.28,32.9141036,-1.730160171,-83.7,3.4,-2.2,-12.62,-2.9,1.48,553.721569734612,95993.91
"9",1241.28,22.7667277,-2.984066164,0.900000000000006,0.800000000000001,-1.9,-186.38,26.02,1.38,316.073241106718,94752.63
"10",1328.31,20.9720144,-0.660123654,-4.30000000000001,2.2,-2.9,-79.91,-19.34,1.29000000000001,453.454912478823,93424.32
"11",511.650000000009,31.6419857,2.042596072,-61.1,0.800000000000001,0.5,104.98,3.96,1.2,-312.85341614906,92912.67
"12",1157.49000000001,43.3867484,1.90229023,47.4,1.4,-3.2,167.19,-9.71,1.16,383.338255223043,91755.18
"13",757.529999999999,63.1635632,2.920327571,249.8,-0.0999999999999979,0.599999999999998,93.41,7.01,1.14999999999999,33.7299265951429,90997.65
"14",400.949999999997,55.74316,-2.393392177,102,1.8,-1.4,-234.98,28.47,1.13000000000001,-272.498402032753,90596.7
"15",254.520000000004,57.4104932,-0.508400174,384.1,-0.400000000000002,-1.3,-40.91,-4.06,1.11,-368.57673066064,90342.18
"16",521.189999999988,37.2215154,-3.458218548,-22,-0.699999999999999,-0.199999999999999,-23.72,-32.77,1.13,-51.55505928855,89820.99
"17",354.150000000009,-10.7120174,-6.527903767,83.1,-0.800000000000001,1.5,80.05,7.8,1.16,-168.243387916423,89466.84
"18",459.62999999999,32.7058023,5.74757338,414.1,-0.0999999999999979,-0.699999999999999,46.08,24.11,1.21000000000001,-12.4117165443354,89007.21
"19",628.200000000012,42.2747309,1.037298175,31,1.8,-1,172.94,17.47,1.25999999999999,206.509954827792,88379.01
"20",319.5,46.1722695000001,0.195990757,461.5,0.600000000000001,-0.699999999999999,26.28,25.62,1.32000000000001,-51.8383738001132,88059.51
"21",457.559999999998,48.9409224,0.0221096169999999,37.4000000000001,0.899999999999999,-1.4,134.04,-33.13,1.36,136.57329757199,87601.95
"22",107.910000000003,49.8525225999999,-0.198190212,-152.3,0.800000000000001,-1.5,336.94,-7,1.37,-162.725031055898,87494.04
"23",0.0899999999965075,51.8786367,-0.0685496079999997,-19.0999999999999,1.4,-1.5,-628.45,-1.15,1.36,-220.193359683799,87493.95
