"","(Intercept)","corn_med","cpi","for_prod","nfi","rice_med","rub_med","sug_med","time","df","logLik","AICc","delta","weight"
"95",0.00171861747328903,NA,-4.04754958900403e-06,1.9802014175626e-09,4.81609554681209e-06,-2.74953300766529e-06,NA,4.00419719409333e-06,NA,7,-164.903745340646,351.807490681292,17.6780461985358,2.8031072965561e-05
"118",0.00156636080940549,9.58427881750645e-06,NA,2.13077852191269e-09,NA,-3.40877682919692e-06,-9.00984758411603e-07,7.85766562856826e-06,NA,7,-164.979602012912,351.959204025825,17.8297595430692,2.59833765833264e-05
"63",0.00157685969106394,NA,-1.80087373019208e-07,1.52334689575428e-09,3.88582073865479e-06,-1.92190750697001e-06,-6.41708154812753e-08,NA,NA,7,-165.090481073032,352.180962146064,18.0515176633078,2.32563429817079e-05
"104",0.00162457951327946,4.51436583925507e-06,-4.33364488965986e-06,1.91633562326641e-09,NA,NA,-6.40370220483014e-07,6.3537477602747e-06,NA,7,-165.099863091975,352.19972618395,18.0702817011941,2.30391718760074e-05
"119",0.00158592042309003,NA,-2.33302017663083e-06,1.87636301111108e-09,NA,-8.07691399981696e-07,-5.15871729186231e-07,5.90821498846891e-06,NA,7,-165.173494667019,352.346989334039,18.2175448512829,2.14037109796015e-05
"56",0.00149048586159771,4.77837393697138e-06,-3.64387611288594e-07,1.4869448680819e-09,NA,-1.4124266975215e-06,-3.66044203717825e-07,NA,NA,7,-165.397243114895,352.79448622979,18.6650417470343,1.71126142907558e-05
"88",0.00157660642878562,1.79358656252073e-06,-4.45441351454022e-06,1.77027719378993e-09,NA,-1.28390760532141e-06,NA,3.21265605229403e-06,NA,7,-165.412376939552,352.824753879103,18.6953093963474,1.68555848118564e-05
"190",0.00195382666790646,7.49310740129634e-06,NA,8.08369098654886e-10,2.75336962968929e-06,-4.24460952345596e-06,-2.64063404108762e-07,NA,-1.73062881209363e-06,8,-162.954250845655,352.985424768234,18.855980285478,1.55544473376901e-05
"222",0.0019477641763776,5.10679823338288e-06,NA,6.55343474677417e-10,2.61189489728526e-06,-4.05761201056876e-06,NA,-9.52962247598753e-07,-1.83039903082981e-06,8,-162.993594835354,353.064112747631,18.9346682648754,1.49543557282148e-05
"160",0.00194388907986774,4.81405179097344e-06,1.3945100648744e-07,7.46103545365404e-10,2.73132121497612e-06,-4.34194467285107e-06,NA,NA,-1.78544815795065e-06,8,-163.002350309742,353.081623696407,18.9521792136514,1.48239947684391e-05
"220",0.00184446684659732,2.1546049265605e-06,3.84337658029809e-06,NA,7.16623270156898e-07,-2.67837304041393e-06,NA,-3.12257109414774e-06,-2.13204022950816e-06,8,-163.015717288779,353.108357654481,18.978913171725,1.46271612069525e-05
"223",0.00184856965893373,NA,3.61826950137287e-06,1.96688957262175e-10,7.45414351330148e-07,-2.49216932045346e-06,NA,-2.14466990711635e-06,-2.04595449286723e-06,8,-163.02255523502,353.122033546964,18.9925890642083,1.45274826516461e-05
"244",0.00182116614464526,1.95398001048248e-06,4.48898690761886e-06,NA,NA,-2.47316254590657e-06,-7.31408614147788e-08,-2.9793556725273e-06,-2.14388677200968e-06,8,-163.022791370002,353.122505816928,18.9930613341722,1.45240526097848e-05
"216",0.00182626023219923,1.47513163094324e-06,4.18595706513385e-06,7.82956896599061e-11,NA,-2.58302026336268e-06,NA,-2.94598160019618e-06,-2.13098149520024e-06,8,-163.024461997524,353.125847071972,18.9964025892162,1.44998085847699e-05
"251",0.00182866016872094,NA,4.33868926897524e-06,NA,3.78604800185794e-07,-2.24503537577718e-06,1.03719040572893e-08,-2.92684955049224e-06,-2.13273652402638e-06,8,-163.02924129415,353.135405665223,19.0059611824671,1.44306750349957e-05
"247",0.00182068211738824,NA,4.42885344493636e-06,7.76789855403822e-11,NA,-2.23924559097218e-06,-2.81805269126309e-08,-2.60933475617046e-06,-2.11046660365322e-06,8,-163.031138149219,353.139199375362,19.0097548926059,1.4403328080705e-05
"184",0.00183414820009898,3.60282114231128e-06,3.32703597721004e-06,4.50530356979624e-10,NA,-3.1002754076425e-06,-2.88291240812215e-07,NA,-1.90264478098785e-06,8,-163.04217572845,353.161274533822,19.0318300510664,1.42452243521702e-05
"191",0.00186669454717815,NA,2.71372505652238e-06,4.71895166045658e-10,1.1844061423771e-06,-2.80159122554036e-06,-1.09163233369141e-07,NA,-1.87666986759527e-06,8,-163.04267701029,353.162277097502,19.0328326147464,1.42380852693919e-05
"122",0.00149687454628535,8.27787080103551e-06,NA,NA,5.14949144921793e-06,-3.1034861663793e-06,-4.890980182861e-07,2.16592709086655e-06,NA,7,-165.598337375997,353.196674751993,19.0672302692374,1.39953006901586e-05
"253",0.0019234732871292,NA,NA,5.34612104670783e-10,1.65416708398102e-06,-2.64164120002771e-06,1.75989733957531e-08,-5.969143937346e-07,-1.83456525208373e-06,8,-163.079762583263,353.236448243449,19.1070037606936,1.37197288989445e-05
"60",0.00156246015275137,9.68054981930905e-06,-2.60796392911023e-06,NA,5.85787407925304e-06,-3.26464643227302e-06,-3.55478156520062e-07,NA,NA,7,-165.620116324572,353.240232649144,19.1107881663883,1.36937929346486e-05
"188",0.00182926310268551,2.88358339127766e-06,3.22193715789993e-06,NA,9.09792652039465e-07,-2.86764681752053e-06,-2.17283977740548e-07,NA,-1.94794642378555e-06,8,-163.099038673373,353.275000423669,19.1455559409137,1.3457798773104e-05
"250",0.00191015470379921,4.0355980324101e-06,NA,NA,1.65982444369442e-06,-2.57718178866534e-06,-2.08225589793956e-08,-2.40071326807022e-06,-1.97759042279233e-06,8,-163.100346385521,353.277615847964,19.1481713652087,1.34402113483206e-05
"246",0.00189177907234236,3.94788492846012e-06,NA,4.92111549943331e-10,NA,-2.71846505669699e-06,-1.80546212911148e-07,-8.67462406677039e-07,-1.86078329922261e-06,8,-163.101174710103,353.279272497129,19.1498280143732,1.34290831004071e-05
"108",0.0015671068688872,6.9431800627057e-06,-3.62743964482468e-06,NA,5.50450323970601e-06,NA,-4.20404495177428e-07,2.5928202666425e-06,NA,7,-165.671214515105,353.34242903021,19.2129845474543,1.30116416617271e-05
"208",0.00176856698114203,-1.9181058024947e-06,4.96952484548654e-06,-2.34559617214389e-10,-4.68986608034125e-07,NA,NA,-3.93584810338005e-06,-2.13045989131519e-06,8,-163.148648130439,353.374219337801,19.2447748550453,1.28064546758543e-05
"232",0.00178448145836399,-1.27255309001224e-06,4.35474016357143e-06,-1.53639630696237e-10,NA,NA,-2.91173932049542e-08,-3.58051256028565e-06,-2.06889003001267e-06,8,-163.150930045161,353.378783167246,19.2493386844897,1.2777264755511e-05
"236",0.00179146794917327,-9.70623321177575e-07,3.8061664915266e-06,NA,5.81770869699263e-08,NA,-7.43826072121764e-08,-2.95081455968516e-06,-1.98681550468013e-06,8,-163.156572632819,353.390068342561,19.2606238598052,1.27053709434215e-05
