,(Intercept),corn_med.lag2,cpi.lag2,for_prod.lag2,nfi.lag2,rice_med.lag2,rub_med.lag2,sug_med.lag2,time,df,logLik,AICc,delta,weight
202,705.6420846,-0.735488939,NA,NA,0.519590903,NA,NA,-0.31297725,1.171446028,6,-140.9108807,300.2832999,10.10489396,0.001415834
178,698.9596902,-1.887176583,NA,NA,NA,0.384357941,0.055179095,NA,1.16474051,6,-140.9236612,300.3088609,10.13045486,0.001397854
142,702.5580004,-0.834364911,NA,-0.000100739,0.48156525,NA,NA,NA,1.148590813,6,-140.9253922,300.3123229,10.13391692,0.001395436
166,700.6622332,-1.547088605,NA,-0.000125321,NA,NA,0.056217573,NA,1.122949848,6,-140.9546693,300.370877,10.19247098,0.001355174
154,702.8894233,-0.852268259,NA,NA,0.450814445,0.040930356,NA,NA,1.173369746,6,-140.9637642,300.3890669,10.21066094,0.001342905
233,697.6138806,NA,NA,NA,0.625386741,NA,0.031426883,-0.531261362,1.201879517,6,-140.967609,300.3967564,10.21835038,0.001337752
205,698.7173562,NA,NA,-0.000105563,0.62599367,NA,NA,-0.403539715,1.16925003,6,-140.9752471,300.4120327,10.23362673,0.001327573
217,703.5055675,NA,NA,NA,0.689454675,-0.228921113,NA,-0.349951851,1.18456423,6,-140.979777,300.4210924,10.24268646,0.001321572
157,699.6899109,NA,NA,-8.65E-05,0.663584467,-0.250866557,NA,NA,1.167717553,6,-141.0182988,300.4981361,10.31973008,0.001271631
150,699.4991257,-1.395824566,NA,-0.000102153,NA,0.347933978,NA,NA,1.135291044,6,-141.0301942,300.5219268,10.3435208,0.001256594
185,699.5119443,NA,NA,NA,0.659370908,-0.27458144,0.013488689,NA,1.190986998,6,-141.0355698,300.532678,10.35427201,0.001249857
210,701.9512834,-1.323920593,NA,NA,NA,0.348267388,NA,-0.236701545,1.157703314,6,-141.0387318,300.5390021,10.36059608,0.001245912
173,693.7918121,NA,NA,-9.10E-05,0.570327234,NA,0.01047085,NA,1.180819176,6,-141.0566241,300.5747867,10.39638068,0.001223818
198,703.5540125,-1.003336856,NA,-0.00010047,NA,NA,NA,-0.231349288,1.123112477,6,-141.0739402,300.6094188,10.43101278,0.001202808
229,692.2338416,NA,NA,-0.000102664,NA,NA,0.030841927,-0.442065769,1.156849287,6,-141.232503,300.9265445,10.74813851,0.00102644
241,693.5686819,NA,NA,NA,NA,-0.018643862,0.026118627,-0.385160298,1.179803745,6,-141.2701939,301.0019262,10.8235202,0.000988472
213,693.9927816,NA,NA,-8.28E-05,NA,0.01545529,NA,-0.282580529,1.155719598,6,-141.2778611,301.0172607,10.83885475,0.000980922
181,691.1031695,NA,NA,-7.49E-05,NA,-0.031229927,0.011352952,NA,1.163214851,6,-141.3126716,301.0868817,10.9084757,0.000947364
175,775.7297025,NA,-3.240102169,-0.000124154,0.81102991,NA,0.069560936,NA,1.136899675,7,-139.5250866,302.3835066,12.20510064,0.000495402
172,776.4669998,-0.526882909,-3.081297692,NA,0.72398205,NA,0.078714022,NA,1.15444354,7,-139.5483862,302.4301057,12.25169972,0.000483993
187,776.688076,NA,-3.18703029,NA,0.808531391,-0.048557904,0.066427662,NA,1.163741839,7,-139.5908542,302.5150417,12.33663566,0.000463869
235,775.964655,NA,-3.180380611,NA,0.796654388,NA,0.067618091,-0.051382508,1.165705953,7,-139.5914965,302.5163264,12.3379204,0.000463571
180,766.1348742,-1.649915307,-2.872412014,NA,NA,0.585133112,0.096328571,NA,1.140018188,7,-139.7458236,302.8249806,12.64657464,0.000397277
