,(Intercept),corn_med,cpi,for_prod,nfi,rice_med,rub_med,sug_med,time,df,logLik,AICc,delta,weight
49,746.9424634,NA,NA,NA,NA,-0.259911803,0.103657579,NA,NA,4,-169.7864377,349.9258165,26.4293678,3.51E-07
94,717.1418849,-3.306906981,NA,-0.001589874,-2.91447018,2.242783483,NA,-0.372942869,NA,7,-163.9867431,349.9734863,26.47703757,3.43E-07
66,748.6364034,0.39488053,NA,NA,NA,NA,NA,-0.261328715,NA,4,-169.9543761,350.2616933,26.7652446,2.97E-07
104,727.9969646,-3.076121713,0.820333157,-0.001875653,NA,NA,0.344545814,-2.537821044,NA,7,-164.1322979,350.2645958,26.76814711,2.97E-07
18,748.7144423,0.557410501,NA,NA,NA,-0.202338853,NA,NA,NA,4,-169.9584197,350.2697807,26.77333199,2.96E-07
4,755.7251764,0.442419479,-0.340331254,NA,NA,NA,NA,NA,NA,4,-169.9606431,350.2742273,26.77777864,2.95E-07
67,747.9042378,NA,0.078497511,NA,NA,NA,NA,-0.237428759,NA,4,-169.9653816,350.2837043,26.7872556,2.94E-07
81,749.6492923,NA,NA,NA,NA,0.01027269,NA,-0.221744123,NA,4,-169.9655849,350.284111,26.78766233,2.94E-07
19,751.6025502,NA,-0.10799976,NA,NA,-0.007046628,NA,NA,NA,4,-169.972732,350.2984053,26.80195658,2.92E-07
63,736.38295,NA,-0.722040144,-0.001558902,-2.022421678,0.610343091,0.132955175,NA,NA,7,-164.2765949,350.5531899,27.0567412,2.57E-07
26,719.4720888,-2.505384122,NA,NA,-3.188985466,1.881534602,NA,NA,NA,5,-168.4297978,350.6095956,27.11314692,2.50E-07
42,730.1018596,-1.740642126,NA,NA,-2.420345252,NA,0.166949644,NA,NA,5,-168.4745297,350.6990594,27.20261071,2.39E-07
57,722.4902833,NA,NA,NA,-2.508920525,0.644012189,0.085384714,NA,NA,5,-168.5468825,350.8437651,27.34731641,2.22E-07
64,695.07397,-7.383403925,0.40239367,-0.001727879,-3.727964338,3.033353865,0.307255945,NA,NA,8,-161.9097094,350.8963418,27.39989316,2.16E-07
105,729.5324294,NA,NA,NA,-2.19516081,NA,0.12566975,-0.469482727,NA,5,-168.6118176,350.9736352,27.47718653,2.08E-07
43,730.2719419,NA,-0.082818735,NA,-2.247919443,NA,0.106094588,NA,NA,5,-168.6409591,351.0319181,27.53546944,2.02E-07
27,716.942048,NA,0.292835453,NA,-2.577188148,0.821109072,NA,NA,NA,5,-168.6844273,351.1188546,27.62240592,1.94E-07
89,723.4953671,NA,NA,NA,-2.57383831,0.851537624,NA,0.069926446,NA,5,-168.6874669,351.1249339,27.62848518,1.93E-07
95,704.3589924,NA,0.846908318,-0.001554511,-2.09813388,0.824182297,NA,-0.73255983,NA,7,-164.59524,351.1904799,27.69403125,1.87E-07
12,705.3987344,-0.606280899,1.168065307,NA,-2.371501498,NA,NA,NA,NA,5,-168.8100854,351.3701709,27.87372217,1.71E-07
80,686.5472321,-1.164741845,2.032844077,-0.001573365,-1.960965292,NA,NA,-0.722724518,NA,7,-164.6866678,351.3733357,27.87688699,1.70E-07
75,712.7593433,NA,0.800901347,NA,-2.293365708,NA,NA,0.0301915,NA,5,-168.8336917,351.4173835,27.92093479,1.67E-07
74,732.1167672,-0.268098241,NA,NA,-2.275338184,NA,NA,0.239636735,NA,5,-168.8540643,351.4581286,27.96167988,1.63E-07
119,746.5772958,NA,-0.217685248,-0.001750505,NA,-0.071507415,0.229589763,-1.958319492,NA,7,-164.7980658,351.5961316,28.09968297,1.52E-07
256,803.8413974,-0.837170126,-2.585740953,-0.000584241,0.259285143,0.651085836,0.140799086,-0.213103475,0.908089977,10,-155.8914847,351.7829694,28.28652069,1.39E-07
56,761.1941098,-2.691661262,-0.962672887,-0.001731563,NA,0.612957635,0.229324835,NA,NA,7,-165.0751869,352.1503737,28.65392505,1.16E-07
112,690.3980128,-3.968985353,1.855926398,-0.001799202,-2.01088163,NA,0.350613342,-2.307209112,NA,8,-162.7387908,352.5545046,29.05805593,9.44E-08
98,748.954285,-1.042569904,NA,NA,NA,NA,0.181639107,-1.070378522,NA,5,-169.6340711,353.0181423,29.52169359,7.49E-08
99,762.2012011,NA,-0.668883536,NA,NA,NA,0.148312995,-0.850744342,NA,5,-169.6728214,353.0956428,29.59919408,7.20E-08
113,748.22269,NA,NA,NA,NA,-0.216488303,0.145255385,-0.938265579,NA,5,-169.6775305,353.105061,29.6086123,7.17E-08
58,711.7697728,-5.181887596,NA,NA,-3.703824675,2.420181597,0.219078643,NA,NA,6,-167.761333,353.1226659,29.62621723,7.11E-08
128,659.5531042,-9.275097943,2.097655992,-0.001945118,-3.810791598,3.523910087,0.462986051,-2.920678551,NA,9,-160.0721143,353.1442286,29.64777996,7.03E-08
36,768.4507397,-0.576683237,-0.956668104,NA,NA,NA,0.135810088,NA,NA,5,-169.7392644,353.2285287,29.73208004,6.74E-08
51,769.53207,NA,-1.006362754,NA,NA,-0.155998336,0.121182012,NA,NA,5,-169.7500576,353.2501151,29.75366645,6.67E-08
50,747.0592303,-0.654034105,NA,NA,NA,-0.090068193,0.121630226,NA,NA,5,-169.7714009,353.2928019,29.7963532,6.53E-08
88,723.437069,-0.729815016,0.95327777,-0.001667159,NA,0.374551981,NA,-1.010028484,NA,7,-165.7790481,353.5580963,30.06164757,5.72E-08
82,749.2495304,0.582892054,NA,NA,NA,-0.174981262,NA,-0.240687702,NA,5,-169.9494613,353.6489225,30.15247384,5.46E-08
68,751.9805262,0.435395704,-0.149731798,NA,NA,NA,NA,-0.231167685,NA,5,-169.9536601,353.6573202,30.16087155,5.44E-08
20,755.2956323,0.629353927,-0.290848801,NA,NA,-0.183917688,NA,NA,NA,5,-169.9552364,353.6604728,30.16402413,5.43E-08
83,747.920523,NA,0.0773643,NA,NA,0.001531358,NA,-0.237523422,NA,5,-169.965381,353.6807621,30.18431338,5.38E-08
28,689.0978107,-2.975361911,1.277375301,NA,-3.349341211,1.905416927,NA,NA,NA,6,-168.3631968,354.3263936,30.82994488,3.89E-08
106,731.9052402,-1.880108548,NA,NA,-2.352885182,NA,0.20084165,-0.637870622,NA,6,-168.4204052,354.4408104,30.94436175,3.68E-08
90,718.6345888,-2.564267243,NA,NA,-3.225262827,1.879429109,NA,0.227083559,NA,6,-168.4208468,354.4416937,30.94524501,3.68E-08
44,718.3547004,-1.859010467,0.501208952,NA,-2.471971891,NA,0.161023428,NA,NA,6,-168.4648323,354.5296646,31.03321594,3.52E-08
96,665.6518671,-4.035553721,2.227233949,-0.001621263,-3.122952027,2.295369755,NA,-0.791533307,NA,8,-163.7264798,354.5298827,31.03343405,3.52E-08
121,723.7108685,NA,NA,NA,-2.449530935,0.644382962,0.106669943,-0.470345897,NA,6,-168.5170964,354.6341927,31.13774404,3.34E-08
59,731.8167946,NA,-0.407301393,NA,-2.490050891,0.679270266,0.092614741,NA,NA,6,-168.5402958,354.6805916,31.18414295,3.26E-08
127,722.8066171,NA,0.044055848,-0.001653603,-1.829615611,0.53943711,0.193425625,-1.590082517,NA,8,-163.8213853,354.7196936,31.22324492,3.20E-08
120,728.8167192,-4.39122053,0.620390877,-0.001938198,NA,1.028260127,0.375750908,-2.777060072,NA,8,-163.862086,354.801095,31.30464632,3.07E-08
107,726.0377912,NA,0.149977886,NA,-2.204466612,NA,0.123614593,-0.491363228,NA,6,-168.6109557,354.8219114,31.32546276,3.04E-08
91,717.1266378,NA,0.28308646,NA,-2.578062895,0.82093272,NA,0.012666586,NA,6,-168.684404,354.9688079,31.47235925,2.82E-08
76,705.849975,-0.60635628,1.144080282,NA,-2.373792137,NA,NA,0.0308572,NA,6,-168.8099485,355.2198969,31.72344824,2.49E-08
100,756.5392837,-0.960009216,-0.33952319,NA,NA,NA,0.182815434,-1.007226659,NA,6,-169.6302943,356.8605886,33.36413994,1.10E-08
114,748.6379586,-1.158334008,NA,NA,NA,0.091385936,0.183859662,-1.091049234,NA,6,-169.6327398,356.8654796,33.36903088,1.09E-08
115,760.763871,NA,-0.563886803,NA,NA,-0.162206848,0.151296997,-0.853056969,NA,6,-169.6669115,356.9338231,33.43737438,1.06E-08
52,768.3845804,-0.557269781,-0.950809992,NA,NA,-0.017019265,0.135528231,NA,NA,6,-169.7392181,357.0784362,33.58198751,9.83E-09
122,713.4342628,-5.599633715,NA,NA,-3.677113701,2.564138468,0.273954155,-0.974436668,NA,7,-167.6287044,357.2574089,33.76096018,8.99E-09
84,751.7937505,0.608866059,-0.114653777,NA,NA,-0.170281643,NA,-0.218146941,NA,6,-169.9490448,357.4980897,34.001641,7.97E-09
60,701.9525867,-5.274612609,0.420352199,NA,-3.74468062,2.41557666,0.214009277,NA,NA,7,-167.7540586,357.5081172,34.01166853,7.93E-09
92,688.9907361,-2.975558231,1.282998309,NA,-3.348893453,1.905589013,NA,-0.007221409,NA,7,-168.363189,358.7263779,35.22992926,4.31E-09
108,709.5920707,-2.145870735,0.971999267,NA,-2.435490711,NA,0.198148185,-0.803479492,NA,7,-168.3873782,358.7747564,35.2783077,4.21E-09
123,727.9584229,NA,-0.1886125,NA,-2.444264565,0.660688543,0.108773737,-0.442850775,NA,7,-168.5157823,359.0315647,35.53511598,3.70E-09
116,756.726695,-1.091670104,-0.364766939,NA,NA,0.108780873,0.185546123,-1.027136577,NA,7,-169.6284281,361.2568562,37.76040748,1.22E-09
124,688.1486389,-5.922494044,1.096496277,NA,-3.778508903,2.5800343,0.271368948,-1.163343762,NA,8,-167.5835454,362.2440138,38.74756516,7.43E-10
