,(Intercept),agr_gdp.lag1,dev_agr.lag1,dev_env.lag1,fdi.lag1,gdp.lag1,gdp_gr.lag1,ind_gdp.lag1,pop_den.lag1,time,df,logLik,AICc,delta,weight
24,0.000969779,0.000310318,5.22E-07,-1.43E-05,NA,3.13E-05,NA,NA,NA,NA,6,-142.6834049,304.3668098,12.61126792,0.000242064
157,0.003335249,NA,NA,-2.04E-05,8.65E-07,1.09E-05,NA,NA,-0.001565456,NA,6,-142.688891,304.3777819,12.62224007,0.000240739
229,0.004957835,NA,NA,-1.68E-05,NA,NA,-4.32E-05,-9.50E-05,-0.002397028,NA,6,-142.696359,304.392718,12.6371761,0.000238948
151,0.003568432,NA,7.48E-07,-1.49E-05,NA,9.67E-06,NA,NA,-0.001691792,NA,6,-142.702584,304.4051681,12.64962621,0.000237465
30,0.000952216,0.000300335,NA,-1.68E-05,3.48E-07,3.13E-05,NA,NA,NA,NA,6,-142.7115091,304.4230183,12.66747641,0.000235355
143,0.004384665,NA,8.65E-07,-1.73E-05,7.80E-07,NA,NA,NA,-0.002109632,NA,6,-142.7198741,304.4397483,12.68420639,0.000233395
166,0.004846449,-2.01E-05,NA,-1.57E-05,NA,NA,-5.04E-05,NA,-0.002399801,NA,6,-142.7484674,304.4969347,12.74139289,0.000226816
199,0.004675525,NA,9.43E-07,-1.48E-05,NA,NA,NA,-7.64E-05,-0.002238738,NA,6,-142.7537563,304.5075126,12.75197074,0.000225619
142,0.004462451,4.33E-05,NA,-2.09E-05,9.79E-07,NA,NA,NA,-0.002115543,NA,6,-142.8216828,304.6433656,12.88782374,0.000210803
205,0.004499675,NA,NA,-2.08E-05,8.78E-07,NA,NA,-3.45E-05,-0.002153791,NA,6,-142.8307607,304.6615213,12.90597946,0.000208898
210,0.002465344,0.000161851,NA,NA,NA,2.06E-05,NA,-5.47E-05,-0.000979735,NA,6,-142.832375,304.66475,12.90920819,0.000208561
154,0.002384337,0.000195588,NA,NA,-1.07E-07,2.14E-05,NA,NA,-0.000939286,NA,6,-142.849134,304.6982681,12.9427262,0.000205095
196,0.004485629,0.00017903,1.75E-06,NA,NA,NA,NA,4.43E-05,-0.002074513,NA,6,-142.8505533,304.7011066,12.9455647,0.000204804
140,0.00452046,0.000154693,1.65E-06,NA,-8.87E-08,NA,NA,NA,-0.002087166,NA,6,-142.8589633,304.7179267,12.9623848,0.000203089
211,0.003180522,NA,8.07E-07,NA,NA,1.08E-05,NA,-8.45E-05,-0.001428964,NA,6,-142.8809102,304.7618204,13.00627854,0.00019868
198,0.004802429,3.06E-05,NA,-1.77E-05,NA,NA,NA,-0.000100434,-0.002267819,NA,6,-142.8819164,304.7638328,13.00829097,0.00019848
226,0.004682195,-9.79E-05,NA,NA,NA,NA,-6.70E-05,-0.0001191,-0.002316598,NA,6,-142.9066816,304.8133633,13.05782141,0.000193625
217,0.002971259,NA,NA,NA,-7.74E-07,1.72E-05,NA,-0.000191601,-0.001292837,NA,6,-142.9135887,304.8271774,13.07163554,0.000192292
155,0.003321442,NA,9.80E-07,NA,1.32E-07,8.41E-06,NA,NA,-0.001545855,NA,6,-142.9269579,304.8539158,13.0983739,0.000189739
170,0.004431093,-6.15E-05,NA,NA,4.94E-07,NA,-6.37E-05,NA,-0.002207463,NA,6,-142.944596,304.889192,13.13365014,0.000186421
233,0.004593912,NA,NA,NA,1.08E-07,NA,-5.05E-05,-6.03E-05,-0.002215243,NA,6,-142.9554816,304.9109633,13.1554214,0.000184403
28,0.000929524,0.000268931,9.09E-07,NA,-2.88E-07,2.90E-05,NA,NA,NA,NA,6,-142.9581943,304.9163887,13.16084684,0.000183904
84,0.000918592,0.000265121,9.11E-07,NA,NA,2.81E-05,NA,1.48E-05,NA,NA,6,-142.9648905,304.9297809,13.17423907,0.000182676
203,0.004315128,NA,1.22E-06,NA,-4.84E-08,NA,NA,-5.68E-05,-0.002042258,NA,6,-142.9764568,304.9529136,13.19737176,0.000180575
90,0.000932876,0.000230906,NA,NA,-5.41E-07,3.14E-05,NA,-9.25E-05,NA,NA,6,-143.0375444,305.0750889,13.31954702,0.000169875
87,0.000961679,NA,2.84E-07,-1.44E-05,NA,2.50E-05,NA,-0.000235363,NA,NA,6,-143.0870129,305.1740258,13.41848394,0.000161676
93,0.0009647,NA,NA,-1.53E-05,-7.81E-09,2.57E-05,NA,-0.000250475,NA,NA,6,-143.0949762,305.1899524,13.43441058,0.000160393
47,0.001257636,NA,3.10E-06,-8.85E-06,2.55E-06,NA,-0.000155387,NA,NA,NA,6,-143.1260875,305.252175,13.49663311,0.00015548
202,0.004439565,2.12E-05,NA,NA,-7.14E-09,NA,NA,-8.21E-05,-0.002084244,NA,6,-143.192795,305.3855899,13.63004809,0.000145447
107,0.001154501,NA,3.39E-06,NA,2.52E-06,NA,-0.000163869,7.36E-05,NA,NA,6,-143.1982684,305.3965368,13.64099499,0.000144653
44,0.001261674,1.68E-05,3.40E-06,NA,2.21E-06,NA,-0.000161554,NA,NA,NA,6,-143.2184629,305.4369257,13.68138386,0.000141761
31,0.000854127,NA,7.03E-07,-1.37E-05,1.19E-06,1.78E-05,NA,NA,NA,NA,6,-143.2768873,305.5537746,13.79823279,0.000133716
91,0.000930398,NA,6.03E-07,NA,-5.55E-07,2.47E-05,NA,-0.000224251,NA,NA,6,-143.284861,305.5697219,13.81418008,0.000132654
342,0.001487349,0.000211232,NA,-9.11E-06,NA,2.49E-05,NA,-0.00015263,NA,-1.35E-06,7,-141.0726505,306.3271192,14.5715773,9.08E-05
346,0.001535069,0.000241296,NA,NA,-8.87E-07,2.67E-05,NA,-0.000189249,NA,-1.38E-06,7,-141.1267588,306.4353357,14.67979389,8.61E-05
100,0.00151591,6.98E-05,2.85E-06,NA,NA,NA,-0.00011951,-7.15E-05,NA,NA,6,-143.7191389,306.4382777,14.68273586,8.59E-05
40,0.001507557,0.000113642,2.83E-06,-1.33E-06,NA,NA,-0.000111201,NA,NA,NA,6,-143.732746,306.4654921,14.70995021,8.48E-05
103,0.00148267,NA,2.74E-06,-4.81E-07,NA,NA,-0.000123701,-0.000125813,NA,NA,6,-143.7396044,306.4792088,14.72366696,8.42E-05
466,0.001194579,0.000230437,NA,NA,NA,2.50E-05,NA,-0.00012954,0.000190584,-1.42E-06,7,-141.1673171,306.5164523,14.76091048,8.26E-05
340,0.001462406,0.000207525,-1.77E-07,NA,NA,2.41E-05,NA,-0.000134493,NA,-1.39E-06,7,-141.1681743,306.5181667,14.76262488,8.26E-05
370,0.001454174,0.000211581,NA,NA,NA,2.41E-05,-5.69E-06,-0.000131443,NA,-1.34E-06,7,-141.1705291,306.5228765,14.76733462,8.24E-05
406,0.001620139,0.000264617,NA,-7.88E-06,NA,2.37E-05,NA,NA,-0.000142237,-1.26E-06,7,-141.1779564,306.537731,14.78218916,8.18E-05
286,0.001401589,0.000264904,NA,-7.62E-06,1.56E-07,2.42E-05,NA,NA,NA,-1.29E-06,7,-141.1786959,306.53921,14.78366811,8.17E-05
310,0.001379658,0.000268722,NA,-7.68E-06,NA,2.53E-05,-4.78E-06,NA,NA,-1.26E-06,7,-141.179366,306.5405501,14.78500823,8.16E-05
280,0.001396873,0.000269192,-8.23E-08,-7.58E-06,NA,2.50E-05,NA,NA,NA,-1.30E-06,7,-141.1795859,306.5409899,14.78544808,8.16E-05
373,0.00133429,NA,NA,-1.30E-05,NA,2.51E-05,-5.01E-05,-0.000301799,NA,-1.14E-06,7,-141.2314922,306.6448027,14.88926082,7.75E-05
343,0.001479133,NA,-9.87E-07,-1.34E-05,NA,2.27E-05,NA,-0.000293384,NA,-1.52E-06,7,-141.2361368,306.6540917,14.89854985,7.71E-05
314,0.001449437,0.000287761,NA,NA,-1.19E-07,2.35E-05,6.86E-06,NA,NA,-1.36E-06,7,-141.2464261,306.6746704,14.91912858,7.63E-05
434,0.001330339,0.000283875,NA,NA,NA,2.38E-05,5.07E-06,NA,7.04E-05,-1.37E-06,7,-141.2468746,306.6755674,14.92002555,7.63E-05
308,0.001441864,0.000280402,-1.09E-08,NA,NA,2.32E-05,6.36E-06,NA,NA,-1.36E-06,7,-141.2475222,306.6768626,14.92132072,7.63E-05
410,0.001274538,0.000283553,NA,NA,-8.02E-08,2.48E-05,NA,NA,9.10E-05,-1.34E-06,7,-141.2476328,306.6770837,14.92154188,7.63E-05
404,0.001292584,0.000281839,5.49E-08,NA,NA,2.43E-05,NA,NA,8.17E-05,-1.33E-06,7,-141.2477285,306.6772752,14.92173333,7.62E-05
284,0.00142028,0.000282321,7.33E-08,NA,-8.64E-08,2.39E-05,NA,NA,NA,-1.31E-06,7,-141.2480118,306.6778418,14.92229991,7.62E-05
109,0.001269066,NA,NA,-1.81E-05,2.26E-06,NA,-5.85E-05,4.77E-05,NA,NA,6,-143.8930739,306.7861478,15.0306059,7.22E-05
46,0.00134414,1.78E-05,NA,-1.75E-05,2.05E-06,NA,-5.43E-05,NA,NA,NA,6,-143.898766,306.7975319,15.04199009,7.18E-05
469,0.002456299,NA,NA,-1.26E-05,NA,1.40E-05,NA,-0.000244628,-0.000609754,-1.26E-06,7,-141.3170494,306.815917,15.06037514,7.11E-05
16,0.001415044,0.000102412,1.12E-06,-1.14E-05,1.62E-06,NA,NA,NA,NA,NA,6,-143.9087703,306.8175407,15.06199883,7.11E-05
347,0.001501846,NA,-1.06E-06,NA,-8.66E-07,2.33E-05,NA,-0.000331447,NA,-1.53E-06,7,-141.3544906,306.8907994,15.13525757,6.85E-05
349,0.001543056,NA,NA,-1.06E-05,-7.39E-08,1.79E-05,NA,-0.000278897,NA,-1.39E-06,7,-141.3640365,306.9098912,15.15434939,6.79E-05
377,0.001367326,NA,NA,NA,-4.99E-07,2.35E-05,-4.67E-05,-0.000309756,NA,-1.17E-06,7,-141.3716211,306.9250604,15.16951858,6.74E-05
371,0.001364482,NA,-4.56E-07,NA,NA,2.22E-05,-3.01E-05,-0.000265821,NA,-1.31E-06,7,-141.3726074,306.9270331,15.17149121,6.73E-05
79,0.001240395,NA,1.13E-06,-1.20E-05,1.93E-06,NA,NA,3.08E-05,NA,NA,6,-143.9749951,306.9499901,15.19444825,6.65E-05
497,0.001472449,NA,NA,NA,NA,2.11E-05,-4.39E-05,-0.000260954,-8.27E-05,-1.17E-06,7,-141.3871819,306.956182,15.20064016,6.63E-05
467,0.001763954,NA,-8.07E-07,NA,NA,1.84E-05,NA,-0.000247099,-0.000199468,-1.46E-06,7,-141.392901,306.9676202,15.21207831,6.59E-05
76,0.001338682,0.000158318,1.75E-06,NA,1.49E-06,NA,NA,0.000108845,NA,NA,6,-144.0411471,307.0822942,15.32675236,6.23E-05
473,0.002110767,NA,NA,NA,-4.55E-07,1.46E-05,NA,-0.000265567,-0.000374052,-1.32E-06,7,-141.4569677,307.0957536,15.34021179,6.19E-05
78,0.001376367,0.00012405,NA,-1.74E-05,1.97E-06,NA,NA,9.18E-05,NA,NA,6,-144.0489267,307.0978534,15.34231155,6.18E-05
454,0.003747147,4.83E-05,NA,-1.10E-05,NA,NA,NA,-0.000139493,-0.001267726,-1.34E-06,7,-141.4821486,307.1461154,15.39057359,6.03E-05
461,0.003615843,NA,NA,-1.32E-05,5.12E-07,NA,NA,-0.000138851,-0.001240768,-1.31E-06,7,-141.4855421,307.1529024,15.39736053,6.01E-05
422,0.003602625,0.000170432,NA,-7.89E-06,NA,NA,3.64E-05,NA,-0.001142721,-1.48E-06,7,-141.4864269,307.154672,15.39913013,6.01E-05
485,0.003749449,NA,NA,-1.18E-05,NA,NA,6.46E-06,-0.00017762,-0.001287806,-1.34E-06,7,-141.5008365,307.1834912,15.42794931,5.92E-05
455,0.003769182,NA,-3.59E-08,-1.19E-05,NA,NA,NA,-0.000175181,-0.001303385,-1.32E-06,7,-141.5044047,307.1906275,15.43508564,5.90E-05
398,0.003463395,7.32E-05,NA,-1.24E-05,8.50E-07,NA,NA,NA,-0.001180579,-1.28E-06,7,-141.5064161,307.1946503,15.43910845,5.89E-05
482,0.003331333,0.000149765,NA,NA,NA,NA,3.69E-05,-7.36E-05,-0.000925951,-1.60E-06,7,-141.5256546,307.2331274,15.47758557,5.77E-05
413,0.002864715,NA,NA,-1.45E-05,1.15E-06,5.95E-06,NA,NA,-0.000969588,-1.14E-06,7,-141.5301088,307.2420358,15.48649393,5.75E-05
392,0.003691169,0.000152059,5.58E-07,-8.39E-06,NA,NA,NA,NA,-0.001261527,-1.22E-06,7,-141.531602,307.2450223,15.48948042,5.74E-05
426,0.003262835,0.00018364,NA,NA,1.90E-07,NA,4.17E-05,NA,-0.000905779,-1.59E-06,7,-141.5496659,307.2811501,15.52560822,5.64E-05
420,0.003325058,0.000193594,3.49E-09,NA,NA,NA,4.38E-05,NA,-0.00093199,-1.60E-06,7,-141.55275,307.2873182,15.53177631,5.62E-05
317,0.001150215,NA,NA,-1.39E-05,1.41E-06,1.77E-05,-4.92E-05,NA,NA,-1.07E-06,7,-141.5544689,307.290756,15.53521411,5.61E-05
452,0.003380235,0.00012162,5.34E-07,NA,NA,NA,NA,-9.35E-05,-0.001010111,-1.35E-06,7,-141.5642126,307.3102434,15.55470155,5.56E-05
399,0.003426498,NA,-9.20E-08,-1.46E-05,1.14E-06,NA,NA,NA,-0.001235703,-1.22E-06,7,-141.5716482,307.3251145,15.56957266,5.51E-05
429,0.003419431,NA,NA,-1.46E-05,1.16E-06,NA,-2.53E-06,NA,-0.001236548,-1.19E-06,7,-141.5728223,307.3274628,15.57192094,5.51E-05
72,0.001556326,0.000152055,1.32E-06,-6.54E-06,NA,NA,NA,-4.75E-06,NA,NA,6,-144.172293,307.344586,15.58904411,5.46E-05
396,0.003235245,0.000157611,6.69E-07,NA,4.33E-07,NA,NA,NA,-0.000966013,-1.30E-06,7,-141.5872228,307.3562639,15.60072201,5.43E-05
458,0.003338872,6.49E-05,NA,NA,5.52E-08,NA,NA,-0.00011629,-0.001001442,-1.43E-06,7,-141.5973764,307.376571,15.62102913,5.37E-05
287,0.00136595,NA,-6.49E-07,-1.27E-05,1.22E-06,1.30E-05,NA,NA,NA,-1.44E-06,7,-141.6156557,307.4131295,15.65758763,5.28E-05
407,0.002818217,NA,-6.40E-07,-1.24E-05,NA,9.89E-06,NA,NA,-0.000952473,-1.19E-06,7,-141.6195835,307.4209852,15.66544334,5.26E-05
437,0.002713066,NA,NA,-1.19E-05,NA,1.18E-05,-3.12E-05,NA,-0.000960183,-9.22E-07,7,-141.6294047,307.4406276,15.68508577,5.21E-05
483,0.003319582,NA,-3.12E-07,NA,NA,NA,1.78E-05,-0.000164819,-0.000999703,-1.51E-06,7,-141.6295367,307.4408916,15.68534971,5.20E-05
106,0.001311378,-6.28E-06,NA,NA,1.35E-06,NA,-6.18E-05,-2.60E-05,NA,NA,6,-144.2218418,307.4436837,15.68814183,5.20E-05
489,0.003314536,NA,NA,NA,3.58E-08,NA,5.92E-06,-0.000165955,-0.001014284,-1.41E-06,7,-141.635566,307.4529501,15.69740827,5.17E-05
459,0.003326514,NA,-2.60E-10,NA,5.37E-08,NA,NA,-0.000163593,-0.001026564,-1.39E-06,7,-141.6384118,307.4586418,15.70309994,5.16E-05
358,0.002118724,0.000137435,NA,-4.38E-06,NA,NA,3.39E-05,-0.000102213,NA,-1.92E-06,7,-141.6432804,307.4683791,15.71283722,5.13E-05
302,0.001989959,0.00015467,NA,-5.08E-06,6.67E-07,NA,3.21E-05,NA,NA,-1.85E-06,7,-141.6567779,307.4953741,15.73983222,5.06E-05
356,0.002125969,0.000152502,-2.92E-07,NA,NA,NA,4.93E-05,-8.29E-05,NA,-2.03E-06,7,-141.6620153,307.5058487,15.75030688,5.04E-05
362,0.00208169,0.00015264,NA,NA,1.96E-07,NA,3.74E-05,-7.37E-05,NA,-1.93E-06,7,-141.6641431,307.5101044,15.75456251,5.03E-05
296,0.002108127,0.000186469,-4.29E-07,-3.51E-06,NA,NA,5.70E-05,NA,NA,-2.04E-06,7,-141.6811192,307.5440567,15.7885148,4.94E-05
334,0.001969659,6.24E-05,NA,-7.71E-06,6.65E-07,NA,NA,-0.000102342,NA,-1.76E-06,7,-141.684193,307.5502041,15.79466225,4.93E-05
300,0.002042674,0.000181138,-1.60E-07,NA,3.94E-07,NA,4.68E-05,NA,NA,-1.95E-06,7,-141.6846102,307.5510386,15.7954967,4.93E-05
441,0.002071537,NA,NA,NA,8.41E-07,1.16E-05,-3.33E-05,NA,-0.000554819,-1.05E-06,7,-141.6884134,307.5586451,15.8031032,4.91E-05
102,0.001565674,5.01E-05,NA,-9.39E-06,NA,NA,-4.03E-05,-0.000105482,NA,NA,6,-144.2804476,307.5608951,15.80535325,4.90E-05
272,0.001899992,0.000128252,4.59E-07,-6.12E-06,9.49E-07,NA,NA,NA,NA,-1.65E-06,7,-141.6895746,307.5609674,15.80542553,4.90E-05
328,0.002069981,0.000103322,3.88E-07,-4.90E-06,NA,NA,NA,-0.00013077,NA,-1.76E-06,7,-141.6970308,307.5758797,15.82033789,4.87E-05
423,0.003621807,NA,-5.05E-07,-1.17E-05,NA,NA,1.78E-05,NA,-0.001314907,-1.33E-06,7,-141.70284,307.5874981,15.83195627,4.84E-05
411,0.002338195,NA,-4.65E-07,NA,7.42E-07,8.59E-06,NA,NA,-0.000646307,-1.27E-06,7,-141.706437,307.5946921,15.83915028,4.82E-05
332,0.001985805,0.000122848,5.32E-07,NA,4.63E-07,NA,NA,-8.09E-05,NA,-1.71E-06,7,-141.7086923,307.5992027,15.84366085,4.81E-05
365,0.001937775,NA,NA,-8.46E-06,6.60E-07,NA,6.75E-06,-0.000152627,NA,-1.76E-06,7,-141.7187042,307.6192266,15.86368472,4.76E-05
335,0.001929982,NA,1.54E-08,-8.65E-06,7.03E-07,NA,NA,-0.000149132,NA,-1.74E-06,7,-141.7226318,307.6270817,15.87153985,4.74E-05
359,0.002061509,NA,-6.11E-07,-7.48E-06,NA,NA,3.27E-05,-0.000188684,NA,-1.99E-06,7,-141.7290483,307.6399147,15.88437287,4.71E-05
315,0.001188296,NA,-2.43E-08,NA,9.99E-07,1.55E-05,-4.23E-05,NA,NA,-1.13E-06,7,-141.7324222,307.6466627,15.89112081,4.70E-05
311,0.001281933,NA,-4.93E-07,-8.96E-06,NA,1.68E-05,-2.59E-05,NA,NA,-1.25E-06,7,-141.7511107,307.6840396,15.92849779,4.61E-05
435,0.002358337,NA,-3.59E-07,NA,NA,1.14E-05,-1.99E-05,NA,-0.000707111,-1.10E-06,7,-141.7521514,307.6861209,15.93057903,4.60E-05
427,0.00304666,NA,-1.01E-07,NA,8.07E-07,NA,2.60E-06,NA,-0.000984353,-1.30E-06,7,-141.7721192,307.7260565,15.97051467,4.51E-05
363,0.00197565,NA,-3.56E-07,NA,2.09E-07,NA,2.25E-05,-0.000169108,NA,-1.89E-06,7,-141.7885457,307.7589097,16.00336782,4.44E-05
303,0.001742736,NA,-1.71E-07,-9.95E-06,1.32E-06,NA,6.19E-06,NA,NA,-1.67E-06,7,-141.8277727,307.8373637,16.08182181,4.27E-05
56,0.000724855,0.000240518,1.52E-06,-1.27E-05,NA,3.82E-05,-0.000115994,NA,NA,NA,7,-141.8355956,307.8530094,16.09746756,4.24E-05
180,0.001834722,0.000172276,1.65E-06,NA,NA,2.73E-05,-0.000113901,NA,-0.000670971,NA,7,-141.9520115,308.0858411,16.33029928,3.77E-05
119,0.000718983,NA,1.11E-06,-1.31E-05,NA,3.58E-05,-0.000138879,-0.000236731,NA,NA,7,-141.9614699,308.1047579,16.34921603,3.73E-05
245,0.002050914,NA,NA,-1.74E-05,NA,3.05E-05,-0.000100965,-0.000187055,-0.000853681,NA,7,-141.9674091,308.1166363,16.36109448,3.71E-05
63,0.000598322,NA,1.47E-06,-1.61E-05,1.62E-06,2.88E-05,-0.000147566,NA,NA,NA,7,-141.9801713,308.1421607,16.38661888,3.67E-05
118,0.000696834,0.000133294,NA,-1.72E-05,NA,4.13E-05,-0.000101332,-0.0001706,NA,NA,7,-142.0077252,308.1972686,16.44172676,3.57E-05
183,0.002664726,NA,1.04E-06,-1.28E-05,NA,2.06E-05,-0.000106061,NA,-0.001240331,NA,7,-142.0108145,308.2034471,16.44790527,3.55E-05
60,0.000692131,0.000171021,1.68E-06,NA,3.51E-07,3.35E-05,-0.000131502,NA,NA,NA,7,-142.0159842,308.2137866,16.45824474,3.54E-05
182,0.001843584,0.000154714,NA,-1.63E-05,NA,3.30E-05,-8.22E-05,NA,-0.000745693,NA,7,-142.0169426,308.2157033,16.46016148,3.53E-05
116,0.000710412,0.000159607,1.57E-06,NA,NA,3.50E-05,-0.00013078,-5.29E-05,NA,NA,7,-142.0185778,308.2189738,16.46343199,3.53E-05
243,0.001905764,NA,1.25E-06,NA,NA,2.51E-05,-0.000128926,-0.000139922,-0.000734544,NA,7,-142.0440594,308.2699369,16.51439503,3.44E-05
189,0.002158201,NA,NA,-1.97E-05,9.70E-07,2.55E-05,-9.72E-05,NA,-0.000990627,NA,7,-142.0492998,308.2804179,16.52487602,3.42E-05
62,0.000615856,0.000168734,NA,-1.79E-05,7.87E-07,3.84E-05,-9.60E-05,NA,NA,NA,7,-142.0660076,308.3138334,16.5582915,3.36E-05
125,0.000642611,NA,NA,-1.67E-05,3.65E-07,3.81E-05,-0.000121438,-0.000220267,NA,NA,7,-142.087189,308.3561962,16.60065437,3.29E-05
187,0.001953836,NA,1.36E-06,NA,6.50E-07,2.09E-05,-0.000127174,NA,-0.000810969,NA,7,-142.1146868,308.4111919,16.65565,3.20E-05
123,0.000675583,NA,1.34E-06,NA,2.32E-07,3.22E-05,-0.000148048,-0.000159636,NA,NA,7,-142.124504,308.4308261,16.67528424,3.17E-05
175,0.004284702,NA,1.86E-06,-1.57E-05,1.09E-06,NA,-9.69E-05,NA,-0.002038741,NA,7,-142.179001,308.5398201,16.78427823,3.00E-05
249,0.001861821,NA,NA,NA,-6.19E-07,3.19E-05,-0.000109715,-0.000203822,-0.000757001,NA,7,-142.1937246,308.5692674,16.81372559,2.96E-05
242,0.00158188,5.51E-05,NA,NA,NA,3.22E-05,-0.000104452,-0.000110888,-0.00060588,NA,7,-142.2052786,308.5923753,16.83683349,2.93E-05
168,0.004801909,0.000104108,2.11E-06,-1.14E-05,NA,NA,-8.22E-05,NA,-0.00228076,NA,7,-142.239354,308.6605262,16.90498438,2.83E-05
186,0.001598338,0.000110295,NA,NA,2.79E-08,3.21E-05,-9.64E-05,NA,-0.000641789,NA,7,-142.2581364,308.6980911,16.94254922,2.78E-05
122,0.000619086,8.49E-05,NA,NA,-4.03E-07,4.04E-05,-0.000115502,-0.000169581,NA,NA,7,-142.2620515,308.7059212,16.95037934,2.77E-05
231,0.00477556,NA,1.79E-06,-1.23E-05,NA,NA,-8.99E-05,-8.12E-05,-0.002294547,NA,7,-142.2704174,308.7226529,16.96711105,2.74E-05
172,0.004258766,8.38E-05,2.34E-06,NA,4.31E-07,NA,-9.77E-05,NA,-0.001967277,NA,7,-142.3571078,308.8960338,17.14049194,2.51E-05
228,0.004498387,0.000104789,2.32E-06,NA,NA,NA,-9.16E-05,-3.51E-06,-0.002097491,NA,7,-142.3739264,308.9296711,17.17412922,2.47E-05
235,0.00411089,NA,2.08E-06,NA,5.70E-07,NA,-0.000105279,-2.48E-05,-0.001923721,NA,7,-142.3948373,308.9714927,17.21595087,2.42E-05
152,0.002882538,0.000229775,8.22E-07,-1.50E-05,NA,1.92E-05,NA,NA,-0.001185184,NA,7,-142.4113416,309.0045015,17.24895962,2.38E-05
214,0.002624731,0.000188951,NA,-1.87E-05,NA,2.29E-05,NA,-8.95E-05,-0.001032692,NA,7,-142.4611946,309.1042073,17.34866546,2.27E-05
158,0.002576789,0.000205483,NA,-1.88E-05,4.23E-07,2.13E-05,NA,NA,-0.001030715,NA,7,-142.4883851,309.1585883,17.40304643,2.20E-05
174,0.004562512,-6.37E-05,NA,-2.15E-05,1.18E-06,NA,-5.60E-05,NA,-0.002271074,NA,7,-142.5930693,309.3679568,17.61241499,1.99E-05
215,0.003346951,NA,4.05E-07,-1.72E-05,NA,1.34E-05,NA,-0.000128878,-0.001512762,NA,7,-142.6045287,309.3908755,17.63533364,1.96E-05
237,0.004566685,NA,NA,-2.11E-05,1.07E-06,NA,-4.46E-05,5.51E-06,-0.002221039,NA,7,-142.6183549,309.4185281,17.6629862,1.94E-05
221,0.003233527,NA,NA,-1.88E-05,9.57E-08,1.50E-05,NA,-0.000142478,-0.001449955,NA,7,-142.6221747,309.4261676,17.67062572,1.93E-05
144,0.004599571,0.00012184,1.19E-06,-1.52E-05,4.80E-07,NA,NA,NA,-0.002148039,NA,7,-142.6385813,309.4589809,17.703439,1.90E-05
159,0.003492502,NA,5.84E-07,-1.80E-05,7.07E-07,8.87E-06,NA,NA,-0.001643116,NA,7,-142.6442007,309.4702196,17.71467779,1.89E-05
156,0.002917811,0.000226548,1.23E-06,NA,-4.20E-07,1.74E-05,NA,NA,-0.001208252,NA,7,-142.6602671,309.5023524,17.74681056,1.86E-05
200,0.004760633,0.000147755,1.37E-06,-1.31E-05,NA,NA,NA,1.55E-06,-0.002226024,NA,7,-142.6619881,309.5057944,17.7502525,1.85E-05
230,0.00500842,-7.63E-05,NA,-1.65E-05,NA,NA,-5.58E-05,-0.000130433,-0.002474298,NA,7,-142.6661106,309.5140394,17.75849758,1.85E-05
88,0.000989838,0.000281874,3.72E-07,-1.57E-05,NA,3.17E-05,NA,-6.48E-05,NA,NA,7,-142.6672484,309.516315,17.76077312,1.84E-05
212,0.002889329,0.000225317,1.25E-06,NA,NA,1.60E-05,NA,3.33E-05,-0.001202804,NA,7,-142.6735754,309.5289689,17.77342704,1.83E-05
32,0.000965382,0.000301456,4.82E-07,-1.48E-05,1.98E-07,3.06E-05,NA,NA,NA,NA,7,-142.679992,309.5418021,17.78626029,1.82E-05
94,0.000993722,0.000275313,NA,-1.72E-05,-6.15E-08,3.29E-05,NA,-9.68E-05,NA,NA,7,-142.6830832,309.5479845,17.79244266,1.81E-05
207,0.004423523,NA,8.59E-07,-1.72E-05,7.00E-07,NA,NA,-1.70E-05,-0.002122757,NA,7,-142.7187323,309.6192828,17.8637409,1.75E-05
218,0.002544937,0.000156599,NA,NA,-7.10E-07,2.26E-05,NA,-0.000121985,-0.001002916,NA,7,-142.8014426,309.7847033,18.02916146,1.61E-05
206,0.004493128,3.95E-05,NA,-2.08E-05,9.16E-07,NA,NA,-1.46E-05,-0.002128674,NA,7,-142.8209675,309.8237532,18.06821139,1.58E-05
204,0.004428055,0.000180962,1.75E-06,NA,1.40E-07,NA,NA,5.76E-05,-0.002046954,NA,7,-142.8491792,309.8801766,18.12463473,1.54E-05
219,0.003193517,NA,7.34E-07,NA,-6.26E-07,1.33E-05,NA,-0.000145464,-0.001419227,NA,7,-142.8565424,309.8949029,18.13936103,1.53E-05
234,0.004654053,-9.75E-05,NA,NA,6.35E-08,NA,-6.71E-05,-0.000113036,-0.002303072,NA,7,-142.9063749,309.994568,18.23902613,1.45E-05
92,0.00093554,0.000261561,8.78E-07,NA,-3.56E-07,2.93E-05,NA,-1.76E-05,NA,NA,7,-142.9574191,310.0966563,18.34111449,1.38E-05
111,0.001127706,NA,3.10E-06,-1.03E-05,3.00E-06,NA,-0.000156217,0.000117576,NA,NA,7,-143.0756647,310.3331476,18.5776057,1.23E-05
95,0.000961389,NA,2.84E-07,-1.44E-05,8.33E-09,2.50E-05,NA,-0.000234653,NA,NA,7,-143.0870089,310.3558359,18.60029406,1.21E-05
48,0.001269109,8.52E-06,3.11E-06,-8.77E-06,2.52E-06,NA,-0.000154434,NA,NA,NA,7,-143.125513,310.4328443,18.67730242,1.17E-05
108,0.001184523,7.86E-05,3.52E-06,NA,2.57E-06,NA,-0.00015719,0.000141048,NA,NA,7,-143.1668096,310.5154375,18.75989559,1.12E-05
