,(Intercept),agr_gdp.lag1,dev_agr.lag1,dev_env.lag1,fdi.lag1,gdp.lag1,gdp_gr.lag1,ind_gdp.lag1,pop_den.lag1,time,df,logLik,AICc,delta,weight
34,0.001456105,6.98E-05,NA,NA,NA,NA,-4.36E-05,NA,NA,NA,4,-144.4452348,299.7476124,7.992070585,0.002437674
73,0.001339752,NA,NA,NA,1.05E-06,NA,NA,-5.61E-05,NA,NA,4,-144.4489693,299.7550814,7.999539551,0.002428587
66,0.001517452,7.37E-05,NA,NA,NA,NA,NA,-7.99E-05,NA,NA,4,-144.5246299,299.9064027,8.150860873,0.002251618
22,0.000960422,0.000316146,NA,-1.61E-05,NA,3.24E-05,NA,NA,NA,NA,5,-142.7229857,300.0613561,8.305814233,0.002083757
165,0.004836784,NA,NA,-1.59E-05,NA,NA,-4.69E-05,NA,-0.002375742,NA,5,-142.7511652,300.1177151,8.362173231,0.002025857
149,0.003353237,NA,NA,-1.69E-05,NA,1.24E-05,NA,NA,-0.001579849,NA,5,-142.7829773,300.1813391,8.425797285,0.001962425
135,0.004568997,NA,1.06E-06,-1.40E-05,NA,NA,NA,NA,-0.00221749,NA,5,-142.7930749,300.2015343,8.445992482,0.001942709
141,0.004421339,NA,NA,-2.12E-05,1.04E-06,NA,NA,NA,-0.002127211,NA,5,-142.8354378,300.2862602,8.530718385,0.001862129
146,0.002389545,0.000191033,NA,NA,NA,2.11E-05,NA,NA,-0.000944905,NA,5,-142.8504429,300.3162705,8.560728608,0.001834396
132,0.004481535,0.000150545,1.63E-06,NA,NA,NA,NA,NA,-0.002067126,NA,5,-142.8598575,300.3350997,8.579557834,0.001817207
197,0.00479777,NA,NA,-1.77E-05,NA,NA,NA,-0.000113007,-0.002283605,NA,5,-142.8874821,300.3903487,8.634806885,0.001767694
147,0.003343645,NA,9.92E-07,NA,NA,8.61E-06,NA,NA,-0.001559758,NA,5,-142.9291407,300.4736661,8.718124242,0.001695567
134,0.004631495,7.19E-05,NA,-1.69E-05,NA,NA,NA,NA,-0.002179146,NA,5,-142.9399237,300.4952321,8.73969022,0.001677382
209,0.002921108,NA,NA,NA,NA,1.46E-05,NA,-0.000119821,-0.001288232,NA,5,-142.9522378,300.5198601,8.764318272,0.001656853
225,0.004639239,NA,NA,NA,NA,NA,-5.03E-05,-7.02E-05,-0.002236031,NA,5,-142.9563578,300.5281002,8.772558321,0.001650041
20,0.000922502,0.000256362,8.80E-07,NA,NA,2.81E-05,NA,NA,NA,NA,5,-142.9657565,300.5468976,8.791355731,0.001634606
169,0.004456356,NA,NA,NA,3.78E-07,NA,-5.23E-05,NA,-0.002168921,NA,5,-142.9687094,300.5528035,8.797261646,0.001629786
162,0.004588542,-4.38E-05,NA,NA,NA,NA,-6.10E-05,NA,-0.002282097,NA,5,-142.9738788,300.5631423,8.807600399,0.001621383
195,0.004293723,NA,1.22E-06,NA,NA,NA,NA,-5.26E-05,-0.002032,NA,5,-142.9766359,300.5686564,8.81311452,0.001616918
139,0.004171031,NA,1.25E-06,NA,2.25E-07,NA,NA,NA,-0.001990091,NA,5,-142.9902686,300.5959217,8.840379882,0.001595025
153,0.003009318,NA,NA,NA,2.59E-07,1.22E-05,NA,NA,-0.001393496,NA,5,-143.0516687,300.718722,8.963180156,0.001500036
82,0.000903431,0.000234899,NA,NA,NA,2.98E-05,NA,-4.55E-05,NA,NA,5,-143.055181,300.7257467,8.97020484,0.001494777
26,0.000894273,0.000266571,NA,NA,-1.42E-07,3.04E-05,NA,NA,NA,NA,5,-143.0632164,300.7418174,8.986275568,0.001482814
85,0.00096443,NA,NA,-1.53E-05,NA,2.57E-05,NA,-0.000249823,NA,NA,5,-143.0949798,300.8053441,9.049802288,0.001436455
194,0.004436879,2.13E-05,NA,NA,NA,NA,NA,-8.15E-05,-0.002082995,NA,5,-143.1927989,301.0009824,9.245440506,0.001302596
201,0.004441369,NA,NA,NA,-3.41E-08,NA,NA,-9.36E-05,-0.002095806,NA,5,-143.195306,301.0059965,9.25045468,0.001299334
138,0.004261507,4.87E-05,NA,NA,3.53E-07,NA,NA,NA,-0.002003545,NA,5,-143.2164917,301.0483679,9.292826059,0.001272097
