"","(Intercept)","agr_gdp.lag1","dev_agr.lag1","dev_env.lag1","fdi.lag1","for_rem","gdp.lag1","gdp_gr.lag1","pop_den.lag1","time","df","logLik","AICc","delta","weight"
"497",-6977.55097303042,NA,NA,NA,NA,0.0918628801227237,0.673883676949296,0.858853960444861,-609.140394841107,1.09945066626136,7,-92.6945727257051,209.570963633228,11.0064913609216,0.00229926206020636
"435",-6970.85941382493,NA,-0.00718026721545008,NA,NA,0.0916725349507234,0.779964703616428,NA,-603.768360805529,1.1038877196578,7,-92.7266637583543,209.635145698527,11.07067342622,0.00222664773236661
"498",-6805.77603994924,-15.7637589840723,NA,NA,NA,0.0902486275372214,0.287170452136767,-0.437784629529023,-630.958125180646,1.10820903718008,8,-89.6182067621874,209.636413524375,11.071941252068,0.00222523667888163
"437",-6983.14954895423,NA,NA,-0.0183850569874269,NA,0.0918638576144528,0.772414154838978,NA,-607.738364876156,1.10456150729063,7,-92.7342139417031,209.650246065224,11.0857737929176,0.00220989943963617
"408",-6718.99926889756,-17.4275898515348,-0.0133616222256255,0.140196914371156,NA,0.0893515869621631,NA,NA,-627.949837287236,1.10091080172389,8,-89.6526253749687,209.705250749938,11.1407784776307,0.0021499501798553
"468",-6711.64595617302,-16.5367422921614,-0.0245313912380414,NA,NA,0.0892267763801622,NA,0.831287396400838,-623.444610591565,1.09868889139171,8,-89.6657811264578,209.731562252916,11.1670899806087,0.0021218512063965
"470",-6752.24515284889,-17.0328281362011,NA,0.15716944506358,NA,0.0898042690449854,NA,0.220324288069855,-634.205342773333,1.10023036812281,8,-89.6866721456029,209.773344291206,11.208872018899,0.00207798338936469
"467",-6809.11583651367,NA,-0.0328411140957865,NA,NA,0.0901982762612601,NA,3.61273057716348,-601.899994566557,1.07877617213378,7,-93.2144480761078,210.610714334034,12.046242061727,0.00136712894141251
"469",-6862.3361839674,NA,NA,-0.0110194732327035,NA,0.0910002383775608,NA,2.93656602490655,-618.376416218965,1.08389761949178,7,-93.3470090966574,210.875836375133,12.3113641028262,0.0011973991828992
"413",-6749.43735015029,NA,NA,0.235458882007482,-0.0570284686410512,0.0898575126808666,NA,NA,-621.837683603291,1.0956616155689,7,-93.4114647642778,211.004747710374,12.440275438067,0.00112265474600904
"411",-6742.90510261654,NA,-0.00508919829834591,NA,-0.0476055169408684,0.0897680635424101,NA,NA,-620.833259392287,1.09908224286357,7,-93.5185180922381,211.218854366294,12.6543820939876,0.0010086803188952
"407",-6817.39217627139,NA,0.00535593536117352,0.0135015943170884,NA,0.0905091085838877,NA,NA,-619.209443552426,1.09687855643477,7,-94.0021237760711,212.18606573396,13.6215934616536,0.000621908177150448
"445",-6935.44087383945,NA,NA,0.265626655648062,-0.0709649380390014,0.0914445619864176,0.873042170586513,NA,-613.11088501183,1.10426049235959,8,-91.6805088400273,213.761017680055,15.1965454077478,0.000282963095241987
"505",-6927.4155408378,NA,NA,NA,-0.0618666364696943,0.09148328951743,0.71351349664184,1.35552459458058,-617.736679914971,1.10095056897597,8,-91.7395673568989,213.879134713798,15.314662441491,0.000266735616315764
"443",-6896.50579686726,NA,-0.0223605060531886,NA,-0.0630492686994143,0.0908803132302742,0.895348337649771,NA,-603.646190722001,1.10751604739851,8,-91.7625531279065,213.925106255813,15.3606339835061,0.000260674420019504
"475",-6694.06988039697,NA,-0.0623181731513423,NA,-0.0728850349727002,0.0889707464664434,NA,4.95023023836488,-597.992659868385,1.07502576886408,8,-92.0576351501944,214.515270300389,15.950798028082,0.000194064421488204
"477",-6804.1783957103,NA,NA,0.272695491651934,-0.0710277939698699,0.0905297363711212,NA,3.59960773456577,-625.310928709176,1.07967833619306,8,-92.3753471349919,215.150694269984,16.5862219976769,0.000141242488333101
"499",-6939.9639755385,NA,-0.0192950437977805,NA,NA,0.0913450218699881,0.637795341239877,1.36836779538641,-600.028269638576,1.09570994455914,8,-92.6476134475207,215.695226895041,17.1307546227347,0.000107577538522004
"446",-6785.95380243829,-14.560949047983,NA,0.325488458989497,-0.0493811735128989,0.0900859437268219,0.343677463139469,NA,-632.136360141323,1.10311143317639,9,-88.8912309710254,215.782461942051,17.217989669744,0.000102986133467369
"501",-6977.12533262904,NA,NA,-0.0200780019656288,NA,0.0918618272372706,0.674359668082584,0.860737211004877,-609.385123334419,1.09980702238753,8,-92.6935144205534,215.787028841107,17.2225565687999,0.000102751238117416
"439",-6968.72160743253,NA,-0.00802266021644537,-0.0317133239801366,NA,0.0916483198869592,0.782015631089619,NA,-603.709435552781,1.10442748249501,8,-92.7241478260977,215.848295652195,17.2838233798886,9.96513403917109e-05
"444",-6739.37250846401,-14.4295993914447,-0.0275128058871428,NA,-0.039918438688081,0.0894035324053653,0.375961652196953,NA,-620.306733904147,1.10709873936233,9,-89.0534491813504,216.106898362701,17.542426090394,8.75645418249217e-05
"416",-6668.59178048398,-16.888077944826,-0.0177069525148996,0.303725516287331,-0.0433791533577947,0.0888669311026826,NA,NA,-629.262884291937,1.09983575515596,9,-89.1212664664362,216.242532932872,17.6780606605657,8.18230392377767e-05
"478",-6722.70398798692,-15.7586065582983,NA,0.328877529057948,-0.0461369044703031,0.0895881193255995,NA,0.854211866333454,-637.525575549578,1.09626783627356,9,-89.1223432924497,216.244686584899,17.6802143125925,8.17349774827311e-05
"476",-6654.0322827519,-14.8973690429797,-0.0425927194072143,NA,-0.042621581038342,0.0886052535260769,NA,1.88916699306136,-619.023856548967,1.09452168584243,9,-89.1533608901431,216.306721780286,17.7422495079794,7.92386697053409e-05
"506",-6792.95611994963,-14.2949928459421,NA,NA,-0.0355695337924015,0.0901807918662285,0.34598663815755,-0.031416896176064,-633.867627139861,1.10825534061671,9,-89.2266004575833,216.453200915167,17.8887286428598,7.36426886243817e-05
"471",-6803.17230553305,NA,-0.0353663499212667,-0.0724918349896819,NA,0.090130542179036,NA,3.67695741318826,-601.550477503127,1.07964342070475,8,-93.2021665834775,216.804333166955,18.2398608946482,6.17848840684661e-05
"440",-6773.68377837222,-16.0408352675809,-0.0160145498638767,0.116115865127455,NA,0.0897964203247622,0.242130441363957,NA,-622.455176250363,1.10292727156556,9,-89.5052209361163,217.010441872233,18.4459695999257,5.57347810568411e-05
"502",-6804.84938879846,-16.1300415331735,NA,0.144564210072936,NA,0.0902187001009848,0.274757687864621,-0.481472629587487,-629.702999419374,1.10584673419606,9,-89.5440383911109,217.088076782222,18.5236045099151,5.36127510522551e-05
