,(Intercept),agr_gdp.lag2,dev_agr.lag2,dev_env.lag2,fdi.lag2,gdp.lag2,pop_den.lag2,time,df,logLik,AICc,delta,weight
40,-1305.590702,-41.3795284,-0.961627227,-2.788903808,NA,NA,1485.773685,NA,6,-136.9206128,292.8412255,31.57635421,4.74E-08
30,1220.165204,-89.80992189,NA,2.083991024,-1.000064199,-15.23658084,NA,NA,6,-136.9406422,292.8812843,31.61641304,4.65E-08
11,920.9704345,NA,-0.65630864,NA,-1.722015757,NA,NA,NA,4,-141.2442949,293.3457327,32.08086142,3.68E-08
13,913.6967258,NA,NA,4.174827844,-1.918026954,NA,NA,NA,4,-141.4225144,293.7021716,32.43730028,3.08E-08
23,1284.268288,NA,-0.53812343,-3.155336596,NA,-16.50285681,NA,NA,5,-139.6764384,293.9682614,32.70339006,2.70E-08
10,888.41215,-15.09324137,NA,NA,-1.717469935,NA,NA,NA,4,-141.647478,294.1520989,32.88722762,2.46E-08
31,1269.144083,NA,-0.436267963,1.350218413,-1.211050628,-12.7982542,NA,NA,6,-137.6419631,294.2839263,33.01905497,2.30E-08
24,1214.153679,-124.3674574,-0.569035054,-1.99369766,NA,-18.44057466,NA,NA,6,-137.9263646,294.8527292,33.5878579,1.73E-08
64,-314.3603875,-56.00866762,-0.668106944,0.982967019,-0.906597114,-7.800334972,982.2239082,NA,8,-132.2690782,294.9381565,33.67328517,1.66E-08
1,741.1168421,NA,NA,NA,NA,NA,NA,NA,2,-145.2620575,295.2741151,34.00924377,1.40E-08
15,924.6172608,NA,-0.574934539,3.143694438,-1.857069834,NA,NA,NA,5,-141.1067491,296.8288827,35.56401145,6.46E-09
12,896.1018064,-21.10463384,-0.673273762,NA,-1.68725786,NA,NA,NA,5,-141.2042396,297.0238638,35.75899252,5.86E-09
32,1220.143244,-92.56029813,-0.480702418,1.266880258,-0.956267762,-15.01977839,NA,NA,7,-136.5894082,297.3606347,36.09576337,4.95E-09
3,759.472735,NA,-0.734668784,NA,NA,NA,NA,NA,3,-144.8997406,297.3994813,36.13460997,4.85E-09
14,892.6766133,-17.67064446,NA,4.241805559,-1.892180939,NA,NA,NA,5,-141.3948382,297.405061,36.14018966,4.84E-09
2,679.050931,-59.55819751,NA,NA,NA,NA,NA,NA,3,-145.0402246,297.6804492,36.41557788,4.22E-09
5,747.7459026,NA,NA,-2.918937418,NA,NA,NA,NA,3,-145.1657425,297.931485,36.66661365,3.72E-09
4,692.2686496,-65.63583851,-0.78251168,NA,NA,NA,NA,NA,4,-144.6205975,300.0983379,38.83346655,1.26E-09
7,771.1937395,NA,-0.832433911,-4.08546985,NA,NA,NA,NA,4,-144.7093598,300.2758625,39.01099118,1.15E-09
6,688.7206287,-55.52713364,NA,-2.408092506,NA,NA,NA,NA,4,-144.9742618,300.8056665,39.54079517,8.84E-10
16,898.3830432,-22.31764834,-0.591451917,3.198662288,-1.822675621,NA,NA,NA,6,-141.0613334,301.1226667,39.85779542,7.54E-10
8,708.0046691,-60.28508705,-0.864168796,-3.575323896,NA,NA,NA,NA,5,-144.4726771,303.5607387,42.29586743,2.23E-10
