,(Intercept),armi,cpi,for_prod,for_rem,nfi,rice_med,time,df,logLik,AICc,delta,weight
113,751.0499636,NA,NA,NA,NA,0.49561804,0.221904474,1.042278921,5,-157.8703687,329.4907375,64.22520309,2.44E-15
82,754.1957078,-1.564411751,NA,NA,NA,0.602002376,NA,1.047278012,5,-157.8769176,329.5038352,64.23830083,2.43E-15
98,746.920778,-2.480546408,NA,NA,NA,NA,0.450010547,1.005636923,5,-157.9171251,329.5842503,64.31871592,2.33E-15
103,788.7245752,NA,-1.93931133,-0.00049171,NA,NA,0.665177049,0.920417627,6,-156.6569344,330.9138687,65.64833437,1.20E-15
87,794.6858858,NA,-1.771416744,-0.000447943,NA,0.675317093,NA,0.972626343,6,-156.754544,331.1090881,65.8435537,1.09E-15
72,785.4029925,1.873074681,-1.638181328,-0.000503775,NA,NA,NA,0.906282058,6,-156.9488655,331.497731,66.23219667,8.95E-16
102,744.9529095,-1.933575571,NA,-0.000523574,NA,NA,0.435558715,0.892022943,6,-157.1023748,331.8047495,66.53921516,7.68E-16
117,746.9678991,NA,NA,-0.00051242,NA,0.258050447,0.297978033,0.91340772,6,-157.1109308,331.8218616,66.55632724,7.61E-16
86,750.7654279,-1.056708336,NA,-0.000498374,NA,0.404660957,NA,0.923703319,6,-157.1594202,331.9188404,66.65330603,7.25E-16
115,807.6551912,NA,-2.396632136,NA,NA,0.702310881,0.510817286,1.084708765,6,-157.1849145,331.9698289,66.70429457,7.07E-16
84,813.8146905,2.781996779,-2.479920039,NA,NA,0.948184002,NA,1.098526231,6,-157.2863711,332.1727423,66.90720791,6.39E-16
100,798.6538981,1.091535506,-2.313070553,NA,NA,NA,0.686966361,1.031043831,6,-157.3934432,332.3868863,67.12135198,5.74E-16
114,751.3447338,-2.18779602,NA,NA,NA,0.464941664,0.295529405,1.040364873,6,-157.8246979,333.2493958,67.98386143,3.73E-16
29,-3817.312943,NA,NA,-0.001319535,0.048692182,-2.320377458,NA,NA,5,-160.6491148,335.0482295,69.78269513,1.52E-16
119,797.0635525,NA,-2.102070418,-0.000456236,NA,0.465387453,0.543040502,0.964752722,7,-156.5590023,335.1180046,69.85247021,1.46E-16
104,791.9826194,1.273853599,-2.097633587,-0.000492988,NA,NA,0.651288956,0.921700547,7,-156.6428777,335.2857554,70.02022103,1.35E-16
88,802.9616171,2.669007916,-2.156182002,-0.000446057,NA,0.726366533,NA,0.981233581,7,-156.693928,335.3878561,70.1223217,1.28E-16
