,(Intercept),agr_gdp,dev_agri,dev_env,fdi,gdp,gdp_gr,pop_den,time,df,logLik,AICc,delta,weight
100,-402.6912463,-166.004845,0.247943716,NA,NA,NA,23.42451151,701.4571725,NA,6,-147.4144589,313.2904563,28.568575,1.33E-07
99,-528.145698,NA,0.195895603,NA,NA,NA,43.56289906,939.2200794,NA,5,-149.5194909,313.324696,28.60281473,1.30E-07
13,807.1527351,NA,NA,2.8869943,-1.030853108,NA,NA,NA,NA,4,-151.3369863,313.3406393,28.61875802,1.29E-07
101,-517.3540964,NA,NA,-2.18454714,NA,NA,48.60292131,935.2965213,NA,5,-149.5278234,313.341361,28.61947974,1.29E-07
76,-230.0750124,-175.9146435,0.348788517,NA,-0.399420745,NA,NA,586.0515394,NA,6,-147.459654,313.3808465,28.6589652,1.27E-07
37,739.9516016,NA,NA,-2.574939195,NA,NA,48.89354654,NA,NA,4,-151.3949196,313.4565058,28.73462454,1.22E-07
35,733.615761,NA,0.207141247,NA,NA,NA,43.36939875,NA,NA,4,-151.4040962,313.4748591,28.75297782,1.21E-07
59,1180.758698,NA,0.041027154,NA,-0.9137018,-10.93155874,82.46293124,NA,NA,6,-147.5131288,313.487796,28.76591469,1.20E-07
61,1182.654902,NA,NA,0.137469039,-0.920874623,-10.96948183,83.24983874,NA,NA,6,-147.5172075,313.4959535,28.77407224,1.20E-07
102,-406.5527872,-163.6933733,NA,0.040764142,NA,NA,28.00858469,707.6087238,NA,6,-147.5769644,313.6154672,28.89358592,1.13E-07
45,826.9258089,NA,NA,2.176508406,-1.228115627,NA,58.6737025,NA,NA,5,-149.6661656,313.6180455,28.89616418,1.13E-07
43,822.2664796,NA,0.161120559,NA,-1.130858759,NA,56.39831669,NA,NA,5,-149.672686,313.6310864,28.90920507,1.12E-07
21,993.4736916,NA,NA,-1.418639617,NA,-7.566580517,NA,NA,NA,4,-151.5059088,313.6784842,28.95660288,1.09E-07
78,-195.1593854,-181.6782912,NA,3.02238049,-0.521068212,NA,NA,559.5831375,NA,6,-147.6602887,313.7821159,29.06023463,1.04E-07
72,-394.5864807,-188.5801175,0.357997392,1.557656362,NA,NA,NA,672.3423384,NA,6,-147.681732,313.8250024,29.1031211,1.01E-07
46,607.8218832,-164.5784278,NA,3.26535659,-0.906564858,NA,35.33620018,NA,NA,6,-147.731683,313.9249044,29.20302314,9.65E-08
44,603.0125915,-163.1031178,0.224352714,NA,-0.764947241,NA,32.44431005,NA,NA,6,-147.7695148,314.0005681,29.27868679,9.30E-08
75,-271.0926048,NA,0.38579343,NA,-0.622192005,NA,NA,781.1505519,NA,5,-149.9465929,314.1789001,29.45701882,8.50E-08
16,552.565316,-197.4806774,0.400800232,4.600523692,-0.774777339,NA,NA,NA,NA,6,-147.9765138,314.414566,29.69268473,7.56E-08
32,813.6286661,-244.5660577,0.364456348,3.152656894,-0.341364844,-10.14703835,NA,NA,NA,7,-145.6417602,314.6168537,29.89497243,6.83E-08
89,-32.90056405,NA,NA,NA,-0.583799823,-2.614741196,NA,669.874145,NA,5,-150.1787376,314.6431896,29.92130829,6.74E-08
77,-253.322333,NA,NA,1.846496521,-0.697956409,NA,NA,771.557259,NA,5,-150.2329996,314.7517135,30.0298322,6.39E-08
83,-208.1811733,NA,0.378347219,NA,NA,-3.258614008,NA,781.2573929,NA,5,-150.3120473,314.9098088,30.18792755,5.90E-08
88,694.1531272,-251.3245391,0.3456195,1.832488889,NA,-10.59141089,NA,76.58619276,NA,7,-145.8178062,314.9689457,30.24706444,5.73E-08
92,728.6140875,-240.0025168,0.331314456,NA,-0.195766763,-10.10212666,NA,62.15359458,NA,7,-145.8194352,314.9722037,30.2503224,5.72E-08
7,731.5409845,NA,0.382036685,-0.740264755,NA,NA,NA,NA,NA,4,-152.176456,315.0195787,30.29769736,5.59E-08
256,249.2586048,-43.50843709,0.030708991,1.165100734,0.013028641,-6.456273525,5.23885707,457.1250273,1.061238726,10,-135.2899635,315.0243713,30.30249006,5.57E-08
117,458.9716671,NA,NA,-3.145945621,NA,-9.848859784,73.01251444,461.1401993,NA,6,-148.306703,315.0749444,30.35306311,5.43E-08
71,-526.964183,NA,0.375467133,-0.366831647,NA,NA,NA,936.2548149,NA,5,-150.458718,315.2031503,30.48126899,5.10E-08
27,988.452409,NA,0.390736573,NA,-0.745476799,-5.874759292,NA,NA,NA,5,-150.534744,315.3552023,30.63332106,4.72E-08
115,384.1257179,NA,0.091951498,NA,NA,-9.26198898,67.67537636,496.9826306,NA,6,-148.4582714,315.3780812,30.65619987,4.67E-08
107,-177.4796122,NA,0.164018747,NA,-0.845586228,NA,53.26150644,727.5366001,NA,6,-148.5015119,315.4645622,30.74268095,4.47E-08
94,751.8146836,-244.696498,NA,2.430199826,-0.293150206,-10.05840808,NA,43.54842699,NA,7,-146.0758932,315.4851197,30.76323836,4.43E-08
85,-200.5040789,NA,NA,-1.039954298,NA,-3.310654149,NA,780.0504742,NA,5,-150.601152,315.4880182,30.76613696,4.42E-08
109,-159.164338,NA,NA,1.243320039,-0.909584177,NA,55.91434281,716.7613441,NA,6,-148.5433753,315.5482891,30.82640776,4.29E-08
40,497.5560678,-200.6384349,0.278468802,0.823154189,NA,NA,18.27564984,NA,NA,6,-148.6563139,315.7741663,31.052285,3.83E-08
55,1182.289577,NA,0.00417692,-3.563175125,NA,-12.8553064,80.48273216,NA,NA,6,-148.6858376,315.8332136,31.11133234,3.72E-08
29,987.9158521,NA,NA,1.980988516,-0.828020673,-5.706994694,NA,NA,NA,5,-150.8072577,315.9002297,31.17834844,3.60E-08
15,805.9372782,NA,0.435872167,3.698373839,-1.069581065,NA,NA,NA,NA,5,-150.9670312,316.2197767,31.49789544,3.06E-08
126,1236.46823,-209.9210632,NA,1.117538186,-0.489710611,-14.31325122,61.60327323,-163.4350395,NA,8,-143.6431691,316.3772473,31.655366,2.83E-08
124,1217.220457,-209.021094,0.084743576,NA,-0.437694497,-14.27353937,60.38578771,-151.2524232,NA,8,-143.644657,316.380223,31.65834171,2.83E-08
64,979.3432323,-202.8011637,0.113287052,1.327733623,-0.469072818,-13.05747613,57.0418404,NA,NA,8,-143.6608688,316.4126467,31.69076544,2.78E-08
23,988.7306547,NA,0.374838313,-0.856015709,NA,-7.526591975,NA,NA,NA,5,-151.2370644,316.7598432,32.03796186,2.34E-08
39,738.0366356,NA,0.175056003,-2.226642195,NA,NA,45.5688274,NA,NA,5,-151.3413165,316.9683473,32.24646597,2.11E-08
108,-180.0369605,-144.9202988,0.219644419,NA,-0.575325429,NA,32.58112221,587.6292519,NA,7,-146.8854727,317.1042788,32.3823975,1.97E-08
110,-146.3117489,-145.9838362,NA,2.405232222,-0.691294416,NA,35.79339376,566.1523988,NA,7,-146.9230591,317.1794515,32.45757019,1.90E-08
120,1103.574107,-226.0972463,0.095284952,-0.367306977,NA,-14.81098091,55.05581052,-92.76419418,NA,8,-144.0622412,317.2153914,32.49351011,1.86E-08
103,-517.955183,NA,0.169323978,-1.848043249,NA,NA,45.38735582,934.3657847,NA,6,-149.4673598,317.396258,32.67437674,1.70E-08
47,825.1549931,NA,0.194167349,2.582126124,-1.233103146,NA,55.02573294,NA,NA,6,-149.5877083,317.6369551,32.91507379,1.51E-08
80,-180.0354362,-179.9434034,0.388057248,3.749969116,-0.562498525,NA,NA,549.4123742,NA,7,-147.2362634,317.8058602,33.08397893,1.39E-08
123,717.9808381,NA,0.061879419,NA,-0.834002375,-9.140084659,76.92375732,294.01968,NA,7,-147.3525737,318.0384808,33.31659946,1.23E-08
125,731.1492548,NA,NA,0.081848506,-0.841070245,-9.253366783,78.29732642,287.7350457,NA,7,-147.3625086,318.0583506,33.33646929,1.22E-08
104,-404.5650949,-167.9795319,0.257340099,0.610453475,NA,NA,22.58229591,700.232389,NA,7,-147.4077855,318.1489043,33.42702306,1.17E-08
91,-29.02901557,NA,0.384769329,NA,-0.590772805,-2.591118092,NA,665.0054425,NA,6,-149.8492862,318.1601109,33.43822956,1.16E-08
79,-236.5956345,NA,0.413978401,2.634664896,-0.740352176,NA,NA,758.5477169,NA,6,-149.8606165,318.1827715,33.46089022,1.15E-08
63,1179.685019,NA,0.044619094,0.24536967,-0.924234348,-10.89044899,82.23447995,NA,NA,7,-147.5122145,318.3577624,33.6358811,1.05E-08
48,599.6085874,-168.8562493,0.276118526,3.87047321,-0.905299491,NA,29.54194919,NA,NA,7,-147.5395194,318.4123721,33.69049078,1.02E-08
93,-25.19210447,NA,NA,1.60033425,-0.656957592,-2.475861851,NA,662.6346175,NA,6,-150.1474585,318.7564555,34.03457421,8.62E-09
87,-203.8637953,NA,0.373436618,-0.479867415,NA,-3.275682759,NA,779.1583097,NA,6,-150.3087044,319.0789472,34.35706591,7.34E-09
31,982.3105958,NA,0.420520362,2.786007298,-0.870358382,-5.567049798,NA,NA,NA,6,-150.4446362,319.3508108,34.62892952,6.41E-09
119,449.0846189,NA,0.042589066,-3.051719767,NA,-9.750647561,71.96031117,465.6343543,NA,7,-148.3025223,319.9383779,35.2164966,4.77E-09
111,-157.5280482,NA,0.184861213,1.632641138,-0.915405815,NA,52.45051127,714.3465057,NA,7,-148.4638172,320.2609677,35.53908637,4.06E-09
96,750.3871992,-242.0274096,0.364382292,3.123172325,-0.33581443,-9.892405408,NA,42.51474117,NA,8,-145.6380194,320.3669479,35.64506664,3.85E-09
112,-143.6349611,-150.2657471,0.259822203,2.986503056,-0.693073976,NA,30.33480717,558.3407747,NA,8,-146.7388131,322.5685353,37.84665399,1.28E-09
95,-17.25351254,NA,0.410431094,2.391077037,-0.700543689,-2.382041415,NA,653.8640719,NA,7,-149.7784734,322.8902801,38.16839878,1.09E-09
128,1215.457741,-210.6299892,0.105000895,1.373017904,-0.49365042,-14.08457282,58.98496027,-154.9355263,NA,9,-143.6026895,323.2053791,38.48349776,9.32E-10
127,717.00621,NA,0.065370955,0.238726306,-0.844261807,-9.100358858,76.70232896,293.9752186,NA,8,-147.3516943,323.7942977,39.07241643,6.94E-10
