,(Intercept),agr_gdp,dev_agri,dev_env,fdi,gdp,gdp_gr,pop_den,time,df,logLik,AICc,delta,weight
157,964.0389238,NA,NA,1.335195773,-0.117152444,-7.760917581,NA,NA,1.180835068,6,-137.6525776,293.7666937,9.04481238,0.002301683
151,964.2741059,NA,0.022863348,0.909292283,NA,-8.025763147,NA,NA,1.191628692,6,-137.6989631,293.8594646,9.137583335,0.002197356
155,966.6982865,NA,0.017619822,NA,-0.058124547,-7.903454682,NA,NA,1.180250702,6,-137.7262446,293.9140276,9.192146297,0.00213822
214,199.9645493,-39.91823634,NA,1.344210896,NA,-5.908518315,NA,482.6772573,1.091271226,7,-135.3482056,294.0297446,9.307863279,0.002018016
242,277.1814649,-41.38416833,NA,NA,NA,-6.648398097,7.960104649,445.9107589,1.051255696,7,-135.3779019,294.0891372,9.367255908,0.00195897
218,180.1813003,-38.69123652,NA,NA,0.097366907,-6.04092247,NA,497.8447084,1.099449041,7,-135.4138371,294.1610075,9.439126178,0.001889824
212,202.2937782,-37.57213166,0.034743003,NA,NA,-5.877626687,NA,484.0062232,1.085709955,7,-135.4528391,294.2390116,9.517130311,0.001817536
245,104.1340671,NA,NA,0.980637641,NA,-5.14746277,3.568682643,568.2238081,1.152756633,7,-135.5846777,294.5026886,9.780807354,0.001593038
215,74.30035801,NA,0.029961677,1.14932072,NA,-4.839953119,NA,581.8167296,1.16405336,7,-135.5932139,294.5197611,9.797879824,0.001579497
221,68.63655687,NA,NA,1.004516408,0.027654477,-4.885955253,NA,585.7889529,1.170174032,7,-135.5979638,294.529261,9.807379681,0.001572013
249,102.2429546,NA,NA,NA,0.050344691,-5.284669244,4.092254559,571.5872733,1.152409851,7,-135.6305394,294.594412,9.872530745,0.001521629
243,123.9851346,NA,0.003359959,NA,NA,-5.305370342,5.135791458,559.1298582,1.141771661,7,-135.6420013,294.6173359,9.895454644,0.001504287
219,63.88778789,NA,0.015773236,NA,0.072820453,-4.970478777,NA,590.1902669,1.169339727,7,-135.6484385,294.6302102,9.908328951,0.001494635
141,721.4253549,NA,NA,2.57879305,-0.415974232,NA,NA,NA,1.138274057,5,-140.8103649,295.906444,11.18456274,0.000789595
182,946.5724125,-82.56582268,NA,0.926069619,NA,-10.06029701,14.86573581,NA,0.964555316,7,-136.2889739,295.911281,11.18939975,0.000787688
186,956.2283093,-79.40307371,NA,NA,-0.049334119,-10.05685209,17.07861571,NA,0.951147435,7,-136.3256527,295.9846388,11.26275751,0.00075932
180,953.1621045,-80.75477908,-0.001346469,NA,NA,-10.13323968,16.25080337,NA,0.958375938,7,-136.3365829,296.0064991,11.28461783,0.000751066
138,686.1857768,-27.66618027,NA,NA,-0.290710767,NA,NA,NA,1.084860256,5,-140.9235154,296.1327451,11.4108638,0.000705121
169,713.4029268,NA,NA,NA,-0.269145986,NA,-5.996615028,NA,1.169707022,5,-140.9865569,296.2588281,11.53694677,0.000662042
139,717.9154964,NA,0.039958786,NA,-0.311174266,NA,NA,NA,1.134938834,5,-141.0108674,296.3074491,11.5855678,0.000646141
162,652.1284736,-34.85365122,NA,NA,NA,NA,-12.42633424,NA,1.158911271,5,-141.0481957,296.3821056,11.66022434,0.000622466
152,909.3546312,-82.81144165,0.063917803,1.529007108,NA,-9.101485316,NA,NA,1.02019578,7,-136.5395512,296.4124357,11.69055444,0.000613098
158,911.3400119,-80.54906891,NA,1.575240355,-0.037181593,-8.996251472,NA,NA,1.027353191,7,-136.5669764,296.4672862,11.74540491,0.000596512
165,687.0573338,NA,NA,1.429791616,NA,NA,-13.40455198,NA,1.241846119,5,-141.1272884,296.540291,11.8184097,0.000575131
134,651.7816203,-35.15478962,NA,1.218046595,NA,NA,NA,NA,1.11253525,5,-141.1550883,296.5958909,11.87400959,0.000559362
163,689.9184717,NA,0.06284703,NA,NA,NA,-12.6401075,NA,1.224794739,5,-141.1793667,296.6444477,11.92256644,0.000545945
156,914.5935678,-80.09777198,0.0472945,NA,0.029651893,-9.148548138,NA,NA,1.024240903,7,-136.6662239,296.6657812,11.94389993,0.000540153
132,656.0599548,-33.3807282,0.039421966,NA,NA,NA,NA,NA,1.1059633,5,-141.2004385,296.6865912,11.96470993,0.000534562
231,-401.8625988,NA,0.081938547,1.796541944,NA,NA,-13.11787993,810.692404,1.200088878,7,-136.6815674,296.6964681,11.97458678,0.000531928
230,-403.6783699,4.706480821,NA,1.605306757,NA,NA,-11.53042796,816.5321257,1.211273707,7,-136.7284122,296.7901578,12.06827653,0.000507585
237,-405.2961169,NA,NA,1.607857114,0.010520527,NA,-11.86387074,813.221647,1.204427041,7,-136.7319399,296.7972131,12.07533182,0.000505797
135,690.4169639,NA,0.033837937,1.016080449,NA,NA,NA,NA,1.180445225,5,-141.2993906,296.8844955,12.16261423,0.000484198
235,-425.4846023,NA,0.059124374,NA,0.080929428,NA,-12.28582521,826.2008747,1.200380075,7,-136.8260884,296.9855101,12.26362883,0.00046035
234,-427.8609029,7.741428778,NA,NA,0.076133799,NA,-11.10182131,834.8296752,1.217135889,7,-136.8422056,297.0177446,12.29586327,0.00045299
228,-397.6548416,7.211596833,0.05410168,NA,NA,NA,-10.36911962,816.5456953,1.197896784,7,-136.8434924,297.0203181,12.29843682,0.000452408
207,-376.4609439,NA,0.043966231,1.583248121,-0.074479783,NA,NA,798.6021621,1.139820576,7,-136.9092992,297.1519318,12.43005048,0.000423595
206,-383.072822,7.862725071,NA,1.442212133,-0.06597822,NA,NA,809.6852619,1.160973975,7,-136.9134539,297.1602411,12.4383598,0.000421838
200,-408.3278041,7.276323385,0.033985879,1.24035982,NA,NA,NA,824.241132,1.162863945,7,-136.9214223,297.1761779,12.45429657,0.00041849
204,-402.1972944,10.1070773,0.021617147,NA,-0.003273151,NA,NA,824.0462413,1.163769342,7,-137.0044839,297.3423011,12.62041982,0.000385134
189,1003.520984,NA,NA,1.017446988,-0.180918022,-8.654438243,16.2225666,NA,1.104969385,7,-137.3642788,298.061891,13.34000969,0.000268754
187,1009.233809,NA,-0.032940416,NA,-0.13872067,-8.853111736,17.6340797,NA,1.103629584,7,-137.4013171,298.1359676,13.41408633,0.000258982
183,1000.39916,NA,-0.027505947,0.336912574,NA,-8.964994638,14.54135299,NA,1.13542662,7,-137.475748,298.2848293,13.56294797,0.000240406
159,963.6749166,NA,0.033771957,1.402176857,-0.123117472,-7.742267842,NA,NA,1.176574487,7,-137.6443698,298.622073,13.90019166,0.000203102
246,259.4352511,-43.01484145,NA,1.138216732,NA,-6.510354056,6.169628052,452.3429633,1.060306655,8,-135.2988071,299.6885233,14.96664199,0.000119162
216,202.3684763,-41.22774141,0.049161138,1.415931765,NA,-5.931817724,NA,480.2181885,1.083520636,8,-135.326223,299.743355,15.02147373,0.000115939
