,(Intercept),agr_gdp,dev_agri,dev_env,fdi,gdp,gdp_gr,ind_gdp,pop_den,time,df,logLik,AICc,delta,weight
479,0.001631228,NA,-6.05E-08,4.44E-08,-5.80E-07,2.36E-05,NA,-0.000139906,-0.000313612,-1.57E-06,9,-148.4994062,332.9988123,26.56798742,2.00E-07
503,0.001723299,NA,-1.02E-07,-7.99E-07,NA,2.06E-05,1.71E-05,-8.03E-05,-0.000372681,-1.66E-06,9,-148.5085614,333.0171228,26.58629793,1.98E-07
500,0.001738994,-1.27E-05,-8.77E-08,NA,NA,2.03E-05,1.64E-05,-7.92E-05,-0.000389217,-1.69E-06,9,-148.5088484,333.0176969,26.58687199,1.98E-07
502,0.001717913,-1.19E-05,NA,-5.59E-07,NA,2.04E-05,1.43E-05,-7.91E-05,-0.000373731,-1.70E-06,9,-148.5094473,333.0188946,26.58806973,1.98E-07
472,0.001501504,-1.91E-05,-2.24E-08,-6.36E-07,NA,2.21E-05,NA,-0.000111954,-0.000246641,-1.60E-06,9,-148.515515,333.03103,26.60020513,1.97E-07
447,0.002313316,NA,-5.07E-08,1.60E-06,-5.67E-07,1.74E-05,4.62E-05,NA,-0.000741427,-1.97E-06,9,-148.5171137,333.0342274,26.60340249,1.96E-07
446,0.002293599,8.55E-06,NA,1.50E-06,-5.63E-07,1.76E-05,4.46E-05,NA,-0.000725864,-1.95E-06,9,-148.5171913,333.0343827,26.60355779,1.96E-07
383,0.001172376,NA,-1.33E-07,-1.13E-06,-4.13E-07,2.44E-05,2.88E-06,-0.000136149,NA,-1.63E-06,9,-148.5183558,333.0367116,26.60588673,1.96E-07
352,0.001163998,-6.74E-06,-1.13E-07,-9.96E-07,-4.07E-07,2.45E-05,NA,-0.000140767,NA,-1.63E-06,9,-148.5185345,333.037069,26.60624413,1.96E-07
444,0.002258435,1.73E-05,-6.89E-08,NA,-4.92E-07,1.77E-05,4.64E-05,NA,-0.00069835,-1.92E-06,9,-148.5195446,333.0390892,26.60826435,1.96E-07
380,0.001164263,-1.08E-05,-1.21E-07,NA,-4.40E-07,2.43E-05,1.44E-06,-0.000136157,NA,-1.65E-06,9,-148.5197533,333.0395066,26.60868174,1.96E-07
382,0.001165662,-8.72E-06,NA,-9.64E-07,-3.84E-07,2.41E-05,-1.16E-07,-0.000131149,NA,-1.66E-06,9,-148.5203112,333.0406224,26.60979752,1.96E-07
376,0.001150302,-5.12E-06,-8.73E-08,-1.52E-06,NA,2.34E-05,1.40E-06,-0.000116561,NA,-1.61E-06,9,-148.5277761,333.0555521,26.62472721,1.94E-07
440,0.002032197,6.62E-06,-2.63E-08,3.45E-07,NA,1.78E-05,3.60E-05,NA,-0.000573102,-1.85E-06,9,-148.5324721,333.0649441,26.63411924,1.93E-07
320,0.001165558,2.78E-05,5.28E-08,-4.55E-07,9.47E-09,2.11E-05,2.10E-05,NA,NA,-1.82E-06,9,-148.5879349,333.1758699,26.74504497,1.83E-07
416,0.001546819,1.40E-06,3.20E-07,1.39E-06,3.09E-08,2.06E-05,NA,NA,-0.000308317,-1.72E-06,9,-148.5902262,333.1804523,26.74962745,1.83E-07
494,0.003756805,-6.44E-05,NA,1.90E-06,-4.93E-07,NA,8.36E-05,5.82E-05,-0.001500889,-2.22E-06,9,-148.8210604,333.6421209,27.21129599,1.45E-07
492,0.003704024,-6.13E-05,-1.88E-08,NA,-3.88E-07,NA,8.28E-05,5.46E-05,-0.001462562,-2.18E-06,9,-148.8258558,333.6517117,27.2208868,1.44E-07
488,0.003549611,-6.82E-05,3.37E-08,9.42E-07,NA,NA,7.63E-05,6.55E-05,-0.001385481,-2.15E-06,9,-148.8329619,333.6659238,27.23509889,1.43E-07
495,0.003827241,NA,1.36E-09,1.62E-06,-5.21E-07,NA,8.94E-05,7.19E-05,-0.001507887,-2.11E-06,9,-148.8354015,333.670803,27.23997812,1.43E-07
432,0.003724196,-8.20E-05,-2.01E-08,1.62E-06,-5.72E-07,NA,7.13E-05,NA,-0.001458428,-2.10E-06,9,-148.8375883,333.6751766,27.24435173,1.43E-07
464,0.003051892,-0.000147681,5.41E-07,2.53E-06,1.65E-07,NA,NA,-5.74E-05,-0.001057338,-1.80E-06,9,-149.0418544,334.0837088,27.65288394,1.16E-07
368,0.001631414,-8.59E-05,2.00E-07,-1.40E-06,5.44E-07,NA,4.54E-05,2.66E-05,NA,-2.18E-06,9,-149.1459702,334.2919403,27.86111542,1.05E-07
248,0.000708763,0.000229107,-5.97E-07,-5.40E-06,NA,3.24E-05,-6.68E-05,-0.000318984,0.000345156,NA,9,-149.1971771,334.3943542,27.9635293,9.95E-08
254,0.000698841,0.000240058,NA,-5.35E-06,2.13E-07,3.13E-05,-8.08E-05,-0.000282275,0.000342994,NA,9,-149.2422442,334.4844884,28.05366347,9.51E-08
224,0.001284901,0.000340348,-1.08E-06,-8.95E-06,5.01E-08,2.75E-05,NA,-0.000256854,9.60E-05,NA,9,-149.3923749,334.7847498,28.35392496,8.18E-08
255,0.000731659,NA,-7.75E-07,1.71E-06,-2.44E-07,3.10E-05,-0.000108931,-0.000463592,0.000240283,NA,9,-149.4292664,334.8585327,28.42770782,7.89E-08
511,0.002017739,NA,-1.68E-07,4.83E-07,-7.44E-07,2.11E-05,2.58E-05,-0.000100414,-0.000543667,-1.75E-06,10,-148.4821919,341.4088282,34.97800336,2.98E-09
508,0.001992396,-5.43E-06,-1.67E-07,NA,-7.17E-07,2.11E-05,2.48E-05,-0.000103631,-0.000528805,-1.76E-06,10,-148.4823759,341.4091962,34.97837129,2.98E-09
510,0.001999483,-1.21E-05,NA,7.03E-07,-7.07E-07,2.07E-05,2.15E-05,-9.55E-05,-0.00053707,-1.79E-06,10,-148.4852725,341.4149894,34.98416451,2.97E-09
480,0.001652326,-2.28E-05,-5.43E-08,4.35E-07,-5.92E-07,2.32E-05,NA,-0.000141839,-0.0003343,-1.63E-06,10,-148.4975575,341.4395594,35.00873453,2.94E-09
504,0.001722785,-9.27E-06,-9.55E-08,-6.72E-07,NA,2.05E-05,1.64E-05,-8.20E-05,-0.00037579,-1.68E-06,10,-148.5082675,341.4609795,35.03015464,2.91E-09
448,0.002307461,1.03E-05,-5.90E-08,1.46E-06,-5.72E-07,1.76E-05,4.65E-05,NA,-0.000733882,-1.95E-06,10,-148.5167232,341.4778908,35.04706592,2.88E-09
384,0.00117005,-4.17E-06,-1.29E-07,-1.07E-06,-4.12E-07,2.44E-05,2.50E-06,-0.000136982,NA,-1.64E-06,10,-148.5182973,341.4810391,35.05021423,2.88E-09
496,0.003754558,-6.45E-05,1.55E-08,1.93E-06,-4.92E-07,NA,8.32E-05,5.84E-05,-0.00149962,-2.22E-06,10,-148.82103,342.0865044,35.65567953,2.13E-09
512,0.002016438,-8.39E-06,-1.63E-07,6.07E-07,-7.44E-07,2.10E-05,2.51E-05,-0.000101997,-0.000546043,-1.77E-06,11,-148.4819451,351.9638903,45.53306539,1.52E-11
