,(Intercept),agr_gdp,dev_agri,dev_env,fdi,gdp,gdp_gr,ind_gdp,pop_den,time,df,logLik,AICc,delta,weight
335,0.001694161,NA,5.27E-07,-1.33E-06,8.46E-07,NA,NA,-1.95E-05,NA,-1.59E-06,7,-149.2950568,321.923447,15.49262211,5.08E-05
88,0.001437342,0.000336843,-1.05E-06,-8.52E-06,NA,2.68E-05,NA,-0.000257456,NA,NA,7,-149.3941516,322.1216365,15.69081158,4.60E-05
243,0.000635688,NA,-7.39E-07,NA,NA,3.08E-05,-0.00010939,-0.000452961,0.000297745,NA,7,-149.4339499,322.2012331,15.77040825,4.42E-05
123,0.001123764,NA,-7.82E-07,NA,-2.83E-07,2.89E-05,-0.000101725,-0.00045821,NA,NA,7,-149.4438007,322.2209348,15.79010988,4.38E-05
119,0.001108511,NA,-7.19E-07,1.43E-06,NA,2.79E-05,-0.000103051,-0.000430584,NA,NA,7,-149.4472346,322.2278025,15.79697763,4.36E-05
212,0.001592011,0.000307654,-1.06E-06,NA,NA,2.44E-05,NA,-0.000236459,-0.000117755,NA,7,-149.4837261,322.3007855,15.86996059,4.21E-05
92,0.001415801,0.000307281,-1.14E-06,NA,-2.05E-07,2.58E-05,NA,-0.000255064,NA,NA,7,-149.4843279,322.3019891,15.87116424,4.20E-05
245,0.000664147,NA,NA,1.62E-06,NA,2.97E-05,-0.000129639,-0.000438153,0.000281814,NA,7,-149.5041574,322.3416482,15.91082332,4.12E-05
249,0.000607384,NA,NA,NA,9.10E-08,2.98E-05,-0.00012931,-0.000438772,0.000317868,NA,7,-149.506478,322.3462894,15.91546453,4.11E-05
125,0.001121539,NA,NA,2.41E-06,-1.41E-07,2.74E-05,-0.000123516,-0.000431363,NA,NA,7,-149.51633,322.3659934,15.93516851,4.07E-05
62,0.001137678,0.000351557,NA,-4.31E-06,1.04E-06,2.57E-05,-4.69E-05,NA,NA,NA,7,-149.5238477,322.3810288,15.95020388,4.04E-05
186,0.000676481,0.00033345,NA,NA,1.03E-06,2.81E-05,-6.00E-05,NA,0.000259806,NA,7,-149.5332379,322.3998092,15.96898432,4.00E-05
214,0.001861737,0.000397746,NA,-7.49E-06,NA,2.28E-05,NA,-0.000179041,-0.000236577,NA,7,-149.5793573,322.4920479,16.06122299,3.82E-05
94,0.001474606,0.000405022,NA,-8.44E-06,3.09E-07,2.39E-05,NA,-0.00016009,NA,NA,7,-149.5857882,322.5049098,16.07408492,3.80E-05
182,0.000951291,0.000391431,NA,-2.60E-06,NA,2.94E-05,-4.86E-05,NA,0.000130025,NA,7,-149.6124947,322.5583227,16.12749782,3.70E-05
56,0.001163365,0.000387651,-3.94E-08,-2.32E-06,NA,2.82E-05,-4.49E-05,NA,NA,NA,7,-149.6156647,322.5646628,16.13383787,3.69E-05
32,0.001304249,0.0004192,-5.09E-07,-7.27E-06,1.07E-06,2.35E-05,NA,NA,NA,NA,7,-149.6308767,322.5950867,16.16426178,3.63E-05
218,0.002099143,0.000369328,NA,NA,-3.23E-08,2.02E-05,NA,-0.000160956,-0.000404628,NA,7,-149.6521585,322.6376504,16.20682553,3.55E-05
158,0.001482222,0.00044267,NA,-6.91E-06,9.58E-07,2.21E-05,NA,NA,-7.90E-05,NA,7,-149.6928231,322.7189796,16.28815474,3.41E-05
156,0.001411507,0.000403275,-5.13E-07,NA,8.45E-07,2.26E-05,NA,NA,-7.61E-05,NA,7,-149.7044422,322.7422177,16.31139283,3.37E-05
152,0.001369637,0.000454012,-4.41E-07,-5.37E-06,NA,2.52E-05,NA,NA,-1.67E-05,NA,7,-149.7288162,322.7909657,16.36014083,3.29E-05
234,0.003549561,0.000204096,NA,NA,3.95E-07,NA,-3.09E-05,-0.000204357,-0.001155686,NA,7,-150.0612683,323.45587,17.02504514,2.36E-05
230,0.003717457,0.000209573,NA,-4.78E-07,NA,NA,-2.93E-05,-0.000228065,-0.001237988,NA,7,-150.0714995,323.4763324,17.04550747,2.34E-05
219,0.001952509,NA,-1.75E-06,NA,-4.82E-07,1.95E-05,NA,-0.000429552,-0.000429065,NA,7,-150.0769053,323.487144,17.05631908,2.32E-05
200,0.003726221,0.000248849,-4.54E-07,-2.55E-06,NA,NA,NA,-0.000216483,-0.001210423,NA,7,-150.0773672,323.4880678,17.05724288,2.32E-05
204,0.003633753,0.000247727,-4.32E-07,NA,2.76E-07,NA,NA,-0.000193316,-0.0011762,NA,7,-150.0802791,323.4938915,17.06306657,2.32E-05
215,0.001885612,NA,-1.69E-06,-2.47E-06,NA,1.84E-05,NA,-0.000400649,-0.000396392,NA,7,-150.0863758,323.506085,17.07526012,2.30E-05
206,0.00362959,0.000291339,NA,-3.61E-06,5.07E-07,NA,NA,-0.000153069,-0.001169721,NA,7,-150.1045461,323.5424256,17.11160074,2.26E-05
95,0.00128369,NA,-1.83E-06,-1.70E-06,-3.32E-07,2.23E-05,NA,-0.000445377,NA,NA,7,-150.1121413,323.5576158,17.12679095,2.24E-05
174,0.003199606,0.000302078,NA,-3.96E-06,1.26E-06,NA,-9.84E-06,NA,-0.000996572,NA,7,-150.2064194,323.746172,17.31534716,2.04E-05
231,0.003615378,NA,-4.44E-07,2.25E-06,NA,NA,-5.87E-05,-0.000341331,-0.001289667,NA,7,-150.2069279,323.7471891,17.31636423,2.04E-05
144,0.003222108,0.000317357,-1.27E-07,-4.57E-06,1.24E-06,NA,NA,NA,-0.000995654,NA,7,-150.2088802,323.7510936,17.32026875,2.04E-05
237,0.003455264,NA,NA,1.92E-06,3.75E-07,NA,-7.22E-05,-0.00031475,-0.001211825,NA,7,-150.2342693,323.801872,17.37104711,1.99E-05
110,0.001901906,0.000221885,NA,-4.39E-06,1.32E-06,NA,-4.05E-05,-0.000176747,NA,NA,7,-150.3166253,323.9665839,17.53575897,1.83E-05
189,0.000820295,NA,NA,1.23E-06,1.88E-06,2.01E-05,-0.000112927,NA,-5.42E-05,NA,7,-150.32075,323.9748333,17.54400842,1.82E-05
80,0.001972708,0.000281038,-5.27E-07,-6.85E-06,1.21E-06,NA,NA,-0.000157617,NA,NA,7,-150.3420682,324.0174697,17.58664481,1.78E-05
207,0.003595229,NA,-1.09E-06,-1.84E-06,1.85E-07,NA,NA,-0.000320569,-0.001306467,NA,7,-150.4400778,324.2134889,17.78266405,1.62E-05
221,0.002253673,NA,NA,-3.58E-08,-1.56E-07,1.28E-05,NA,-0.000343366,-0.000618437,NA,7,-150.5210099,324.3753532,17.94452833,1.49E-05
183,0.001489687,NA,-2.96E-07,8.56E-06,NA,2.02E-05,-0.000104299,NA,-0.000484033,NA,7,-150.6202587,324.5738508,18.14302592,1.35E-05
159,0.002308929,NA,-8.68E-07,-4.87E-06,1.72E-06,6.87E-06,NA,NA,-0.000852487,NA,7,-150.9508614,325.2350562,18.80423134,9.70E-06
505,0.001977526,NA,NA,NA,-6.81E-07,2.09E-05,2.17E-05,-9.51E-05,-0.000517922,-1.76E-06,8,-148.4861588,326.0632267,19.63240181,6.41E-06
474,0.001648169,-2.09E-05,NA,NA,-5.64E-07,2.30E-05,NA,-0.000137892,-0.000329668,-1.64E-06,8,-148.4982013,326.0873116,19.65648671,6.33E-06
475,0.001629744,NA,-6.07E-08,NA,-5.78E-07,2.36E-05,NA,-0.000140018,-0.000312587,-1.57E-06,8,-148.4994086,326.0897263,19.65890144,6.33E-06
477,0.001644557,NA,NA,6.95E-08,-5.72E-07,2.34E-05,NA,-0.000134723,-0.000321452,-1.59E-06,8,-148.4999094,326.0907279,19.659903,6.32E-06
499,0.001745259,NA,-9.53E-08,NA,NA,2.05E-05,1.74E-05,-7.58E-05,-0.000389001,-1.67E-06,8,-148.5094467,326.1098026,19.67897769,6.26E-06
498,0.001732272,-1.46E-05,NA,NA,NA,2.02E-05,1.45E-05,-7.68E-05,-0.000385362,-1.71E-06,8,-148.5098574,326.1106238,19.67979896,6.26E-06
501,0.001719175,NA,NA,-7.11E-07,NA,2.05E-05,1.50E-05,-7.66E-05,-0.00037019,-1.68E-06,8,-148.5099445,326.110798,19.67997312,6.26E-06
470,0.001507191,-1.94E-05,NA,-6.12E-07,NA,2.21E-05,NA,-0.000110219,-0.000250113,-1.61E-06,8,-148.515586,326.122081,19.69125615,6.22E-06
468,0.001517625,-2.25E-05,-1.68E-08,NA,NA,2.20E-05,NA,-0.00010933,-0.000259696,-1.61E-06,8,-148.5160197,326.1229484,19.69212355,6.22E-06
471,0.001484447,NA,-3.00E-08,-9.25E-07,NA,2.25E-05,NA,-0.000110862,-0.00022962,-1.55E-06,8,-148.5167967,326.1245024,19.69367751,6.22E-06
445,0.002299729,NA,NA,1.61E-06,-5.60E-07,1.74E-05,4.46E-05,NA,-0.000732903,-1.97E-06,8,-148.517468,326.1258451,19.69502025,6.21E-06
351,0.00116652,NA,-1.16E-07,-1.10E-06,-4.07E-07,2.46E-05,NA,-0.000140284,NA,-1.61E-06,8,-148.5187023,326.1283137,19.69748878,6.20E-06
348,0.001160924,-1.21E-05,-1.12E-07,NA,-4.36E-07,2.44E-05,NA,-0.000138459,NA,-1.64E-06,8,-148.5198337,326.1305766,19.69975167,6.20E-06
442,0.002240136,1.54E-05,NA,NA,-4.79E-07,1.77E-05,4.41E-05,NA,-0.000687665,-1.93E-06,8,-148.5201875,326.1312841,19.70045925,6.20E-06
379,0.00116987,NA,-1.31E-07,NA,-4.46E-07,2.44E-05,2.34E-06,-0.000133467,NA,-1.63E-06,8,-148.5201916,326.1312923,19.70046745,6.20E-06
350,0.001165954,-8.62E-06,NA,-9.67E-07,-3.84E-07,2.41E-05,NA,-0.000130908,NA,-1.66E-06,8,-148.5203118,326.1315327,19.70070781,6.19E-06
381,0.001170322,NA,NA,-1.10E-06,-3.83E-07,2.42E-05,4.88E-07,-0.000128986,NA,-1.65E-06,8,-148.5205754,326.1320599,19.70123503,6.19E-06
443,0.002262762,NA,-5.56E-08,NA,-4.71E-07,1.73E-05,4.59E-05,NA,-0.000707181,-1.96E-06,8,-148.5207025,326.1323141,19.70148918,6.19E-06
378,0.001160804,-1.44E-05,NA,NA,-4.11E-07,2.40E-05,-8.73E-07,-0.000130555,NA,-1.68E-06,8,-148.5215248,326.1339587,19.70313385,6.19E-06
344,0.001147035,-6.57E-06,-7.82E-08,-1.48E-06,NA,2.35E-05,NA,-0.000118775,NA,-1.60E-06,8,-148.5278527,326.1466145,19.71578958,6.15E-06
375,0.001153113,NA,-9.22E-08,-1.60E-06,NA,2.35E-05,1.86E-06,-0.000115518,NA,-1.60E-06,8,-148.5278639,326.1466369,19.71581205,6.15E-06
374,0.001147992,-8.31E-06,NA,-1.42E-06,NA,2.33E-05,-4.15E-07,-0.0001136,NA,-1.63E-06,8,-148.5287356,326.1483803,19.71755546,6.14E-06
372,0.00113977,-1.44E-05,-6.95E-08,NA,NA,2.32E-05,-1.99E-07,-0.000113183,NA,-1.63E-06,8,-148.5308541,326.1526174,19.7217925,6.13E-06
438,0.002027376,5.78E-06,NA,3.73E-07,NA,1.77E-05,3.52E-05,NA,-0.000570364,-1.85E-06,8,-148.5325662,326.1560414,19.72521651,6.12E-06
439,0.002037651,NA,-2.07E-08,4.38E-07,NA,1.76E-05,3.59E-05,NA,-0.000578956,-1.86E-06,8,-148.5326307,326.1561704,19.72534552,6.12E-06
436,0.002029391,8.60E-06,-3.02E-08,NA,NA,1.78E-05,3.64E-05,NA,-0.000569628,-1.84E-06,8,-148.5326478,326.1562046,19.72537976,6.12E-06
312,0.001166134,2.80E-05,5.26E-08,-4.42E-07,NA,2.11E-05,2.11E-05,NA,NA,-1.82E-06,8,-148.5879404,326.26679,19.83596508,5.79E-06
316,0.001163123,2.52E-05,5.84E-08,NA,-5.92E-09,2.11E-05,2.05E-05,NA,NA,-1.83E-06,8,-148.5882413,326.2673916,19.83656676,5.79E-06
318,0.001168198,3.06E-05,NA,-5.15E-07,6.12E-09,2.11E-05,2.26E-05,NA,NA,-1.82E-06,8,-148.5883096,326.2675282,19.83670336,5.79E-06
415,0.001547841,NA,3.21E-07,1.41E-06,3.15E-08,2.06E-05,NA,NA,-0.000309381,-1.72E-06,8,-148.5902331,326.2713753,19.8405504,5.78E-06
408,0.001554511,1.63E-06,3.23E-07,1.47E-06,NA,2.07E-05,NA,NA,-0.000313069,-1.72E-06,8,-148.5902868,326.2714827,19.84065785,5.78E-06
319,0.00115166,NA,9.24E-08,-6.69E-08,3.45E-08,2.05E-05,1.95E-05,NA,NA,-1.89E-06,8,-148.5906941,326.2722972,19.84147236,5.77E-06
