"","year","commGIS","ForPix","khum_name","area","diffPix"
"111",2007,120402,0,"Phsar Depou Pir",204990.76,0
"112",2007,120307,0,"Veal Vong",961441.99,0
"113",2007,120208,0,"Chey Chumneah",768046.56,0
"114",2007,120103,0,"Boeng Keng Kang Pir",325871.16,0
"115",2007,120106,0,"Tuol Svay Prey Muoy",561881.49,0
"116",2007,80212,0,"Veal Sbov",6905438.14,0
"117",2007,120505,0,"Chaom Chau",22599497.15,0
"118",2007,120101,0,"Tonle Basak",3158837.29,0
"119",2007,120102,0,"Boeng Keng Kang Muoy",1001416.95,0
"120",2007,50707,0,"Samraong Tong",30063758.34,0
"121",2007,120105,0,"Oulampik",303911.29,0
"122",2007,50708,0,"Sambour",30176471.96,0
"123",2007,120516,0,NA,4539091.46,0
"124",2007,120107,0,"Tuol Svay Prey Pir",381963.41,0
"125",2007,120410,0,"Boeng Salang",890927.45,0
"126",2007,80610,0,"Preaek Rey",14748092.21,0
"127",2007,120308,0,"Boeng Prolit",368335.26,0
"128",2007,120608,0,"Nirouth",11611304.48,0
"129",2007,120409,0,"Phsar Daeum Kor",465768.65,0
"130",2007,90105,787,NA,106941337.4,-4
"131",2007,50304,0,"Pechr Muni",15901780.22,0
"132",2007,50704,66,"Krang Ampil",69581630.79,0
"133",2007,50600,1401,NA,148508724.2,0
"134",2007,50301,0,"Angk Popel",18786638.33,0
"135",2007,140503,10,"Chi Phok",62107664.07,0
"136",2007,80101,6,"Ampov Prey",13807539.99,0
"137",2007,200415,0,"Trapeang Sdau",56040987.46,0
"138",2007,80128,0,"Trea",20577339.51,0
"139",2007,50313,0,"Veal",27060036.36,0
"140",2007,200412,39,"Mream",57690858.56,0
"141",2007,50604,12,"Kiri Voan",26671366.55,0
"142",2007,200411,0,"Mukh Da",29251189.09,0
"143",2007,200407,6,"Doung",55357837.82,0
"144",2007,140109,0,"Theay",38817543.77,0
"145",2007,140502,0,"Chres",43751305.01,0
"146",2007,50311,78,"Srang",74282837.56,0
"147",2007,50312,0,"Tuek L'ak",15772124.88,0
"148",2007,80207,1,"Kokir Thum",40268596.11,0
"149",2007,140505,0,"Prey Rumdeng",31193724.08,0
"150",2007,50607,23,"Ou",48655449.34,0
"151",2007,80104,4,"Boeng Khyang",18774578.03,0
"152",2007,81006,0,"Prasat",84640595.03,0
"153",2007,140101,0,"Boeng Preah",41270398.63,0
"154",2007,50613,526,"Traeng Trayueng",452564277.1,0
"155",2007,80125,0,"Tbaeng",22326695.65,0
"156",2007,50306,0,"Prey Nheat",32668165.63,0
"157",2007,81008,0,"Preaek Koy",15242129.92,0
"158",2007,81015,5,"Traeuy Sla",49458079.33,0
"159",2007,80116,15,"Preaek Slaeng",10793104.16,0
"160",2007,81010,15,"S'ang Phnum",41565183.69,0
"161",2007,80115,0,"Preaek Roka",11153136.04,0
"162",2007,80501,36,"Kampong Phnum",78956095.77,0
"163",2007,90203,2685,"Preaek Khsach",290395357.3,-2
"164",2007,90802,2209,"Kampong Seila",330714878,0
"165",2007,81014,2,"Ta Lon",30610079.7,0
"166",2007,81004,0,"Kaoh Khsach Tonlea",9424210.69,0
"167",2007,200404,0,"Angk Prasrae",30214220.97,0
"168",2007,81016,0,"Tuek Vil",21356932.03,0
"169",2007,200405,0,"Chantrei",27808902.84,0
"170",2007,50609,82,"Prey Kmeng",53987753,0
"171",2007,140104,0,"Reaks Chey",42801926.31,0
"172",2007,50302,0,"Chongruk",29066796.57,0
"173",2007,140705,0,"Peam Ro",17514448.27,0
"174",2007,210208,1,"Lumpong",23445374.09,0
"175",2007,210207,21,"Krang thnong",38148962.27,0
"176",2007,210210,0,"Pot Sar",37523892.47,0
"177",2007,210212,0,"Tang Doung",20318740.78,0
"178",2007,50112,25,"Tuol Sala",28420561.44,0
"179",2007,210202,0,"Champei",19972366.33,0
"180",2007,140501,0,"Angkor Sar",30802691.81,0
"181",2007,200305,0,"Kampong Ampil",24383939.48,0
"182",2007,50603,549,"Dambouk Rung",174753311.8,0
"183",2007,140105,0,"Roung Damrei",47288417.8,0
"184",2007,210211,0,"Souphi",11533507.7,0
"185",2007,140706,0,"Preaek Khsay Ka",6556682.48,0
"186",2007,140702,0,"Banlich Prasat",17557808,0
"187",2007,140108,25,"Spueu Kha",29288503.73,0
"188",2007,81005,0,"Krang Yov",50769609,0
"189",2007,140508,3,"Trapeang Srae",43169965.65,0
"190",2007,50602,363,"Choam Sangkae",128553735.1,0
"191",2007,90101,3507,"Andoung Tuek",407689613,-2
"192",2007,50110,63,"Svay Chacheb",63101761.83,0
"193",2007,210204,0,"Kandoeng",40619667.29,0
"194",2007,90301,3137,"Chrouy Pras",325864056,-14
"195",2007,90301,3137,"Chrouy Pras",105412875,0
"196",2007,50706,0,"Roleang Kreul",36137726.72,0
"197",2007,120514,0,"Sak Sampov",5855654.18,0
"198",2007,200406,6,"Chrey Thum",56918302.17,0
